,Arm_P2,Arm_P6,Arm_P8,Arm_P9,Arm_P10
Il6ra,0.030535314,0.01944737,0.0,0.020061808,0.010696541
Smyd4,0.040739547,0.03767142,0.025622506,0.02510381,0.031736307
Jade1,0.29571646,0.17331243,0.1386587,0.21060878,0.16483939
Bmi1,0.23099004,0.17570166,0.19079404,0.16220136,0.15292637
Lmo2,0.0148624405,0.0075012604,0.009919672,0.0074148173,0.0011298176
Pax5,0.0026777014,9.425927e-05,0.004207734,0.0004141545,0.0
Gtf3c4,0.07800286,0.05505305,0.0679956,0.054999888,0.06571042
Tbl1x,0.61012495,0.4338427,0.62444127,0.48730505,0.44323227
Hif1a,0.4508721,0.3527306,0.37319186,0.28827223,0.21598643
Zfp207,0.39210144,0.32601795,0.27269185,0.23873651,0.28113496
Hivep3,0.05775394,0.029671812,0.23460779,0.016711138,0.017736245
Cd200,0.033321977,0.019672852,0.0355962,0.01952534,0.007821018
Tnfsf4,0.006355806,0.003927949,0.011030816,0.0048929076,0.00016445958
Sfmbt1,0.13835987,0.08864668,0.060821574,0.04878175,0.0670212
Hdac6,0.04706267,0.04156465,0.018976348,0.018417113,0.031231564
Toe1,0.08393021,0.07161987,0.054598853,0.043962583,0.043926597
Fus,1.60018,1.5021924,1.308451,1.228965,1.0595207
Parp2,0.5242187,0.4386029,0.22148575,0.20167747,0.16714802
Ssbp3,0.8010416,0.6923268,0.48029444,0.4653494,0.43395898
Tcf19,0.5718002,0.37576917,0.114611626,0.09457195,0.115146585
Cebpg,0.48065332,0.43406355,0.32835275,0.31443694,0.3647943
E2f2,0.72261685,0.6932385,0.4302434,0.3596347,0.4823579
Nsd2,0.9969814,0.5959317,0.36469218,0.27235073,0.28172
E2f3,0.3285247,0.22524528,0.12102169,0.1011442,0.08932827
Khdrbs1,0.8146476,0.58368075,0.4262993,0.45660436,0.45788077
Sirt1,0.25360927,0.18081035,0.13409507,0.21035074,0.20409085
Sf1,1.4164817,1.0829858,0.902629,0.9004501,0.922312
Nono,1.0252774,0.80629694,0.55873,0.50510997,0.49503335
Gatad1,0.29678813,0.25513086,0.17706408,0.12708631,0.15717335
Foxm1,0.08648201,0.06031675,0.0075087408,0.010428496,0.006035938
Cbx5,1.5465957,0.9870428,0.522439,0.31033567,0.29429203
Cenpk,0.39446777,0.27107882,0.08520998,0.036757737,0.041066416
Brip1,0.33790797,0.20778508,0.053823262,0.023970634,0.023077296
Suz12,2.2794569,1.4397353,0.8847959,0.8701545,0.96100676
Fkbp5,1.2397358,0.87714213,0.65768325,0.39679924,0.39286974
Brca2,0.41069594,0.246186,0.10575704,0.039118398,0.0197799
Hdac1,1.8613039,1.7349414,1.51801,1.0412654,0.9853886
Bard1,0.35773185,0.24349938,0.074394345,0.044166654,0.044366386
Mcm6,3.4459279,2.6563606,2.1552618,0.90581083,0.84601307
Wdhd1,0.3479268,0.21793944,0.09075658,0.055916548,0.059741996
Dnmt1,2.1722794,1.5637419,0.8208471,0.6488816,0.6692124
Fmr1,0.87669915,0.71185607,0.49777034,0.51267517,0.56720793
Psip1,2.1077173,1.766116,1.0746238,1.165384,1.5649607
Taf1,0.4641602,0.39449582,0.43383333,0.34065926,0.33597603
Timeless,0.58484155,0.52666265,0.16217709,0.08329462,0.07435989
Cnot6,0.98243016,0.85478413,0.5795666,0.58459586,0.6262298
Ankrd55,0.021264125,0.011187944,0.0029403963,0.006015601,0.005570337
Brd8,0.51572114,0.421952,0.28802878,0.37726817,0.438358
Hnrnpul1,1.132296,1.1038626,0.99212533,0.85729384,0.88464624
Mbd4,0.16796444,0.153474,0.031740066,0.051086057,0.0692487
Rad51,0.17047748,0.089815736,0.01170971,0.0049669873,0.0033716762
Ctr9,0.4221066,0.38716787,0.3584431,0.34101868,0.32012174
Klf8,0.029670099,0.022084955,0.025512554,0.011634577,0.008300793
Mtf2,0.5288653,0.38976553,0.29278728,0.32228237,0.40448076
Ttf2,0.2627032,0.17345501,0.1345444,0.1318683,0.11389718
Prdm1,0.5044203,0.4289875,0.5532757,0.35004002,0.43211338
Tnfrsf9,0.84926844,0.69830364,0.7314145,0.14466062,0.06166756
Sap30bp,0.37521008,0.31648457,0.30561197,0.33638975,0.31724063
Gtf2f2,0.67304593,0.54346293,0.34556264,0.40522203,0.4123394
Ewsr1,1.8350842,1.7868915,1.2533934,1.3941429,1.367656
Apex1,0.5814138,0.21752612,0.19566798,0.13980883,0.060190357
Bop1,0.5607005,0.3467147,0.31354642,0.2895949,0.2541112
Tshz2,0.008268009,0.0034934992,0.0,0.0010509762,0.0
Cnbp,3.8664782,2.9289672,3.2342649,3.4456525,3.6150792
Gtf2h2,0.18322416,0.16684599,0.13248679,0.11351101,0.098993726
Prmt7,0.3117457,0.20637408,0.15507711,0.1063121,0.06867671
Fkbp1a,3.7394443,3.1935484,3.5896254,2.8231497,2.3457398
Ecd,0.3415808,0.2642666,0.1664402,0.2069532,0.25926292
Pdcd11,0.4012367,0.24679427,0.23236038,0.2691,0.18025167
Mybbp1a,1.0726418,0.37910616,0.35536957,0.34298638,0.28779742
Tardbp,0.4342146,0.26934308,0.16512585,0.20537409,0.23118731
Prmt3,0.3280999,0.18186623,0.13872258,0.13946098,0.10720746
Tnfsf11,0.0071087056,0.0018729905,0.0,0.002649329,0.00010767208
Men1,0.07631515,0.056769222,0.056715533,0.03232225,0.04234136
Aatf,0.4397575,0.29268464,0.21736395,0.2254361,0.23129287
Pwp1,0.34441394,0.26275575,0.1958051,0.18975076,0.19169612
Hnrnpr,1.4902906,1.1702186,0.8179976,1.0668318,1.0536515
Nap1l4,1.4720663,1.1948994,0.9520647,1.0690504,1.1028664
Baz1a,2.3665621,2.043503,2.544101,1.5207201,1.5201117
Mybl1,0.031622376,0.014686245,0.0033376112,0.0019408414,0.020274699
Pnn,3.0126383,2.8191154,2.0070972,2.094718,2.1474922
Cd22,0.038693607,0.013940834,0.011278404,0.0069939718,0.0053347535
Mcm7,2.2851474,1.6241543,0.54484713,0.29047474,0.24715453
Pcgf6,0.24597482,0.16095084,0.11503747,0.13225955,0.09314056
Mcm3,3.740483,2.713603,1.0512468,0.5096727,0.36923936
Orc1,0.22925845,0.15912522,0.03195377,0.014367644,0.005731894
Tcof1,1.8918757,1.2801254,1.1640879,0.99601614,0.85606146
Ash2l,0.5897726,0.38482872,0.39865118,0.37379673,0.35886797
Snrpb,6.370525,5.092497,3.8905835,3.2621653,3.1555235
Gtf3c5,0.09242287,0.07302606,0.050644297,0.045574423,0.030047432
Kmt5a,1.5187346,1.1784931,0.56805307,0.6060717,0.79042006
Papola,1.5733395,1.3679141,1.0998138,1.0883033,1.216342
Mcm2,1.6253461,1.1464046,0.5410453,0.24696776,0.20333244
Ivns1abp,0.8043316,0.6341822,0.4581736,0.60010266,0.5996569
Wbp11,1.2295194,0.902113,0.61293745,0.66455656,0.69915354
Trip13,0.60448295,0.38190284,0.06978729,0.028092137,0.035731416
Bclaf1,1.3395716,0.9259436,0.7533127,0.90367705,0.8370091
Zranb2,1.0836723,0.788956,0.8755128,0.5971691,0.52275497
Uhrf1,1.6293128,0.88640565,0.1669461,0.09002274,0.04796868
Upf1,0.6948342,0.6084638,0.59799916,0.56408834,0.5817506
Pa2g4,4.066544,1.8565187,1.0485606,0.86779326,0.6861025
Cops5,1.0220237,0.86651963,0.8732677,0.4979399,0.45202467
Hells,2.3886561,1.4175644,0.43416435,0.19899593,0.19066784
Plrg1,0.31621525,0.30286264,0.1795263,0.15970103,0.15439968
Phf19,0.089319594,0.061465293,0.011023497,0.01114531,0.007826536
Cbx3,0.27320114,0.22341312,0.073075436,0.09148796,0.09574947
Hnrnpk,6.585722,5.9778423,4.7751946,4.1805305,4.128085
Parp1,0.73289186,0.3886348,0.25605503,0.17333008,0.2621826
Smarcc1,1.4846365,0.86793286,0.7304871,0.4274767,0.49036247
Ddb1,1.1649069,0.8995983,0.6325743,0.46946162,0.47006306
Dnajc2,2.7173998,2.1175091,1.2398382,1.1463544,1.1400553
Gtf2e2,0.6660417,0.48320135,0.32718575,0.30394903,0.27674052
Smarca5,4.351453,2.8479989,2.0363622,1.8090204,1.7332247
Brd7,0.62953055,0.56531876,0.47666973,0.5023921,0.4901286
Smarca4,1.2536212,1.0441628,0.7447019,0.7799052,0.7369493
Ssrp1,3.8976347,2.6910899,1.5305004,1.2957727,1.0737803
Paxip1,0.45092487,0.32607424,0.18206978,0.17453015,0.19891044
Tcerg1,1.2809671,0.7608551,0.58826077,0.49353567,0.47409508
Prmt5,0.5485029,0.34337002,0.23874864,0.24995255,0.20873947
Hnrnpab,8.408287,5.544085,2.5539937,2.1284192,1.9370171
Tfrc,0.4832516,0.25307328,0.23641759,0.121610954,0.1184288
Xrcc5,0.445966,0.2766434,0.24230735,0.20720565,0.13852645
Gtf3a,1.5742657,1.2616819,0.82968676,0.8369026,0.6782544
Chaf1a,0.40092885,0.27130744,0.07299919,0.03091029,0.028413167
Mcm5,2.9225078,2.0631185,0.8587078,0.32982835,0.1956572
Cbx1,1.2745979,1.0038397,0.53744364,0.44967794,0.46958798
Hmgb3,0.75347316,0.6932204,0.14505067,0.08295074,0.072803736
Tfdp1,1.109424,0.61227953,0.27560496,0.18538354,0.15406516
Mcm8,0.17263818,0.08206277,0.00842995,0.007330921,0.0039186296
Baz1b,2.1116643,1.5868785,0.9341328,0.9864543,0.966244
Polr2d,0.7386426,0.6761306,0.41802183,0.36679885,0.3945938
Hdac2,0.8982248,0.5641305,0.34223574,0.2839126,0.31833714
Espl1,0.17463346,0.10632415,0.018172197,0.012042801,0.014157254
Ezh2,2.6905904,1.5102506,0.7247609,0.5452574,0.6336764
Batf,2.186804,1.5824964,1.769932,1.2060356,0.8013489
Ybx1,17.756771,13.905553,7.940589,5.845123,5.463909
Ruvbl1,0.77968323,0.41599706,0.31265566,0.18804252,0.16712838
Hdgf,3.8255684,2.9107466,1.2130393,1.3009043,1.3705422
Rpa3,1.8591654,1.5068628,0.7542348,0.5547016,0.5439826
Ruvbl2,0.34221086,0.21232283,0.09779159,0.092121206,0.08106668
Prmt1,2.85303,1.628809,1.1197294,0.86094874,0.76413023
Snrpd1,2.4321597,1.7393465,0.8595139,0.63756055,0.4655404
Polr2i,0.88812226,0.81272334,0.54524696,0.58976644,0.61884207
Smyd2,0.23477499,0.067077205,0.060390204,0.032475967,0.02263984
Ssb,4.8779087,4.087239,2.8090274,2.6860511,2.653321
Polr2f,2.68484,1.7540654,1.3028601,1.1342456,0.93929684
Trim28,0.9636694,0.54669935,0.357922,0.3057394,0.3449472
Gtf2a2,1.0490184,0.87873435,0.867125,0.82114553,0.8555753
Prdm5,0.0116794575,0.0018118634,0.0,5.668881e-06,0.0
Zfpm1,0.886445,0.51826173,0.60977477,0.38575217,0.4846295
Dpy30,2.83139,2.188235,1.3300787,1.0795653,1.0769727
Hsf2,0.13899186,0.08501967,0.072147146,0.041290276,0.038475096
Nap1l1,4.192076,2.7288635,2.0688162,1.1322277,1.2001154
Ilf2,0.96611303,0.78699416,0.34307107,0.32091287,0.31614664
Polr2h,1.3127042,0.8649004,0.679945,0.49139106,0.3914784
E2f8,0.63374096,0.28545296,0.054616258,0.034742963,0.021151619
Hnrnpd,4.675312,3.5469985,2.4532118,2.3300521,2.2231233
Dek,5.101871,4.56928,1.831941,1.8408071,1.9975889
Atf1,1.0087775,0.92100173,0.66026026,0.70679575,0.65785146
Hlf,0.02471399,0.01489466,0.007020386,0.017649759,0.009653147
Actl6a,1.3654543,1.1774004,0.7876611,0.5618436,0.45907828
Irf4,0.35369667,0.32525292,0.45548952,0.2695556,0.15066513
Cxcr4,0.5056778,0.22290829,0.33140248,0.2555972,0.25217855
