,Cl13_P2,Cl13_P4,Cl13_P9,Cl13_P10
Klra9,0.0,0.0,0.0,0.0
Cxcr2,0.008277631,0.0023664306,0.0,0.040860694
Kcnip3,0.0,0.0,0.0,0.0
Klra1,0.0026875446,0.0002576611,0.0020205611,0.0
Ncr1,0.0,0.0,0.0,0.0
Ciita,0.0012095632,0.00056728325,0.0,0.0
Klra8,0.0,0.0,0.0,0.0
Klra4,0.0,0.0,0.0,0.0
Sell,0.020900201,0.006725546,0.006516762,0.122582085
Zbtb10,0.010901726,0.0044812774,0.018071527,0.0
Dach1,0.09192895,0.09827477,0.0052980552,0.0
Pbx1,0.075620756,0.044723775,0.0,0.3677462
Pou2af1,0.03183778,0.02462498,0.010591458,0.0
Lmo2,0.002153148,0.0026005614,0.0,0.0
Fkbp1a,0.30238706,0.21181951,0.28454238,0.24852794
Rel,4.243036,3.8133476,3.790171,2.6422443
Zranb2,0.24929887,0.16290301,0.1578521,0.33556652
Jmjd1c,2.4711714,1.9582825,2.2497396,2.1404338
Plrg1,0.05372835,0.060596097,0.03917956,0.105355226
Hlf,0.45223534,0.267622,0.11481939,0.028512165
Tnfrsf4,0.025929837,0.01736781,0.0061387927,0.0
Ercc2,0.033423238,0.035534855,0.017629799,0.024173863
Taf1,1.1391983,0.96400446,0.4676866,0.3852796
Hmgb2,0.80924714,0.80269116,0.35347354,0.23099507
Cramp1l,0.51059246,0.39476043,0.24843152,0.32258004
Lmo4,0.02391968,0.020772614,0.004430419,0.0
Trim28,0.07963468,0.07017976,0.023426307,0.095475286
Orc1,0.7790955,0.73036665,0.23870587,0.119205736
Il1r2,0.17196442,0.0972019,0.060625784,0.7354924
Safb,0.2913984,0.29399154,0.20618515,0.23141548
Zfp512,0.15783128,0.13334092,0.100550435,0.08823583
Il23r,0.10167976,0.026815793,0.008545905,0.0
Polr3f,0.10300593,0.09700811,0.049403667,0.11124681
Tnfsf8,0.5340952,0.3189806,0.18591179,0.0
Klf10,0.10343449,0.088411465,0.09193489,0.07886402
Parp2,0.16225323,0.12062005,0.07698609,0.07472433
Rpa3,0.045074802,0.034147818,0.015926376,0.044125114
Tnfrsf8,0.42708832,0.3243972,0.11243189,0.1187056
Actl6a,0.22167733,0.16520114,0.07656355,0.0
Thrap3,2.151678,1.992656,1.65366,2.0100117
Zbtb48,0.03500412,0.030911883,0.026659332,0.030254254
Foxm1,0.11380407,0.09853908,0.013730424,0.0
Etv6,3.6005535,2.864602,2.7265496,2.4831035
Il2ra,1.5535977,1.4848238,0.91570616,0.242621
Taf6,0.08587984,0.06910895,0.030102298,0.062407974
Srebf2,0.6115334,0.620838,0.45970184,0.17665872
Cbx7,0.03563048,0.035189677,0.017850827,0.0
Hmgb3,0.027159357,0.015794028,0.0100355195,0.04008269
Ssrp1,0.39056557,0.28982925,0.12579344,0.03659845
Myc,0.0504872,0.026491437,0.009011275,0.0
Mcm6,2.0359986,1.7391165,0.58998644,0.5365881
Zfp275,0.027961874,0.028404288,0.016118161,0.0
Hdac3,0.051793654,0.051365286,0.02169003,0.02833541
Cebpz,0.3224866,0.27795097,0.27474114,0.34117717
Prdm4,0.10456127,0.09953536,0.07288656,0.09592984
Sirt1,0.3127812,0.29240525,0.1304316,0.080007404
Wbp11,0.39032474,0.32757017,0.17862052,0.27200532
Polr2k,0.19767451,0.17920116,0.10104316,0.023138378
Eed,1.7687484,1.498684,1.2888988,1.700997
Creb1,1.0662414,1.0193101,0.7831144,1.0812017
Taf15,2.2574077,2.0606587,1.1177582,0.78029704
Cd68,0.0083243335,0.00692541,0.009224476,0.0
Cdc5l,0.5186312,0.5323396,0.43791085,0.30543107
Nfyb,0.052068524,0.050650187,0.016577886,0.026538344
Zbtb11,2.005356,1.7477216,1.4518936,0.99873984
Ewsr1,0.91305494,0.7646756,0.76597863,0.8304863
Hnrnpk,0.25551066,0.18566197,0.16167454,0.047014866
Polr2i,0.118517995,0.09278285,0.06427425,0.0
Pcgf6,0.09103164,0.06643982,0.045526184,0.0
Cenpk,0.97783464,0.73455864,0.09851777,0.12237953
Fus,0.69915146,0.5891852,0.70901775,1.059281
Gabpa,0.16016161,0.11519265,0.09413302,0.06205029
Tcf19,0.03202143,0.0067344923,0.0019140227,0.0
Epcam,0.026523564,0.012172894,0.006675725,0.0
Dek,1.0883754,0.8184957,0.39576876,0.4003849
Cd83,0.3554118,0.17945519,0.07971152,0.0
Bop1,0.16238639,0.15582192,0.1697359,0.10957217
Mybbp1a,0.035242222,0.030837353,0.009959503,0.0
Ssb,1.1906618,1.1301935,1.0865617,1.236272
Kmt5c,0.042221103,0.029655512,0.014707085,0.0
Pwp1,0.17063604,0.14860618,0.16633534,0.16380426
Prmt5,0.07009458,0.047244575,0.020962914,0.0
Mcm5,0.1638278,0.14442149,0.017629504,0.0
Trim24,0.33540735,0.28381395,0.28362593,0.3806765
Ankrd10,0.47568697,0.3713529,0.33456826,0.48885816
Lair1,0.102776706,0.056449164,0.08834519,0.073297255
Taf5l,0.20228414,0.19317771,0.19988634,0.12816292
Mcm2,0.094675556,0.068796314,0.019922882,0.059521705
Klf9,0.037887983,0.029418994,0.03294695,0.023911208
Ifngr2,0.008017343,0.003958802,0.0,0.0
Fosl1,0.14083913,0.07360259,0.03169135,0.03132653
Ing3,0.29753107,0.3057091,0.3014148,0.25183165
Snrpb,0.31148905,0.31300023,0.21443827,0.32597372
Tnf,0.16372602,0.075585924,0.12159346,0.030723045
