,Cl13_P2,Cl13_P4,Cl13_P9,Cl13_P10
Cd55,-0.01670012381345737,-0.03029439048141648,-0.03269126271183634,-0.050580182385589006
Ggt1,-0.010811731221717163,-0.07135014014139908,-0.06643685313786243,0.03342001052181841
Foxp1,-0.06741702877755952,-0.06961030553459588,-0.10389233005515824,-0.11654338816170125
Mcm5,-0.1923197534684726,-0.28186700799362285,-0.13929147071484094,-0.24851604594632393
Atp1b3,-0.09958706356776849,-0.052780197775684205,-0.10885178963694636,0.053245338758724725
Cbfa2t3,-0.004420299998560749,-0.00823809529053191,-0.004392018056175895,0.0
Polr2f,0.03401558545253457,-0.10979972458467327,-0.17247417123212302,-0.16294853140314194
Ssrp1,0.038242522347913054,-0.23953284098223435,-0.20362109936550843,-0.2965705080092244
Sp100,0.01294278365555521,-0.06652534958706262,-0.23259365518430558,0.1679095986504764
Itgae,0.03134563505263748,0.01925000279291058,-0.005710169324091852,0.030381406062505556
Ddx5,0.1992540774962316,-0.42151608984209693,-0.4800465055084351,0.5071630439852819
Pdcd1,0.3199881448979388,0.22869455966377325,0.25918051497067895,0.19821478138326556
Mcm7,0.3471549814880212,0.17035182367591398,0.02707877798533302,0.4419820486856298
Bard1,0.037468305394383686,0.008136262104761227,0.00450226067144375,-0.0001506344777276944
Itga4,1.3233825321191535,1.315379048287249,1.0079552472244968,0.6874957024187991
Batf3,0.16354498224180716,0.06105781007176988,0.018486651522299613,0.0
Tcf12,0.051243230610319865,0.008062817921782664,0.059800196757699625,0.05353632335140637
Il21r,0.10327461520166814,0.10551276967843842,0.041932331661573605,0.05187677072598576
Nap1l1,-0.08261164006684718,-0.6383271054857006,-0.41870128283671515,-0.36473502965396876
Lag3,0.601251315186476,-0.14065425969418663,-0.1098331987726079,0.49845972990717646
Cd200,0.12553489242095714,0.08289681706794276,0.10128998027232383,-0.02112271822988987
Tnfrsf1b,0.03889824291490241,0.04483562979345001,0.0411392430425669,0.06582094036142612
Pml,0.02850617215925107,0.018328075033954914,0.006375581508416615,-0.027254188296055675
Cxcr5,0.012673156955781908,0.012579427555838118,0.009729185371697384,0.03144972338850385
Ezh2,0.3495741433810346,-0.1264466884600836,0.34481685226808767,0.47164615892468825
Tet1,0.03612599331917635,0.03051136927242953,0.007713057342157725,0.006019192900386661
Supt16,0.07872421497119013,-0.15856754340252754,-0.08626508384271542,0.44993765340992775
Sell,0.3147980218679072,0.06418927329964585,-0.02607083737258346,0.1362309307802114
Gtf2ird1,0.01724113974071749,0.014612130564102812,0.010871349248600021,0.01653185053803266
Snrpd1,0.11759372250354523,-0.017426949515507016,-0.16979877015149547,-0.1607765859363226
Prdm1,0.05024982543856767,0.04574250181368351,0.01177824103605934,-0.057940227649130725
Ahr,0.012118031749711645,0.00698984871118944,0.005924546813639461,0.01719670355314657
Tfdp1,0.026360922480713856,-0.12862844260940784,-0.02588136015217392,-0.04677828167231804
Klf6,1.2423327096399965,0.7852860102286108,-0.02538342515841611,1.0060793128662777
Hnrnpd,0.08991730149768347,-0.19188770374508163,-0.38142004768305227,-0.3960975000468288
Ruvbl2,0.0013990169445204275,-0.03307403098687164,-0.021152609653910543,0.021114574893149572
Tnfsf8,0.25076474566014384,0.23542429803979936,-0.005988308647587435,0.0
Ikzf3,0.0930540904948306,-0.05632004392881618,-0.00208226489519772,0.09841323914408165
Cd9,0.2943177743810533,0.2628334677728878,-0.05785985141583652,0.08711575740841931
Cd28,0.6314350438948689,0.5946171034087981,0.37419144931112097,0.4011590521676424
Ssbp2,0.0615283416014954,0.04380014042447266,0.09057962997892502,0.08328806773650532
Hnrnpul1,0.057485818515934387,0.023604111836071168,-0.03665817068735336,0.07261569062166791
Fhl2,0.11603684114478206,0.014155060068258611,0.05460985853177019,0.03911285578421318
S1pr1,0.3383219189344422,0.3243739806726567,-0.1274907079452211,-0.3778325707458988
Ifngr1,0.5442412553230545,0.5369119292930853,0.29454443212178716,0.527468394006646
Il23r,0.017245857921332028,0.017042755960826605,0.022012458407219593,0.028086162957469088
Jaml,0.11981371694870978,0.11677631794440733,-0.028041959940562553,0.08704124895923054
Eed,0.04030176238081006,0.033947316470427466,0.038712952152653704,0.08309001605931324
Nr3c1,0.0970517093203268,0.08083393807659256,0.022792737576045236,0.05968351800691628
E2f1,0.11804552655479252,0.09607864591574619,0.041647691089435654,-0.011382865889752805
Spn,0.11544936180521385,0.06430253072256809,0.014198332029373302,0.040004452588469186
E2f8,0.0679487609803418,-0.1230543811515069,-0.023987451119241658,-0.011470807739659722
Brip1,0.11409873375317797,-0.011685971357724057,0.07211390199664058,0.0666258735288869
Eng,0.008231227516342901,0.0009805759153726262,-0.0023289647970756774,0.0
