,Arm_P2,Arm_P6,Arm_P8,Arm_P9,Arm_P10
Il6ra,0.021130364,0.01736385,0.0066630496,0.014375755,0.025886696
Sell,0.019289974,0.008237835,0.021778975,0.007866897,0.007014596
Izumo1r,0.01760489,0.011039175,0.012033891,0.0019397859,6.741935e-05
Prmt3,0.21972373,0.15925403,0.20045288,0.1541255,0.13551636
Itgae,0.029248217,0.017367944,0.013101863,0.005324384,0.018126532
Arid1a,0.5802365,0.48890066,0.64530784,0.49049437,0.46291158
Ccr7,0.014582898,0.005154028,0.004578445,0.0073621343,0.0011833836
Pbx1,0.031648852,0.0071421885,0.0,0.006221081,0.009760383
Hmga1,0.045746826,0.017637582,0.012925932,0.0074851774,0.009950863
Aatf,0.74155873,0.5908806,0.50668204,0.5277158,0.53702396
Med8,0.06651281,0.05979089,0.040913716,0.03731564,0.044115435
Skil,0.22957681,0.18721187,0.1460914,0.17986168,0.17493194
Trgv2,0.005037962,0.0019709126,0.0025070775,0.00085070333,0.0027617454
Atf1,0.8706552,0.7020864,0.69611263,0.6763679,0.677505
Cd68,0.008442645,0.009625341,0.0035316788,0.0044294833,0.002441571
Padi4,0.0122128315,0.007133306,0.0,0.0021264213,0.003945082
Hnrnpab,0.15606345,0.09926039,0.07785381,0.05849339,0.057386026
Fosb,0.30241537,0.24933675,0.15207659,0.26558533,0.25979874
Plxnc1,0.5628992,0.55781615,0.3821053,0.32639304,0.41708067
Paxip1,0.26450974,0.20458537,0.111001715,0.0634805,0.07164725
Mcm6,2.0847595,1.6178946,0.6254084,0.33547217,0.3784107
Hat1,0.9471872,0.885575,0.5914075,0.5777163,0.3978998
Tnf,0.28218275,0.22802396,0.07681307,0.13373221,0.04869675
Phip,1.5804114,1.2410256,1.0690658,1.087118,1.009062
Gtf2f2,1.489995,1.3931093,0.9540159,1.0871354,1.1641544
Zdhhc13,0.20796414,0.14673007,0.08833658,0.11598762,0.12259248
Rbl1,0.724143,0.52583313,0.3051776,0.19506973,0.1674739
Zdhhc2,0.6010722,0.55007553,0.37962914,0.349192,0.29312885
Snapc1,0.16421792,0.14798672,0.08481892,0.12386546,0.10325697
Gtf2e2,0.27656654,0.18625481,0.15688495,0.1308973,0.12759738
Tcf19,0.02510322,0.012274969,0.0,0.0031024578,0.0017425916
Ilf2,0.2401325,0.21282262,0.12517707,0.12237128,0.11601803
Cd22,0.008027203,0.0008550073,0.0,0.002012875,0.0
Ssb,1.3192507,1.2112963,1.0308869,1.0048105,0.99919695
Mtf2,0.8010231,0.6110276,0.4768671,0.40376085,0.37770593
Cbx3,1.0915142,0.7341164,0.20190522,0.26401025,0.26241544
Suv39h1,0.08113741,0.043660607,0.023119682,0.012424329,0.026387308
Taf15,2.3782487,1.9643145,1.3049344,1.0497273,1.1197791
Dnmt1,0.6025055,0.44788784,0.1954885,0.12625438,0.11776497
Mbd4,0.22994098,0.18559968,0.085631385,0.034484636,0.035461668
Polr2b,0.33930075,0.31881073,0.28701687,0.12232658,0.13214885
Cramp1l,0.5119735,0.45243096,0.29909933,0.22428212,0.2282266
Rbbp5,0.17443885,0.1341294,0.09379096,0.097331725,0.09000391
Gatad1,0.363729,0.2965003,0.20065267,0.09915885,0.081534274
Setdb2,0.42701808,0.39931235,0.25328648,0.25018948,0.20784247
Xrcc6,0.16010976,0.11651122,0.104559794,0.081918664,0.049638495
Hnrnpk,0.31227368,0.22218642,0.21392547,0.17879318,0.15044196
Foxn2,0.7945564,0.69092166,0.5097908,0.37535453,0.3579253
Rad51,0.55898756,0.2788861,0.11297652,0.03490725,0.022239827
Sf1,0.9957401,0.85456246,0.66768694,0.79307526,0.78438276
Trim27,0.10333775,0.097253345,0.09198851,0.051228125,0.05431565
Ivns1abp,0.4501498,0.40405232,0.28803352,0.30719432,0.21444532
Cnot6,0.48603112,0.3926307,0.27760786,0.23204783,0.2275802
Kmt5c,0.033937935,0.025945747,0.006136932,0.016297739,0.007594437
Mcm2,0.09280558,0.0714913,0.021756684,0.010186495,0.007540685
Zbtb48,0.03436312,0.023064733,0.020063048,0.022146318,0.013316398
Trip13,0.13250504,0.05292877,0.008321371,0.005345176,0.0144375395
Wdr5,0.18105863,0.11472594,0.10085831,0.08241618,0.08114453
Ddb2,0.547558,0.5068867,0.24476953,0.37590405,0.14995919
Sin3a,0.39927164,0.36002073,0.2688884,0.2695679,0.28779814
Chaf1b,0.15031816,0.10718916,0.017691752,0.043645747,0.044438824
Prmt6,0.042139735,0.022331204,0.016508082,0.025622383,0.024170162
Cbx1,0.30155557,0.20470262,0.15628055,0.07737439,0.07787938
Tnfsf11,0.028875157,0.01081918,0.0,0.0016738469,0.0038157792
Zfpm1,0.1367952,0.09136103,0.08124124,0.05772664,0.058264237
Ruvbl1,0.03439893,0.022156391,0.0072821947,0.014477144,0.00629022
Ahctf1,0.70016664,0.57546777,0.55793655,0.54369175,0.54303026
Fkbp1a,0.28594345,0.24221985,0.3638467,0.20653741,0.15527135
Cbx5,0.65049016,0.3882847,0.09661164,0.0653683,0.040456552
Mllt3,3.709471,3.234331,3.883468,2.952485,2.9100125
Trps1,2.7750793,2.1978176,3.6079288,2.2215397,2.077636
Pcgf6,0.0872164,0.07709487,0.06488209,0.0411672,0.024093676
Tet1,0.008184257,0.006742928,0.0,0.004145094,0.0042984406
Taf6,0.07956091,0.060925793,0.024780525,0.029335279,0.02778756
Smarcc1,1.0327005,0.66805035,0.53766966,0.5044705,0.52158576
Fkbp5,2.0081077,1.3333476,1.5025246,0.97451305,1.0578166
Gtf2h2,0.2924863,0.22094774,0.18102357,0.114012726,0.116094716
Pms1,0.26562384,0.20692527,0.1803577,0.1726246,0.18644673
Drap1,0.6656365,0.49186575,0.48755085,0.31765035,0.34481972
Setdb1,0.41498658,0.2871101,0.33313462,0.2684448,0.2647103
Gtf2h1,0.7895637,0.67768246,0.5474573,0.51424617,0.50306094
Zfp143,0.17180695,0.12037744,0.08377512,0.104538895,0.11156281
Hist1h2bp,0.027703255,0.015826702,0.0,0.0024952025,0.007833374
Ilf3,0.7078243,0.5423509,0.30461738,0.3390473,0.24120775
Nfyb,0.069507554,0.04908131,0.08253358,0.034875125,0.037195396
Men1,0.2244388,0.14819738,0.06990911,0.0711069,0.07193341
Trim28,0.084497884,0.08740627,0.039935615,0.057988636,0.06602925
Gtf2e1,0.203239,0.1491508,0.07304036,0.09141833,0.066000685
Fkbp2,0.040937893,0.020794993,0.008895121,0.009434471,0.0033332522
Zscan22,0.11194061,0.07178655,0.038764976,0.016269477,0.018687056
Zfp248,0.0595002,0.025505412,0.015582444,0.016262522,0.012377054
Nfya,0.24279766,0.15591142,0.05750975,0.10781789,0.10019017
Zfp382,0.14618115,0.085957974,0.12196118,0.032440264,0.020116935
Bmpr1a,0.07308886,0.037658077,0.005441275,0.030825416,0.037973963
Pbx3,0.4916893,0.38409838,0.6586416,0.26626024,0.30773473
Sema7a,0.5330607,0.44338506,0.21680593,0.11815284,0.03451124
Myc,0.058622397,0.036942184,0.017671108,0.0065527773,0.0042859656
Rpa3,0.050314356,0.037756294,0.03449689,0.009625916,0.0124607105
Cebpg,0.22204103,0.18064155,0.133535,0.13036469,0.15947594
Carf,0.07189566,0.034026146,0.031971917,0.060677107,0.06781099
Sfmbt1,1.1069571,0.7752948,0.41919318,0.22708578,0.2766707
Srrm1,1.9130778,1.6151954,1.1092767,1.1968409,1.1778632
Klf8,0.23603512,0.1268345,0.11654863,0.19547367,0.10926119
Myb,0.2992152,0.24226862,0.18063591,0.076388806,0.010166214
Gtf2a2,0.23312022,0.18380886,0.15740778,0.17517227,0.15215628
Fubp3,0.13028146,0.06836946,0.064385444,0.05027286,0.066581905
Zfp422,0.23176596,0.15565802,0.15571952,0.08120778,0.10115241
Prpf4b,0.59357,0.49385396,0.35118198,0.27765167,0.31400535
E2f3,0.745715,0.5115836,0.3025694,0.22211257,0.21904154
Mybl2,0.40342468,0.20821999,0.026820095,0.018676559,0.02646889
Wdhd1,0.85415345,0.480392,0.12893924,0.11930674,0.11293896
Actl6a,0.2341891,0.18980618,0.07819984,0.0694058,0.063819595
Tfdp1,0.41194898,0.24247354,0.10395861,0.06337967,0.058528557
Cd40lg,0.0940449,0.051701184,0.011627885,0.04447538,0.027572978
Brd7,0.4851134,0.42973214,0.32337716,0.30104277,0.25926316
Cenpk,0.87447965,0.53546476,0.1713381,0.06202036,0.048981175
E2f6,0.074033275,0.038372386,0.019751418,0.010437514,0.0006901456
Dek,1.1639866,0.8810105,0.33194733,0.40071633,0.39428562
Zdhhc16,0.031749196,0.023232784,0.018485337,0.0065861563,0.006979324
Ssrp1,0.41938955,0.26765546,0.09696191,0.13272944,0.08293186
Mcm7,0.36703125,0.27503276,0.05349609,0.040520277,0.031902324
Mcm4,1.9672884,1.4620093,0.39311776,0.27544093,0.184509
Tardbp,1.2258999,0.724536,0.39504862,0.3410466,0.29613933
Epcam,0.013623886,0.009271438,0.010917004,0.003588877,0.0
Tbl1x,1.727439,1.3605729,1.4400165,1.1728958,1.0333823
Nsd2,1.7263045,1.1188887,0.654102,0.51605,0.55988127
Chaf1a,0.26028275,0.16771354,0.022106027,0.0067389803,0.007144206
Hells,1.785549,1.1840107,0.33162665,0.14857544,0.14205466
E2f1,0.31423002,0.24120903,0.02674435,0.018201755,0.0069360156
Orc1,0.841012,0.60967433,0.11106302,0.09769497,0.09228882
Tial1,0.576864,0.5004198,0.31953964,0.33037147,0.33445752
Igsf8,0.06190334,0.029022709,0.028245484,0.019099891,0.03470568
Atad2,1.95485,1.313678,0.5189139,0.60741645,0.55532455
Parp1,0.39119783,0.2084584,0.11664217,0.065541506,0.07821079
Rbbp4,1.4280113,1.0818003,0.52823526,0.577725,0.6104314
Sirt1,0.3631988,0.28338945,0.16278164,0.20174067,0.19669141
Hdgf,0.026060382,0.014453762,0.012211243,0.0077202492,0.0018017694
Bard1,0.8020465,0.41512352,0.12943013,0.05530573,0.0678268
Mcm8,0.22620401,0.11356622,0.03627262,0.008522542,0.0076803905
Fmr1,1.1920718,0.9921558,0.717495,0.7220884,0.7778907
Brip1,1.3678329,0.7705802,0.23242357,0.096075,0.052069247
Hnrnpd,2.5940306,1.8315855,0.84616536,0.77735883,0.80234027
Taf1,1.1458458,0.9377783,0.3306738,0.4141272,0.41105062
Alcam,5.067505,4.287944,5.380964,2.7457418,2.0052722
Hdac2,0.18064162,0.11903751,0.05685405,0.043349724,0.079176426
Khdrbs1,2.336404,2.1102862,1.5008076,1.4336835,1.2551317
Mcm3,0.40737808,0.3471162,0.037299056,0.057057846,0.047932386
Tcerg1,0.7769715,0.42297614,0.3207569,0.27996027,0.27948612
Brca1,1.5476681,0.6594241,0.19013451,0.04210577,0.021765376
Suz12,2.153556,1.1118084,0.9353098,0.79358304,0.8295145
Brca2,0.21504569,0.13495234,0.047578488,0.0217544,0.021045202
Mcm5,0.2023175,0.115020365,0.011529459,0.010149442,0.006209413
Cops5,0.37433562,0.29481617,0.21974076,0.1529178,0.14038818
Gtf3a,0.4123975,0.25043553,0.097165264,0.032567307,0.037189506
Nfxl1,0.06022453,0.04752918,0.010834235,0.015815536,0.025402255
Rnps1,0.12691951,0.10302606,0.071860746,0.055979274,0.041878287
Hif1a,3.6802852,2.932694,3.3685849,2.5603333,1.8863955
Ankrd55,0.43215004,0.26137984,0.41174704,0.09710358,0.08397342
Med21,0.9370832,0.7403572,0.31731203,0.29200822,0.28210768
Nap1l1,2.2351754,1.0998274,0.58813214,0.33930668,0.3678178
Dnajc2,0.25788006,0.19523536,0.1965519,0.08789693,0.07729754
Ezh2,1.6512716,0.8949875,0.46330214,0.37314135,0.36853516
Snrpd1,4.3626194,2.8659246,1.1891512,0.78178364,0.6971081
Asxl1,2.8597474,1.7327209,1.5692779,1.5253054,1.7460312
Ssbp3,0.5198407,0.36189783,0.38305715,0.3652758,0.3724414
Gtf3c5,0.16725387,0.11614794,0.049578227,0.04634857,0.028012754
Rbbp7,0.76669425,0.5664717,0.3138257,0.28645867,0.3000942
Il2ra,1.6935804,1.1610312,0.5933965,0.32695526,0.17477757
Supt16,1.19899,0.866955,0.39554754,0.41660127,0.4233707
Ybx1,0.55602694,0.36475343,0.26865616,0.211709,0.17948501
Prdm5,0.05211298,0.0082485685,0.01268896,0.004535318,0.008645918
Aurkb,0.0786523,0.010387151,0.012816884,0.004545988,0.00040984136
Plrg1,0.07884057,0.06981154,0.06921844,0.042248715,0.041113656
Ube2k,2.1328368,1.9606994,1.6160797,1.8048161,1.8002847
Zranb2,0.2236244,0.19966634,0.15861295,0.13109607,0.14726782
Tshz2,0.085508555,0.033879634,0.03645529,0.049316775,0.012197409
Hmmr,0.13967435,0.042774826,0.008945137,0.0025957788,0.0026268403
Tnfsf4,0.0246281,0.009323592,0.0018299952,0.001896145,0.0022537305
Cd160,0.058794476,0.040876117,0.0407469,0.024005884,0.03622087
Polr2d,0.042564858,0.032991428,0.051466934,0.01562846,0.012589461
Rel,4.071364,3.6356976,3.440824,2.6238296,2.1011488
Ctsl,0.045947358,0.038942683,0.018988045,0.025599523,0.005980296
Fbxo17,0.015140173,0.007298584,0.029312426,0.006216472,0.0024730228
Tnfrsf4,0.02107266,0.009468201,0.012261426,0.0012890856,0.0011735357
Xrcc5,0.30223578,0.22421755,0.29444322,0.26831564,0.18242334
Pias2,0.67233866,0.4701048,0.49966168,0.51121694,0.58245856
Ciita,0.0012674755,0.00030335577,0.0,0.0005159845,2.8081413e-05
Nr2c1,0.04727983,0.021399746,0.010523818,0.03037674,0.02238583
Hdac3,0.053185143,0.04928714,0.019149153,0.02091564,0.03275779
Mxd3,0.0069735246,0.0020792587,0.0,0.0008995717,0.00016835681
Tfrc,0.31313512,0.2628977,0.09819314,0.14724785,0.11924687
Xpc,0.026309341,0.0152942175,0.0022892226,0.011185555,0.019759119
Dach1,0.03127105,0.0025997858,0.0033725456,0.0047212075,0.007628164
Ewsr1,1.0288516,0.85141206,0.7668199,0.6898526,0.65750813
Thrap3,2.1737087,2.005401,1.5300243,1.6134367,1.6744984
E2f2,0.44408706,0.29412255,0.13814749,0.08523434,0.09902
Safb,0.30813882,0.2396667,0.19729409,0.21736653,0.20265108
Gabpa,0.14837748,0.13961655,0.07979384,0.08371593,0.09243962
Pnn,0.08873285,0.084114164,0.06893961,0.03595376,0.040826444
Espl1,0.09706923,0.018082414,0.020424025,0.0018661835,0.0020168745
Toe1,0.31262454,0.24720879,0.07078424,0.05842882,0.097842805
Ddx20,0.34484553,0.19243366,0.05543612,0.06349751,0.08360456
Ncam1,0.016662454,0.004344049,0.0,0.0023182842,0.00022711241
E2f8,0.22499329,0.071525194,0.008272148,0.00297663,3.3200104e-05
Brd8,0.5211264,0.3093591,0.2386924,0.22484154,0.28338954
Wbp11,0.39570794,0.28882533,0.23079976,0.24607696,0.197829
Tnfrsf8,0.47077584,0.23201296,0.09198326,0.081621796,0.092638075
Runx3,2.8136399,2.3694527,1.0599172,0.7943296,1.1344744
Ctcf,0.8761637,0.61869335,0.57853794,0.48649406,0.45186758
Foxm1,0.095417224,0.024841847,0.02487994,0.03395677,0.023752736
Nono,0.3319369,0.22557437,0.21082868,0.12456414,0.11749458
Fosl1,0.15507938,0.09722681,0.0193498,0.029175213,0.016877027
E2f5,0.077903554,0.059912965,0.046041526,0.036178898,0.036844805
E4f1,0.07143733,0.05152601,0.05460224,0.04615587,0.039266456
Gtf3c4,0.014174918,0.0120084565,0.0037451205,0.0026138404,0.0001109938
Ighm,0.5868374,0.4280072,0.61303717,0.47170365,0.23924683
Pknox1,0.16410212,0.15174547,0.17174314,0.13806288,0.15863231
Bcor,0.30748767,0.24711117,0.1642877,0.20359632,0.17344294
Jade1,0.088686705,0.065834045,0.02061719,0.025174001,0.025427034
Smyd2,0.086896926,0.030710256,0.04376682,0.016196232,0.003538597
Hmgb3,0.030645566,0.015839051,0.0068942783,0.008609966,0.0073555117
Mphosph8,0.31052008,0.22732563,0.17264664,0.18934323,0.21167918
Phf19,0.13191476,0.097584285,0.009591918,0.008575347,0.011140019
Pcmt1,0.9808906,0.86847717,0.5410483,0.40890354,0.4618248
Hnrnpul1,0.5358527,0.41087613,0.2645236,0.30847278,0.31964204
Hmgb2,0.908067,0.5937167,0.3860104,0.3495761,0.3002066
Eng,0.0006052397,0.0,0.0,4.114034e-05,0.0
Nap1l4,0.5581944,0.4394802,0.3701219,0.3728572,0.3756051
Eed,1.9994184,1.740309,1.0401586,1.1184424,1.321237
Prdm4,0.1363316,0.11825652,0.06470253,0.072940476,0.07794337
Hdac9,0.04584028,0.020717874,0.0022892226,0.011424868,0.009295554
Tox2,0.026655633,0.014232708,0.10052387,0.0022018843,0.0042241644
Fas,0.18018672,0.12060804,0.08465039,0.14271297,0.08677505
Ifngr2,0.008451874,0.000990389,0.0,0.002107655,0.00020671054
Tnfsf8,0.1567774,0.07279512,0.08284183,0.07067584,0.013400135
Crtam,0.31217998,0.19508964,0.28481215,0.2219784,0.12681226
Btla,0.51190406,0.35182524,0.5812144,0.32146305,0.09492711
Csf3r,0.0076381993,0.0034598974,0.0,0.0013716352,0.002231039
Sirpa,0.009656665,0.0019460603,0.0,0.0017944432,0.0012840102
Cd300lf,0.0075606597,0.0049788626,0.0,0.00299892,0.0011031108
Tcf7l2,0.02104059,0.018955734,0.004001303,0.005054043,0.0015196255
Csf1r,0.0045781806,0.00093833916,0.0,0.0006381093,0.00024323585
Pax5,0.002675972,0.0021628323,0.0,0.0017982696,0.0
C5ar1,0.0063722744,0.003909422,0.006641428,0.00092601567,0.0044853077
Mef2c,0.056018684,0.017238596,0.0,0.02681864,0.0073578428
Tlr2,0.0018887504,0.00032160588,0.0,0.0009605202,0.000380531
Cd44,1.6467264,1.3614314,1.1579319,1.5442216,0.7788912
Cd300c2,0.0032521007,0.00050345226,0.0,0.00044763467,0.00015669993
