,AllAct_P2,AllAct_P7,AllAct_P9,AllAct_P10
Snapc1,0.16189541,0.13570651,0.12362611,0.10324035
Zfp553,0.0119186025,0.0054191337,0.0023963528,0.00015898659
Kmt5a,0.10579106,0.035663515,0.032811284,0.036365688
Parp2,0.14594568,0.080335855,0.09326241,0.08078028
E2f1,0.31392547,0.06713044,0.018599087,0.00692149
Trgv2,0.005147606,0.002191778,0.0008591212,0.0027559616
Ttf2,0.12807287,0.054245383,0.034514546,0.020050367
Prmt6,0.04253626,0.019588064,0.025552845,0.024182905
Ahctf1,0.7028763,0.53311527,0.54246736,0.5432052
Cdc5l,0.52264214,0.4420653,0.31074765,0.31052187
Gtf2h1,0.7959069,0.5234911,0.5146883,0.5027625
Tnfrsf8,0.4661894,0.14977752,0.08208705,0.092692666
Mtf2,0.80763346,0.59056044,0.40396073,0.37753966
Cbx5,0.6595937,0.19187014,0.065652244,0.04047554
Crebzf,0.18591012,0.12608968,0.13976735,0.1551962
Jade1,0.08714959,0.035983395,0.025126964,0.02553111
Lmo4,0.034203928,0.01434917,0.0038936345,0.002038115
E4f1,0.07281636,0.04558401,0.045917023,0.039298024
Fbxo17,0.016510656,0.015339459,0.006122599,0.0024678437
Nfe2l1,0.03356906,0.024698783,0.020550843,0.015460433
Srebf2,0.6576403,0.48286876,0.36407435,0.22869273
Mxd3,0.007103636,0.0024748917,0.00091723906,0.00016800423
Epas1,0.43857208,0.1610064,0.3115106,0.21576157
Gtf3c4,0.014430501,0.008916543,0.0025872686,0.00011076136
Trip13,0.13562259,0.027574826,0.0054436643,0.014407304
E2f2,0.44559526,0.23790213,0.08604906,0.09890224
Drap1,0.66649383,0.33259717,0.31844127,0.34478524
Zfp248,0.06087574,0.05284415,0.016175829,0.01246153
Wbp11,0.3951428,0.26421797,0.24505831,0.19798434
Pml,0.5034348,0.3883937,0.3588399,0.20821005
Mphosph8,0.31058598,0.20834503,0.18913533,0.21148744
Ruvbl1,0.03279324,0.025827575,0.014314202,0.006277047
Tfrc,0.31180087,0.15114091,0.1474462,0.119239576
Eaf1,0.13970508,0.11440399,0.075677656,0.09099679
Fiz1,0.105799586,0.06043085,0.0579602,0.057795126
Nr2c1,0.048734657,0.04003671,0.030645153,0.022338947
Nfxl1,0.061967444,0.03723459,0.015875893,0.025427297
Apex1,0.08365181,0.036978107,0.010108243,0.005552045
Med8,0.06752174,0.06387606,0.037126847,0.044064857
Itgae,0.028285576,0.0066519957,0.00542309,0.01808857
Maml3,0.12698708,0.043155946,0.030422473,0.046323307
Ifngr2,0.008406256,0.0033245082,0.002075828,0.00020627765
Bcl11a,0.0041017686,0.0050790156,0.00071486307,0.00015454387
Pirb,0.003428995,0.00084247085,0.000509263,0.00016000349
Mef2c,0.06052426,0.04620529,0.027694134,0.007342434
Lmo2,0.0034995142,0.0019671,0.0017786544,0.0015499741
H2-Eb1,0.041008376,0.0111055495,0.009362678,0.003292324
C5ar1,0.0070889816,0.00039088147,0.0009120322,0.004732631
Cxcr2,0.0038109445,0.00022673038,0.0007778009,0.0012317012
H2-Ab1,0.0056676744,0.0014968031,0.0014734464,0.00013814287
Csf1r,0.005234172,0.0017585881,0.0006284734,0.00024272646
Trem1,0.0028398624,0.00043860395,0.00058698194,0.00034915472
Sirpa,0.011116079,0.0042904266,0.0017673459,0.0013668933
Padi4,0.012610748,0.0021943436,0.0022300228,0.003992398
Cd180,0.0155206155,0.012653851,0.010021816,0.002788894
Csf3r,0.008758347,0.0017690749,0.0013509226,0.0024830832
Ly86,0.01670099,0.006952378,0.003951055,0.0012311861
Tlr2,0.0021913312,0.00032694882,0.00094601564,0.0003797341
Cd36,0.019451674,0.001951881,0.0029846965,0.0008687815
Cd300c2,0.003680184,0.0010256068,0.0004408751,0.00015637175
Pbx1,0.03626512,0.020700416,0.0061271386,0.010510092
Tfdp2,0.13353936,0.07518892,0.061521303,0.06310739
Atf3,0.042319626,0.03254163,0.022676297,0.021412376
Il1r2,0.10790176,0.04417774,0.025663866,0.020009708
Clec12a,0.01711586,0.0011333767,0.00033095133,0.00011755898
Igf1r,0.041160297,0.026934912,0.009139027,0.0048272577
Sell,0.019459018,0.026696837,0.007846508,0.007256622
Plaur,0.048796054,0.04780247,0.009355519,0.0088018095
