,Arm_P2,Arm_P6,Arm_P8,Arm_P9,Arm_P10
Foxp1,-0.065808990584908,-0.08000530975186602,-0.0944433002975523,-0.1198890545733551,-0.12378990979562225
Tox2,0.05901483875634255,0.04898448993248799,0.02612456973233393,0.014303209661931089,0.03764142284968245
Itgb2,0.43167447400013126,0.13768990227934,-0.3136046327560724,-0.3213039081459591,0.15419275417705058
Polr2f,0.02588290016965004,-0.11900090242397869,-0.18653481794668553,-0.16114108077597458,-0.15087168399390274
Spn,0.1138583450867642,0.08450418762682943,-0.018276608892631798,0.0007612461692462192,0.025967761080981658
Ikzf3,0.10639452615808749,0.032492805883237226,0.04695734011048587,0.0873127772353433,0.08541713845235613
Ctcf,0.04441150021609152,-0.0005061497852096067,-0.02761522854207509,-0.04495384564511158,-0.05321955240858619
Hells,0.09539148128874235,0.033143036062870786,-0.19085375032642746,-0.11277740425435974,-0.11306360495384418
Cd9,0.2473309564865562,0.04529843197949294,-0.1331044078358764,-0.104306974653386,-0.061404797097222553
Id2,0.9819509125145326,0.7078437311215037,-0.019827053301916208,-0.29719148112450855,-0.42649091659199306
Jaml,0.11656239645621289,0.09782414172933364,-0.09337590045641858,-0.07984698094560262,0.08282440841255613
S1pr1,0.33038049391069174,0.33146810438388585,-0.06267833264485281,-0.3423649846254405,-0.36901152927744835
Mybl1,0.016755687829287852,0.014666019299975472,0.0069865751794565625,0.009691496447913533,0.0005603127068540606
Treml2,0.1030559125318863,0.08503293598256231,0.028777974897919233,-0.008520987800458313,-0.0008360613571547069
Snrpd1,0.08941189263605297,-0.03958902283091508,-0.16830768720406858,-0.14908511298939708,-0.15160872091191424
Tnf,0.024105093836303222,0.007116925473307747,-0.013013771501170427,-0.00014102313390198127,0.004319289861992423
Ighd,0.025163339845879363,0.01631447088452376,-0.002469646098273166,0.000150227366636057,-8.991200199407368e-05
Gtf2ird1,0.016432632102426292,0.00919755563091227,0.011360248998284314,0.009749800313923338,0.004362730393324607
Klrb1c,0.09437125524931213,0.04523637406040379,-0.057025295316762925,-0.038046670718306544,-0.18035500611318742
Aurkb,0.45469053116459707,0.16762030450187096,0.42427550112753903,0.2874438772869791,-0.013112647290724207
Eng,0.008499334741723022,0.003996713779581247,-0.0001958980155247517,0.00026630023576242355,8.050064927233951e-05
Btg2,0.4569532828427602,-0.07018295478538174,-0.312847852269062,-0.26229913408096633,-0.07925214244934485
Suz12,0.03130197130560161,-0.18988941905402668,-0.22195082009182104,-0.24451379917291366,-0.22437141091299354
Ggt1,0.09392511509928228,-0.07863174310538652,-0.10975625626153018,0.025075902293669364,0.09909982054626522
Ddx5,1.0589685527062234,0.9689694039410764,-0.5682109900344057,0.31409675568486994,0.35907130458670816
Clec12a,0.03313151414066199,0.018581685153827306,0.032898861585891045,0.009412334430897772,0.002316630663609814
Fosb,0.3476582983952493,0.3672064743949876,0.2550203468628984,0.18783367570034423,0.1433234550774537
Ppargc1b,0.02823180373468485,0.021251352891153808,0.018081241651647224,0.010613009627210191,0.01345292961207708
Foxm1,0.03352978358330572,0.0035173631737707425,0.02573506870203855,0.020069777159468276,0.01491070016403561
Baz1b,0.10239724592135571,0.0007292964791842215,-0.0687558882925339,-0.11601235159659924,-0.1700276957530751
Ncam1,0.0027112493112921815,0.00022501026226648185,0.0016340508013714423,0.0015535487647287346,0.0005067298550241558
Nr4a2,0.2314605052480089,0.2272488105595742,0.11667338440448502,0.13057834406615135,0.17935592064004868
E2f2,0.07470256320476201,-0.04954896289803842,-0.11958982699399205,-0.10667277684766822,-0.12942298242772055
Rbl1,0.06715502371256564,0.06285702983343153,-0.005187846093811036,-0.05200462321593983,-0.0514678273093941
Cd28,0.5962800719018063,0.4773423309128711,0.455908219193499,0.044111206599697854,0.21760695120573895
Ctla4,0.5435039103253855,0.5762461012572879,0.39961085641492095,-0.27753196978819605,-0.16050917600002473
Fhl2,0.11610159618691118,0.08715054592412724,0.042566047498049445,0.07867158887279227,0.10849009639870495
Dnajc2,-0.040711924795891495,-0.10546537532738413,0.006521939440018632,-0.24518193943350805,-0.28280596276517184
Nap1l1,-0.13909569785964856,-0.6061866640679477,-0.47212714616160606,-0.32786409601949607,-0.34882004191110283
Hnrnpul1,0.061973434721519574,0.02818850279212239,-0.050401267060960375,0.0225471301694698,0.032316033124495824
Rbbp4,0.12522238067822097,0.06654235682794964,-0.14576371835179555,-0.1294582598508019,-0.02466903434208815
Ruvbl2,-0.001378160630606604,-0.0037339125975107716,-0.03020264978674808,-0.01480779885870994,-0.02104756969177875
Daxx,0.0682554565499117,0.06110105587896732,0.05083113147902176,0.00883301353277876,0.05283242716604994
Cd44,0.2249753259996106,0.23369744048414415,0.11488725292977328,0.05160390266710845,-0.13697858904220386
Zbtb10,0.03606844628881105,0.023409638050361645,0.00602396172677407,0.03089466548177343,0.00622096655752445
Trbc1,1.5096463917109797,1.1072401004331935,0.6965852139100294,0.8293093781408182,1.2861631413600787
Taf15,0.08257096637186848,0.04193525805153787,0.011910193314291584,-0.06712067369279029,-0.0549987050998091
Mcm6,0.39690140977615584,0.3421034105041626,-0.42511611821216866,-0.317000711038587,-0.3149313230366648
Cd47,0.5604157232632839,0.22408603027166338,0.010292702366694684,-0.12751216967283324,-0.30508466541630846
Mbd4,0.018036826861461283,0.014058232746762425,0.013281198897817445,-0.007547308497362978,-0.013865836389194452
Icos,0.33188678150325657,0.29244822368500484,0.11619581520079299,-0.05573636610457079,0.24090200119110874
Lair1,0.050986746524749,0.046999753056394075,0.006233336220640125,-0.00618694636839065,-0.022801949097514
Il23r,0.02149792005173885,0.011429440311284185,0.019397561969077222,0.019120964038265142,0.017244143025769917
Tnfrsf4,0.16547374920121616,0.13767168120240075,0.10606544205941168,0.013491553611791917,0.016388622720462258
Itga4,1.2762601282285637,1.1698590530593787,1.097225161672994,0.5850814521664776,0.4122559616636792
Hmmr,0.7898164852936683,-0.43361784874936593,0.2700256582407496,0.1162098630751236,0.303500460489927
Cd22,0.030927773757298417,0.014204837241240673,0.00028724408883651944,0.021741080395919675,-0.0006674332020322459
Kntc1,0.04247125357021524,0.02846245556643754,0.0066858304704043555,0.01874711084500754,0.019253427890459234
Klrk1,0.1656967209637577,-0.2610823938345856,-0.2688956163614197,-0.048066118519275634,-0.03035274395508414
Ciita,0.0015364019383059032,0.0014348876202078197,0.0,0.0024242010792268195,0.0006437604805003499
Hdac9,0.00014321382733318162,0.00012601953298549734,1.7551736653094358e-05,8.926679571031882e-05,7.796528821909737e-05
Maml3,0.0019774047361422664,0.0008484288233315602,7.065347222820893e-05,0.0005575092106036978,0.00048783210486610256
Fbxo17,-0.002466662265900188,-0.0018761727321616008,-0.002728236167948019,-0.0016963302534360165,-0.0012617234958572459
Hnrnpd,0.002178961186486091,-0.17236191359012146,-0.3826888001170875,-0.38373606306851554,-0.38726725241128873
Il21r,0.09470122421695171,0.024572354961589802,-0.03629472019071746,-0.009012549234540507,0.08311683595564384
Pcmt1,0.05993982542107072,0.056393459233715956,0.011676719927864954,-0.02155961121295971,0.03539200644103799
Cenpk,0.08176903144377172,0.03154265790811282,-0.00815358214070212,-0.007247589519899781,-0.009204814009840686
Chaf1a,0.048437598190494806,-0.007957260912809568,-0.01631281543003981,-0.004981719247866305,0.0009125358091064152
Ighm,0.28354507564114345,0.2571803515780323,0.298925416633604,0.2780787661068547,0.17656000818530804
Tshz2,0.007710094213386493,0.005511815034099651,0.003131870512292044,0.005216211513028557,0.0019661999543320926
Ccr6,0.040883137110014595,0.02783420244977781,0.0,0.005651294374141026,0.0027703966296530923
Uhrf1,0.080620291093615,-0.11625073083488138,-0.05825650036192679,-0.03438330742882341,-0.01075821619643408
Batf3,0.11158876878783347,0.06960670649847772,0.02685618327013901,0.07933504544199967,0.0015833766246870248
Espl1,0.06507051968550921,0.004763391783377973,0.04590467980322343,0.00863984828129005,0.004669107877225232
Il1r2,0.020871831268557937,0.018095234482960798,0.016522060175922535,0.007930058533800138,0.007997216791005539
Rora,0.42017514095931086,0.41225059398214403,0.43065866865754987,0.3022980266655793,0.2776983969186261
Tnfsf8,0.21450079058721375,0.18976358825788198,-0.03125892220197241,-0.03250549230437573,-0.004973232569587475
Cbx5,0.12861456881293937,0.025879455436486506,-0.12933336921203714,-0.0803080992979565,-0.06294272818331016
Fcgr1,0.005917666083873482,0.002965246942563285,0.0038185081254981587,0.005380308022345615,0.001079424629719644
E2f8,0.06525189982639337,-0.050045826505230075,-0.029520523348961825,-0.009928145581956042,-0.0034265715548342478
Cd69,0.4486864998847658,0.2798223006902336,-0.2414236457308921,-0.3075296592467196,-0.39472684019068877
Adam8,0.047998623119179275,0.03784253902330511,0.013212772172954917,0.02635812720654428,0.018009496084624488
Id3,0.0011684636876145727,0.0007802491719190835,0.00016455955133756617,0.0003599238361134995,0.00019629466173526244
Srebf2,0.030928540898060984,0.023852643630575994,0.011917382958407493,-0.00179502872418079,-0.012867240786034437
Bcl11a,0.00013601928001364245,5.57005121014584e-05,4.822982384273907e-05,0.0001926789491810208,0.00014028984708816904
