,Cl13_P2,Cl13_P6,Cl13_P8,Cl13_P9,Cl13_P10
Cd55,-0.01670012381345737,-0.05467800167904075,-0.054266735019395364,-0.03269126271183634,-0.050580182385589006
Foxp1,-0.06741702877755952,-0.0887325878429837,-0.08119756732792927,-0.10389233005515824,-0.11654338816170125
Hnrnpul1,0.057485818515934387,-0.015216761969482252,-0.04763037795150371,-0.03665817068735336,0.07261569062166791
Cd44,0.2268340385706814,0.20373547017431773,0.09503039172392497,0.1441702860491131,0.08153098167439349
Daxx,0.07002906279760096,0.05399880595042701,0.033186808024208335,0.028052732030441896,0.03653076356467268
Cenpk,0.0903911957868997,0.02906671841392453,0.004781828264887267,0.0016527240113949338,-0.027305924210531858
Foxm1,0.033839052252394815,0.0018583447029551059,0.017333736794195684,0.026223558490379044,0.03257754663394039
Klrd1,0.2695168184247611,-0.04002621706406958,0.07287797462126654,-0.6529985180578913,-0.11615988276176159
Tox2,0.07434504017002937,0.05690214342951888,0.01905480505730379,-0.014511200919115706,0.017318394654593172
Treml2,0.17456031852555468,0.040257526297225295,0.000922004631937613,-0.013715600274994152,0.0
Itga4,1.3233825321191535,1.2568110543944953,0.7862213086813897,1.0079552472244968,0.6874957024187991
Mybl2,0.017947730334096208,0.005657961436727887,0.0005611556780696885,-0.00178250010101066,0.02434351842666997
Klrb1c,0.06681639734804314,0.008138786514510228,-0.15154816451740663,-0.03873644155368304,-0.08808905744653876
Cd22,0.03749313220742065,0.004228850043893021,0.001819586102078995,-0.00336700765712368,0.0
Btg2,0.4881784467403611,-0.43667250882063774,-0.04981215880959419,-0.5371854929980294,-0.2636806338013995
Icos,0.34328639983091874,0.1743752143479693,0.1890580751781924,0.06760283458653434,0.2474756313385163
Mbd4,0.01966714161782575,0.003938142939317947,-0.010279268477087782,0.010687043846073975,0.0
Aurkb,0.4728536370076588,0.1706774714986575,0.3338562611142877,0.423232343199985,0.08624993896565836
Espl1,0.06833779853235426,0.006017840786940834,0.03924871886351651,0.03701784403327604,0.02897254295068477
Cbx5,0.17893368675902863,-0.09503795244655673,-0.03947488649968335,-0.09239296132057534,-0.07955189721048707
Thra,0.029138853192658378,0.028513376317248307,0.01246361466644257,0.026470102935948328,0.023981809816117236
Lgals3,0.9145480424065819,-3.4819818212207987,0.4168030413219768,-3.2204497378977583,1.1425273446652344
Hmmr,1.1280830463211475,-0.3486096878724013,0.5016254872046971,0.15136854821767853,0.0
Padi4,0.01990177417322797,0.017448089629579642,0.017234397015789358,0.017755981400150403,0.01917966684533216
Tnf,0.02652323426294025,-0.014434271964930774,-0.011230794984433435,-0.02259942738292671,0.01218814116166412
Ccr6,0.050277817964276925,0.02080328843264686,0.0142862786418846,0.005217537914230917,0.07000521687747278
Nr4a2,0.23014736583675907,0.20687515894492592,0.2198212927452036,0.12118263340351738,0.16196325418193175
Mcm7,0.3471549814880212,-0.09789579295927187,-0.1318391208749999,0.02707877798533302,0.4419820486856298
Timeless,0.07101718267744515,-0.023134026145412365,0.03854444928549925,0.00031733193532761106,0.14887016740594278
Uhrf1,0.06743773333032681,-0.11171959198383766,-0.09621185139770684,-0.058214513997698454,-0.043519185134327884
Hnrnpd,0.08991730149768347,-0.310818231414425,-0.37563526829950783,-0.38142004768305227,-0.3960975000468288
Il23r,0.017245857921332028,0.008034163842042663,0.0071255527229242025,0.022012458407219593,0.028086162957469088
Ighd,0.0288365919470107,0.002498733222385377,-0.006737609895285338,-0.0013831588207793089,0.0
Il21r,0.10327461520166814,0.06356337652914834,-0.05833292537732346,0.041932331661573605,0.05187677072598576
Tet1,0.03612599331917635,0.02870483988801875,0.0030780551677181875,0.007713057342157725,0.006019192900386661
Cd9,0.2943177743810533,0.00563999477808292,-0.1414371970941154,-0.05785985141583652,0.08711575740841931
Havcr2,0.29566989964526524,0.2978369964374132,0.17901785251149765,0.26785291019458923,0.33116734096575473
Mxd3,0.19940141846118967,0.17317752109511506,0.14902455923463662,-0.021469466119388835,0.005090046983726948
Gtf2ird1,0.01724113974071749,0.0070514960423027915,0.009599532466891918,0.010871349248600021,0.01653185053803266
E2f8,0.0679487609803418,-0.0635559834482282,0.007096366468720915,-0.023987451119241658,-0.011470807739659722
