,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Sema7a,0.31781846,0.11471588,0.26106864,0.19956383,0.21355443,0.30161273,0.16688836,0.1729934,0.15147446,0.18682829,0.26726103,0.14193046,0.26640508,0.08097936,0.25704446,0.028187213,0.18113017,0.20739573,0.0,0.15921088
Bcl11a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Il23r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ncr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ncam1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cd180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fosl1,0.030587547,0.0,0.0,0.006235597,0.0,0.0,0.023662066,0.027868656,0.0,0.014414822,0.027262814,0.0,0.0,0.0,0.0,0.013469966,0.0,0.0,0.0,0.0
Eya2,0.090373404,0.04010602,0.06929538,0.020712223,0.07529412,0.030384097,0.017198544,0.0,0.045570344,0.010477275,0.023747329,0.05412095,0.030343808,0.0,0.06929538,0.0,0.0,0.0,0.0,0.0
Trem1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plag1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ifngr2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foxp4,0.4652789,0.21877918,0.28633723,0.11969577,0.14875172,0.30683663,0.26041183,0.30942786,0.20346275,0.28999957,0.39597914,0.22997841,0.29087704,0.27087492,0.147512,0.14363407,0.16243388,0.21249858,0.2295775,0.10336498
Padi4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tet1,0.036367945,0.028534565,0.0,0.0130274715,0.02577233,0.0,0.008136539,0.0,0.014374552,0.022095662,0.0,0.0,0.0,0.031926706,0.0,0.0,0.0,0.0,0.0,0.0
Prdm5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cxcr4,0.610825,0.18783633,0.35825318,0.33891243,0.42914546,0.2585336,0.36337355,0.5319574,0.3880709,0.4427397,0.4231026,0.50033313,0.47115868,0.28772637,0.34005636,0.27469766,0.06857074,0.39027482,0.035034135,0.54747087
Stat5a,0.42160067,0.20734954,0.36098278,0.24649638,0.40204614,0.30020896,0.18797493,0.22917996,0.32641664,0.27014655,0.31634796,0.25038475,0.25750685,0.2598188,0.24620153,0.28644454,0.14136381,0.31335062,0.2389392,0.11312287
Lmo2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Csf1r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hdac9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tnfrsf1b,0.9395942,0.55277884,0.55020005,0.39754337,0.5661381,0.6987317,0.69861513,0.7655898,0.4338485,0.6849904,0.76339376,0.6271476,0.81171644,0.4212391,0.6538314,0.5298989,0.6100052,0.4094184,0.2295903,0.69516444
Pbx1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dach1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gtf2h2,0.18870977,0.084774785,0.101530224,0.18052545,0.14940815,0.09879002,0.054890126,0.08628314,0.06732117,0.07717754,0.08955285,0.09774931,0.11442864,0.0,0.05884973,0.06900879,0.099570796,0.051336132,0.048350304,0.0
Batf3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E4f1,0.07662666,0.45941547,0.14447014,0.19506347,0.45544007,0.19042936,0.11300422,0.034972258,0.3083774,0.12544113,0.10251202,0.08536072,0.10981704,0.37047616,0.11806959,0.16646205,0.3153848,0.27380547,0.246344,0.07199594
Brd1,0.7534956,1.726301,1.1838565,0.961856,1.212749,0.97576976,1.0099717,0.9338375,1.23566,1.0050067,0.7329151,0.5567125,0.9153631,1.062593,1.0619243,0.98938996,0.6430834,1.4121864,1.1612579,1.6185037
Fli1,1.0702388,2.0537953,1.9694326,0.92483056,1.5432363,0.86770123,0.95689696,0.74188256,1.1841477,0.8876338,0.97037596,1.0644968,1.0031955,1.2285193,1.125386,0.7356915,1.1352262,1.8000698,1.1345657,1.1295166
Gtf2a2,0.7352479,1.1770573,0.7828539,0.8456445,0.8952314,0.4105004,0.76936716,0.7683207,0.8249961,0.6225294,0.7771038,0.81129384,0.68725693,0.6095333,0.7845039,0.92681205,0.7038426,0.7695348,1.0161294,0.5671395
Klrb1c,0.035691146,0.6889069,0.0,0.0130274715,0.17959183,0.0,0.056783494,0.0,0.06868747,0.03563408,0.0,0.0,0.0,0.35487947,0.038038537,0.0,0.070209175,0.58460706,0.3785811,0.22881305
Ankra2,0.1851544,0.32882658,0.069488876,0.20658334,0.18779129,0.23083015,0.29620382,0.21113527,0.19710463,0.21351175,0.12312877,0.16616479,0.18365186,0.10489343,0.20109257,0.22659002,0.04751428,0.08501123,0.15995523,0.2174227
Cd28,4.491394,5.6784163,5.395418,3.4337802,5.663738,4.0189676,3.9276996,3.8340364,4.9499526,3.5068228,4.9025607,4.0174556,4.572838,4.276151,4.080185,3.951424,5.308063,4.8863106,2.7794893,5.008143
Phf2,0.19604884,0.42318892,0.35023743,0.3567393,0.3499782,0.38127849,0.23645106,0.29115674,0.2525672,0.17933366,0.24488583,0.39738917,0.19086811,0.16537148,0.35489845,0.066081144,0.22278701,0.11718041,0.111756146,0.40043697
Kdm5b,0.43760926,0.5375333,0.48263532,0.04695638,0.225157,0.41554186,0.44671232,0.24839255,0.38396597,0.23907448,0.2329335,0.41813248,0.28333685,0.32525155,0.48462832,0.059313063,0.14186642,0.43512213,0.046699323,0.06664734
Coil,0.053486068,0.1575056,0.1118329,0.09245133,0.074968085,0.055551104,0.09300587,0.062331304,0.11134933,0.13304389,0.0870997,0.0799423,0.029523516,0.11459574,0.117699966,0.08164746,0.07939385,0.114024915,0.093494326,0.13521458
Foxj2,0.19840606,0.39571223,0.1231732,0.04214433,0.18592417,0.08815234,0.124004185,0.10069218,0.1664646,0.10804714,0.16772406,0.20582774,0.15742409,0.11018892,0.18083924,0.07745494,0.093501635,0.32531765,0.10197483,0.24894288
Baz2b,0.21593633,0.38229865,0.17861564,0.07977757,0.22220209,0.072015464,0.2158106,0.164413,0.15882546,0.22814983,0.06609611,0.3398435,0.123206034,0.11127815,0.37295276,0.123888634,0.3330928,0.15825748,0.2612073,0.0
Upf1,0.3604059,0.9515612,0.41745877,0.6008206,0.4352996,0.47638127,0.4889672,0.38391137,0.661001,0.45498368,0.6566871,0.5642116,0.4629131,0.67814094,0.39721406,0.62183344,0.043920998,0.53312725,0.522995,0.2543425
Ube2b,2.95065,3.4654706,2.8381462,2.1179588,2.8114207,2.5750644,3.1823833,3.210444,3.3618166,3.076073,3.2173,3.1659055,3.177727,2.5125082,3.2520814,2.5755005,2.1907215,3.2974374,2.8718004,3.1378763
Ncoa3,0.5605016,0.82053494,0.5316537,0.22861253,0.62148917,0.50257343,0.52034396,0.6269561,0.55531913,0.49357307,0.62058043,0.4793012,0.6019926,0.21272781,0.34067622,0.2803583,0.43326998,0.597167,0.35300452,0.50877327
Prmt6,0.021287376,0.07314128,0.0,0.00482504,0.04727695,0.0,0.020923927,0.0,0.0,0.027350541,0.0,0.023588715,0.026286315,0.0,0.010180821,0.011957447,0.06196997,0.051666815,0.0,0.0
Shprh,0.1333506,0.34459388,0.18522517,0.17524412,0.3054848,0.10065785,0.190385,0.17685755,0.059237484,0.14703399,0.26461628,0.0,0.25398508,0.192278,0.063437276,0.1181905,0.21836199,0.14000809,0.19200523,0.23239757
Itgb1,6.4056325,10.731643,4.2507153,3.659679,6.0756965,3.3167431,4.965422,6.944941,5.9708786,4.762291,6.062726,1.5870085,7.3739023,7.372661,4.671488,4.8742113,5.545955,8.704007,7.6677547,6.194847
Sap30bp,0.43830445,0.5172792,0.48202312,0.41854656,0.33209696,0.33476523,0.25594923,0.31848902,0.3982427,0.26918405,0.23000443,0.4191582,0.26560518,0.37539726,0.2315854,0.29842266,0.20511135,0.37531847,0.3660274,0.17373186
Nfkb1,0.6699069,1.205381,0.7287751,0.62763,0.6951713,0.6525331,0.7682757,0.56790465,0.8225224,0.76140267,0.54087895,0.59345055,0.61219215,0.8229284,0.9233234,0.45364895,0.3604584,0.96347594,0.81250566,0.6573535
Atad2b,0.39251292,0.8127502,0.63998866,0.27206495,0.749767,0.36418062,0.33197883,0.35850543,0.5049419,0.2920362,0.38653576,0.11354328,0.47446764,0.47138262,0.4540666,0.40583315,0.3374752,0.5525297,0.46821436,0.1970376
Fasl,0.62626976,1.0669798,0.6561362,0.27969033,0.49147576,0.5382031,0.56255764,0.5088014,0.67865413,0.51909345,0.4982333,0.54452753,0.53845406,0.36260232,0.46026704,0.45122242,1.0131541,0.998463,0.8393308,0.9694593
Ly75,0.27188495,0.44183442,0.3513924,0.1564798,0.22613272,0.17968944,0.20908105,0.18509139,0.19616252,0.18868452,0.2978826,0.2620025,0.37626523,0.28497836,0.17333248,0.06800636,0.41985258,0.20931438,0.19027807,0.0
Zbtb39,0.0,0.037311014,0.0,0.0,0.0,0.0,0.0,0.0,0.024037207,0.0,0.0,0.0,0.0,0.0,0.0,0.01624638,0.0,0.0,0.0,0.0
Tsg101,0.41202644,0.85241,0.45240736,0.7230159,0.67816687,0.62247634,0.5341499,0.54844284,0.60846627,0.5062131,0.3953311,0.2820916,0.47945124,0.36116168,0.6079918,0.7159179,0.3605265,0.44395113,0.26722842,0.53074217
Deaf1,0.099207714,0.19792672,0.1871428,0.15845592,0.09495593,0.031530607,0.07890118,0.070559055,0.0299417,0.10073466,0.07105594,0.09205094,0.0907937,0.17105731,0.10835379,0.08433752,0.19335607,0.07084607,0.05458418,0.06664734
Ythdc1,1.2427471,1.8158294,1.0724723,1.2676793,1.3303376,1.0789741,1.279734,1.3619775,1.7025636,1.147772,1.5515103,1.1115264,1.6271956,0.98616767,1.3072753,1.2325804,1.2798737,1.4465141,1.0635076,1.6223251
Itga1,0.58922285,1.1317787,0.46624935,0.13240403,0.42336687,0.63139874,0.566114,0.57534313,0.6344255,0.5279135,0.7333009,0.3802921,0.6964717,0.7383229,0.43898958,0.27016148,0.21221244,0.90086037,0.32026303,0.2286359
Ddx5,10.709752,13.521568,12.989136,9.013971,11.471631,10.64555,10.946286,10.496496,11.869943,9.85939,11.159717,10.508923,10.58048,13.198749,10.552054,9.737022,12.006899,12.894118,9.874988,11.70199
Arid2,0.15705943,0.5731046,0.06757246,0.21926971,0.1966044,0.18231542,0.11831037,0.10631274,0.15628402,0.11940953,0.22537541,0.17603883,0.13412187,0.34594104,0.10316867,0.1956369,0.15532917,0.3949658,0.16735642,0.23228192
Id2,9.481167,11.709929,8.913022,5.440172,9.326438,10.115797,8.543681,8.393019,7.732348,7.9970922,10.077309,10.250267,8.01507,11.009679,8.4220495,6.680715,11.14984,7.732932,8.665914,8.943305
Ar,0.2242985,0.58053595,0.406251,0.14156891,0.49864244,0.19129261,0.28204918,0.2922966,0.28537983,0.25792614,0.31333432,0.032321416,0.30742824,0.10464992,0.4422348,0.25607547,0.15568237,0.31062046,0.30062658,0.4757325
Pou2f2,1.6944001,2.8503342,2.4010668,0.924054,2.7248907,1.3396096,1.849518,2.099843,2.2831964,1.7861781,2.4457278,1.0929977,2.7999852,2.451521,1.9465196,1.6906494,0.7582125,2.3327143,1.2588323,2.1487145
Zbtb48,0.06379078,0.14430821,0.0,0.009267467,0.08801389,0.0,0.021560665,0.025393672,0.023743162,0.013134657,0.024841636,0.0,0.03174209,0.081498876,0.038038537,0.0,0.0,0.08250603,0.0,0.0
Klra3,0.0,0.39939803,0.04993758,0.06129247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39475206,0.0,0.0,0.0,0.0,0.17157884,0.0,0.37395737,0.32350767
Mbd1,0.10571888,0.29977715,0.2848322,0.17218223,0.18905753,0.04460024,0.14552513,0.11894007,0.21320152,0.14200354,0.17724247,0.13778122,0.13557866,0.20849061,0.13989145,0.11740949,0.1346553,0.22516426,0.19323535,0.26707253
Fiz1,0.15833682,0.20270726,0.14749767,0.11579562,0.19333282,0.09932704,0.08215814,0.10352893,0.16908342,0.09720628,0.07534053,0.119583614,0.12220003,0.11630259,0.12009812,0.07893844,0.15851259,0.0,0.048835643,0.0
Lef1,1.0147396,1.7653682,1.3392264,1.0210814,1.0105888,0.48788708,0.7186165,1.0595404,0.9209761,1.0324794,0.9719672,0.8769153,1.0445082,1.7052828,1.0802963,1.2094277,0.9011729,1.44411,0.45200107,1.0838612
Rest,0.7803813,1.0548573,0.77547145,0.53694177,0.6081344,0.9369799,0.8307701,0.9332439,0.7547168,0.73834753,0.6879594,0.51030815,0.7965665,1.0098346,0.9940496,0.45170894,0.33160624,0.58689797,0.7340795,1.0453236
Hivep2,0.6911668,0.86862564,0.3456485,0.31107953,0.4735694,0.6470996,0.6705382,0.6374564,0.6510473,0.5821715,0.54266995,0.6493187,0.5588098,0.45428643,0.4067141,0.49065676,0.5028909,0.4313864,0.31153592,0.63099295
Trip11,0.98583657,1.5932457,0.9715066,0.8029365,0.94928366,0.8315287,1.0554967,0.82410294,1.3696253,0.91180015,0.8072336,0.90015805,0.7946704,1.2646996,0.85950065,0.5684966,0.4859872,1.3044678,0.8912575,1.0050851
Crtam,0.4624794,0.9860426,0.4084264,0.2283717,0.4446184,0.38703847,0.39710587,0.76499426,0.69953126,0.4165391,0.6389603,0.1948984,0.448819,0.97750145,0.5587182,0.60451156,0.7506283,0.41232115,0.48695546,0.24045321
