,Cl13_P2,Cl13_P7,Cl13_P9,Cl13_P10
Trem1,0.0059462064,0.0003381783,0.0,0.0
Tlr2,0.004770963,0.00027133877,0.0,0.0
Klra8,0.0,0.0,0.0,0.0
Klra4,0.0,0.0,0.0,0.0
Cd36,0.037499946,0.0021327327,0.0,0.0
H2-Eb1,0.074624605,0.010707724,0.022965837,0.0
Ncr1,0.0,0.0,0.0,0.0
C5ar1,0.013199211,0.00022943948,0.0,0.122582085
Cxcr2,0.008277631,0.0002869645,0.0,0.040860694
Lmo4,0.02391968,0.015009474,0.004430419,0.0
Ifngr2,0.008017343,0.0022542786,0.0,0.0
Pbx1,0.075620756,0.023487888,0.0,0.3677462
Klrb1c,0.0008506212,0.0001848401,0.0023794023,0.0
Mef2c,0.0989362,0.046098433,0.08479577,0.0
Hmgb3,0.027159357,0.014370869,0.0100355195,0.04008269
Cd48,0.5013585,0.31874785,0.3388482,0.6473427
Creb1,1.0662414,0.8088911,0.7831144,1.0812017
Zfp213,0.07337129,0.05205757,0.050259985,0.20337906
Ggt1,0.032306828,0.010451004,0.052405898,0.0
Pirb,0.007159818,0.00057287473,0.0,0.0
Cd244a,0.047134005,0.018371208,0.02497014,0.043416906
Cd68,0.0083243335,0.0032731656,0.009224476,0.0
Trp73,0.033098817,0.005380728,0.017406799,0.06021576
Patz1,0.116979346,0.07139874,0.04570329,0.10457337
Pcgf6,0.09103164,0.059348945,0.045526184,0.0
Mphosph8,0.31114775,0.21184067,0.17557514,0.12013205
Ankrd10,0.47568697,0.3460652,0.33456826,0.48885816
Fos,0.040710587,0.017319625,0.028827462,0.0
Maml3,0.12611076,0.04026793,0.022951731,0.037351716
Hnrnpk,0.25551066,0.20576188,0.16167454,0.047014866
Trgv2,0.0060823704,0.002566815,0.0014081536,0.0
Elf2,0.6631734,0.4891558,0.55066377,0.6526326
Tnf,0.16372602,0.09185903,0.12159346,0.030723045
Elf4,1.337681,0.98405004,1.253409,1.6625924
Treml2,0.019104889,0.011259184,0.0013651776,0.0
Bmpr1a,0.07755763,0.030049872,0.06353457,0.09164749
Cd74,0.84126395,0.18253794,0.20765203,0.0
Fcgr1,0.012256069,0.0010736495,0.0020243982,0.0
Nr3c1,0.8091833,0.54294115,0.7199232,0.7821816
Ctnnbl1,0.3708022,0.28001732,0.3090155,0.5127946
Prmt3,0.29031122,0.20099942,0.10430281,0.11628477
Igf1r,0.08323486,0.030951994,0.004183351,0.20430346
Klf8,0.22028929,0.15638743,0.1303624,0.40103647
Nfxl1,0.07682653,0.039027274,0.019812485,0.037358914
Brd1,0.39704674,0.27773735,0.31817728,0.32217294
Prdm5,0.0883993,0.054369327,0.0035303547,0.0
Aatf,0.8215294,0.68428797,0.44483703,0.48375374
Baz1a,2.3211153,1.895494,1.9425603,2.402966
Pms1,0.32821676,0.20781206,0.16855937,0.13813795
Zdhhc2,0.6965089,0.43672663,0.35619873,0.32740012
Papola,1.0395122,0.8169762,0.6806949,0.9062799
Rpa3,0.045074802,0.018339233,0.015926376,0.044125114
Rad51,0.5979575,0.12743278,0.12654428,0.0
Smarca4,0.6724209,0.5983199,0.5641088,0.5440861
E2f3,0.9663679,0.40185082,0.2806661,0.21341442
Gtf2f2,1.4640136,0.94653267,0.92886674,0.8357792
Taf3,0.97878146,0.49648097,0.5099441,0.27872723
Foxk2,0.35377362,0.22218087,0.19849461,0.1083591
Pbx3,0.6833711,0.35212687,0.3742257,0.3974264
Cnbp,0.6533938,0.4802235,0.47897416,0.41364628
Atm,0.6068314,0.44147277,0.29035902,0.23363225
Xrcc6,0.18836172,0.09026776,0.09284042,0.042777576
Gtf2h2,0.35097265,0.18096706,0.11634207,0.14765842
Pa2g4,0.22413568,0.10307166,0.08487495,0.0410901
