,AllAct_P2,AllAct_P4,AllAct_P9,AllAct_P10
Foxp1,-0.06597780598235717,-0.0673196044178275,-0.1196474932970736,-0.12377473383408526
Nap1l1,-0.13316587684581363,-0.6183215509476745,-0.329235798504991,-0.34885337172836534
Dnajc2,-0.038120111427289965,-0.08137426028606166,-0.24145297288077308,-0.28284742713429134
Ctcf,0.04404855394814651,0.01765440353424657,-0.04417656607057051,-0.05315321290283466
Jaml,0.11690372725524717,0.12096585896533665,-0.07906469035995604,0.082833239492235
Tnfrsf4,0.1659474345026695,0.15332482087734928,0.014833043537472035,0.016315061036400312
Nr4a2,0.23132264897529736,0.1976597401963156,0.1304364625292995,0.17931949620767565
Polr2f,0.026736687414650368,-0.06973359181789286,-0.1613122180479633,-0.15089697582093783
Spn,0.11402537353229535,0.09240187248923469,0.0009641551839125672,0.02599715729356278
Id2,0.9799053319826806,0.9257064302449438,-0.30043397177617964,-0.42665299344063323
Parp1,0.01266813751711658,-0.00975022301685353,-0.03700394738586581,-0.07542449405541901
Itga4,1.281207142160138,1.1780003588202823,0.5914671302797698,0.4128323799689256
E2f8,0.0655350222607047,-0.10402922900496338,-0.010140450531344583,-0.003443418122760585
Taf15,0.08377158150592909,0.06492769978221705,-0.06679378039007954,-0.05500436996377902
Rbbp4,0.12448208009808923,0.06062564508904213,-0.12995682707287562,-0.024581086707358486
Rbl1,0.06794594935302321,0.03674824816071695,-0.05184027576276458,-0.05150098013786988
Baz1b,0.10339174262876406,-0.05204416656141927,-0.11549975548422384,-0.17007081914278732
Icos,0.3330835385874772,0.2952691503927281,-0.053873861396148054,0.24091576795581535
Lair1,0.05194180191333812,0.027776662305573727,-0.005669717293560099,-0.02283471342471716
S1pr1,0.3312142022316905,0.3015158226940006,-0.3391202388366452,-0.36903000266272257
Paxip1,0.012838874667120227,-0.010561311894889368,-0.03654317609128909,-0.05038700216831789
Itgb2,0.4291328288825613,0.019330679112157575,-0.3160698819676915,0.15399337931743326
Trbc1,1.5082980213639228,1.395065692894654,0.8294427855584148,1.286072372328817
Tnfrsf9,0.221752952404364,0.24357971016763671,0.14225059408336982,0.09480602756612236
Hnrnpul1,0.06150231487075534,0.04787373473006645,0.021653090391430534,0.03240043031297157
Rarg,0.01898345390382784,-0.0008825346378942061,-0.014465502979373376,-0.022323824381894588
Ddx5,0.9687138302197649,0.6061104930716641,0.30210465945879666,0.35938144435508207
Igf1r,0.030331501845675273,0.016325130046494066,0.019813561493008797,0.008893484585278768
Ruvbl2,-0.0010866064011893536,-0.014251114813127871,-0.014903609759979747,-0.020959272006784137
Uhrf1,0.0792363570935545,-0.19587477545823936,-0.03474317464211179,-0.010826825555466319
Srebf2,0.03100753258484054,0.029743154526986806,-0.0015388821240885872,-0.012869890281700123
Ms4a1,0.006058663457749042,0.0055510267060688,0.0008600044910826627,0.00011622828114924062
Ncam1,0.0027664105847214084,0.0006823323060597211,0.0015748983047501,0.0005056686406680843
Tcf7,0.4429012135853305,0.17637686180768866,0.046869793651345824,-0.0442398196414915
Zbtb10,0.036602913775855145,0.025313211207286527,0.030682726413841083,0.006210220417108333
Kntc1,0.042580150572052826,0.007323384105807023,0.018660607261788902,0.019268525517649775
Tox2,0.060624237125395046,0.0180553224067608,0.013868092723626692,0.03759886153409064
Mxd3,0.016404027625784304,-0.36682285978645046,0.03693491557163791,-0.0039487171586800075
Crtam,0.11172675426762864,0.11193972279028115,-0.13196364552595982,-0.13175666324562288
