,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.3494138,-0.33505868911743164,False,,,,,,,,,,,,,,,
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.8998061,-0.035297274589538574,False,,,,,,,,,,,,,,,
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.63068926,-0.4829000234603882,False,,,,,,,,,,,,,,,
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.28067133,-0.7901506423950195,False,,,,,,,,,,,,,,,
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.2742342,-1.977405309677124,False,,,,,,,,,,,,,,,
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,6.1106586,-10.086984634399414,False,,,,,,,,,,,,,,,
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.2805966,-0.5151925086975098,False,,,,,,,,,,,,,,,
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,0.92648464,-0.6401702165603638,False,,,,,,,,,,,,,,,
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.0025965674,-4.544254302978516,False,,,,,,,,,,,,,,,
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,6.6222544,-10.227259635925293,False,,,,,,,,,,,,,,,
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.04563117,-0.80222487449646,False,,,,,,,,,,,,,,,
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.065361656,0.5173002779483795,True,1.0000547059224592,3.544766018741987,0.23246955165581626,17.190101466426746,0.07008997996648153,0.06944125145673752,1.0237691402435303,0.28409732900895684,0.0,0.0,0.4847119840704509,0.2190063521009754,3.962727157013684,0.6182916245918673,3.9192589707888486
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.68235755,-0.6262722015380859,False,,,,,,,,,,,,,,,
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,81.80795,-0.5172696113586426,False,,,,,,,,,,,,,,,
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.33196804,-0.4455735683441162,False,,,,,,,,,,,,,,,
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.5114256,-1.7984161376953125,False,,,,,,,,,,,,,,,
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.072281,-3.853362560272217,False,,,,,,,,,,,,,,,
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,0.9829134,-1.5843093395233154,False,,,,,,,,,,,,,,,
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,2.7855368,0.2230238914489746,True,0.05840643837165526,0.03671273086379123,0.16652804829443046,8.86262449361946,9.552536392211913,0.4551917612552643,0.06421026587486267,0.17771309471616875,0.0,0.0,0.45194034130288474,2.1039288271299013,0.19085868719387156,1.0441438468894804,3.6593511257406752
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.26577142,-0.25632786750793457,False,,,,,,,,,,,,,,,
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0267,0.7563078,-0.7274624109268188,False,,,,,,,,,,,,,,,
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0581,0.7417477,-0.6700716018676758,False,,,,,,,,,,,,,,,
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.0226,1.175077,-2.12695574760437,False,,,,,,,,,,,,,,,
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.1125,0.84541845,-0.5129576921463013,False,,,,,,,,,,,,,,,
Kansl3,ENSMUSG00000010453,1,36369181,36335730,-,-0.0571,0.48944816,-0.7532199621200562,False,,,,,,,,,,,,,,,
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,0.0154,0.27394217,-0.5194140672683716,False,,,,,,,,,,,,,,,
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0504,3.852207,-0.9916478395462036,False,,,,,,,,,,,,,,,
Coa5,ENSMUSG00000026112,1,37430103,37417084,-,0.024,0.01953128,-0.872572660446167,False,,,,,,,,,,,,,,,
Mgat4a,ENSMUSG00000026110,1,37541016,37439340,-,-0.0577,0.85439545,0.055217862129211426,True,0.03831003739905668,0.051908293804267196,0.062109134066214225,27.067465639283853,3.901141991615295,0.27933913469314575,0.10901778191328049,0.337956421485745,0.0,0.0,0.10728025092270055,0.6575773473812234,0.27463320687670134,0.49355276047358015,7.42895274262506
Tsga10,ENSMUSG00000060771,1,37866429,37754776,-,0.0033,1.464138,-0.8595361709594727,False,,,,,,,,,,,,,,,
Mitd1,ENSMUSG00000026088,1,37890411,37874801,-,0.0064,1.2196275,-0.9219745397567749,False,,,,,,,,,,,,,,,
Txndc9,ENSMUSG00000058407,1,37997893,37985189,-,0.0627,0.055876724,-1.387580394744873,False,,,,,,,,,,,,,,,
Rev1,ENSMUSG00000026082,1,38129801,38052786,-,-0.0317,1.6354603,-1.450636863708496,False,,,,,,,,,,,,,,,
Aff3,ENSMUSG00000037138,1,38664955,38177326,-,-0.0878,8.071351,0.35787808895111084,True,0.07148296370793662,0.006224864705790611,0.07418996636223794,28.034563689605456,30.380760383605956,3.7175703048706055,0.189667209982872,0.6363565265610374,0.0,0.0,0.1612531732495756,10.40886475406473,0.4684729781483525,0.1394721193991528,8.196022502083895
Rnf149,ENSMUSG00000048234,1,39577405,39551296,-,-0.0074,0.535802,-0.5849807262420654,False,,,,,,,,,,,,,,,
Tgfbrap1,ENSMUSG00000070939,1,43098637,43047200,-,-0.0302,0.4317967,-0.6817364692687988,False,,,,,,,,,,,,,,,
Fhl2,ENSMUSG00000008136,1,43196984,43123074,-,0.1746,0.34346586,0.5103828012943268,True,0.1291807638528554,0.6009157310765935,0.21713122930332138,18.226537355439667,0.5112523972988129,0.08046171069145203,0.20197303593158722,0.29339976888301383,0.0,0.0,0.27410964205479527,0.19764808550072982,0.4096679864290716,0.5179277873168313,4.1772507338396165
Uxs1,ENSMUSG00000057363,1,43827800,43746966,-,0.0153,1.7053429,-1.3358361721038818,False,,,,,,,,,,,,,,,
Tex30,ENSMUSG00000026049,1,44102441,44086613,-,0.196,0.22770602,-2.196218729019165,False,,,,,,,,,,,,,,,
Poglut2,ENSMUSG00000026047,1,44118808,44106546,-,0.0253,0.49266857,-0.5107671022415161,False,,,,,,,,,,,,,,,
Slc39a10,ENSMUSG00000025986,1,46892852,46807544,-,-0.005,0.7352291,-0.3634774684906006,False,,,,,,,,,,,,,,,
Nabp1,ENSMUSG00000026107,1,51478425,51465862,-,-0.0297,2.4521387,0.42740970849990845,True,0.061006407521049376,0.02903613127189993,0.08765776239393944,22.002449725899556,5.451326370239258,0.6682752370834351,0.14302104711532593,0.3572708532696899,0.0,0.0,0.2607716939105043,1.7962250846217325,0.35581697562131387,0.42712984775692386,7.554917390351888
Gls,ENSMUSG00000026103,1,52233232,52163448,-,-0.0127,4.394987,-3.9278931617736816,False,,,,,,,,,,,,,,,
Nab1,ENSMUSG00000002881,1,52500679,52457294,-,0.0824,0.6081176,0.6247212886810303,True,0.5509345114350617,0.379460914563892,0.22033408789271705,19.678708528177726,0.28922037184238436,0.36755454540252686,0.5718806982040405,0.4715171618940461,0.0,0.0,0.4378439590963665,1.2410291148581034,1.820008391321733,0.2547194870859692,4.100308981787825
Mfsd6,ENSMUSG00000041439,1,52727462,52656286,-,-0.0384,1.1026384,-1.4073436260223389,False,,,,,,,,,,,,,,,
Inpp1,ENSMUSG00000026102,1,52817688,52785427,-,-0.0939,0.31520143,-1.0649898052215576,False,,,,,,,,,,,,,,,
Pms1,ENSMUSG00000026098,1,53297018,53189187,-,0.0396,1.8886482,-1.111727237701416,False,,,,,,,,,,,,,,,
Stk17b,ENSMUSG00000026094,1,53785224,53755506,-,-0.2109,0.597584,-0.6820000410079956,False,,,,,,,,,,,,,,,
Gtf3c3,ENSMUSG00000041303,1,54438971,54396004,-,-0.0092,0.7953964,-1.037585735321045,False,,,,,,,,,,,,,,,
Pgap1,ENSMUSG00000073678,1,54557684,54472994,-,-0.0425,1.2722515,-0.7089674472808838,False,,,,,,,,,,,,,,,
Ankrd44,ENSMUSG00000052331,1,54926387,54645340,-,-0.0925,8.651776,-2.1007962226867676,False,,,,,,,,,,,,,,,
Sf3b1,ENSMUSG00000025982,1,55027481,54985169,-,0.1117,0.3536533,-0.6766085624694824,False,,,,,,,,,,,,,,,
Hspd1,ENSMUSG00000025980,1,55088243,55077835,-,0.5211,0.04593191,-0.22801733016967773,False,,,,,,,,,,,,,,,
Rftn2,ENSMUSG00000025978,1,55226782,55170159,-,-0.0045,1.4892513,-0.5301388502120972,False,,,,,,,,,,,,,,,
Boll,ENSMUSG00000025977,1,55363469,55248658,-,-0.0115,3.977043,-1.4373500347137451,False,,,,,,,,,,,,,,,
Tyw5,ENSMUSG00000048495,1,57407101,57388237,-,0.0324,0.8139047,-0.4882333278656006,False,,,,,,,,,,,,,,,
Kctd18,ENSMUSG00000054770,1,58018956,57955101,-,-0.017,0.83857006,-0.9539684057235718,False,,,,,,,,,,,,,,,
Clk1,ENSMUSG00000026034,1,58424066,58410189,-,-0.1856,1.1146435,-2.559410810470581,False,,,,,,,,,,,,,,,
Ppil3,ENSMUSG00000026035,1,58445486,58430994,-,0.0518,0.33383402,-0.8746347427368164,False,,,,,,,,,,,,,,,
Orc2,ENSMUSG00000026037,1,58505109,58462771,-,0.0982,1.4698193,-0.797911524772644,False,,,,,,,,,,,,,,,
