X_draw_graph_fa1,X_draw_graph_fa2
-2328.495373,-1618.633695
891.5632475,-2331.179075
3815.951498,4096.746949
-1958.369488,-2533.513824
2324.236272,4522.29277
-951.7315069,-263.2925232
1710.206589,-124.2566512
-1209.841277,-3246.208108
2147.865444,5016.806368
-1441.81144,-3422.515264
1743.484484,4518.978356
2465.294521,2058.217299
-1515.024927,-3364.207921
-1223.28968,-2885.581777
-4064.151005,-2872.077606
-1817.849002,-1731.279111
1418.222655,4628.199842
-3021.573682,-2454.017609
-3717.712646,-2610.282162
2690.258514,540.7643065
2856.054522,4679.270094
-2456.581882,-1910.65243
-1409.418188,-2714.67437
-1638.115284,-2464.785525
-970.6259842,-2123.483346
-3011.578216,-3097.808494
3446.792323,1300.65134
-1173.348591,-1683.641967
-950.3152003,-2365.834446
7.360238801,-2212.03512
3584.453245,1205.756162
1549.124688,4815.376423
1635.835525,3525.384494
687.9627161,2341.067741
-2262.879121,-1832.345635
-2479.56354,-3229.966293
-2348.008328,-1834.673983
-3815.574505,-2776.583107
3791.134661,1338.152364
639.2881823,-2582.16085
3115.009505,1426.293193
1390.298953,4416.331506
1742.73059,5176.240922
215.6205167,460.9582767
-1079.928447,-1484.203867
1251.725532,-509.6369144
1936.9356,3074.394183
326.5853489,-1797.17507
41.04978258,-2124.522859
1480.451529,-246.789988
-556.550568,-1886.67017
1813.890579,-54.78636579
3568.712793,1466.469774
-505.6786215,-2207.782207
-588.8775392,-2451.60262
2508.572243,2478.916474
1801.732948,3877.796824
2659.885121,4368.404808
-3054.271792,-2832.793925
-1749.245119,-2327.32648
-1441.255318,-1682.085173
2231.574207,2796.096813
-1136.943437,-1652.053795
1969.672532,3818.130124
3025.638654,4617.147523
1239.800817,2935.743133
-2019.644797,-2323.191514
2453.718166,1356.261928
2424.935213,4138.752282
-529.1032529,-2361.900813
-3802.92493,-2621.138635
-1805.418559,-3587.951008
-1342.13488,-2588.557535
-1581.17422,-2752.346122
609.7185051,-2343.064679
2988.937051,1221.776713
1498.330442,3098.466135
3769.193011,1023.53668
2737.031926,5732.120787
-2515.289276,-1913.600469
3932.213726,4192.361047
-3105.739347,-2831.877459
2360.102781,5119.827892
3000.928636,4197.000426
-1994.773356,-1070.616677
800.1396847,-2330.485831
-1142.294968,-660.7096762
2600.083843,5023.538884
-1009.109049,-1751.69762
2703.857238,4333.194418
1800.293586,2218.914525
60.85695152,-2018.137746
2419.240471,1482.495212
-1603.059046,-2066.282481
-2983.824896,-2753.503264
2594.332254,3105.280149
1810.023,20.04143256
1539.178646,4269.488323
-1316.574717,-1621.157489
388.55763,-2715.792224
-3213.894752,-2540.578167
2039.392487,2856.623347
