X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_pca21,X_pca22,X_pca23,X_pca24,X_pca25,X_pca26,X_pca27,X_pca28,X_pca29,X_pca30,X_pca31,X_pca32,X_pca33,X_pca34,X_pca35,X_pca36,X_pca37,X_pca38,X_pca39,X_pca40,X_pca41,X_pca42,X_pca43,X_pca44,X_pca45,X_pca46,X_pca47,X_pca48,X_pca49,X_pca50,X_draw_graph_fa1,X_draw_graph_fa2,X_diffmap1,X_diffmap2,X_diffmap3,X_diffmap4,X_diffmap5,X_diffmap6,X_diffmap7,X_diffmap8,X_diffmap9,X_diffmap10,X_diffmap11,X_diffmap12,X_diffmap13,X_diffmap14,X_diffmap15
-7.6074934,1.8661921,-2.3296242,0.23575696,5.365091,3.6487198,2.7290578,-0.37730455,2.5905416,-0.21312565,1.2080022,-0.1917323,-1.9858851,1.4001948,-1.2812749,0.23545697,-0.85294735,1.4068676,-0.7465224,2.8440049,-0.01190721,1.2969741,2.539556,-0.2408846,1.4389588,0.008438295,0.3481255,0.16794935,0.36601722,-0.4571756,-0.902405,-1.6450366,2.635634,2.6498652,0.14226867,-0.82721287,1.2798514,-1.1524403,-0.27975526,-0.67591304,-0.029960629,-0.07514453,1.9285568,-0.30437145,-0.8893619,2.3817837,0.9017405,1.1486735,0.9646327,1.2397345,-2328.495373237578,-1618.6336950248885,-0.025520137,-0.020579992,0.0048078015,0.012280392,0.0016659623,0.0082275905,-0.0275564,-0.0016233175,-0.0040218313,-0.0033503878,0.006537237,-0.008605441,0.0031143408,0.013768206,0.00021735729
-0.3344981,-4.245981,17.57697,-12.990875,-4.0198994,2.2424173,0.5505384,-3.3935018,-4.3334374,-5.4798317,-0.052198097,0.5866715,-8.036522,-4.2242503,8.790493,-3.2758296,1.8148398,-3.909168,-6.9947424,15.986512,-2.9953566,-26.679146,4.1516476,29.119267,-15.790539,-19.762356,12.727958,-6.3750243,-11.098649,3.9492314,26.351969,18.056097,14.12771,5.686441,-4.2057247,-1.6672828,7.199934,-5.5884047,-2.5099852,-4.505466,3.9541712,-5.0268283,-7.402225,14.1470995,-0.6558129,2.59179,3.5594718,-4.60857,-10.301108,-4.5189586,891.5632474891459,-2331.1790750885148,-0.027258448,-0.02088904,0.0011862613,-0.014097736,-0.01237148,-0.01119211,0.07722572,-0.015656464,-0.020064548,-0.08989895,0.05058432,0.0045812465,-0.0021369206,-0.01951974,0.03608971
18.444427,8.960821,8.114064,13.24736,3.5017607,33.33892,-14.271354,-0.7441108,-1.4682963,-1.633484,6.9848285,3.640646,6.940829,-2.2980373,5.5004296,4.2419324,-3.7422466,4.50955,3.324982,4.520358,3.173011,-12.352097,-15.572987,0.11264025,7.3521338,1.1253175,-2.8478916,-0.73253506,-4.9025345,6.8070083,-6.9104867,-7.212034,10.857394,-5.506573,3.9033322,3.6998427,-2.452901,-6.998706,7.973169,-3.1186767,-0.56072295,0.55091625,0.54064596,11.364391,-9.96531,-6.112468,-3.3014925,-2.2019806,3.344589,5.2856617,3815.951498415301,4096.746949021958,-0.025512692,0.025490154,0.051902264,-0.0036114594,-0.19548309,-0.13976161,-0.043359134,0.107161835,-0.050669752,0.0051365276,0.0034173673,-0.0039279503,0.014323226,0.0011030821,0.0003823142
-9.214952,-0.11236531,0.15830669,-0.7080276,1.7129072,0.7011904,0.9797907,-0.73200864,-1.6979018,-0.1782844,-0.38739598,-1.0053524,1.3598747,-0.6395891,-1.1195333,-0.888677,1.6818433,1.7630049,0.8972403,-0.7515019,-0.3711697,0.8469378,-0.2961179,-0.6186549,-0.25410703,0.8570712,-1.3252704,-3.7749574,-0.110917866,-0.2711474,-0.330996,1.1469634,2.8634527,0.94247866,0.08490811,0.18528627,0.6789381,2.6641943,-1.100496,-0.918838,1.9072915,-0.8218375,0.0703373,2.606721,-2.0021265,2.7387152,-1.8251066,0.46297216,-1.3407931,2.2902937,-1958.3694881374795,-2533.5138242747366,-0.023842776,-0.022394134,-0.0007881446,-0.0011347834,0.0010360152,0.0018118805,-0.0072662462,0.002655853,0.0037925693,0.004043374,0.0054316735,-0.00043642492,-0.0046739834,0.028910913,-0.033585288
10.411855,5.9921455,-2.592705,-1.8052025,1.7400887,-2.204333,2.900691,-2.648034,-0.394997,-0.23652868,0.47164264,0.520649,3.3735676,-0.42166206,-0.3777648,1.2648101,-0.48593423,-1.4398485,-1.3967407,-1.6027424,1.5489097,3.761881,-2.2588418,0.34824824,0.45977923,0.08991942,0.8563869,-0.3920351,0.22137189,-1.2707255,-0.10076681,2.282784,0.85952014,0.41187152,-2.2277699,2.0718772,-0.10210802,0.50466156,2.3613164,1.5186323,-0.07886014,-0.7557234,-1.777706,-0.7836571,-1.0232077,2.116063,-1.6857784,0.06719893,-1.2323872,2.7023547,2324.2362715090876,4522.29277008229,-0.02294813,0.026666442,0.026487032,-0.002770098,0.0005662987,0.011680788,0.0021729274,-0.0089390995,-0.0033326508,-0.0065987376,-0.026341785,0.027275521,-0.05266612,0.009151049,0.004256192
-20.507719,-0.4495501,4.2976456,-1.8163896,3.200562,2.6026154,-2.2328327,-0.04116879,-3.0352914,0.34257644,0.870665,0.68636316,0.11271422,1.883398,1.3690461,-1.1423229,1.6556987,0.47866428,1.8347899,1.218759,-0.1397404,1.952153,-1.1580306,-0.24653654,-1.488321,-0.20173606,0.6579778,2.516228,0.53975934,-1.0478762,-0.2187547,0.6066358,-1.0167129,0.17739949,-1.2765081,-0.061794598,-1.2442455,1.0532529,0.27069408,-0.40655488,0.51111823,-1.2316163,-0.09888788,-0.09441053,-0.3627489,-0.8871995,-0.5206873,-0.39302754,0.32732257,0.55929154,-951.731506875632,-263.29252321471756,-0.025761958,-0.012109295,-0.002811964,0.03205435,0.002590211,0.0218542,-0.008829155,0.055163622,0.050073154,0.024704102,0.1030388,-0.00018824142,-0.06998019,0.08194075,0.030577278
0.37625846,-8.751503,1.9039459,-0.32210064,3.3376482,0.4730418,1.4694579,0.50272524,3.5544424,0.27120885,0.46391222,-0.9296995,1.2497203,0.6349686,0.23764372,0.60813665,1.4065562,0.35683066,0.9146543,0.3096027,-1.1366965,0.91879445,-0.9803722,0.18186182,1.2274139,0.5241679,0.4873648,0.9574471,0.15673172,0.7259365,-0.07810691,-0.6701689,-0.9876416,1.8268975,0.4244537,0.13557711,0.04044231,1.6274009,-0.5442704,-1.0621673,-0.121207744,-0.25599155,-1.4918845,-0.86412007,-0.64269674,-0.03841157,-0.9582817,-0.24773023,0.123099685,-0.4157614,1710.2065891958555,-124.25665118309408,-0.024557935,0.010530348,-0.042248465,0.018794576,-0.021152802,0.015145771,0.010387748,0.025059897,0.054253988,-0.028927945,-0.03908435,-0.04186622,-0.0074988944,-0.033578463,-0.013288266
-6.3394866,-1.6559118,-1.7135986,-0.24863769,2.4962585,-2.371488,-0.22400106,-0.6033235,-0.17086312,2.852792,-2.1613376,-0.012924311,2.9581516,-2.575898,-1.0798696,1.7362279,-1.773354,1.7317843,-0.8882759,-1.1561852,0.23324706,2.1686878,1.1880337,2.7275822,2.5487106,3.0169497,-0.5280696,1.8397378,0.6979739,1.6367903,3.2944179,-2.0883043,0.5973898,-0.7483228,1.8413806,1.3813554,1.862565,-0.3851445,-0.20100334,-3.3919175,1.5821631,-0.8891495,1.9696605,2.4000878,-1.0632737,4.38565,2.635003,-1.1209117,-2.1108663,2.3831758,-1209.8412771928638,-3246.208107904936,-0.022402149,-0.02237721,-0.0009640299,-0.0070174187,-0.001279102,-0.0027379415,0.011626425,-0.0032875799,-0.0018893022,0.012390317,-0.012299614,-0.0018505151,0.004963148,0.020585492,-0.034597993
11.734356,7.3539486,-1.5078495,-1.5510418,2.6259782,-3.4743178,-1.7937723,-2.7459185,-2.9055455,0.31903356,0.28102645,-0.6409407,-2.2820432,0.33332562,-1.5410193,0.3710049,-0.34281677,1.6555091,0.6674039,-0.30678815,0.45288524,0.036189206,-0.009688826,1.578352,0.6620231,0.08716787,-2.945765,-1.4180957,-0.25646242,2.1984298,-1.4342539,0.39297336,0.21379158,1.7754583,2.4484606,-1.1311998,-0.5202418,1.2504103,-3.0126073,-1.7784793,-0.82960856,0.5402272,-0.36676326,0.738712,-0.9160338,-0.43212342,0.28257966,-0.11302154,0.30680263,-0.33738443,2147.865444137043,5016.806368168899,-0.024523893,0.032196462,0.02658839,-0.029896596,-0.003186165,0.021853957,-0.001205796,-0.010993902,0.0026910435,0.0026684918,-0.0055452213,0.00477916,-0.031703614,0.006844636,0.0032540096
-5.6661105,-1.9196568,-1.0627285,-0.5347951,0.15580334,-0.33967748,1.8192546,0.12991911,-1.9474784,0.8332105,-2.0018969,0.72842073,2.061572,-3.3594017,-0.79906476,-0.9803534,-0.9219452,2.7937777,0.72601706,-0.6798541,2.0718613,-1.4923342,-2.4172406,-0.88854605,-1.4738506,0.9500956,-2.9942365,2.5774014,-1.9990788,0.6179965,-2.1772718,-1.7656933,1.7664077,0.84570086,1.761729,1.323438,-0.70592,1.6168215,1.0474381,-1.2155687,-1.9893413,0.5385488,-1.6172634,-0.11819723,-0.54134834,-0.22123422,0.9248599,1.9009137,0.76219916,-1.0194014,-1441.811440262605,-3422.515264070877,-0.023957375,-0.024251167,-0.0008285421,-0.0077713267,-0.0015408121,-0.0021129635,0.0031484822,-0.006672435,-0.0039317403,-0.007084389,-0.006366631,-0.0016793978,0.0062101088,0.037144754,-0.069662325
