wilcoxon,t-test,t-test_overestim_var
Ltb,Tcf7,Tcf7
Tcf7,Ltb,Ltb
Ifi27l2a,Ifi27l2a,Ifi27l2a
Gm8369,Cd52,Gm8369
Cd52,Ms4a4b,Cd52
mt-Co1,Ms4a6b,Gimap6
B2m,Gm8369,B2m
Gimap6,B2m,mt-Co1
Ms4a6b,Gimap6,Ms4a6b
Ms4a4b,mt-Co1,Tmsb10
Tmsb10,Cd3d,Btg1
Limd2,Limd2,Limd2
Cd3d,Btg1,Cd3d
Btg1,Gmfg,Ptprc
Cd3g,Tmsb10,Pdcd4
Ptprc,Ptprc,Ms4a4b
Pdcd4,H2-K1,Gmfg
Gmfg,Srgn,H2-K1
Srgn,Cd3g,Shisa5
Emb,Pdcd4,Srgn
mt-Atp6,mt-Atp6,Utrn
Sept1,Shisa5,Map4k4
Shisa5,Traf1,Cd3g
Mbnl1,Sept1,Traf1
Traf1,Pnrc1,Pnrc1
H2-K1,Cd3e,Evl
Pnrc1,Mbnl1,mt-Atp6
Map4k4,Tspo,Sept1
Cd3e,Laptm5,Laptm5
Utrn,Utrn,Mbnl1
Laptm5,Akap13,Akap13
Slfn2,Evl,Emb
Akap13,Emb,Slfn2
Saraf,Slfn2,Tnfaip3
Fau,Ptpn18,Cd3e
Tnfaip3,Tnfaip3,Saraf
Tspo,Fyn,Acp5
Ifi203,Map4k4,Fyn
Evl,Trbc2,Ifi203
Ptpn18,H2-D1,Tspo
Jak1,Saraf,Gpr183
Acp5,Epsti1,Jak1
Fyn,Ets1,Epsti1
Hcst,Ifi203,Hcst
Cox7a2l,Jak1,Ets1
H2-D1,Hcst,H2-D1
Il2rg,mt-Co3,Cox7a2l
Rpl39,Fau,Trbc2
Rps27,Acp5,Arl5c
Ets1,Ighm,Asap1
Serf2,Cox7a2l,Ptpn18
Trbc2,Skap1,Ighm
Gimap3,Junb,Klrd1
Epsti1,Cd28,mt-Co3
H2-T23,Serf2,Slamf6
Rps24,Klrd1,Junb
mt-Co3,Gpr183,Fau
Pfdn5,Gimap4,Gimap3
Cd28,Rac2,H2-T23
Gpr183,H2-T23,Cd28
Arhgdib,Gimap3,Rac2
Klrd1,Ly6e,Il2rg
Slamf6,Il2rg,Skap1
Ly6e,Rpl39,Serf2
Rac2,Itm2b,Gimap4
Junb,Arhgdib,Crtam
Fyb,Slamf6,Ly6e
