wilcoxon,t-test,t-test_overestim_var
S100a6,S100a6,S100a6
Lgals1,Lgals1,Lgals1
S100a10,S100a10,S100a4
Tmsb4x,Itga4,Itga4
Actg1,Actb,Tmsb4x
Gapdh,Tmsb4x,S100a10
S100a4,Gapdh,Anxa2
Itga4,Actg1,Itgb1
Actb,S100a4,Actb
Itgb1,Arpc5,Actg1
Anxa2,Anxa2,Gapdh
Coro1a,Crip1,Hif1a
Arpc5,Arhgdib,Arpc5
Crip1,Pfn1,Rilpl2
Pfn1,Txn1,Bcl2a1b
S100a11,S100a11,Txn1
Txn1,Itgb1,Crip1
Arhgdib,Abracl,S100a11
Sub1,Hif1a,Ctla2a
Myl6,Myl6,Vim
Hif1a,Coro1a,Cxcr3
Vim,Myl12a,Pfn1
Bcl2a1b,Oaz1,Atxn1
Hmgb2,Sub1,Arhgdib
Ctla2a,Ctla2a,Hmgb2
Abracl,Ms4a4b,Coro1a
Ppib,Vim,Prr13
Ms4a4b,Arpc2,Ifng
Rilpl2,Rilpl2,Abracl
Cdc42,Cd48,Ms4a4b
Atxn1,mt-Co1,Myl6
Lsp1,Ppib,Ybx3
Clic1,Cxcr3,Cd48
Cxcr3,Cdc42,Sub1
Ly6a,Ly6a,Bhlhe40
Prr13,Bcl2a1b,Sh2d1a
Oaz1,Prr13,Ctla4
mt-Co1,Cox6c,Vmp1
Arpc2,Hmgb2,mt-Co1
Cd48,Ndufa4,Lsp1
Ndufa4,Sh2d1a,Myl12a
mt-Co2,mt-Co2,Ly6a
Myl12a,Lsp1,Ppib
Calm1,Calm1,Oaz1
Ifng,Clic1,Ahnak
Sh2d1a,Atp5j,Cdc42
Ctla4,Vmp1,Serpinb6b
Atp5j,Lcp1,Ndufa4
Cox6c,Arpc3,Ptms
Vmp1,Rbm3,Rora
Ybx1,Pycard,Arpc2
Ahnak,Atxn1,mt-Co2
Bhlhe40,Ostf1,Atp5j
Ppp1ca,Traf1,Gng2
Gnai2,Gng2,Pycard
Pycard,Ppp1ca,Batf
Ybx3,Rac2,Dbi
Lcp1,Ctla4,H2az1
Sh3bgrl3,Atp5j2,Cd9
H2az1,Ahnak,Cox6c
Arpc3,Gnai2,Clic1
Ptms,Ybx3,Lcp1
Atp5j2,Ifng,Ppp1ca
Serpinb6b,Bhlhe40,Calm1
Rbm3,Tspo,Klrc1
Klrk1,Sh3bgrl3,Traf1
Dbi,H2az1,Prelid1
Nr4a2,Dbi,Fkbp1a
Pglyrp1,Nkg7,Calm3
Rac2,Prelid1,Ybx1
Rora,Fkbp1a,Ostf1
Ostf1,Cox5b,Bcl2a1d
Batf,Serpinb6b,Pglyrp1
Fkbp1a,Calm3,Rbm3
Prelid1,Gdi2,Gnai2
Nkg7,Cd52,Arpc3
Cd52,Ucp2,Ccdc50
Gng2,mt-Co3,Sh3bgrl3
Cox5b,Ybx1,Casp3
Klrc1,Gimap4,Plek
Plek,Actr3,Crtam
Arpc1b,Ptms,Lgals3
Calm3,Cd9,Zbtb32
Cd9,Psma4,Nr4a2
mt-Co3,Batf,Klrk1
Tspo,Pglyrp1,Atp5j2
Traf1,Arpc1b,Rab8b
Cotl1,Dnajc15,Atpif1
Ucp2,Cnn2,Ucp2
Crtam,Rora,Gdi2
Cfl1,Cox5a,Acot7
Aldoa,Nr4a2,Rac2
Atp5c1,Fyn,Tspo
Atpif1,Cyba,Nkg7
mt-Atp6,Cotl1,Cd52
Psma4,Serp1,Cox5b
Cox5a,Aldoa,Psma4
Actr3,Ube2l3,mt-Co3
Gdi2,Cfl1,Serp1
S100a13,Psmb3,Cotl1
Cox6b1,Plek,Prdx2
Casp3,Mif,Fyn
Bcl2a1d,S100a13,Aldoa
Lgals3,Atpif1,S100a13
Atp5pb,Psmb9,Cfl1
Rab8b,Crtam,Pgk1
Prdx2,Klrc1,Cox5a
Pgk1,Prdx2,Anxa5
Fyn,Klrk1,Ap2s1
Mif,Rab8b,Mif
Cyba,Gnas,Klrc2
