,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.17102706,-0.294558048248291,False
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.22422175,-0.24821770191192627,False
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.6424423,-0.5164412260055542,False
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.34367245,-0.5590667724609375,False
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.1415758,-1.744652271270752,False
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,6.546216,-10.801440238952637,False
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.399539,-1.0541024208068848,False
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,0.90386677,-0.6131834983825684,False
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.00952033,-7.372937202453613,False
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,4.3768086,-4.366765022277832,False
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.14331473,-2.4027020931243896,False
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.23554061,-1.5754616260528564,False
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.78557146,-0.7186323404312134,False
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,0.0,-3.1712069511413574,False
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.06917132,-0.031147003173828125,False
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.5337814,-1.228675365447998,False
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.07773397,-5.004669189453125,False
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,1.0185955,-1.1626331806182861,False
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,2.130788,-1.6278278827667236,False
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.51010793,-0.37212061882019043,False
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0267,1.2171648,-0.7715944051742554,False
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0581,1.0217373,-1.815856695175171,False
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.0226,1.2748066,-1.4529106616973877,False
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.1125,1.1059742,-0.9695717096328735,False
Kansl3,ENSMUSG00000010453,1,36369181,36335730,-,-0.0571,0.76315755,-1.0624094009399414,False
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,0.0154,0.24142687,-0.41426730155944824,False
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0504,2.4098532,-2.0009779930114746,False
Coa5,ENSMUSG00000026112,1,37430103,37417084,-,0.024,0.060985696,-6.275370121002197,False
Mgat4a,ENSMUSG00000026110,1,37541016,37439340,-,-0.0577,1.463512,-2.141449213027954,False
Tsga10,ENSMUSG00000060771,1,37866429,37754776,-,0.0033,1.7234702,-0.7468844652175903,False
Mitd1,ENSMUSG00000026088,1,37890411,37874801,-,0.0064,1.138731,-1.3202378749847412,False
Txndc9,ENSMUSG00000058407,1,37997893,37985189,-,0.0627,0.11394199,-3.2556228637695312,False
Rev1,ENSMUSG00000026082,1,38129801,38052786,-,-0.0317,1.8376698,-1.524181604385376,False
Aff3,ENSMUSG00000037138,1,38664955,38177326,-,-0.0878,6.466668,-1.4042086601257324,False
Rnf149,ENSMUSG00000048234,1,39577405,39551296,-,-0.0074,0.43832532,-0.5479856729507446,False
Tgfbrap1,ENSMUSG00000070939,1,43098637,43047200,-,-0.0302,0.38534746,-0.6022830009460449,False
Fhl2,ENSMUSG00000008136,1,43196984,43123074,-,0.1746,0.36437955,-0.8178943395614624,False
Uxs1,ENSMUSG00000057363,1,43827800,43746966,-,0.0153,2.137885,-1.3314685821533203,False
Tex30,ENSMUSG00000026049,1,44102441,44086613,-,0.196,0.5717963,-0.9093489646911621,False
Poglut2,ENSMUSG00000026047,1,44118808,44106546,-,0.0253,0.61537284,-0.34375178813934326,False
Slc39a10,ENSMUSG00000025986,1,46892852,46807544,-,-0.005,0.6982856,-0.42053186893463135,False
Nabp1,ENSMUSG00000026107,1,51478425,51465862,-,-0.0297,3.1034844,-4.668286323547363,False
Gls,ENSMUSG00000026103,1,52233232,52163448,-,-0.0127,3.8862517,-3.8074331283569336,False
Nab1,ENSMUSG00000002881,1,52500679,52457294,-,0.0824,0.7620677,-0.2589353322982788,False
Mfsd6,ENSMUSG00000041439,1,52727462,52656286,-,-0.0384,1.1755261,-1.1095547676086426,False
Inpp1,ENSMUSG00000026102,1,52817688,52785427,-,-0.0939,0.25136006,-1.1553714275360107,False
Pms1,ENSMUSG00000026098,1,53297018,53189187,-,0.0396,2.269579,-1.4113633632659912,False
