gene_name,Chd7,Ctrl
mt-Cytb,5524.398009410092,6035.119172053271
mt-Nd6,23.31468515609686,16.99408716311055
mt-Nd5,1637.00611517628,1501.3851208531967
mt-Nd4,1516.0197685539233,1530.102450454061
mt-Nd4l,84.82215569156241,107.08227303616643
mt-Nd3,429.2510909366692,388.6228998252204
mt-Co3,4382.5249108709995,5766.112619695711
mt-Atp6,3130.2667833420583,4478.803441436226
mt-Atp8,476.92995482914677,633.743918513574
mt-Co2,407.536051199477,434.8709873250773
mt-Co1,77058.4910541537,80814.62634616032
mt-Nd2,1292.9077000749082,1268.91636684672
mt-Nd1,5953.2520110560035,6558.282839463173
Gm15190,0.0,0.0
Arrb2,3146.2893689383814,3190.7149823281397
Usp22,806.9397120442604,961.6940248651593
Gm29257,10.603633679337989,12.79875583385837
Gm17908,0.0,0.0
Gm17918,0.0,0.0
Odf2l,233.84719260448,258.2062072187677
Gm33778,0.0,0.0
Mymx,0.0,0.0
Wsb2,603.3764076351591,587.842408446627
Orai3,343.0456317014311,371.296519668746
Mpeg1,95.12743655168101,67.79219385064016
Tm9sf3,4914.992761317725,5346.47657344865
Ivd,309.98364184186715,374.2436312044247
Wdr81,1631.5153427080986,1712.485190402387
Alas1,441.30554157148686,490.31884404223393
Cyp2d11,0.0,0.0
D10Wsu102e,19761.694202482002,18432.300502205766
Arhgap10,967.3705808903156,985.6566424579206
Aldh1l2,154.48020819720264,145.89201995955668
Acss1,977.8605047983407,1099.2931558872087
Tacc1,6617.612102983675,6486.265314194833
Srp68,1078.0664744392764,1131.68387131142
Tatdn3,59.65067902659848,72.19189211412073
Kif9,12.036025469701023,24.698405337782717
Wfdc11,0.0,0.0
Rfc5,1663.0632674694168,1380.7110009859234
Gm19195,7.217345782129866,7.70549674532485
Wfdc13,1.6017995634387316,0.0
Atp11a,1166.29956313855,894.5474367437396
Sema6b,48.19420037264113,68.4776436066487
Spint4,0.0,0.0
Hsd3b7,33.93875766833092,23.042727351636998
Pgm2l1,1552.5401453544898,1705.9988602307467
Vipr1,161.71252937814694,134.66511582023787
Spint5,0.0,0.0
Nexn,1.867710359615477,1.32203612598447
Gm18995,1.264395906747255,0.73242737437528
Wfdc3,6.019394542133498,6.7948183901836865
Tpi-rs11,0.2952453010426537,1.7523159298504265
Rasal3,6229.7454356471635,6276.690313992974
Ccnd2,2369.992224770135,2110.6019714812433
Rps13-ps5,1.2374310880817474,1.5497077114478601
Dnajc11,1049.9898055283968,1009.1819255218496
E2f4,1363.8638968800199,1395.4984399417665
Ighe,0.0,0.0
Bahd1,537.8015895378688,511.2921567100573
Gsg1l,30.486683207637885,31.38972925053963
Galr2,0.7520680651609674,0.3897807709132533
Mblac1,16.755125050070216,18.2333037577207
Gm8847,0.16919567971288332,0.0
Gpx2-ps1,20.929270604599367,19.7601205567073
Phf10,492.8894191095572,559.653967683314
Dqx1,220.66519663872566,209.13763700614467
Chml,285.2241592216448,258.65576405567634
