gene_name,Cd4_1_1,Chd7_1_1,Chd7_2_1,Chd7_3_1,Cd4_1_2,Chd7_1_2,Chd7_2_2,Chd7_3_2,Cd19_1_1
0610009B22Rik,7.3133550000000005,7.8393120000000005,9.630239,8.63325,7.684387,9.561641,7.0972159999999995,8.85735,8.393917
0610010F05Rik,11.356111,8.3421,9.101301,8.354147000000001,7.127330000000001,7.4112919999999995,7.977838,8.996573,8.324992
0610010K14Rik,59.725808,72.169275,58.618401,67.00371700000001,70.226545,58.4343,63.925508,66.619026,61.652953
0610012G03Rik,19.644793,19.522357999999997,18.951210999999997,20.783962,23.10875,19.796576,20.414094,22.069629,21.641922
0610030E20Rik,12.263835,13.368068,13.117558,13.786614,15.011184,13.550806000000001,11.006355,16.09261,13.060065
0610040J01Rik,0.138764,0.092049,0.0,0.08719199999999999,0.10355,0.0,0.0,0.08476399999999999,0.10855999999999999
1110002E22Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110004F10Rik,53.93132799999999,49.86516399999999,49.225932,52.911596,47.509600999999996,55.291012,52.16443599999999,48.726318,62.240719999999996
1110008L16Rik,5.740057,3.495546,5.084158,3.774288,3.739378,5.196451,4.644649,4.129571,4.975585000000001
1110008P14Rik,39.495382,41.495393,34.84273,44.920114999999996,53.607997000000005,50.614105,39.29569,40.276700000000005,40.847378
1110012L19Rik,15.059642000000002,11.869117999999999,11.57872,13.703731,14.258303,14.286397000000001,14.254619,12.413075,15.714738
1110017D15Rik,0.0,0.0,0.107475,0.109171,0.0,0.0,0.0,0.092586,0.19556700000000002
1110025L11Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110032A03Rik,4.505705,3.284827,3.1420559999999997,4.889497,6.825263,4.563424,5.466827,4.740276,7.392081
1110032F04Rik,0.564947,0.297998,0.473016,0.39457600000000004,0.29709800000000003,0.154673,0.353071,0.071595,0.264714
1110038F14Rik,19.188253999999997,22.641675999999997,20.46283,21.605899,23.401253999999998,21.215949000000002,21.601695999999997,22.892983,23.099273
1110051M20Rik,4.259949,2.7574560000000004,2.842637,4.223031,5.605962,4.322135000000001,3.003348,3.9544949999999996,2.825593
1110057P08Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110059E24Rik,20.075792000000003,20.879846,23.632732000000004,29.387478000000005,17.860298,24.326271000000002,21.790290999999996,21.165419,23.203158000000002
1110059G10Rik,10.952102,10.839986,11.145323,13.44707,12.254055000000001,15.110914000000001,11.72011,13.393625,18.715215999999998
1110065P20Rik,9.183565,9.113962,10.332445,7.970699,9.201308000000001,9.181794,9.104139,8.948249,15.041351
1190005I06Rik,0.7948550000000001,1.144998,0.134652,1.023961,0.9352019999999999,0.217484,0.0,0.575359,0.26
1190007I07Rik,8.139410999999999,9.622539999999999,10.631549,11.271262,8.032009,8.484973,9.926822,9.542591999999999,9.578337
1300017J02Rik,0.0,0.32583700000000004,0.30121699999999996,1.722026,0.032836000000000004,0.6189060000000001,0.594928,1.520968,0.0
1500009C09Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500009L16Rik,80.040922,47.449019,60.942865,50.219575,59.522947,44.064852,54.282036,29.720056,44.709206
1500011B03Rik,35.685471,34.516462,40.700376000000006,36.691199000000005,37.241164000000005,32.233872999999996,28.389143999999998,31.170378,30.907449000000003
1500015O10Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1520401A03Rik,0.24284000000000003,0.0,0.094511,0.054526,0.110431,0.136022,0.024396,0.118334,0.452139
1600002K03Rik,20.193807,18.730133,14.412245,21.780510999999997,22.289356,17.903077,17.232264999999998,20.789108,21.127728
1600012H06Rik,13.765668999999999,15.658707999999999,14.085705999999998,14.669041,17.206298999999998,16.225577,14.233398999999999,15.991543,17.897272
1600014C10Rik,36.270395,44.90127600000001,43.74205,42.793499999999995,51.547156,49.780601000000004,50.056582,46.818719,41.582767
1600014C23Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1600015I10Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1600029O15Rik,0.423984,0.222827,0.5639069999999999,0.335458,0.238438,0.408602,0.417037,0.5049680000000001,0.449842
1700001C02Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700001C19Rik,0.28489699999999996,0.59448,0.410267,0.605017,0.592019,0.454793,0.73477,0.9131870000000001,0.8635299999999999
1700001F09Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700001J03Rik,0.0,1.271477,0.19756600000000002,0.201337,0.225566,0.223412,0.0,0.684125,0.0
1700001J11Rik,0.0,0.132687,0.110635,0.0,0.0,0.0,0.059392999999999994,0.026024000000000002,0.07303
1700001K19Rik,0.38006799999999996,0.448834,0.167552,0.255075,0.357402,0.842973,0.607603,1.297375,0.178206
1700001L19Rik,0.091014,0.0,0.0,0.0,0.0,0.044854000000000005,0.096984,0.0,0.0
1700001O22Rik,3.9310430000000003,4.4102950000000005,2.889951,3.977847,3.8031200000000003,5.49606,2.759102,3.7979890000000003,3.8193789999999996
1700001P01Rik,3.401672,3.196988,2.698106,2.021891,2.269154,2.714848,4.893391,3.799524,1.520067
1700003E16Rik,0.0,0.0,0.0,0.07319099999999999,0.0,0.0,0.0,0.0,0.0
1700003F12Rik,0.996583,0.535326,0.8571880000000001,0.508848,0.5284340000000001,1.248963,0.7784789999999999,0.9695490000000001,1.5896090000000003
1700003H04Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700003N22Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700006A11Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700007E05Rik,2.9243550000000003,3.552655,2.747416,2.759939,3.633692,5.646358,4.055518,4.624598,3.538819
1700007K13Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700008O03Rik,0.261351,0.20384799999999997,0.16081600000000001,0.35817600000000005,0.24381000000000003,0.038445,0.224592,0.031173000000000003,0.037497
1700008P02Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700009N14Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700010B08Rik,0.102162,0.385855,0.0,0.0,0.095998,0.0,0.081615,0.077476,0.287434
1700010I14Rik,2.2961690000000003,2.113279,2.386317,2.725546,3.7923590000000003,2.977588,2.713891,3.214606,2.15182
1700010N08Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061027
1700011L22Rik,0.0,0.177552,0.730506,0.218681,0.5206040000000001,0.335526,0.075113,0.784286,0.088112
1700011M02Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700012A03Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700012B07Rik,0.530803,0.0,0.0,0.267019,0.038252999999999995,0.0,0.079498,0.07545700000000001,0.03791
1700012B09Rik,0.156325,0.0,0.0,0.0,0.14607799999999999,0.0,0.248665,0.11830999999999998,0.0
1700012P22Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700013F07Rik,0.150154,0.11838699999999999,0.21379,0.11221400000000001,0.117746,0.247656,0.10126399999999999,0.095172,0.235661
1700013G24Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700013H16Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700014D04Rik,0.098896,0.093947,0.06579299999999999,0.338106,0.374714,0.073104,0.0,0.26853299999999997,0.208511
1700015F17Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07965
1700015G11Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700016C15Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700016D06Rik,1.3964940000000001,1.442854,1.54416,2.317341,2.1354759999999997,2.598808,2.260334,1.980995,1.7236209999999998
1700016H13Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700016K19Rik,0.0,0.0,0.08746,0.0,0.0,0.0,0.0,0.0,0.0
1700017B05Rik,43.406687,49.47808,44.58292,43.743727,42.032638,42.973535999999996,47.98663199999999,31.374878000000002,36.789637
1700017D01Rik,0.192931,0.281404,0.42534099999999997,0.199699,0.326901,0.14812,0.587342,0.24877600000000002,0.465133
1700017N19Rik,0.0,0.0,0.0,0.094592,0.0,0.0,0.0,0.0,0.0
1700018B08Rik,0.0,0.349798,0.0,0.073283,0.0,0.330007,0.115218,0.109579,0.0
1700018F24Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700018G05Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700018M17Rik,1.008209,1.647046,1.0966360000000002,1.118358,1.39973,0.248506,1.793193,0.950309,1.893457
1700019A02Rik,0.15473499999999998,1.002837,0.603551,0.51759,0.373962,0.524781,0.6362800000000001,0.7056359999999999,0.624232
1700019D03Rik,0.11568699999999998,0.234871,0.300444,0.413235,0.212288,0.768857,0.391243,0.554092,0.329795
1700019M22Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700019N19Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700020A23Rik,0.40926399999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194766
1700020D05Rik,2.5458369999999997,1.82561,2.710759,2.357575,1.487039,1.6442290000000002,1.334059,1.598675,1.070147
1700020L24Rik,15.061045,11.094724,15.880081,15.604689,15.664296,9.382496000000002,17.540698,11.479227999999999,13.813859999999998
1700020N01Rik,0.083821,0.0,0.0,0.0,1.146601,0.0,0.0,0.0,0.0
1700020N15Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700021F05Rik,13.605378,12.353102,12.593931,14.817264999999999,14.274403999999999,8.643764000000001,8.983167999999997,9.647855999999999,14.105917999999999
1700021F07Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700022A21Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700022I11Rik,0.088151,0.083294,0.080242,0.0,0.0,0.086937,0.017122,0.0,0.0
1700023F06Rik,0.0,0.0,0.0,0.0,0.0,0.15348699999999998,0.0,0.0,0.0
1700024B05Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700024G13Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700024J04Rik,0.161762,0.411254,0.351894,0.337819,0.445779,0.520411,0.373176,0.43651999999999996,0.47545699999999996
1700024P04Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700025B11Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700025C18Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700025F22Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700025G04Rik,28.950523000000004,30.846262000000003,27.989316,35.391165,28.134148000000003,37.072125,30.039437,31.962594,30.074188
1700028B04Rik,7.996049,4.751380999999999,7.502841,5.350278,7.041651,9.486846,8.453438,10.355452,7.8029850000000005
1700028J19Rik,7.206721000000001,6.078331,7.197816999999999,3.7260400000000002,6.9096910000000005,8.483158000000001,5.153028000000001,10.629339000000002,8.289981000000001
1700028K03Rik,0.044791000000000004,0.014194,0.12706099999999998,0.267526,0.042700999999999996,0.073575,0.055787,0.011359999999999999,0.0
1700028P14Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700029F12Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700029H14Rik,9.147507000000001,13.978213,7.1666609999999995,11.275921,7.9989349999999995,15.478066,9.645787,22.015658000000002,14.143040000000001
1700029I15Rik,4.3898459999999995,3.8312419999999996,5.415227,6.274963,4.361938,5.987555,2.688404,5.1124149999999995,5.889551000000001
1700029J07Rik,0.491479,0.25383100000000003,0.24011300000000002,0.452219,0.261166,0.323641,0.275542,0.425593,0.237983
1700029P11Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
