2021_GoldrathLab_Brd4___BRD4_TE-CD8,2021_GoldrathLab_Brd4___BRD4_NAV-CD8,2021_GoldrathLab_Brd4___BRD4_MP-CD8,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,2017_PNAS_Li___STAT5B_noIL2-CD8,2017_PNAS_Li___STAT5B_IL2-WT-CD4,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-CD8,2017_PNAS_Li___STAT5B_IL2-CD4,2017_PNAS_Li___STAT3_noIL21-CD4,2017_PNAS_Li___STAT3_IL21-CD4,2017_PNAS_Li___H3K4me3-noIL2-CD4,2017_PNAS_Li___H3K4me3_IL2-CD4,2017_PNAS_Li___H3K27Ac-noIL2-CD4,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-CD4,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,2016_SCIENCE_Mackay___Hobit_invitro-CD8,2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT,2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT
Arl6ip5,Arl6ip5,Arl6ip5,Arl6ip5,Arl6ip5,Ccr5,Sema4a,Klre1,Dnajb11,Pkm,Sh2d1a,Ggh,Sema4a,Dnajb11,Arl6ip5,Sema4a,Ccr5,Arl6ip5,Rras2,Arl6ip5,Smpdl3b,Smpdl3b,Ccr5,Arl6ip5,Arl6ip5,Arl6ip5,Arl6ip5,Arl6ip5,Arl6ip5,Arl6ip5,Arl6ip5,Arl6ip5,Arl6ip5,Ccr5,Ccr5,Arl6ip5,Cenpf,Acss2,Gzma,Gkap1,Arl6ip5,Ccr5,Arl6ip5,Arl6ip5,Ccr5,Arl6ip5,Arl6ip5,Acss2,Acss2,Arl6ip5,Arl6ip5,Arl6ip5,Ggh,Arl6ip5,Snrpd3,Arl6ip5,Arl6ip5,Ptma,Arl6ip5,Arl6ip5,Arl6ip5,Ccr5,Ccr5,Arl6ip5,Ccr5,P4hb,Sidt1,H4c14,Gzmb,Fam114a1,Arl6ip5,Adgre5,Arl6ip5,Ccr5,Arl6ip5,Racgap1,Ccr5,Acss2,Ccr5,Arl6ip5,Arl6ip5,Ccr5,Arl6ip5,Pdcd5,Arl6ip5
Dnajb11,Dynll1,Dnajb11,Dnajb11,Dnajb11,Dbil5,Slc9a3r1,Rras2,Dbil5,Exosc8,Ccr5,Pepd,Sh2d1a,Dynll1,Acss2,Sh2d1a,Cd8a,Ccr5,Adgre5,Ccr5,Nhsl2,Nhsl2,Smpdl3b,Acss2,Dnajb11,Acss2,Dnajb11,Acss2,Dnajb11,Dynll1,Dnajb11,Acss2,Acss2,Smpdl3b,Smpdl3b,Acss2,Zeb2,Racgap1,Racgap1,Nucks1,Acss2,Smpdl3b,Acss2,Acss2,Dbil5,Acss2,Acss2,Racgap1,Ciart,Dnajb11,Acss2,Dynll1,Adgre5,Ccr5,Tubb2b,Ccr5,Dnajb11,Chst10,Ccr5,Dnajb11,Acss2,Smpdl3b,Dbil5,Ccr5,Sidt1,H4c14,Cd8a,Hspa8,Rgs1,Ncald,Ccr5,,Acss2,Smpdl3b,Dnajb11,Eif4ebp1,Smpdl3b,Spcs2,Gzma,Sidt1,Acss2,Smpdl3b,Ccr5,Sh2d1a,Ptma
Ccr5,Sidt1,Ccr5,Dynll1,Ccr5,Smpdl3b,Ccr5,,Sidt1,Ptma,Gzma,Adgre5,Mars,Spcs2,Dnajb11,Mars,Spcs2,Cd8a,Actb,Gzma,Cdc20,Cdc20,Cd8a,Ccr5,Ccr5,Ccr5,Ccr5,Ccr5,Dynll1,Ccr5,Dynll1,Ccr5,Dnajb11,Cd8a,Cd8a,Ccr5,Smpdl3b,Depdc1b,Depdc1b,Hnrnpa3,Dnajb11,Cd8a,Ccr5,Ccr5,Smpdl3b,Ccr5,Ccr5,Depdc1b,Nucks1,Ccr5,Ccr5,Sidt1,,Gzma,Plekho2,P4hb,Dbil5,Mgat4a,Sidt1,Ccr5,Ccr5,Cd8a,Smpdl3b,Gzma,Cd8a,Mars,Nhsl2,Tnf,Fabp5,Slco3a1,Gzma,,Dnajb11,Cd8a,Ccr5,Nhsl2,Cd8a,Racgap1,Sidt1,Cd8a,Ccr5,Cd8a,Sidt1,Arl6ip5,Sidt1
Gzma,Smpdl3b,Gzma,Sidt1,Dynll1,Cd8a,Samd3,,Creld2,Keap1,Slco3a1,,Slco3a1,Creld2,Creld2,Slco3a1,Nhsl2,Spcs2,Plin2,Smpdl3b,Vim,Vim,Nhsl2,Gzma,Dynll1,Dnajb11,Dynll1,Dnajb11,Sidt1,Gzma,Sidt1,Dnajb11,Gzma,Nhsl2,Nhsl2,Gzma,Ncald,Hspe1,Cotl1,Cmklr1,Sidt1,Nhsl2,Dnajb11,Dnajb11,Cd8a,Gzma,Gzma,Cotl1,H2bu2,Dynll1,Dnajb11,Cotl1,,Dbil5,Ccnd3,Snrpd3,Sidt1,Arl4c,Smpdl3b,Sidt1,Gzma,Ncald,Cd8a,Sidt1,Creld2,Ptma,Cdc20,Hnrnpa3,Cish,Selenok,Smpdl3b,,Dynll1,Nhsl2,Dynll1,Eomes,Nhsl2,Gpx4,Smpdl3b,Depdc1b,Smpdl3b,Nhsl2,Smpdl3b,Acss2,Arl4c
Dynll1,Cd8a,Dynll1,Cd8a,Sidt1,Nhsl2,Smpdl3b,,Depdc1b,Smpdl3b,Samd3,,Comtd1,Racgap1,Lman1,Zeb2,Vim,Depdc1b,Mrps28,Ndufb6,Elovl5,Elovl5,Cdc20,Dnajb11,Sidt1,Dynll1,Sidt1,Dynll1,Smpdl3b,Sidt1,Smpdl3b,Dynll1,Dynll1,Cdc20,Cdc20,Dnajb11,Hsp90aa1,Cotl1,Nhsl2,Tubb2b,Cd8a,Cdc20,Dynll1,Dynll1,Nhsl2,Dnajb11,Dnajb11,Nhsl2,Keap1,Dbil5,Dynll1,Vim,,Sidt1,Adgre5,Slco3a1,Cd8a,Ankrd44,Cd8a,Smpdl3b,Dbil5,Ankrd44,Nhsl2,Smpdl3b,Ndufb6,H2ac8,Vim,Ptma,Slco3a1,,Cd8a,,Sidt1,Cdc20,Sidt1,Rac1,Cdc20,Ndufb6,Sec61g,Cotl1,Cd8a,Cdc20,Cd8a,Tbrg1,Fam117a
Dbil5,Spcs2,Sidt1,Spcs2,Cd8a,Cdc20,Gadd45g,,Gpx4,Hsp90aa1,Zeb2,,Ccr2,Lman1,Hspe1,Comtd1,Prss16,Sec61g,,Rac1,Pdia4,Pdia4,Vim,Dynll1,Smpdl3b,Sidt1,Smpdl3b,Sidt1,Cd8a,Smpdl3b,Cd8a,Sidt1,Sidt1,Vim,Vim,Sidt1,Bag3,Nhsl2,Eif4ebp1,Esm1,Spcs2,Vim,Sidt1,Sidt1,Cdc20,Dbil5,Sidt1,Eif4ebp1,Zeb2,Sidt1,Dbil5,Prss16,,Smpdl3b,Actb,Ptma,Spcs2,Hspd1,Depdc1b,Cd8a,Sidt1,Thy1,Cdc20,Cd8a,Nhsl2,Gadd45g,Fam207a,H2ac20,Atp2a3,,Sec61g,,Smpdl3b,Vim,Cd8a,H1f10,Vim,Cotl1,Depdc1b,Vim,Depdc1b,Vim,Racgap1,Snrpd3,Eif2ak3
Sidt1,Depdc1b,Smpdl3b,Depdc1b,Spcs2,Vim,Arl4c,,Eif4ebp1,Ddx39,Ncald,,Arl4c,Hspe1,Ndufb6,Ccr2,Ifnar2,Hspe1,,Ifnar2,H2-Q10,H2-Q10,Elovl5,Sidt1,Spcs2,Smpdl3b,Spcs2,Smpdl3b,Spcs2,Cd8a,Spcs2,Smpdl3b,Smpdl3b,Elovl5,Elovl5,Smpdl3b,Eps8,Eif4ebp1,Mpp1,Eps8,Depdc1b,Elovl5,Smpdl3b,Smpdl3b,Vim,Sidt1,Cd8a,Eomes,Smpdl3b,Smpdl3b,Sidt1,Ifnar2,,Cd8a,Smad3,Keap1,Depdc1b,,Ndufb6,Sec61g,Smpdl3b,Hopx,Vim,Creld2,Cdc20,Hsp90aa1,Actb,H2ac8,H2-Q7,,Depdc1b,,Cd8a,Elovl5,Spcs2,Prss16,Elovl5,Cdc20,Rac1,Ifnar2,Nhsl2,Elovl5,Depdc1b,Pkm,Plin3
Smpdl3b,Sec61g,Cd8a,Sec61g,Depdc1b,Elovl5,Eif2ak3,,Nhsl2,Cyp51,Gadd45g,,Emp1,Ndufb6,Cotl1,Arl4c,Elovl5,Nhsl2,,H2-Q10,Fam207a,Fam207a,Pdia4,Smpdl3b,Depdc1b,Spcs2,Depdc1b,Cd8a,Sec61g,Spcs2,Depdc1b,Cd8a,Cd8a,Pdia4,Pdia4,Cd8a,Ggh,Mpp1,Eomes,Fos,Sec61g,Pdia4,Cd8a,Cd8a,Elovl5,Smpdl3b,Spcs2,H1f10,Ncald,Cd8a,Smpdl3b,Elovl5,,Sec61g,1700025G04Rik,Ncald,Racgap1,,Nhsl2,Depdc1b,Cd8a,Zyx,Elovl5,Ndufb6,Vim,Pycard,Fcgrt,Atp5b,Ncald,,Rac1,,Spcs2,Pdia4,Depdc1b,Ifnar2,Pdia4,Elovl5,Vim,Klrd1,Eomes,Pdia4,Gpx4,Rcn3,Lrrc59
Cd8a,Hspe1,Spcs2,Gpx4,Sec61g,Pdia4,Ankrd44,,Eomes,Rps19,Ccr2,,Plin2,Cotl1,Rac1,Emp1,Canx,Eomes,,Actb,Pdia6,Pdia6,H2-Q10,Spcs2,Creld2,Depdc1b,Creld2,Spcs2,Hspe1,Creld2,Sec61g,Spcs2,Spcs2,H2-Q10,H2-Q10,Spcs2,Asap2,Eomes,Cdc20,Cacnb3,Gpx4,H2-Q10,Spcs2,Spcs2,Pdia4,Cd8a,Depdc1b,Prss16,Oat,Spcs2,Cd8a,H2-Q10,,Depdc1b,,Gadd45g,Ndufb6,,Eomes,Ndufb6,Spcs2,Iqgap2,Pdia4,Nhsl2,Prss16,Rps19,B4galnt4,Ppia,Adgre5,,Ifit1bl1,,Depdc1b,H2-Q10,Creld2,Emc4,H2-Q10,Pdia4,Ifnar2,Fam207a,Vim,H2-Q10,Cotl1,Exosc8,Rgs1
