2021_GoldrathLab_Brd4___BRD4_TE-CD8,2021_GoldrathLab_Brd4___BRD4_NAV-CD8,2021_GoldrathLab_Brd4___BRD4_MP-CD8,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,2017_PNAS_Li___STAT5B_noIL2-CD8,2017_PNAS_Li___STAT5B_IL2-WT-CD4,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-CD8,2017_PNAS_Li___STAT5B_IL2-CD4,2017_PNAS_Li___STAT3_noIL21-CD4,2017_PNAS_Li___STAT3_IL21-CD4,2017_PNAS_Li___H3K4me3-noIL2-CD4,2017_PNAS_Li___H3K4me3_IL2-CD4,2017_PNAS_Li___H3K27Ac-noIL2-CD4,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-CD4,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,2016_SCIENCE_Mackay___Hobit_invitro-CD8,2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT,2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT
Pim2,Sdhaf1,Sdhaf1,Ift20,Ift20,Sdhaf1,Ets1,Mmp16,Pim2,Ets1,Ets1,Filip1l,Ets1,Sdhaf1,Sdhaf1,Ets1,Abhd17c,Sdhaf1,Trib1,Sdhaf1,Sdhaf1,Sdhaf1,Sdhaf1,Sdhaf1,Sdhaf1,Sdhaf1,Sdhaf1,Sdhaf1,Sdhaf1,Ift20,Ift20,Sdhaf1,Sdhaf1,Sdhaf1,Sdhaf1,Sdhaf1,Csf1,Abhd17c,Sdhaf1,Nucks1,Sdhaf1,Sdhaf1,Sdhaf1,Sdhaf1,Sdhaf1,Sdhaf1,Ift20,Ets1,Ets1,Sdhaf1,Sdhaf1,Sdhaf1,Filip1l,Lgals3bp,Frmd4a,Ets1,Sf3b2,Il1rl1,Sdhaf1,Lgals3bp,Sdhaf1,Ets1,Sdhaf1,Lgals3bp,Nrip1,Ucp2,Nrip1,Ucp2,Frmd4a,Frmd4a,Lgals3bp,Frmd4a,Sdhaf1,Sdhaf1,Ift20,Sdhaf1,Sdhaf1,Sdhaf1,Ets1,Abhd17c,Abhd17c,Sdhaf1,Abhd17c,Ets1,Ets1
Lgals3bp,Pim2,Pim2,Pim2,Pim2,Ift20,Filip1l,Plxdc2,Nrip1,Filip1l,Filip1l,Litaf,Filip1l,Ift20,Ift20,Filip1l,Ets1,Pim2,Stk39,Abhd17c,Ift20,Ift20,Ift20,Ift20,Ift20,Ift20,Ift20,Ift20,Pim2,Pim2,Pim2,Ift20,Ift20,Ift20,Ift20,Ift20,Cpd,Ets1,Abhd17c,Irf5,Ift20,Ift20,Ift20,Ift20,Pim2,Pim2,Nrip1,Csf1,Csf1,Ift20,Ift20,Sf3b2,Frmd4a,Sf3b2,Chit1,Filip1l,Kras,Aff3,Lgals3bp,Sf3b2,Lgals3bp,Rangap1,Pim2,Nrip1,Slc9b2,Rpl39,Bag6,Gbp9,Adap1,Aff3,Nrip1,Litaf,Ift20,Ift20,Pim2,Ets1,Ift20,Hibadh,Filip1l,Fubp1,Ets1,Ift20,Ets1,Filip1l,Hibadh
Sf3b2,Sf3b2,Lgals3bp,Lgals3bp,Lgals3bp,Pim2,Gimap1,,Rplp1,Naf1,Gimap1,Rplp1,Prxl2a,Pim2,Nrip1,Prxl2a,Filip1l,Nrip1,Rbm26,Ets1,Pim2,Pim2,Pim2,Pim2,Pim2,Pim2,Pim2,Pim2,Lgals3bp,Sf3b2,Lgals3bp,Pim2,Pim2,Pim2,Lgals3bp,Pim2,Nrd1,Filip1l,Ets1,Fkbp5,Lgals3bp,Pim2,Pim2,Pim2,Lgals3bp,Lgals3bp,Rplp1,Cpd,Cpd,Pim2,Pim2,Nrip1,Cd200,Nrip1,Bcl2l11,Csf1,Rplp1,Kansl3,Sf3b2,Nrip1,Sf3b2,Rora,Lgals3bp,Slc9b2,Rplp1,Rps24,Slc9b2,Rps8,1700017B05Rik,Itgb1,Rplp1,,Pim2,Pim2,Lgals3bp,Prxl2a,Pim2,Gimap1,Prxl2a,Ets1,Gimap1,Pim2,Filip1l,Hibadh,Gimap1
Nrip1,Nrip1,Sf3b2,Sf3b2,Sf3b2,Lgals3bp,Raf1,,Rpsa,Csf1,Raf1,Ikzf2,Gimap1,Nrip1,Kras,Gimap1,Gimap1,Kras,Utrn,Gimap1,Lgals3bp,Lgals3bp,Lgals3bp,Lgals3bp,Lgals3bp,Lgals3bp,Lgals3bp,Lgals3bp,Nrip1,Nrip1,Sf3b2,Lgals3bp,Lgals3bp,Lgals3bp,Sf3b2,Lgals3bp,Galnt3,Csf1,Filip1l,Socs3,Nrip1,Lgals3bp,Lgals3bp,Sf3b2,Sf3b2,Sf3b2,Arhgap31,Nrd1,Nrd1,Lgals3bp,Lgals3bp,Kras,Litaf,Kras,Wdr26,Serpinb9,Nucb1,Pdcd1,Nrip1,Bag6,Nrip1,Gimap1,Sf3b2,Rplp1,Arhgap31,Cd52,Rplp1,1700017B05Rik,Osbpl9,Tet2,Arhgap31,,Lgals3bp,Lgals3bp,Sf3b2,Csf1,Lgals3bp,Nrd1,Hibadh,Filip1l,Ctla4,Lgals3bp,Gimap1,Gimap1,Runx2
Kras,Kras,Nrip1,Nrip1,Nrip1,Sf3b2,Runx2,,Arhgap31,Mrgbp,Serpinb9,Rps29,Naf1,Kras,Rpsa,Naf1,Mmp16,Bag6,Cxcr4,Ctla4,Sf3b2,Sf3b2,Sf3b2,Sf3b2,Sf3b2,Sf3b2,Sf3b2,Sf3b2,Kras,Bag6,Kras,Sf3b2,Sf3b2,Sf3b2,Nrip1,Sf3b2,Cpt1a,Cpd,Hibadh,Mfhas1,Kras,Sf3b2,Sf3b2,Nrip1,Nrip1,Nrip1,Tnfrsf9,Cpt1a,Pde10a,Sf3b2,Sf3b2,Bag6,Jarid2,Bag6,Tle4,Trps1,Aspm,Il18r1,Bag6,Slc9b2,Kras,1700017B05Rik,Nrip1,Arhgap31,Ccl3,Ptprcap,Arhgap31,Hhat,Twsg1,4930503L19Rik,Ccl3,,Sf3b2,Sf3b2,Nrip1,Cpd,Sf3b2,Abce1,Gimap1,Gimap1,Serpinb9,Sf3b2,Raf1,Ctla4,D16Ertd472e
Bag6,Bag6,Bag6,Kras,Kras,Nrip1,Abce1,,Maf,Senp6,Galnt3,Ankle1,Ctla4,Bag6,Arhgap31,Ctla4,Naf1,Rplp1,Oxsr1,Csf1,Nrip1,Nrip1,Nrip1,Nrip1,Nrip1,Nrip1,Nrip1,Nrip1,Bag6,Rplp1,Bag6,Nrip1,Nrip1,Nrip1,Kras,Nrip1,Tk1,Nrd1,Csf1,Cpd,Bag6,Nrip1,Nrip1,Kras,Bag6,Bag6,Maf,Prag1,Snn,Nrip1,Nrip1,Rplp1,,Rplp1,Max,Runx2,Tnfrsf9,Ctla4,Slc9b2,Rplp1,Rplp1,Raf1,Kras,Ccl3,Nucb1,Gbp9,Ccl3,Rps9,Trps1,Litaf,Tnfrsf9,,Nrip1,Nrip1,Kras,Nrd1,Nrip1,Pim2,Mmp16,Raf1,Nrd1,Nrip1,Serpinb9,Serpinb9,Usp3
Rplp1,Rplp1,Rplp1,Bag6,Bag6,Bag6,Gimap3,,Pop5,D16Ertd472e,Nrd1,Jarid2,Serpinb9,Rplp1,Nucb1,Serpinb9,Ctla4,Arhgap31,Rbpj,Serpinb9,Kras,Kras,Kras,Bag6,Bag6,Kras,Kras,Bag6,Rplp1,Rpsa,Rplp1,Kras,Kras,Kras,Bag6,Kras,Runx2,Galnt3,Cpd,Nrd1,Rplp1,Kras,Kras,Bag6,Slc9b2,Slc9b2,Gpr55,Pde10a,Dut,Kras,Bag6,Rpsa,,Rpsa,Vps13a,Nrip1,Maf,Gpr55,Rplp1,Arhgap31,Rpsa,Bhlhe40,Bag6,Nucb1,Tnfrsf9,Rps8,Nucb1,Adar,Runx2,Oxsr1,Maf,,Kras,Kras,Bag6,Trps1,Kras,Cysltr2,Raf1,Nrd1,Runx2,Kras,Runx2,Usp3,Syt11
Rpsa,Rpsa,Rpsa,Rplp1,Rplp1,Slc9b2,Itgb1,,Eea1,Snn,Trps1,,D16Ertd472e,Rpsa,Aspm,Trps1,4930503L19Rik,Ccl3,Ikzf2,Trps1,Bag6,Bag6,Bag6,Slc9b2,Slc9b2,Bag6,Bag6,Rplp1,Rpsa,Arhgap31,Rpsa,Bag6,Bag6,Bag6,Rplp1,Bag6,Pde10a,Cpt1a,Nrd1,R3hdm4,Rpsa,Bag6,Bag6,Rplp1,Rplp1,Rplp1,Cops4,Snn,Adar,Bag6,Rplp1,Ccl3,,Arhgap31,Emb,Adcy7,Rab3gap1,Icos,Rpsa,Ccl3,Ccl3,Hip1,Rplp1,Tnfrsf9,Rgs16,1700017B05Rik,Tnfrsf9,Gadd45b,Rbpj,Rbpj,Gpr55,,Bag6,Bag6,Slc9b2,Mrgbp,Bag6,Sf3b2,Ctla4,Runx2,D16Ertd472e,Bag6,Prag1,Luc7l2,Gimap3
Arhgap31,Arhgap31,Arhgap31,Rpsa,Rpsa,Rplp1,Tox2,,Stat1,Rest,Runx2,,Usp3,Arhgap31,Maf,Runx2,Cpd,Nucb1,Metap2,Cpt1a,Slc9b2,Slc9b2,Rplp1,Rplp1,Rplp1,Slc9b2,Slc9b2,Rpsa,Nucb1,Nucb1,Arhgap31,Rplp1,Slc9b2,Slc9b2,Rpsa,Rplp1,Lag3,Mrgbp,Galnt3,Csf1,Arhgap31,Rplp1,Rplp1,Rpsa,Rpsa,Rpsa,Galm,Lag3,Irak3,Rplp1,Rpsa,Tnfrsf9,,Ccl3,Id3,Itgb1,Cops4,Stat1,Arhgap31,Tnfrsf9,Nucb1,Serpinb9,Rpsa,Rgs16,Gldc,Rel,Gldc,Gimap4,Bcl2,Tnfrsf9,Galm,,Slc9b2,Slc9b2,Rplp1,Runx2,Slc9b2,Syt11,Csf1,D16Ertd472e,Usp3,Slc9b2,Senp6,Lag3,Limd2
