ChIP,ChIP gene #,sc_P6_cl13_up,sc_d8_cl13_up,d5_KLRG1lo_Runx3_repressed,sc_P5_arm_up,d5_KLRG1hi_all,nascent_Il2_promoted,sc_P4_arm_up,sc_P3_arm_up,sc_P2_arm_up,nascent_48h_up,sc_P7_arm_up,d5_KLRG1lo_all,sc_all,d5_KLRG1hi_Runx3_repressed,nascent_48h_dn,sc_P3_cl13_up,d5_KLRG1hi_Runx3_promoted,sc_P7_cl13_up,d5_KLRG1lo_Runx3_promoted,sc_P9_cl13_up,sc_d8_arm_up,nascent_all,sc_d5_cl13_up,sc_P9_arm_up,sc_P6_arm_up,sc_P2_cl13_up,sc_d5_arm_up,nascent_Il2_repressed,sc_P5_cl13_up,sc_P4_cl13_up
2021_GoldrathLab_Brd4___BRD4_TE-CD8,8410,0.0305,0.3529,0.0832,0.0306,0.2098,0.1011,0.0117,0.0538,0.0157,0.2132,0.0050,0.2098,0.4922,0.1286,0.2401,0.0635,0.1506,0.0148,0.0765,0.0101,0.1294,0.2922,0.1630,0.0696,0.0422,0.0050,0.1331,0.0910,0.0303,0.0150
2021_GoldrathLab_Brd4___BRD4_NAV-CD8,7333,0.0284,0.3094,0.0822,0.0281,0.1832,0.1005,0.0105,0.0485,0.0145,0.1806,0.0053,0.1832,0.4273,0.1139,0.2476,0.0606,0.1507,0.0122,0.0726,0.0091,0.1276,0.2574,0.1545,0.0656,0.0371,0.0049,0.1267,0.0905,0.0289,0.0134
2021_GoldrathLab_Brd4___BRD4_MP-CD8,7086,0.0326,0.3158,0.0866,0.0312,0.1773,0.1006,0.0130,0.0557,0.0175,0.1891,0.0059,0.1773,0.4199,0.1189,0.2284,0.0688,0.1612,0.0135,0.0775,0.0107,0.1361,0.2489,0.1670,0.0638,0.0440,0.0055,0.1287,0.0917,0.0339,0.0156
2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,8091,0.0281,0.3559,0.0841,0.0287,0.2033,0.1014,0.0086,0.0532,0.0132,0.2016,0.0046,0.2033,0.4807,0.1322,0.2538,0.0579,0.1511,0.0121,0.0758,0.0094,0.1285,0.2883,0.1588,0.0638,0.0432,0.0041,0.1379,0.0911,0.0276,0.0141
2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,7425,0.0299,0.3335,0.0877,0.0298,0.1863,0.1014,0.0093,0.0578,0.0141,0.1846,0.0050,0.1863,0.4433,0.1348,0.2511,0.0595,0.1525,0.0128,0.0735,0.0101,0.1357,0.2658,0.1615,0.0577,0.0430,0.0040,0.1391,0.0918,0.0281,0.0143
2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,14161,0.0215,0.3520,0.0648,0.0217,0.3498,0.0935,0.0092,0.0369,0.0145,0.2401,0.0030,0.3498,0.6863,0.1063,0.2230,0.0467,0.1205,0.0116,0.0628,0.0068,0.0929,0.4327,0.1217,0.0745,0.0313,0.0037,0.1177,0.0829,0.0208,0.0105
2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,821,0.0510,0.0368,0.0712,0.0394,0.0206,0.0375,0.0168,0.0568,0.0201,0.0353,0.0129,0.0206,0.0446,0.0426,0.0390,0.0571,0.0407,0.0223,0.0361,0.0110,0.0708,0.0276,0.0668,0.0259,0.0328,0.0115,0.0477,0.0479,0.0477,0.0294
2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,214,0.0018,0.0024,0.0030,0.0036,0.0050,0.0014,0.0056,0.0038,0.0022,0.0028,0.0039,0.0050,0.0044,0.0014,0.0049,0.0021,0.0052,0.0000,0.0037,0.0000,0.0036,0.0062,0.0047,0.0034,0.0070,0.0000,0.0042,0.0025,0.0037,0.0000
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,5045,0.0248,0.2474,0.0664,0.0277,0.1281,0.1074,0.0111,0.0450,0.0173,0.1669,0.0041,0.1281,0.3095,0.0792,0.1762,0.0575,0.1581,0.0110,0.0683,0.0068,0.1200,0.1791,0.1260,0.0680,0.0380,0.0041,0.1288,0.0613,0.0264,0.0125
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,1603,0.0303,0.1039,0.0515,0.0286,0.0409,0.0721,0.0098,0.0471,0.0176,0.0713,0.0049,0.0409,0.1020,0.0482,0.0804,0.0471,0.1165,0.0084,0.0560,0.0089,0.0929,0.0593,0.0888,0.0370,0.0416,0.0036,0.0866,0.0366,0.0322,0.0162
2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,1642,0.0511,0.0752,0.0998,0.0350,0.0410,0.0683,0.0182,0.0582,0.0189,0.0704,0.0132,0.0410,0.0880,0.0535,0.0686,0.0781,0.0732,0.0235,0.0544,0.0098,0.0966,0.0555,0.1080,0.0435,0.0328,0.0107,0.0637,0.0743,0.0599,0.0292
2017_PNAS_Li___STAT5B_noIL2-CD8,282,0.0049,0.0090,0.0114,0.0048,0.0066,0.0085,0.0047,0.0094,0.0096,0.0081,0.0000,0.0066,0.0089,0.0063,0.0077,0.0069,0.0085,0.0021,0.0078,0.0000,0.0080,0.0082,0.0064,0.0064,0.0103,0.0000,0.0109,0.0091,0.0067,0.0023
2017_PNAS_Li___STAT5B_IL2-WT-CD4,1746,0.0542,0.0848,0.0996,0.0311,0.0433,0.1037,0.0123,0.0521,0.0179,0.0822,0.0107,0.0433,0.0945,0.0573,0.0701,0.0760,0.0777,0.0206,0.0465,0.0071,0.0914,0.0594,0.1063,0.0373,0.0279,0.0089,0.0710,0.0602,0.0503,0.0237
2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4,7602,0.0261,0.3176,0.0766,0.0256,0.1914,0.1205,0.0107,0.0443,0.0168,0.2222,0.0039,0.1914,0.4472,0.1108,0.2070,0.0575,0.1451,0.0137,0.0690,0.0093,0.1142,0.2629,0.1396,0.0711,0.0374,0.0042,0.1330,0.0722,0.0264,0.0131
2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4,5473,0.0287,0.2598,0.0782,0.0270,0.1379,0.1192,0.0119,0.0451,0.0142,0.1863,0.0049,0.1379,0.3270,0.0935,0.1806,0.0609,0.1477,0.0131,0.0665,0.0076,0.1139,0.1935,0.1331,0.0643,0.0370,0.0049,0.1264,0.0676,0.0282,0.0142
2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4,1710,0.0509,0.0799,0.0947,0.0332,0.0422,0.1038,0.0136,0.0525,0.0182,0.0807,0.0115,0.0422,0.0919,0.0557,0.0684,0.0729,0.0782,0.0210,0.0449,0.0067,0.0910,0.0582,0.1041,0.0378,0.0293,0.0074,0.0677,0.0599,0.0474,0.0241
2017_PNAS_Li___STAT5B_IL2-CD8,2526,0.0465,0.1038,0.0938,0.0291,0.0619,0.1072,0.0136,0.0466,0.0180,0.1005,0.0090,0.0619,0.1271,0.0602,0.0872,0.0738,0.0919,0.0191,0.0508,0.0081,0.0961,0.0842,0.1166,0.0402,0.0278,0.0086,0.0747,0.0751,0.0494,0.0225
2017_PNAS_Li___STAT5B_IL2-CD4,5394,0.0330,0.1839,0.0894,0.0261,0.1328,0.1044,0.0117,0.0470,0.0168,0.1650,0.0061,0.1328,0.2641,0.0766,0.1420,0.0663,0.1162,0.0151,0.0592,0.0075,0.1084,0.1742,0.1298,0.0535,0.0293,0.0050,0.0950,0.0867,0.0351,0.0167
2017_PNAS_Li___STAT3_noIL21-CD4,238,0.0142,0.0130,0.0148,0.0087,0.0059,0.0096,0.0052,0.0175,0.0083,0.0087,0.0000,0.0059,0.0106,0.0060,0.0108,0.0168,0.0121,0.0095,0.0081,0.0030,0.0118,0.0078,0.0198,0.0086,0.0068,0.0000,0.0120,0.0137,0.0182,0.0051
2017_PNAS_Li___STAT3_IL21-CD4,2779,0.0436,0.1353,0.1038,0.0311,0.0695,0.0856,0.0135,0.0504,0.0209,0.1022,0.0078,0.0695,0.1540,0.0815,0.1165,0.0707,0.0962,0.0175,0.0480,0.0088,0.1063,0.0973,0.1266,0.0488,0.0331,0.0067,0.0919,0.0861,0.0462,0.0198
2017_PNAS_Li___H3K4me3-noIL2-CD4,13677,0.0220,0.3801,0.0683,0.0225,0.3387,0.0993,0.0093,0.0389,0.0144,0.2604,0.0031,0.3387,0.7063,0.1135,0.2285,0.0494,0.1292,0.0123,0.0677,0.0072,0.0964,0.4337,0.1292,0.0789,0.0336,0.0039,0.1230,0.0857,0.0218,0.0107
2017_PNAS_Li___H3K4me3_IL2-CD4,13823,0.0221,0.3757,0.0668,0.0223,0.3424,0.0986,0.0094,0.0381,0.0145,0.2570,0.0030,0.3424,0.7069,0.1116,0.2255,0.0489,0.1276,0.0123,0.0665,0.0072,0.0950,0.4342,0.1277,0.0775,0.0330,0.0038,0.1220,0.0853,0.0216,0.0106
2017_PNAS_Li___H3K27Ac-noIL2-CD4,11701,0.0257,0.4186,0.0749,0.0262,0.2911,0.1055,0.0111,0.0453,0.0163,0.2711,0.0038,0.2911,0.6593,0.1273,0.2407,0.0561,0.1445,0.0133,0.0764,0.0085,0.1082,0.3911,0.1476,0.0864,0.0391,0.0044,0.1381,0.0907,0.0247,0.0126
2017_PNAS_Li___H3K27Ac_IL2-WT-CD4,12167,0.0239,0.4056,0.0740,0.0242,0.3030,0.1077,0.0100,0.0428,0.0150,0.2690,0.0032,0.3030,0.6791,0.1230,0.2352,0.0537,0.1398,0.0133,0.0722,0.0081,0.1054,0.4017,0.1411,0.0817,0.0362,0.0044,0.1334,0.0869,0.0234,0.0118
2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4,12990,0.0224,0.3866,0.0687,0.0232,0.3229,0.1038,0.0097,0.0394,0.0152,0.2631,0.0029,0.3229,0.6966,0.1155,0.2273,0.0502,0.1316,0.0126,0.0688,0.0075,0.0993,0.4163,0.1314,0.0808,0.0343,0.0041,0.1292,0.0832,0.0217,0.0109
2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4,12233,0.0246,0.4130,0.0736,0.0243,0.3030,0.1071,0.0103,0.0421,0.0162,0.2700,0.0034,0.3030,0.6735,0.1245,0.2371,0.0541,0.1397,0.0132,0.0736,0.0080,0.1039,0.4032,0.1428,0.0845,0.0367,0.0042,0.1343,0.0879,0.0236,0.0118
2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4,12574,0.0227,0.3957,0.0711,0.0235,0.3134,0.1060,0.0099,0.0409,0.0154,0.2663,0.0031,0.3134,0.6919,0.1189,0.2314,0.0509,0.1351,0.0129,0.0706,0.0079,0.1020,0.4086,0.1353,0.0816,0.0349,0.0042,0.1318,0.0852,0.0221,0.0113
2017_PNAS_Li___H3K27Ac_IL2-CD4,11747,0.0257,0.4191,0.0739,0.0259,0.2920,0.1118,0.0107,0.0446,0.0157,0.2761,0.0037,0.2920,0.6603,0.1249,0.2377,0.0560,0.1452,0.0136,0.0774,0.0085,0.1063,0.3925,0.1469,0.0845,0.0386,0.0043,0.1391,0.0874,0.0247,0.0127
2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN,5666,0.0297,0.3103,0.0790,0.0289,0.1447,0.0947,0.0081,0.0560,0.0132,0.1824,0.0062,0.1447,0.3619,0.1294,0.2091,0.0594,0.1482,0.0116,0.0731,0.0107,0.1293,0.2081,0.1582,0.0645,0.0410,0.0046,0.1246,0.0830,0.0285,0.0136
2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE,7288,0.0318,0.3576,0.0801,0.0337,0.1847,0.0990,0.0106,0.0596,0.0158,0.2262,0.0055,0.1847,0.4543,0.1347,0.2215,0.0620,0.1565,0.0126,0.0780,0.0107,0.1324,0.2628,0.1721,0.0643,0.0465,0.0051,0.1316,0.0863,0.0305,0.0160
2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP,6520,0.0291,0.3378,0.0806,0.0313,0.1660,0.1019,0.0095,0.0571,0.0162,0.2116,0.0054,0.1660,0.4129,0.1293,0.2117,0.0627,0.1519,0.0133,0.0790,0.0110,0.1303,0.2356,0.1616,0.0696,0.0451,0.0046,0.1306,0.0821,0.0293,0.0150
