gene_name,0,1,2,3,4,5,6,7,8,9,10
Rb1cc1,1.3365451,-0.4639495,1.2246177,0.26871336,-1.428249,-0.5025476,0.332205,0.360273,-0.4189296,-0.056710295,1.499016
Pcmtd1,0.38247782,-0.47853938,0.21362194,1.0995737,-0.67586094,-0.916387,0.60229254,0.21945342,0.028345589,0.043071337,1.0144886
Vcpip1,-0.26546487,-0.11340799,-0.12078611,0.023172004,-0.19181243,0.25416762,-0.1837178,0.29882723,0.19218794,0.33517396,0.1924606
Sgk3,-0.93325406,-0.7702503,-0.865816,1.1696736,0.591259,0.043945752,0.5593074,-0.57404906,-0.7891412,0.96667475,0.025962602
Mcmdc2,-0.42874816,-0.24642467,-0.12495465,-0.117921025,0.10837931,0.1692053,0.35582927,-0.1347858,-0.39422956,0.2647779,-0.2911669
Cspp1,-0.28095457,0.9997424,-0.017841693,0.16707107,-0.27031922,-0.59157723,-0.18802187,-0.020511612,-0.2302149,-0.16930188,0.45525277
Arfgef1,0.38465187,-0.410932,0.54656184,0.0682043,-0.5408322,-0.5755086,0.5774746,0.64198136,0.04158657,-0.2225563,-0.09812898
Ncoa2,0.7640089,0.23825265,1.0384939,-0.31831196,0.19182986,-1.3395635,-0.07175536,-0.30967575,-0.046769872,0.033403896,0.60611194
Rdh10,0.31144482,-0.46346813,0.32718644,-0.15604249,0.26730898,-0.15207791,1.0743841,-0.13114864,0.299142,-0.10545494,-0.34466028
Ube2w,0.041287057,0.23399852,0.39139634,0.24672729,-0.13443531,-0.78061014,0.09199286,0.2968905,0.68838155,-0.74238485,0.019611366
Mcm3,-2.5314717,-0.7580059,-1.5570618,-0.90228754,7.7798963,3.2659192,-1.0485489,-2.306509,0.42888424,-1.3493785,-5.115746
Paqr8,-0.53552055,-0.19833887,-0.23939925,0.24354619,0.11091578,0.006560534,0.19328056,-0.26513404,-0.2901228,-0.046386838,-0.07678551
Khdc1a,-0.52860844,-0.27234972,-0.20427065,-0.20383476,-0.016926799,-0.037677187,0.09261389,-0.3617277,-0.3914552,-0.16272376,-0.10171714
Ogfrl1,-0.1151658,-0.27020797,-0.7706971,-0.10664006,1.0912526,0.8721024,0.17487028,-0.49361452,-0.45753348,-0.33208555,0.47926784
B3gat2,-0.042660214,-0.17430632,0.17772911,-0.1903118,0.14277302,0.26501298,-0.0684514,0.24732125,-0.44373852,-0.34802073,0.07164529
Lmbrd1,0.026020715,-0.23644559,0.37813774,-0.4917131,-0.08020427,0.48041525,-0.424135,0.57488227,1.7615465,-0.77970976,-0.27636123
Phf3,0.60214496,-0.6397139,0.39107692,0.14548711,-0.3166566,-1.2868208,0.8089049,0.06871368,0.1729373,0.8882827,0.4829904
Ptp4a1-1,0.018089011,-0.048313674,0.11711836,-0.15144362,0.01075166,0.522028,-0.18595365,-0.035005134,0.014346307,0.31000888,-0.22553243
Zfp451,-0.65766966,-0.22655544,-0.109885566,0.49008694,0.46293068,-0.11024674,0.49778685,0.2835274,0.67565376,0.5558494,-0.19752692
Bend6,-0.41286957,-0.3028179,-0.13916373,-0.16201016,0.060291197,0.19547,0.36339676,-0.0089980895,-0.28836623,0.04877107,-0.22864667
Ptpn18,3.4931872,-0.7543385,1.7263108,-0.35766602,-3.5492558,-2.0013957,0.82308495,0.057164058,2.6546557,0.39439514,3.7445207
Arhgef4,-0.077246234,-0.5169482,0.79946256,0.15453753,-0.28729364,-0.074003436,0.3022663,-0.012825935,-0.11827817,0.082084745,0.13013451
Hs6st1,-0.09701045,-0.57328296,-0.6205733,0.85938877,0.1710177,-0.38961875,1.285664,0.17207064,-0.6733641,0.8388205,-0.12521172
Neurl3,1.2572783,-0.74656177,-1.2659857,0.5697054,-1.1857989,-1.3021741,0.35182846,-0.64213645,-0.70537406,2.1076276,1.7438087
Arid5a,0.85757816,-0.18554528,0.34080195,-0.58742774,-1.1244588,-1.1971136,-0.026267717,0.5627862,-1.4967904,2.0986726,1.1521221
Kansl3,-0.16946237,-0.30816284,0.7115943,-0.17146304,0.3415973,-0.45177856,0.7830661,0.2960096,-0.029215295,0.08255321,-0.31476715
Cnnm3,0.097872615,-0.8620215,0.27565727,0.39790156,0.5034268,-0.2833404,1.0085862,-0.32618967,0.5161684,-0.062194414,-0.703416
Ankrd23,-0.3160867,-0.3279042,-0.18809783,-0.04692969,0.2037724,0.24241488,0.1514361,-0.104291745,-0.27576807,-0.12029396,-0.23645873
