gene_name,P9_A,P4_A,P3_A,P10_A,P0_A,P5_A,P6_A,P2_A,P7_A,P8_A,P1_A,P9_C,P4_C,P3_C,P10_C,P0_C,P5_C,P6_C,P2_C,P7_C,P8_C,P1_C
Rb1cc1,0.20944615,0.28038558,-0.057912063,0.22352473,0.076696545,-0.30772397,-0.14438224,0.02289232,-0.07221028,-0.16673855,-0.035196062,0.34338465,0.23924537,-0.07844508,0.58380735,0.09122691,-0.18204339,-0.04258269,-0.039545704,0.13699491,-0.06291369,-0.96219707
Pcmtd1,0.062995546,0.20470652,-0.0423575,0.024491865,0.3407292,-0.13178854,-0.18282847,0.05404361,0.08525901,0.60267377,-0.006376259,0.5133019,0.17571098,-0.101127416,-0.7169935,0.34357604,-0.16945335,-0.13746566,0.071164615,0.060231335,0.0131479185,-0.6811454
Vcpip1,-0.029892214,0.084903345,-0.0026959958,-0.041219298,-0.00018578622,-0.07166602,0.0067682597,-0.038963273,0.16340946,0.9120816,0.077991374,0.21488988,0.024294663,0.0060951244,-0.6755279,0.0031924874,-0.062298045,-0.0040163696,-0.012010242,0.059157863,0.04037366,-0.6689044
Sgk3,-0.12725492,0.05089987,-0.0853056,-0.18828078,0.36222643,0.103596635,-0.011552906,0.05658399,-0.11227421,-0.27942348,0.26038694,0.026175657,0.04307921,-0.174701,-0.2797713,0.36286268,-0.034545626,-0.054232184,-0.06379161,-0.08411566,-0.13797556,-0.2795592
Mcmdc2,-0.05501875,0.007957738,-0.0010702772,-0.043316234,-0.041757327,-0.016657855,-0.017066697,0.012009888,0.015723126,-0.06079904,0.057658963,0.27750325,-0.031975754,-0.050220583,-0.06462729,-0.041499794,-0.028924843,0.0031088335,0.10055666,-0.0091628125,-0.060178675,-0.062292814
Cspp1,-0.025372274,0.11412907,0.21723464,-0.021098519,0.04823725,-0.09796893,-0.09038222,-0.043621887,0.12079348,0.028876448,-0.06771575,-0.20671956,0.11878163,0.2266883,-0.6329435,0.055194903,-0.048780695,-0.16691737,-0.030314298,-0.008731073,-0.02784213,-0.6351506
Arfgef1,0.077478535,0.022793384,-0.084660426,0.09012098,0.014579771,-0.12616354,-0.111135446,0.029581044,0.05006129,0.37144402,-0.08309715,-0.20480306,0.07111398,-0.027981833,0.6360964,0.026208485,-0.118754625,-0.12610742,0.16321199,0.17438817,0.021265836,0.06958762
Ncoa2,0.12367348,0.12265756,0.06836793,0.18663533,-0.103747755,-0.029574312,-0.2386959,-0.034981128,0.119739704,0.66538095,-0.0091684945,0.31527075,0.21491458,0.07408282,-0.82690907,-0.10869129,0.033007946,-0.20686325,0.05726097,-0.08017691,-0.0040582684,-0.80585074
Rdh10,0.064452015,0.010473235,-0.07877496,0.045758463,-0.053536996,-0.021768339,-0.046517335,0.111326836,-0.06982527,-0.21661134,-0.049274914,-0.21271417,-0.09419626,-0.05585263,-0.2213277,-0.051494136,0.052645992,-0.0712159,0.04961967,0.014466512,0.08887767,-0.21845165
Ube2w,0.025105923,0.02732416,0.07264682,0.058884364,0.073036306,-0.07930384,-0.16667317,-0.007771028,0.08137521,0.002607882,-0.23323858,-0.31363195,0.15693617,0.06774444,1.1928425,0.07752884,-0.0220359,-0.112245664,-0.035507638,0.08047102,0.1654709,0.98495364
