gene_name,A5P,A5T,A8P,A8T,C5P,C8P,NP14B
Rb1cc1,-0.07200327,-0.050867897,0.2671117,0.081842266,-0.011467174,-0.0497937,0.083151884
Pcmtd1,-0.038238715,-0.07977554,0.123608336,0.013968728,-0.06809202,-0.00091029465,0.33607233
Vcpip1,-0.00464947,0.010480842,-0.033853665,-0.020011038,0.008485341,0.024334315,-0.0003565221
Sgk3,0.050083384,0.038701862,-0.112666085,-0.14597902,-0.06665111,-0.15136558,0.3501247
Mcmdc2,0.02101636,-0.028042376,-0.040867563,-0.031890098,-0.0063663693,-0.052947666,-0.041942105
Cspp1,-0.0044822204,-0.006908716,-0.0025077953,-0.021835,-0.0546584,0.122732446,0.050248023
Arfgef1,-0.040208235,-0.08859242,0.10287194,0.03766432,-0.03699653,0.068718106,0.027427198
Ncoa2,-0.050510213,-0.059277948,0.1977354,0.13527267,-0.022720318,-0.007633429,-0.10784998
Rdh10,-0.0074097435,-0.0039071986,0.050743602,0.030260544,-0.03896158,0.076391205,-0.054840967
Ube2w,-0.06716668,-0.063545786,0.07178354,0.0037985332,-0.019761978,0.15862945,0.07993235
Mcm3,0.22570673,0.010463469,-0.31460914,-0.25112742,0.17856593,-0.0037785098,-0.2833613
Paqr8,-0.0012946198,-0.030534346,-0.06717943,-0.068813674,-0.0041101053,-0.026874002,0.070288345
Khdc1a,-0.018485371,-0.025914667,-0.06678239,-0.058064938,-0.038396068,-0.055134773,-0.06872027
Ogfrl1,0.1486107,0.16324066,-0.09804698,-0.058241386,-0.17664817,-0.079926915,-0.04274746
B3gat2,-0.00018059311,-0.01875678,-0.01224252,-0.006108277,0.034386903,-0.032227375,-0.0648393
Lmbrd1,-0.025890209,-0.06849682,0.0560955,-0.008069428,0.018260254,0.26378125,-0.1611165
Phf3,-0.041641314,0.009548867,0.01934356,0.10104397,-0.060095653,0.0050471965,0.040622234
Ptp4a1-1,-0.011091762,0.01457408,-0.016686844,0.066306815,-0.019421868,0.026924483,-0.05307246
Zfp451,-0.040475283,0.0028503942,-0.03904319,-0.06583079,0.015525111,0.22893435,0.14339025
Bend6,-0.0113294395,0.0077675977,-0.047804188,-0.04907814,-0.02240065,-0.005698045,-0.055682957
Ptpn18,-0.21306148,0.035344146,0.41676232,0.3059239,-0.32421505,0.48949766,-0.10686684
Arhgef4,-0.023081634,-0.050693747,0.106204405,0.015057705,-0.035357654,-0.0058552492,0.0416312
Hs6st1,0.0030658583,0.030937713,-0.058277868,-0.040280998,-0.030532898,-0.085422084,0.27755907
Neurl3,-0.04818596,0.104876176,-0.085400365,0.03791089,-0.18430245,-0.12523422,0.1811961
Arid5a,-0.09974849,0.16476157,0.106318735,0.061762147,-0.057875406,-0.20367548,-0.18594517
Kansl3,-0.026455587,-0.03258852,0.051225368,0.016747568,0.011580345,0.08546507,-0.050106373
Cnnm3,0.030633232,-0.013911487,-0.012826753,0.026455311,-0.06697345,0.018210141,0.11335161
Ankrd23,-0.001906084,-0.030079197,-0.050638027,-0.035633612,-0.0019455319,-0.02669053,-0.020018522
Vwa3b,-0.0039962973,-0.022576796,-0.081137545,-0.04644706,-0.04057707,-0.03357263,0.057379678
Inpp4a,-0.0031755734,-0.03476604,0.08621969,0.006962539,-0.0067525445,0.033986,-0.19068822
