gene_name,A5,A8,C5,C8,NAV
Rb1cc1,-1.0500991,1.3705386,-0.044926118,-0.4504563,0.28157893
Pcmtd1,-0.99828005,0.54082674,-0.54076207,-0.17555626,1.0976546
Vcpip1,0.32305065,-0.19974945,0.12978826,-0.03359103,0.012129857
Sgk3,1.2081001,-1.0274076,-0.5281448,-1.0216545,1.1429961
Mcmdc2,0.18587291,-0.27621076,-0.00026087867,-0.4681929,-0.1220506
Cspp1,0.13930282,-0.08834322,-0.42313048,0.5197593,0.175411
Arfgef1,-1.1133621,0.5614477,-0.26847413,0.21600503,0.10177709
Ncoa2,-0.9105143,1.3311279,-0.14346437,-0.21336439,-0.3347096
Rdh10,0.14009228,0.33240503,-0.2856811,0.25915536,-0.1636702
Ube2w,-1.1337594,0.30133444,-0.11755964,0.72162914,0.27119073
Mcm3,2.7805758,-2.2354147,1.6191005,-0.1916859,-0.9010162
Paqr8,-0.07875408,-0.5310067,0.019496117,-0.3215654,0.24007331
Khdc1a,-0.21287704,-0.4844178,-0.2807292,-0.48049226,-0.20845331
Ogfrl1,3.5880313,-0.6039052,-1.491335,-0.619913,-0.12464917
B3gat2,0.058788568,-0.05935825,0.35659552,-0.35167053,-0.19593094
Lmbrd1,-0.746197,0.19197404,0.21538237,1.3129593,-0.50657994
Phf3,-0.08156519,0.5100132,-0.47074184,-0.1420538,0.14435233
Ptp4a1-1,0.29798818,0.22747491,-0.114581466,-0.019024996,-0.15796392
Zfp451,-0.14059179,-0.41163084,0.19143206,1.1169947,0.47594464
Bend6,0.22283281,-0.37464476,-0.14066519,-0.20248058,-0.16638698
Ptpn18,-1.6352626,2.878745,-2.7835057,2.582295,-0.3315374
Arhgef4,-0.5262877,0.47929138,-0.25412333,-0.20336464,0.14760786
Hs6st1,0.6236248,-0.3775295,-0.2118753,-0.65081555,0.90885514
Neurl3,0.8656726,-0.15260303,-1.5583599,-0.8747025,0.59792936
Arid5a,0.95447063,0.6756069,-0.4513002,-1.3158237,-0.5866924
