gene_name,A5,A8,C5,C8,NAV
Rb1cc1,-0.06143558,0.16988802,-0.011467174,-0.0497937,0.083151884
Pcmtd1,-0.05900713,0.06607286,-0.06809202,-0.00091029465,0.33607233
Vcpip1,0.0029156858,-0.026589481,0.008485341,0.024334315,-0.0003565221
Sgk3,0.044392623,-0.13014768,-0.06665111,-0.15136558,0.3501247
Mcmdc2,-0.0035130086,-0.036156468,-0.0063663693,-0.052947666,-0.041942105
Cspp1,-0.0056954683,-0.0126501145,-0.0546584,0.122732446,0.050248023
Arfgef1,-0.06440033,0.068652995,-0.03699653,0.068718106,0.027427198
Ncoa2,-0.05489408,0.16495688,-0.022720318,-0.007633429,-0.10784998
Rdh10,-0.005658471,0.039994728,-0.03896158,0.076391205,-0.054840967
Ube2w,-0.06535623,0.03610711,-0.019761978,0.15862945,0.07993235
Mcm3,0.1180851,-0.2812959,0.17856593,-0.0037785098,-0.2833613
Paqr8,-0.015914483,-0.06803703,-0.0041101053,-0.026874002,0.070288345
Khdc1a,-0.022200018,-0.06220774,-0.038396068,-0.055134773,-0.06872027
Ogfrl1,0.15592568,-0.077158235,-0.17664817,-0.079926915,-0.04274746
B3gat2,-0.009468687,-0.009023459,0.034386903,-0.032227375,-0.0648393
Lmbrd1,-0.047193516,0.022423727,0.018260254,0.26378125,-0.1611165
Phf3,-0.016046222,0.06221741,-0.060095653,0.0050471965,0.040622234
Ptp4a1-1,0.0017411585,0.026865665,-0.019421868,0.026924483,-0.05307246
Zfp451,-0.018812444,-0.053100493,0.015525111,0.22893435,0.14339025
Bend6,-0.0017809208,-0.04847272,-0.02240065,-0.005698045,-0.055682957
Ptpn18,-0.088858664,0.35859776,-0.32421505,0.48949766,-0.10686684
Arhgef4,-0.03688769,0.058373433,-0.035357654,-0.0058552492,0.0416312
Hs6st1,0.017001785,-0.04883367,-0.030532898,-0.085422084,0.27755907
Neurl3,0.02834511,-0.020690428,-0.18430245,-0.12523422,0.1811961
Arid5a,0.03250654,0.082936816,-0.057875406,-0.20367548,-0.18594517
Kansl3,-0.029522052,0.033132482,0.011580345,0.08546507,-0.050106373
Cnnm3,0.008360873,0.00778726,-0.06697345,0.018210141,0.11335161
Ankrd23,-0.015992641,-0.042764176,-0.0019455319,-0.02669053,-0.020018522
Vwa3b,-0.013286546,-0.06293305,-0.04057707,-0.03357263,0.057379678
Inpp4a,-0.018970806,0.044627987,-0.0067525445,0.033986,-0.19068822
