gene_name,P9,P3,P10,P0,P5,P6,P2,P7,P8,P1,P4
Rb1cc1,0.2126079,-0.06781496,0.22098069,0.079318106,-0.2638819,-0.106238976,0.022486854,0.09308253,-0.06525737,-0.035196062,0.27361736
Pcmtd1,0.07083385,-0.07070174,0.02295718,0.33955818,-0.14492743,-0.16583149,0.05507442,0.06548467,0.0264555,-0.006376259,0.19993629
Vcpip1,-0.025450202,0.0015438881,-0.042543247,0.0024102398,-0.06839812,0.0027273688,-0.03976211,0.081040375,0.06005104,0.077991374,0.07493224
Sgk3,-0.12468343,-0.12842026,-0.18847208,0.3615147,0.055407472,-0.027544398,0.04988803,-0.09002617,-0.1411685,0.26038694,0.049613245
Mcmdc2,-0.049714036,-0.02477506,-0.043359738,-0.041782577,-0.020937037,-0.009507131,0.025337256,-0.0039392295,-0.060192678,0.057658963,0.0013880348
Cspp1,-0.027751964,0.22179405,-0.022379547,0.04748196,-0.08081024,-0.11905916,-0.04028142,0.018456258,-0.0265618,-0.06771575,0.11489449
Arfgef1,0.07115691,-0.05732481,0.08817005,0.016515145,-0.12357904,-0.11674529,0.052080005,0.14829183,0.029170536,-0.08309715,0.030742902
Ncoa2,0.12752922,0.07112417,0.18452466,-0.10454854,-0.0077432925,-0.22676854,-0.026253216,-0.038214214,0.011053227,-0.0091684945,0.13783532
Rdh10,0.06027837,-0.06771971,0.045201033,-0.05372289,0.004190149,-0.055771638,0.112034895,-0.0032264167,0.081981756,-0.049274914,-0.006746585
Ube2w,0.020133024,0.070282444,0.05777781,0.07243168,-0.05932665,-0.14627974,-0.0064960797,0.08066081,0.16179453,-0.23323858,0.048647426
Mcm3,-0.362178,-0.12599756,-0.32386625,-0.28745997,1.1919494,0.436417,-0.14410882,-0.42955413,0.108585134,-0.40855578,-0.7322755
Paqr8,-0.065580375,-0.015260708,-0.065775976,0.07143531,-0.020536015,-0.032927837,0.0057248473,-0.029484913,-0.038845796,-0.03221435,0.033988558
