gene_name,0_A,0_C,0_N,10_A,10_C,1_A,1_C,2_A,2_C,2_N,3_A,3_C,3_N,4_A,4_C,5_A,5_C,6_A,6_C,6_N,7_A,7_C,8_A,8_C,9_A,9_N
Rb1cc1,1.3234327,1.3482186,-0.7532455,1.5272092,0.9676086,-0.37808654,-0.5033698,1.2164465,-1.1996456,2.935308,-1.7211641,2.217575,0.29739186,-1.6563793,-0.8393615,-0.7532905,-0.052373298,0.42376912,0.18125674,-0.70333046,-0.53170455,0.54671186,-0.44762966,-0.40681088,-0.036364134,-1.1716672
Pcmtd1,0.33712965,1.9325861,-0.56285745,1.0408299,0.6237993,-0.30076674,-0.608416,0.22446638,-0.82063454,-0.5692159,0.10042121,-0.5254016,1.1138937,-0.5626431,-0.7688947,-1.0155021,-0.6164068,0.5992682,0.44143072,0.18995576,0.3273744,0.18258725,1.5358897,-0.037894014,0.057946246,-0.8383676
Vcpip1,-0.2877155,0.7960692,-0.52688646,0.2708709,-0.19557282,-0.103614345,-0.11184827,-0.11122351,-0.7738053,-0.52659374,-0.10893754,2.13076,0.016853878,-0.18888003,-0.16914336,0.27758867,0.17688489,-0.20401831,-0.19695184,0.2527058,0.7537268,0.17749527,2.3335328,0.09415729,0.3508995,-0.823851
Sgk3,-0.94461995,0.0049886666,-0.26107728,0.052335083,-0.093922384,-0.51425636,-0.9491491,-0.8639786,-0.24649683,-0.21404952,0.5743488,-0.14675175,1.1738703,0.9006736,-0.013812284,0.15263434,-0.12162392,0.7149538,0.021073079,-0.7279652,-0.7502746,-0.50211626,-0.7381277,-0.77087873,0.9766875,-0.3621258
Mcmdc2,-0.46016148,0.9106243,-0.11817107,-0.2236483,-0.5000738,-0.0955331,-0.37265688,-0.12520516,0.041816123,-0.046081442,-0.12434053,0.04025757,-0.11712254,0.15308869,0.0176474,0.11502909,0.21924078,0.27949083,0.89170784,-0.20449881,-0.05198094,-0.1465808,-0.1745211,-0.3935454,0.2676131,-0.104469284
Cspp1,-0.25759062,-0.80372584,-0.4959695,0.45870072,0.3157327,0.98963344,0.90976006,-0.0087728845,-0.7194663,-0.4901478,-1.1192935,-0.45370194,0.19344458,-0.35239708,-0.09348637,-0.38499865,-0.79148304,-0.18657072,0.009255062,-0.30791458,0.52123386,-0.14453286,0.056659322,-0.2367055,-0.1561878,-0.7838223
Arfgef1,0.4174085,-1.3699058,1.4303266,-0.12830158,0.057784602,-0.5110493,-0.26966506,0.5363018,-0.9989264,2.8229063,-1.5024604,1.6258156,0.09237572,-0.52767426,-0.48513246,-0.52654016,-0.5488876,0.45802683,1.5091717,-0.4780522,0.13535205,0.72408503,0.9397871,0.0014798136,-0.22430973,0.05192792
Ncoa2,0.7456944,1.2060534,-0.63196933,0.5135122,0.8359452,0.24963556,0.2030155,1.0526228,-0.9719731,-0.65028954,0.44759113,-0.6214224,-0.32878393,0.07279108,0.364287,-1.3965302,-1.0289421,-0.1598798,0.36228228,0.15477403,0.515485,-0.483433,1.6975468,-0.121348105,0.050837405,-0.9862558
Rdh10,0.34400564,-0.90764207,-0.22285068,-0.20748152,-0.83677304,-0.48179337,-0.39873993,0.33028433,-0.1675614,-0.16914314,-0.4610137,-0.095877975,-0.14845031,0.12131839,0.47420168,-0.085830644,-0.22258392,1.1692516,0.7530044,-0.5840134,-0.51869303,-0.03449616,-0.57620007,0.32941326,-0.10077097,-0.28965828
Ube2w,0.080922864,-1.2376009,-0.39340684,-0.099182874,0.5222016,0.2709054,0.17366128,0.3719141,-0.50099397,3.5486162,-0.64756197,-0.3140725,0.26413056,-0.236362,0.05620501,-0.90531945,-0.46648613,0.14222251,0.09934663,-0.5193103,0.3061862,0.27859327,-0.011060169,0.7009086,-0.7651546,1.1374619
Mcm3,-2.525786,-1.3341522,-0.4375208,-4.8282905,-4.9427767,-0.6249574,-0.8151753,-1.5702828,1.6512628,-0.4195502,-0.759516,-0.4440344,-0.8969064,7.4811087,7.162695,3.3822396,2.5414357,-1.147877,-0.29506737,-0.09288665,-1.7319913,-2.3137481,-0.7253604,0.4679071,-1.337687,-0.9572326
Paqr8,-0.5299907,-0.41769594,-0.14190471,-0.09864306,0.037722945,-0.28099242,-0.09582144,-0.23932306,-0.0015248954,-0.07403778,-0.18803954,0.011327868,0.25039002,0.014322044,0.2572933,0.027214494,-0.024598042,0.24912064,0.013298532,-0.28159872,-0.522136,-0.19134696,-0.24015805,-0.28476483,-0.044134043,-0.13837968
Khdc1a,-0.52545464,-0.33753666,-0.122578315,-0.04994821,-0.29520282,-0.20844838,-0.30898917,-0.20458238,0.03564991,-0.05129789,-0.13041258,0.035767503,-0.20400266,0.010637822,-0.06081661,0.0031238259,-0.09062014,0.120332,0.048868436,-0.21473962,-0.40610933,-0.3317991,-0.1751204,-0.39069644,-0.16146034,-0.10708606
Ogfrl1,-0.085727975,-1.0141773,-0.21825391,0.8813354,-1.3713366,0.59312296,-1.1065557,-0.76966363,-0.16713697,-0.16362238,0.07016443,-0.09401011,-0.109026246,1.9511788,-0.5109473,1.9822342,-0.8909681,0.23613852,0.14875378,-0.58634275,0.52429485,-0.70188874,-0.61256486,-0.43892375,-0.32810092,-0.2986754
B3gat2,-0.025921375,-0.55581117,-0.1558222,0.01651446,0.28774858,-0.11832406,-0.21284194,0.1789426,-0.033683173,-0.0903417,-0.24601758,-0.008796883,-0.1878133,0.12682785,0.14902884,0.019293252,0.57737714,-0.110594116,0.39347485,-0.34141502,0.09002077,0.2702023,-0.32016963,-0.4375922,-0.34632903,-0.17145042
