gene_name,0_A,10_A,1_A,2_A,3_A,4_A,5_A,6_A,7_A,8_A,9_A,0_C,10_C,1_C,2_C,3_C,4_C,5_C,6_C,7_C,8_C,9_C
Rb1cc1,1.3164474,1.5272092,-0.37808654,1.2357033,0.2599722,-1.6563793,-0.7532905,0.34058177,-0.53170455,-0.44762966,-0.056710295,1.0725912,0.9676086,-0.5033698,0.99462247,0.30619305,-0.8393615,-0.052373298,-0.19156983,0.54671186,-0.40681088,-1.1716672
Pcmtd1,0.33216915,1.0408299,-0.30076674,0.22044498,1.102955,-0.5626431,-1.0155021,0.5989654,0.3273744,1.5358897,0.043071337,1.684315,0.6237993,-0.608416,-0.9967872,1.1104609,-0.7688947,-0.6164068,0.4379628,0.18258725,-0.037894014,-0.8383676
Vcpip1,-0.29211918,0.2708709,-0.103614345,-0.11474491,0.014508318,-0.18888003,0.27758867,-0.17247795,0.7537268,2.3335328,0.33517396,0.60999376,-0.19557282,-0.11184827,-0.933307,0.025616467,-0.16914336,0.17688489,-0.034994796,0.17749527,0.09415729,-0.823851
Sgk3,-0.94648314,0.052335083,-0.51425636,-0.8648994,1.1715897,0.9006736,0.15263434,0.6200365,-0.7502746,-0.7381277,0.96667475,-0.069401406,-0.093922384,-0.9491491,-0.3274391,1.1719297,-0.013812284,-0.12162392,-0.32943946,-0.50211626,-0.77087873,-0.3621258
Mcmdc2,-0.46099183,-0.2236483,-0.0955331,-0.1254413,-0.11821804,0.15308869,0.11502909,0.2503177,-0.05198094,-0.1745211,0.2647779,0.8354098,-0.5000738,-0.37265688,0.0019271184,-0.11682335,0.0176474,0.21924078,0.6050949,-0.1465808,-0.3935454,-0.104469284
Cspp1,-0.26174116,0.45870072,0.98963344,-0.01210966,0.1691096,-0.35239708,-0.38499865,-0.2111187,0.52123386,0.056659322,-0.16930188,-0.9078538,0.3157327,0.90976006,-0.8681142,0.19135459,-0.09348637,-0.79148304,-0.13907726,-0.14453286,-0.2367055,-0.7838223
Arfgef1,0.42950773,-0.12830158,-0.5110493,0.5552164,0.061650634,-0.52767426,-0.52654016,0.39606124,0.13535205,0.9397871,-0.2225563,-0.9009541,0.057784602,-0.26966506,1.0746723,0.09897129,-0.48513246,-0.5488876,0.9613723,0.72408503,0.0014798136,0.05192792
Ncoa2,0.7399788,0.5135122,0.24963556,1.047532,-0.3161362,0.07279108,-1.3965302,-0.13944814,0.515485,1.6975468,0.033403896,0.97137755,0.8359452,0.2030155,-1.1650581,-0.33097094,0.364287,-1.0289421,0.35890245,-0.483433,-0.121348105,-0.9862558
Rdh10,0.3419579,-0.20748152,-0.48179337,0.328925,-0.15582724,0.12131839,-0.085830644,1.0740998,-0.51869303,-0.57620007,-0.10545494,-0.92943513,-0.83677304,-0.39873993,-0.2379672,-0.14867656,0.47420168,-0.22258392,0.3154517,-0.03449616,0.32941326,-0.28965828
Ube2w,0.0775172,-0.099182874,0.2709054,0.39587966,0.24828608,-0.236362,-0.90531945,0.08624537,0.3061862,-0.011060169,-0.74238485,-1.2927519,0.5222016,0.17366128,1.9270009,0.2625356,0.05620501,-0.46648613,-0.16860816,0.27859327,0.7009086,1.1374619
Mcm3,-2.5285337,-4.8282905,-0.6249574,-1.5721642,-0.90149313,7.4811087,3.3822396,-1.1204568,-1.7319913,-0.7253604,-1.3493785,-1.3974186,-4.9427767,-0.8151753,0.98729146,-0.897716,7.162695,2.5414357,-0.27654642,-2.3137481,0.4679071,-0.9572326
Paqr8,-0.5309968,-0.09864306,-0.28099242,-0.23967867,0.24377432,0.014322044,0.027214494,0.21327938,-0.522136,-0.24015805,-0.046386838,-0.4389026,0.037722945,-0.09582144,-0.04934652,0.2501518,0.2572933,-0.024598042,-0.12338343,-0.19134696,-0.28476483,-0.13837968
Khdc1a,-0.5262969,-0.04994821,-0.20844838,-0.20480458,-0.20421024,0.010637822,0.0031238259,0.09522218,-0.40610933,-0.1751204,-0.16272376,-0.35691947,-0.29520282,-0.30898917,-0.006174047,-0.20362313,-0.06081661,-0.09062014,-0.063587524,-0.3317991,-0.39069644,-0.10708606
Ogfrl1,-0.08756544,0.8813354,0.59312296,-0.7702993,-0.10637678,1.9511788,1.9822342,0.17052531,0.52429485,-0.61256486,-0.33208555,-1.0297923,-1.3713366,-1.1065557,-0.23405041,-0.10928965,-0.5109473,-0.8909681,-0.16155915,-0.70188874,-0.43892375,-0.2986754
B3gat2,-0.027247265,0.01651446,-0.11832406,0.17821498,-0.19049029,0.12682785,0.019293252,-0.14088434,0.09002077,-0.32016963,-0.34802073,-0.5746547,0.28774858,-0.21284194,-0.08450171,-0.18763582,0.14902884,0.57737714,0.14760725,0.2702023,-0.4375922,-0.17145042
Lmbrd1,0.0250713,-0.2806988,-0.24437644,0.36807528,-0.49090412,0.0937502,0.22370695,-0.4472553,0.32915753,0.12717348,-0.77970976,-0.07218343,-0.18206805,-0.2048417,0.75302637,-0.47666335,-0.3610131,0.7721398,-0.7145623,0.6003699,1.7868471,-0.6091021
Phf3,0.5797149,0.41725928,-0.74513775,0.38760006,0.14999227,-0.56391335,-0.9711195,0.93840253,-0.19537595,1.0590266,0.8882827,0.74649554,0.63167834,-0.47023493,1.5504344,0.11296041,0.1444432,-1.5272479,0.43160295,0.12597755,0.1299481,-0.5305346
Ptp4a1-1,0.039160434,-0.22013465,-0.041099705,0.11805326,-0.1514046,0.12768652,0.75164366,-0.23644604,0.044127807,0.6624997,0.31000888,-0.74323946,-0.18679912,-0.05069116,-0.15960582,-0.1462295,-0.18731628,0.09927294,-0.078643546,-0.051379763,-0.014188793,-0.22874554
Zfp451,-0.6684667,-0.21961382,-0.5250199,-0.10540049,0.49211496,0.101940475,-0.21306464,0.48193893,-1.0892383,-0.4404095,0.5558494,-0.06891037,-0.048944686,0.09461523,-0.70656216,0.49138907,1.0030069,0.058056217,0.23990157,0.5851976,0.70661366,-0.6554841
Bend6,-0.408494,-0.16424578,-0.2173957,-0.13963924,-0.16234678,0.06988397,0.021579755,0.4189464,0.08093761,-0.17778818,0.04877107,-0.3709076,-0.4413577,-0.3579295,-0.0024769644,-0.16133952,0.03549509,0.41517532,-0.1665737,-0.029282745,-0.2856875,-0.10671694
Ptpn18,3.489697,3.7700331,-0.84425944,1.7396305,-0.3578949,-3.3879123,-2.1104147,0.96244454,0.6813613,1.4478997,0.39439514,1.8657376,2.609123,-0.58888775,-1.2647604,-0.3706734,-3.3097568,-1.5025318,0.49286777,-0.09012795,2.6381989,0.38666573
Arhgef4,-0.055097863,0.15397362,-0.509474,0.80192417,0.15516065,-0.15130103,-0.43930617,0.3045456,0.20443569,-0.5598155,0.082084745,-0.83723855,-0.007469327,-0.47266725,-0.26390865,0.165783,-0.47450843,0.46994644,-0.13593993,-0.062313188,-0.09602358,-0.29290324
Hs6st1,-0.07354428,-0.14156896,-0.63123494,-0.61997133,0.86075693,0.22877188,-0.29978153,1.4180139,0.3243617,-0.5626252,0.8388205,-0.88663006,-0.020949801,-0.4579305,-0.24217843,0.87139076,0.049350504,-0.45405096,1.0992987,0.12753297,-0.6607013,-0.2871232
Neurl3,1.2737926,1.927578,-0.63840955,-1.260929,0.5725099,-0.94091254,-1.1343937,0.39223897,-0.15350765,0.3692238,2.1076276,-0.12515299,0.48006257,-0.7799786,0.6346739,0.57970834,-1.4267472,-1.3248258,0.28329575,-0.7200737,-0.73376095,0.2720023
Arid5a,0.89311594,1.1153985,-0.0624806,0.33996406,-0.58539003,-1.1107663,-1.1436366,0.024149602,1.5954609,-0.13929804,2.0986726,-0.9694912,0.99337673,-0.29004347,-0.3335624,-0.6040456,-0.98568743,-1.0713629,-0.06962541,0.2936361,-1.5169312,1.3513669
Kansl3,-0.195927,-0.40721753,-0.7155838,0.71774226,-0.16995569,0.026220871,-0.3209893,0.8030968,-0.13801505,-0.07821988,0.08255321,0.6641593,0.16682363,0.13014346,-0.8040405,-0.17861564,0.8224719,-0.5652108,0.93731403,0.38016224,-0.026327845,0.65009505
Cnnm3,0.13577886,-0.47683564,-0.77625614,0.2783699,0.39908352,0.46659628,-0.17195952,0.94598734,0.42037058,0.10605559,-0.062194414,-1.2917532,-1.4794825,-0.8614901,-0.38595074,0.37404102,0.49289304,-0.3971798,1.1193848,-0.48089272,0.520593,-0.40586662
