gene_name,P9_A,P9_C,P9_N,P4_A,P4_C,P3_A,P3_C,P10_A,P10_C,P10_N,P0_A,P0_C,P0_N,P5_A,P5_C,P6_A,P6_C,P2_A,P2_C,P2_N,P7_A,P7_C,P8_A,P8_C,P1_A,P1_N
Rb1cc1,0.21049142,0.41900045,-1.0177,0.28038558,0.23924537,-0.057912063,-0.07844508,0.21983853,-0.9925277,3.7364774,-0.80391836,2.4413452,0.08858336,-0.30772397,-0.18204339,-0.14438224,-0.04258269,0.031612918,0.018927014,-0.2695384,-0.07221028,0.13699491,-0.16673855,-0.06291369,-0.029611718,-0.96219707
Pcmtd1,0.063672945,0.5825008,-0.73227817,0.20470652,0.17571098,-0.0423575,-0.101127416,0.02528651,-0.7090879,-0.7328048,0.041567024,-0.71555156,0.3447674,-0.13178854,-0.16945335,-0.18282847,-0.13746566,0.052707277,0.06412461,0.098855294,0.08525901,0.060231335,0.60267377,0.0131479185,-0.0023113843,-0.6811454
Vcpip1,-0.029339863,0.26451442,-0.67835194,0.084903345,0.024294663,-0.0026959958,0.0060951244,-0.04055064,-0.67406714,-0.6784492,-0.05560645,2.3414297,0.0005622992,-0.07166602,-0.062298045,0.0067682597,-0.0040163696,-0.04384489,-0.046775624,0.1247336,0.16340946,0.059157863,0.9120816,0.04037366,0.08249075,-0.6689044
Sgk3,-0.12712494,0.043177735,-0.27986175,0.05089987,0.04307921,-0.0853056,-0.174701,-0.18818468,-0.27972454,-0.27986485,0.26153964,-0.27976274,0.36358553,0.103596635,-0.034545626,-0.011552906,-0.054232184,0.06661227,-0.008900196,-0.27969784,-0.11227421,-0.08411566,-0.27942348,-0.13797556,0.26363963,-0.2795592
Mcmdc2,-0.055009715,0.29656583,-0.06562265,0.007957738,-0.031975754,-0.0010702772,-0.050220583,-0.04329279,-0.06411247,-0.065656945,-0.06275572,-0.06453339,-0.041473884,-0.016657855,-0.028924843,-0.017066697,0.0031088335,0.014271182,0.14234704,-0.063818865,0.015723126,-0.0091628125,-0.06079904,-0.060178675,0.058381565,-0.062292814
Cspp1,-0.024855554,-0.18309274,-0.6320025,0.11412907,0.11878163,0.21723464,0.2266883,-0.020457521,-0.63343024,-0.63197005,-0.5245612,-0.63303226,0.05596906,-0.09796893,-0.048780695,-0.09038222,-0.16691737,-0.041747753,-0.01095323,-0.10646783,0.12079348,-0.008731073,0.028876448,-0.02784213,-0.06429747,-0.6351506
Arfgef1,0.07562304,-0.34150442,2.2558212,0.022793384,0.07111398,-0.084660426,-0.027981833,0.086445205,-0.84242177,3.5931327,-0.7024074,1.7602882,0.024257887,-0.12616354,-0.118754625,-0.111135446,-0.12610742,0.03573057,0.24961326,-0.17663303,0.05006129,0.17438817,0.37144402,0.021265836,-0.08401694,0.06958762
Ncoa2,0.12449082,0.379224,-0.83588785,0.12265756,0.21491458,0.06836793,0.07408282,0.1877086,-0.822265,-0.83619714,0.2027053,-0.826062,-0.107884355,-0.029574312,0.033007946,-0.2386959,-0.20686325,-0.0385396,0.050374884,0.08434625,0.119739704,-0.08017691,0.66538095,-0.0040582684,-0.004369204,-0.80585074
Rdh10,0.06469648,-0.2121675,-0.22255398,0.010473235,-0.09419626,-0.07877496,-0.05585263,0.04604005,-0.22069344,-0.22259623,-0.21902195,-0.22121203,-0.051303227,-0.021768339,0.052645992,-0.046517335,-0.0712159,0.12121725,0.11825138,-0.22033173,-0.06982527,0.014466512,-0.21661134,0.08887767,-0.048255775,-0.21845165
Ube2w,0.025534673,-0.30448678,-0.47824475,0.02732416,0.15693617,0.07264682,0.06774444,0.05420468,-0.4700478,4.518623,-0.30560797,-0.47233248,0.07814736,-0.07930384,-0.0220359,-0.16667317,-0.112245664,-0.002227978,0.0046975347,-0.19364798,0.08137521,0.08047102,0.002607882,0.1654709,-0.24057707,0.98495364
Mcm3,-0.36249316,-0.33150092,-0.5443786,-0.7085099,-0.8529674,-0.10757552,-0.1457724,-0.3267085,1.1394968,-0.5419377,-0.35757124,-0.62190586,-0.28613737,1.1621076,1.247654,0.4619812,0.39375362,-0.15729333,-0.06382032,-0.0177897,-0.292223,-0.46603808,-0.274471,0.1174317,-0.40630987,-0.7813772
Paqr8,-0.0654043,-0.07508532,-0.10120313,0.027408155,0.06740668,-0.038379464,0.009555756,-0.065674156,-0.09652463,-0.10130937,-0.0923215,-0.097828634,0.07383615,-0.038979482,0.01389179,-0.029942328,-0.037910275,0.010620795,-0.010250796,-0.095615074,-0.070456356,-0.018600268,-0.08625978,-0.037750784,-0.0318609,-0.09088743
Khdc1a,-0.06472909,-0.052657533,-0.0722298,0.034984916,0.005883481,-0.023785647,-0.03647298,-0.05886064,-0.06872381,-0.07230942,-0.06557405,-0.069701016,-0.06873322,-0.039572116,-0.042943712,-0.033474572,-0.04901666,-0.004859139,-0.004071569,-0.068042204,-0.049188662,-0.04820993,-0.0610315,-0.05959129,-0.06582373,-0.064499386
Ogfrl1,0.00072746724,-0.24197505,-0.21566269,0.17988968,-0.19298121,0.1374679,-0.20868939,-0.16968715,-0.22037603,-0.21555567,0.027523393,-0.2190623,-0.03893361,0.27257806,-0.12336687,0.25670835,-0.18365297,0.00906039,0.013280575,-0.22129236,0.12135456,-0.12623104,-0.23071735,-0.06953458,-0.11406172,-0.22605523
B3gat2,0.00963012,-0.11372863,-0.12206767,0.045326296,0.1136103,-0.0056551765,-0.015712166,0.016358163,-0.12057389,-0.12210158,-0.119231895,-0.12099025,-0.06365368,-0.020882104,-0.005451417,-0.031103764,0.06335533,-0.032615636,0.055793677,-0.120283484,0.04175206,0.07870206,-0.11729647,-0.069260046,-0.11933827,-0.11877401
