,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.58351773,0.21304082870483398,True,0.12746369453539505,0.6816093578524273,0.2336008416466917,12.816900293363533,0.2663214683532715,0.05245944857597351,0.08864006400108337,0.2527411398738643,0.0,0.0,0.0382474605619261,0.16202085131464922,0.35248470948687916,0.8408142346520967,2.4789672706858843
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,1.0027623,0.4621080756187439,True,0.06836850903315828,0.2817885812344626,0.3110823613455641,14.817712782263897,2.1643143713474275,0.08968862891197205,0.060087624937295914,0.27235455129815017,0.0,0.0,0.39000265545210344,0.2553552229184694,0.1703691094198489,0.7246397217560236,2.4963965149737275
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.92295164,-0.43361520767211914,False,,,,,,,,,,,,,,,
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.5212348,-1.8000073432922363,False,,,,,,,,,,,,,,,
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.5928346,-0.05943703651428223,False,,,,,,,,,,,,,,,
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,9.8443985,-6.225462913513184,False,,,,,,,,,,,,,,,
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.48097825,-1.6446552276611328,False,,,,,,,,,,,,,,,
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,1.388338,-0.8662576675415039,False,,,,,,,,,,,,,,,
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.0040132967,-2.80369234085083,False,,,,,,,,,,,,,,,
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,11.40803,-3.2138867378234863,False,,,,,,,,,,,,,,,
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.12482498,-6.461236476898193,False,,,,,,,,,,,,,,,
