"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","external_gene_name"
"1","ENSMUSG00000000001",1701.46976753224,0.126228728933916,0.191657208064492,0.65861717494831,0.510141631142848,0.657776819775521,"Gnai3"
"2","ENSMUSG00000000003",0.0474493753935545,0,0.448717947245699,0,1,NA,"Pbsn"
"3","ENSMUSG00000000028",995.285587716918,6.28830886133587,0.353973430986034,17.7649176770671,1.32133897427772e-70,2.81070226947374e-68,"Cdc45"
"4","ENSMUSG00000000037",1.66759393340335,-0.123131028362356,0.678485054637668,-0.181479352449572,0.855991338414599,NA,"Scml2"
"5","ENSMUSG00000000049",1.10058755721986,-0.286148305801268,0.810735803501203,-0.352948894776229,0.724126753942193,NA,"Apoh"
"6","ENSMUSG00000000056",265.8385800958,1.20175410908774,0.257038144797493,4.67539209028506,2.93392520535502e-06,2.13020833291021e-05,"Narf"
"7","ENSMUSG00000000058",18.063853695287,1.7976755192895,0.85043796110672,2.11382323167947,0.0345303679641367,0.0862218467835463,"Cav2"
"8","ENSMUSG00000000078",2059.42383193571,-1.0408623907848,0.206357952058471,-5.0439654997636,4.55981550825179e-07,3.73444619747094e-06,"Klf6"
"9","ENSMUSG00000000085",45.0002430815816,-2.8730652951264,0.490043358772643,-5.8628797711334,4.54907616462597e-09,4.98656043923241e-08,"Scmh1"
"10","ENSMUSG00000000088",13151.3380689079,1.01524293499778,0.209676538281812,4.84194818989838,1.28572291562362e-06,9.85324460313113e-06,"Cox5a"
"11","ENSMUSG00000000093",0.83381585616095,-0.208383627389238,0.572210638663534,-0.364172934421392,0.715728876543152,NA,"Tbx2"
"12","ENSMUSG00000000094",0.730354950869449,-0.700346835349553,0.672921325211044,-1.04075589390767,0.297988854915904,NA,"Tbx4"
"13","ENSMUSG00000000103",0,NA,NA,NA,NA,NA,"Zfy2"
"14","ENSMUSG00000000120",1.31263798374998,1.03589709133561,0.874333100127392,1.18478539950584,0.236102306787559,NA,"Ngfr"
"15","ENSMUSG00000000125",1.89735543050124,-0.62663825539524,0.930958552796732,-0.673110799092751,0.500876804122678,NA,"Wnt3"
"16","ENSMUSG00000000126",3.25855245698181,-0.635926937823765,0.899234723469241,-0.70718681254919,0.479450392655944,0.630969704104776,"Wnt9a"
"17","ENSMUSG00000000127",9.0875232358034,-0.0286187835013862,0.804248163603161,-0.0355845183073461,0.971613653104889,0.988953799775238,"Fer"
"18","ENSMUSG00000000131",834.031811298119,-0.094530785896122,0.185993168593134,-0.508248698654686,0.611278942533183,0.73917946690829,"Xpo6"
"19","ENSMUSG00000000134",124.505334292995,-0.361426932943585,0.328066447277659,-1.10168819744523,0.270597249810812,0.422022323320321,"Tfe3"
"20","ENSMUSG00000000142",78.3525504737858,-1.27942355709862,0.35262309180828,-3.6283033834728,0.000285289896155738,0.00138261953675723,"Axin2"
"21","ENSMUSG00000000148",115.893366803915,-0.299543635988194,0.310708561794888,-0.964066243484902,0.335012715380606,0.489776884348414,"Brat1"
"22","ENSMUSG00000000149",97.8215647998008,-0.19285316787956,0.354747790881797,-0.543634584447121,0.586692955805969,0.719733230893882,"Gna12"
"23","ENSMUSG00000000154",0.516542901891303,-0.082103744865665,0.449156807384318,-0.182795281104163,0.85495865136208,NA,"Slc22a18"
"24","ENSMUSG00000000157",3.13765298024851,0.87502604596885,0.926197397189538,0.944751139038003,0.344785942209302,0.50020972500614,"Itgb2l"
"25","ENSMUSG00000000159",1.76029244818436,-0.0670410591601285,0.867930944267518,-0.0772423884675609,0.938430721233875,NA,"Igsf5"
"26","ENSMUSG00000000167",51.9881023825934,0.469213821118542,0.448208343819208,1.04686543119734,0.295161647410491,0.447648086702817,"Pih1d2"
"27","ENSMUSG00000000168",454.401891186029,0.0972317837172683,0.174481389624169,0.557261630748727,0.577348686832638,0.712676104096028,"Dlat"
"28","ENSMUSG00000000171",4320.12542789825,0.728392168121329,0.25851569381879,2.8175936143819,0.00483850073741476,0.0165643410412453,"Sdhd"
"29","ENSMUSG00000000182",0.50491844375557,-0.237031207274558,0.449316063597758,-0.527537799064214,0.597820174598105,NA,"Fgf23"
"30","ENSMUSG00000000183",4.44652962567902,-0.653245407901715,0.831357747853615,-0.785757286304546,0.432009694823906,0.586718912581386,"Fgf6"
"31","ENSMUSG00000000184",4288.87663074234,-1.68001553035352,0.311775902986149,-5.38853552908532,7.10341215524369e-08,6.54270396346933e-07,"Ccnd2"
"32","ENSMUSG00000000194",310.759796118779,1.13308542999621,0.287453052680346,3.94181039105621,8.08688957815573e-05,0.000447122335264311,"Gpr107"
"33","ENSMUSG00000000197",0.466203197204402,-0.293621902530695,0.495448999011467,-0.592637997284357,0.553423444149755,NA,"Nalcn"
"34","ENSMUSG00000000202",0.270761032418627,0,0.448717947245699,0,1,NA,"Btbd17"
"35","ENSMUSG00000000204",36.0556632481233,3.09024471376295,0.763735774128872,4.0462222910636,5.20508083246271e-05,0.000299353954635716,"Slfn4"
"36","ENSMUSG00000000214",0.71477218712219,-0.0804740946187864,0.451116027693225,-0.178388905910281,0.858417561369172,NA,"Th"
"37","ENSMUSG00000000215",0.239057708242654,0,0.448717947245699,0,1,NA,"Ins2"
"38","ENSMUSG00000000216",0.146575041336662,0,0.448717947245699,0,1,NA,"Scnn1g"
"39","ENSMUSG00000000223",8.25982594888806,-1.3827166211199,0.872209381104525,-1.58530354187305,0.112897384713259,0.219703486775281,"Drp2"
"40","ENSMUSG00000000244",1585.00721827555,-0.847932364650837,0.264204319807088,-3.20938115345716,0.00133021025975897,0.00535246413570193,"Tspan32"
"41","ENSMUSG00000000247",6.07985902900958,1.61388666942675,0.898681900922354,1.79583751243944,0.0725203628276357,0.155565962288064,"Lhx2"
"42","ENSMUSG00000000248",6.83594952949043,2.04317058758074,0.908001649071988,2.25018378509437,0.0244372811721619,0.064541483713255,"Clec2g"
"43","ENSMUSG00000000253",1.80901667777287,0,0.7783371235108,0,1,NA,"Gmpr"
"44","ENSMUSG00000000263",0.112587175247933,0,0.448717947245699,0,1,NA,"Glra1"
"45","ENSMUSG00000000266",2.52623204163244,-0.958256523196695,0.929528174842419,-1.03090637716188,0.302584725789368,NA,"Mid2"
"46","ENSMUSG00000000275",701.384929135437,-0.383921119901517,0.148523259970845,-2.58492252309087,0.00974008815282059,0.030240380199911,"Trim25"
"47","ENSMUSG00000000276",235.329432912817,-0.177287033674588,0.259140920034436,-0.684133689310932,0.493890750091144,0.643616448965054,"Dgke"
"48","ENSMUSG00000000278",405.968725098321,4.43089119221028,0.272115097771654,16.2831508743718,1.29999496346195e-59,1.96761737690909e-57,"Scpep1"
"49","ENSMUSG00000000282",126.969635164435,0.111711106602533,0.37391359490014,0.298761821250087,0.765121783389752,0.853932301239756,"Mnt"
"50","ENSMUSG00000000290",4324.24508001294,1.61285121487213,0.175017828083774,9.21535384441024,3.10253313248088e-20,8.9939178707885e-19,"Itgb2"
"51","ENSMUSG00000000295",1412.32762010487,-0.12157154475535,0.282190400546765,-0.430813892038127,0.666603697637611,0.781602145587608,"Hddc2"
"52","ENSMUSG00000000296",0.241978160128254,-0.101062985877178,0.448717947245699,-0.225226083550966,0.821803398943397,NA,"Tpd52l1"
"53","ENSMUSG00000000301",60.5830466813729,-2.4696983098174,0.474508328274798,-5.2047522933826,1.94255546280993e-07,1.6903131862958e-06,"Pemt"
"54","ENSMUSG00000000303",2.71808469320352,-1.43945644478311,0.934393240770707,-1.5405253184364,0.123432356176392,NA,"Cdh1"
"55","ENSMUSG00000000305",1.22234392687439,-0.894359931295116,0.697990359022007,-1.28133565132368,0.200075795656676,NA,"Cdh4"
"56","ENSMUSG00000000308",1.07256919438156,-0.392710934200165,0.837581785225396,-0.468862791822156,0.639167713681075,NA,"Ckmt1"
"57","ENSMUSG00000000317",2.82208533296591,0.722329442785371,0.922710149787717,0.782834612745458,0.433724238971183,NA,"Bcl6b"
"58","ENSMUSG00000000318",1.88672760112829,-0.618096507866951,0.892409017611898,-0.692615712827497,0.488550746907369,NA,"Clec10a"
"59","ENSMUSG00000000320",17.7535603757878,0.380194606084661,0.749797645981733,0.507062949746743,0.612110650376855,0.740033313946395,"Alox12"
"60","ENSMUSG00000000325",6.21244608550241,-1.50737144207041,0.919371576673434,-1.63956715686658,0.101095196588471,0.201384395026464,"Arvcf"
"61","ENSMUSG00000000326",916.094638057087,1.01069764613499,0.201021635324509,5.02780531311181,4.96125187862346e-07,4.03800753988686e-06,"Comt"
"62","ENSMUSG00000000339",879.464315432433,0.0572555000341943,0.187328610413594,0.30564204745758,0.759877202243551,0.849972803625244,"Rtca"
"63","ENSMUSG00000000340",210.168842736951,0.335880361738398,0.310373956502278,1.08217959239738,0.279172734664838,0.43066033088585,"Dbt"
"64","ENSMUSG00000000346",8165.86806731908,0.293396423170677,0.273433879892323,1.0730068391167,0.283268047599465,0.435356603911656,"Dazap2"
"65","ENSMUSG00000000355",2357.58631171513,-0.0633568453020641,0.250922498629218,-0.252495673557295,0.800657957801988,0.877596052765203,"Mcts1"
"66","ENSMUSG00000000359",0.765026818629578,-0.211906471084705,0.720068472843195,-0.294286556177069,0.768538944676018,NA,"Rem1"
"67","ENSMUSG00000000365",2.74328177052154,-0.220772174940399,0.921943542136844,-0.239463876962251,0.810745903718849,NA,"Rnf17"
"68","ENSMUSG00000000374",421.071680561738,-0.338856213880314,0.271975964579055,-1.24590499901259,0.212799274608432,0.353756748016271,"Trappc10"
"69","ENSMUSG00000000378",1364.08833456922,-0.515503885074189,0.204933772731424,-2.51546574390051,0.0118875228959846,0.0356965848732722,"Ccm2"
"70","ENSMUSG00000000381",0,NA,NA,NA,NA,NA,"Wap"
"71","ENSMUSG00000000384",432.735832081654,-1.03097949304541,0.279927151817747,-3.68302783903098,0.000230479978070814,0.00114773341816282,"Tbrg4"
"72","ENSMUSG00000000385",0.229632100013313,0,0.448717947245699,0,1,NA,"Tmprss2"
"73","ENSMUSG00000000386",331.804170598227,1.41524870578659,0.332855524009902,4.25184082492344,2.12020537786237e-05,0.000132542306802747,"Mx1"
"74","ENSMUSG00000000392",5.66289525347038,0.219598167066047,0.924730574347002,0.237472592729094,0.812290178983466,0.884713508843509,"Fap"
"75","ENSMUSG00000000394",0.336607196207312,-0.269873851649476,0.448717947245699,-0.601433157077857,0.547551519966763,NA,"Gcg"
