,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.25174138,-0.23827803134918213,False
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.06974691,-0.10760033130645752,False
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.6830116,-0.44387876987457275,False
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.50430465,-0.679987907409668,False
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.2933962,-1.9200894832611084,False
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,5.6848874,-12.216024398803711,False
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.37097478,-0.8879821300506592,False
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,0.80920833,-0.6161011457443237,False
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.0030967416,-6.800206184387207,False
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,6.4185963,-10.83415699005127,False
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.12884197,-0.6633853912353516,False
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.12150147,-0.5707783699035645,False
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.93144304,-0.9070243835449219,False
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,7.9780855,-0.8905775547027588,False
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.46341178,-0.5665552616119385,False
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.8400273,-1.1469125747680664,False
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.07840313,-3.8620119094848633,False
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,0.9279993,-2.086003541946411,False
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,3.3022773,-2.821852445602417,False
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.25814423,-0.29087555408477783,False
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0267,0.8347816,-0.8853162527084351,False
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0581,0.71796495,-0.9295730590820312,False
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.0226,1.0868254,-1.9671409130096436,False
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.1125,0.8808467,-0.713882327079773,False
Kansl3,ENSMUSG00000010453,1,36369181,36335730,-,-0.0571,0.41996673,-0.7388116121292114,False
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,0.0154,0.22040401,-0.6594012975692749,False
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0504,3.673395,-6.122786045074463,False
Coa5,ENSMUSG00000026112,1,37430103,37417084,-,0.024,0.056681283,-3.2050890922546387,False
Mgat4a,ENSMUSG00000026110,1,37541016,37439340,-,-0.0577,2.077393,-2.078951358795166,False
Tsga10,ENSMUSG00000060771,1,37866429,37754776,-,0.0033,1.0243528,-0.9108785390853882,False
Mitd1,ENSMUSG00000026088,1,37890411,37874801,-,0.0064,0.95243466,-1.3066868782043457,False
Txndc9,ENSMUSG00000058407,1,37997893,37985189,-,0.0627,0.1050881,-3.301058292388916,False
Rev1,ENSMUSG00000026082,1,38129801,38052786,-,-0.0317,1.762231,-2.6066505908966064,False
