wilcoxon,t-test,t-test_overestim_var
Nrgn,Nrgn,Nrgn
Pdcd1,Pdcd1,Pdcd1
Gldc,Gldc,Gldc
Batf,Batf,Tox
Tox,Tox,Batf
Cd226,Cd226,Bcl2a1d
Bcl2a1d,Bcl2a1d,Gm45716
Nrp1,Mpc1,Tnfrsf4
Tnfrsf4,Casp3,Eea1
Bcl2a1b,Nab1,Vax2
Casp3,Gm45716,Nrp1
Inpp4b,Eea1,Cpd
Gm45716,Uhrf2,
Mpc1,Nrp1,
Uhrf2,Tnfrsf4,
Eea1,Bcl2a1b,
S100a4,Cpd,
Vamp5,Inpp4b,
Pglyrp1,S100a4,
Nab1,Vax2,
Tnfrsf9,Rab27a,
Cpd,Tnfrsf9,
Ndufa7,Vamp8,
Rab27a,Ptpn11,
Hif1a,Utf1,
Larp1b,Ighm,
Ptpn11,Larp1b,
Sh2d2a,Vamp5,
Plscr1,Sh2d2a,
Itgb1,Slc25a3,
Vax2,Pglyrp1,
Lztfl1,Itgb1,
Samsn1,Sdf4,
Mast4,Lztfl1,
Aim2,Ptprk,
Nfatc1,Mast4,
Rps21,Hccs,
Utf1,Cntrl,
Ifih1,Plscr1,
Rbl2,Ifih1,
Bola3,Ccdc28b,
Cntrl,B230219D22Rik,
Ptprk,Nfatc1,
Srgn,Vars,
Ighm,Gch1,
Nfat5,Hif1a,
Cd3e,Mtrex,
Gch1,Ctla4,
Rps8,Cmss1,
Rpsa,Aim2,
Ccdc28b,Nabp2,
Vamp8,Fundc2,
Sdf4,H2aj,
Hccs,Siah2,
Heatr1,Vps13a,
Wdr83os,Mmd,
Trim33,Zfp362,
Sh3bgrl,Atp6v1f,
B230219D22Rik,Ncoa1,
Dut,,
Ncoa1,,
Cxcr6,,
Vps13a,,
Rps15a,,
Ctla4,,
Mtrex,,
Nr2c2,,
Inpp5b,,
H2aj,,
Trmt1l,,
Rps3a1,,
Marcksl1,,
Mmd,,
Tmem134,,
Dph7,,
Tnfaip8,,
Tm2d3,,
Bcl2,,
Lin54,,
Apopt1,,
Pou2f2,,
Mdfic,,
Ppp1r16b,,
Cmss1,,
Gfm2,,
Smco4,,
Arpc3,,
Siah2,,
Rps7,,
Tada2a,,
Psen2,,
St3gal6,,
Zmiz2,,
Ecd,,
Cd3g,,
