,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.49489698,-0.4160797595977783,False
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.7744895,0.4595240354537964,True
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.6603848,-1.1014485359191895,False
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.4990836,-0.5874505043029785,False
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.266917,-0.03627300262451172,False
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,6.1326547,-10.456718444824219,False
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.33118594,0.07620960474014282,True
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,1.0795302,-0.627761721611023,False
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.0025340167,-3.752668857574463,False
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,7.808694,-1.7796390056610107,False
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.11606975,-1.6234104633331299,False
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.12769656,0.7422119379043579,True
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.66719514,-0.7047985792160034,False
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,41.064953,-0.5208252668380737,False
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.28715152,-0.21267688274383545,False
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.45648628,-2.1347224712371826,False
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.07109453,-2.7875781059265137,False
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,1.0641916,-1.5075509548187256,False
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,2.7294884,0.20110219717025757,True
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.389626,-0.3097093105316162,False
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0267,0.9261745,-0.8525770902633667,False
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0581,0.8215235,-1.805943250656128,False
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.0226,1.2525344,-2.35815691947937,False
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.1125,0.763064,-0.28061938285827637,False
Kansl3,ENSMUSG00000010453,1,36369181,36335730,-,-0.0571,0.40929118,-1.629805564880371,False
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,0.0154,0.27651483,-0.7312018871307373,False
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0504,3.5609999,-0.16080749034881592,False
Coa5,ENSMUSG00000026112,1,37430103,37417084,-,0.024,0.04065698,-2.642620801925659,False
Mgat4a,ENSMUSG00000026110,1,37541016,37439340,-,-0.0577,0.84684414,0.18590641021728516,True
Tsga10,ENSMUSG00000060771,1,37866429,37754776,-,0.0033,1.1663784,-0.6939657926559448,False
Mitd1,ENSMUSG00000026088,1,37890411,37874801,-,0.0064,1.029636,-1.1471941471099854,False
Txndc9,ENSMUSG00000058407,1,37997893,37985189,-,0.0627,0.05355218,-0.743918776512146,False
Rev1,ENSMUSG00000026082,1,38129801,38052786,-,-0.0317,1.8830501,-0.9337880611419678,False
Aff3,ENSMUSG00000037138,1,38664955,38177326,-,-0.0878,8.19169,0.5324693322181702,True
Rnf149,ENSMUSG00000048234,1,39577405,39551296,-,-0.0074,0.4739552,-0.8367387056350708,False
Tgfbrap1,ENSMUSG00000070939,1,43098637,43047200,-,-0.0302,0.6382209,-0.5672229528427124,False
Fhl2,ENSMUSG00000008136,1,43196984,43123074,-,0.1746,0.2291214,0.46651118993759155,True
Uxs1,ENSMUSG00000057363,1,43827800,43746966,-,0.0153,1.5923617,-0.947942852973938,False
Tex30,ENSMUSG00000026049,1,44102441,44086613,-,0.196,0.32365704,-1.742478847503662,False
Poglut2,ENSMUSG00000026047,1,44118808,44106546,-,0.0253,0.773264,-0.4763174057006836,False
Slc39a10,ENSMUSG00000025986,1,46892852,46807544,-,-0.005,0.37248644,0.06435346603393555,True
Nabp1,ENSMUSG00000026107,1,51478425,51465862,-,-0.0297,4.7784276,0.3829653263092041,True
Gls,ENSMUSG00000026103,1,52233232,52163448,-,-0.0127,6.737907,-1.0149016380310059,False
Nab1,ENSMUSG00000002881,1,52500679,52457294,-,0.0824,0.85306364,0.6509774327278137,True
Mfsd6,ENSMUSG00000041439,1,52727462,52656286,-,-0.0384,1.2056077,-1.8884315490722656,False
Inpp1,ENSMUSG00000026102,1,52817688,52785427,-,-0.0939,0.30960295,-0.4660959243774414,False
Pms1,ENSMUSG00000026098,1,53297018,53189187,-,0.0396,1.084293,-0.9857723712921143,False
Stk17b,ENSMUSG00000026094,1,53785224,53755506,-,-0.2109,0.7101108,-0.15437161922454834,False
Gtf3c3,ENSMUSG00000041303,1,54438971,54396004,-,-0.0092,0.78139096,-0.7899132966995239,False
Pgap1,ENSMUSG00000073678,1,54557684,54472994,-,-0.0425,1.2791939,-1.6955938339233398,False
Ankrd44,ENSMUSG00000052331,1,54926387,54645340,-,-0.0925,9.188629,-0.8915772438049316,False
Sf3b1,ENSMUSG00000025982,1,55027481,54985169,-,0.1117,0.27272102,-1.2758007049560547,False
Hspd1,ENSMUSG00000025980,1,55088243,55077835,-,0.5211,0.029041989,-0.38338494300842285,False
Rftn2,ENSMUSG00000025978,1,55226782,55170159,-,-0.0045,1.6951433,-0.33816444873809814,False
Boll,ENSMUSG00000025977,1,55363469,55248658,-,-0.0115,5.00359,-0.8526302576065063,False
Tyw5,ENSMUSG00000048495,1,57407101,57388237,-,0.0324,1.1954982,-0.3724457025527954,False
Kctd18,ENSMUSG00000054770,1,58018956,57955101,-,-0.017,2.4505537,-0.9953869581222534,False
Clk1,ENSMUSG00000026034,1,58424066,58410189,-,-0.1856,1.2096759,-4.153285026550293,False
Ppil3,ENSMUSG00000026035,1,58445486,58430994,-,0.0518,0.3768279,-1.1372714042663574,False
Orc2,ENSMUSG00000026037,1,58505109,58462771,-,0.0982,1.1473864,-1.1998741626739502,False
Fam126b,ENSMUSG00000038174,1,58586323,58522806,-,-0.0499,0.36782837,0.0869864821434021,True
Trak2,ENSMUSG00000026028,1,58973430,58900449,-,-0.029,1.6193364,-1.79388427734375,False
Tmem237,ENSMUSG00000038079,1,59120408,59100590,-,0.0895,0.41619095,-0.09114086627960205,False
Als2,ENSMUSG00000026024,1,59237231,59162926,-,-0.0013,3.5357533,-3.873652935028076,False
Sumo1,ENSMUSG00000026021,1,59670834,59586558,-,0.0432,20.498806,-1.130516767501831,False
Wdr12,ENSMUSG00000026019,1,60098645,60069785,-,0.0274,0.2761435,0.0675961971282959,True
Raph1,ENSMUSG00000026014,1,60567104,60482292,-,0.0546,4.533355,0.5719311237335205,True
Ino80d,ENSMUSG00000040865,1,63114667,62958418,-,-0.0481,2.1942687,-4.0034499168396,False
Ndufs1,ENSMUSG00000025968,1,63176833,63143596,-,0.0689,0.86212164,-0.7475231885910034,False
Klf7,ENSMUSG00000025959,1,64122282,64029447,-,-0.1428,0.42118376,0.0745047926902771,True
Mettl21a,ENSMUSG00000025956,1,64617242,64606473,-,0.009,0.2799598,-0.21610021591186523,False
Plekhm3,ENSMUSG00000051344,1,64956824,64785983,-,-0.0257,4.5128555,-2.018489360809326,False
Idh1,ENSMUSG00000025950,1,65186500,65158616,-,0.0008,0.85254693,-0.4239283800125122,False
Kansl1l,ENSMUSG00000026004,1,66817562,66719248,-,-0.022,6.1678615,-0.8760201930999756,False
Acadl,ENSMUSG00000026003,1,66863277,66830839,-,0.2298,0.16342053,-0.1397690773010254,False
Lancl1,ENSMUSG00000026000,1,67038872,67000517,-,-0.0089,0.87924206,-0.4529142379760742,False
Ikzf2,ENSMUSG00000025997,1,69687245,69531214,-,-0.0297,1.2636088,0.25361788272857666,True
Bard1,ENSMUSG00000026196,1,71103146,71027498,-,0.1687,1.2635639,0.8310350924730301,True
Mreg,ENSMUSG00000039395,1,72212307,72159442,-,-0.0106,0.0,-0.06914544105529785,False
Pecr,ENSMUSG00000026189,1,72284314,72259167,-,0.0158,0.3197086,-0.11594593524932861,False
Aamp,ENSMUSG00000006299,1,74284738,74279840,-,-0.0204,0.050382115,-2.3526740074157715,False
Usp37,ENSMUSG00000033364,1,74544284,74435511,-,0.0575,4.932414,-0.310732364654541,False
Zfp142,ENSMUSG00000026135,1,74588246,74565127,-,-0.0118,1.2053071,-0.40105223655700684,False
Rnf25,ENSMUSG00000026171,1,74601397,74593748,-,-0.0325,0.5169215,-0.6430764198303223,False
Nhej1,ENSMUSG00000026162,1,75125200,74967139,-,0.0699,0.8904272,-0.5689533948898315,False
