comparison,pathway,NES,padj,pval,leadingEdge_signal,mlog10padj,mlog10pval
0_A,48h_IL2_promoted,1.6155121916014588,0.01180832074694494,0.00590416037347247,20,1.9278118587107027,2.228841854374684
0_A,48h_IL2_repressed,1.3963593617887449,0.018612321828248322,0.018612321828248322,23,1.7301994466274881,1.7301994466274881
0_C,48h_IL2_repressed,1.5883658293626657,2.0381127076327322e-4,1.0190563538163661e-4,26,3.6907718031806627,3.991801798844644
0_C,48h_IL2_promoted,1.697958118281057,0.0018097500282773442,0.0018097500282773442,21,2.742381407913663,2.742381407913663
0_N,48h_IL2_promoted,1.08793964091312,0.737649063032368,0.368824531516184,13,0.13215020489424903,0.43318020055823026
0_N,48h_IL2_repressed,0.827990777329177,0.85691398818464,0.85691398818464,12,0.06706276772841584,0.06706276772841584
1_A,48h_IL2_repressed,-1.0337094978863246,0.6708937198067633,0.35135135135135137,20,0.17334627350799373,0.45425837176015815
1_A,48h_IL2_promoted,0.8629565383105726,0.6708937198067633,0.6708937198067633,15,0.17334627350799373,0.17334627350799373
1_C,48h_IL2_promoted,0.979286929085943,0.609430334918547,0.5230751913552454,14,0.21507593219433013,0.28143587739756787
1_C,48h_IL2_repressed,0.9499952311910164,0.609430334918547,0.609430334918547,15,0.21507593219433013,0.21507593219433013
10_A,48h_IL2_repressed,2.056414186143349,2.926972047416947e-4,1.4634860237084735e-4,39,3.533581425058706,3.834611420722687
10_A,48h_IL2_promoted,-1.015178699523406,0.4171060339777387,0.4171060339777387,23,0.3797535274778773,0.3797535274778773
10_C,48h_IL2_repressed,1.890380338464033,2.2831050228310502e-4,1.1415525114155251e-4,33,3.6414741105040997,3.9425041061680806
10_C,48h_IL2_promoted,-1.1239994689700423,0.24821428571428572,0.24821428571428572,13,0.6051732267521053,0.6051732267521053
2_A,48h_IL2_repressed,-1.703191687276766,7.594456047085627e-4,3.7972280235428136e-4,35,3.1195033270295185,3.4205333226934997
2_A,48h_IL2_promoted,0.7311550445194549,0.8988525286867828,0.8988525286867828,17,0.04631155546496016,0.04631155546496016
2_C,48h_IL2_promoted,1.1668865083258515,0.49957710741471667,0.24978855370735834,12,0.3013974709209108,0.602427466584892
2_C,48h_IL2_repressed,0.8055510792587747,0.8413045983634897,0.8413045983634897,12,0.07504673733135041,0.07504673733135041
2_N,48h_IL2_promoted,1.2506664630607165,0.33941605839416056,0.16970802919708028,9,0.4692676142664529,0.7702976099304341
2_N,48h_IL2_repressed,1.0724056370328572,0.3618621671071356,0.3618621671071356,14,0.44145682025043737,0.44145682025043737
3_A,48h_IL2_repressed,1.445039226785804,0.02109346587465147,0.010546732937325736,19,1.675852055321276,1.9768820509852572
3_A,48h_IL2_promoted,-1.216131772161335,0.14058881905391996,0.14058881905391996,26,0.8520492171275056,0.8520492171275056
3_C,48h_IL2_repressed,1.2914974854254901,0.16972878390201224,0.08486439195100612,14,0.7702445004650558,1.0712744961290368
3_C,48h_IL2_promoted,-1.0913167764973413,0.29251439539347407,0.29251439539347407,23,0.5338527562959428,0.5338527562959428
