comparison,pathway,NES,padj,leadingEdge_signal,mlog10padj
0_A5P,TCM_vs_TEM-TRM,-1.6906484431737134,0.001764705882352941,33,2.7533276666586115
0_A5P,TEM_vs_TCM-TRM,1.1828496566870084,0.30483519146873483,25,0.515934897639347
0_A5P,TRM_vs_TCM-TEM,0.946481509310342,0.6787366727016697,18,0.16829868488589275
0_A5T,TCM_vs_TEM-TRM,-1.4607395591479293,0.0444791260241904,40,1.3518437548477715
0_A5T,TRM_vs_TCM-TEM,1.166128096647596,0.11939601494396014,18,0.9230101683216436
0_A5T,TEM_vs_TCM-TRM,-1.0114879677971176,0.4233521657250471,22,0.3732982141844456
0_A8P,TCM_vs_TEM-TRM,-2.3155900037014816,8.793785724754506e-4,43,3.0558241208962627
0_A8P,TEM_vs_TCM-TRM,1.7403807454379798,8.793785724754506e-4,30,3.0558241208962627
0_A8P,TRM_vs_TCM-TEM,-1.5129892615430027,0.0011961722488038277,23,2.9222062774390163
0_A8T,TEM_vs_TCM-TRM,1.8866549545596871,4.500450045004501e-4,27,3.346744054604849
0_A8T,TCM_vs_TEM-TRM,-2.099122852130503,4.6860356138706655e-4,40,3.329194415088451
0_A8T,TRM_vs_TCM-TEM,-1.3620952713587284,0.0010362694300518134,28,2.9845273133437926
0_C5P,TCM_vs_TEM-TRM,-2.3480832436913146,0.0016759776536312849,41,2.7757317762602307
0_C5P,TRM_vs_TCM-TEM,1.215484969101625,0.05118268746854554,21,1.2908769141870706
0_C5P,TEM_vs_TCM-TRM,1.1390670802269927,0.2560856864654333,23,0.5916146951075203
0_C8P,TCM_vs_TEM-TRM,0.9559095677613637,0.7771777177717771,18,0.10947965942002175
0_C8P,TEM_vs_TCM-TRM,0.8348850554978157,0.7771777177717771,13,0.10947965942002175
0_C8P,TRM_vs_TCM-TEM,0.9220948344074255,0.7771777177717771,12,0.10947965942002175
0_NP14B,TEM_vs_TCM-TRM,1.4171520073617534,0.08431352139065265,24,1.0741027718230127
0_NP14B,TCM_vs_TEM-TRM,-1.2584853921963453,0.10743801652892562,25,0.9688420180096133
0_NP14B,TRM_vs_TCM-TEM,0.8663136381867677,0.9245075492450755,8,0.03408953817479972
1_A5P,TRM_vs_TCM-TEM,1.741062432969681,3.009328919650918e-4,14,3.521530341278711
1_A5P,TCM_vs_TEM-TRM,-2.6015913405893416,8.138903960933262e-4,40,3.0894340761633927
