comparison,pathway,NES,padj,leadingEdge_signal,mlog10padj
A5P,2017_NAT_Akondy---YFV_D14,2.614398312371244,0.0028375502482856467,41,2.5470564390992756
A5P,2018_SCI_IMMUNOL_Patil---CD4_TCM,-1.7959116182781087,0.0028375502482856467,34,2.5470564390992756
A5P,2020_NAT_IMMUNOL_Hayward---Parenchyma_TRM,-1.8935876810672538,0.0028375502482856467,34,2.5470564390992756
A5P,2017_CELL_REP_Kumar---CD8Spleen_CD69pos_vs_neg_dn,1.6059209548349758,0.058475062105866615,25,1.2330293082580852
A5P,2017_CELL_REP_Kumar---CD8Lung_CD69pos_vs_neg_dn,1.4261112112860808,0.2770821367030442,25,0.5573914719852363
A5P,2019_JCI_Tian---DENV-TEMRA_vs_DENV-TEM_up,-1.4877241968111237,0.2853498542274053,22,0.5446223449767706
A5P,2020_NAT_IMMUNOL_Hayward---Lung_Vasculature_TRM,-1.3672968885128316,0.2853498542274053,25,0.5446223449767706
A5P,2017_CELL_REP_Kumar---CD8Lung_CD69pos_vs_neg_up,-1.2780059618344746,0.35209537788694845,30,0.4533396760697439
A5P,2020_NAT_IMMUNOL_Hayward---Lung_Intersitium_TRM,-1.33380537565245,0.35209537788694845,44,0.4533396760697439
A5P,2019_JCI_Tian---DENV_TEM,-1.226734327270448,0.35209537788694845,21,0.4533396760697439
A5P,2017_NAT_Akondy---YFV_MEM,-1.2169938535475333,0.35209537788694845,13,0.4533396760697439
A5P,2019_EJI_Remmerswaal---MP,-1.3126861392319058,0.35209537788694845,37,0.4533396760697439
A5P,2019_EJI_Remmerswaal---DP,-1.2487646957224994,0.35209537788694845,23,0.4533396760697439
A5P,2017_IMMUNITY_WOLSKI---early_Resolver_vs_Chronic_up,1.3667679288210408,0.35209537788694845,31,0.4533396760697439
A5P,2019_EJI_Remmerswaal---EE,-1.2463435393458357,0.3706028075970272,22,0.43109129489494735
A5P,2019_JCI_Tian---DENV_TEMRA,-1.1275268068962407,0.42736798849393876,23,0.36919801128074486
A5P,2018_SCI_IMMUNOL_Patil---CD4_CTL_EFF,1.128480973869899,0.42736798849393876,17,0.36919801128074486
