wilcoxon,t-test,t-test_overestim_var
Tpt1,Dapl1,Tpt1
Rps29,Igfbp4,Rps24
Rps24,Ramp1,Rps29
Rps15a,Lef1,Rps27
Rps16,Il6st,Rps15a
Rps7,Rps29,Rps7
Rplp1,Tpt1,Rpl17
Rpl17,Tdrp,Fau
Cd8b1,Rps24,Lef1
Rpl23,Pdk1,Rpl37a
Rpl35a,Ssbp2,Rplp1
Rpl21,Bcl11b,Rpl30
Rps19,Npc2,Rpl19
Rps20,Il6ra,Rpl21
Rpl19,Grap2,Rps16
Rpl30,Rpl17,Rps14
Rpl12,Rplp1,Rpl23
Rpl37a,Rps7,Rpl9
Rps27,Rps15a,Ltb
Rpl9,Rps27,Btg1
Npc2,Saraf,Rpl35a
Rps14,Rpl37a,Cd8b1
Lef1,Rpl19,Npc2
Ltb,Rpl9,Arl4c
Fau,Rpl30,Tcf7
Rps3a1,Tcf7,Dapl1
Rps4x,Arl4c,Rps19
Rps28,Pmepa1,Rpl18a
Rplp2,Rpl23,Shisa5
Rps21,Rapgef6,Rps20
Rps9,Satb1,Rpl39
Rpl39,Fau,Rps4x
Shisa5,Rpl21,Rps28
Tmsb10,Sell,Rps21
Rps23,Rps14,Sell
Rps3,Rps28,Tmsb10
Rpl5,Ltb,Rps9
Cox7a2l,Cox7a2l,Bcl11b
Rps13,Ablim1,Satb1
Tcf7,Cd8b1,Rpl12
Rpl13,Scml4,Rps3
Rpl18a,Evl,Rapgef6
Rpl34,Rps16,Rpl34
Rpl26,Rpl35a,Rps23
Btg1,Rps4x,Cox7a2l
Satb1,Maml2,Foxp1
Arl4c,Rps21,Ablim1
Bcl11b,Rps9,Rplp2
Rps27a,Foxp1,Rpl5
Saraf,Atp1b1,Grap2
Rpl27a,Tnrc6b,Evl
Rpl37,Rflnb,Rps3a1
Rapgef6,Shisa5,Rpl26
Dapl1,Btg1,Rpl27a
Rack1,Rps19,Saraf
Sell,Rps20,Rpl37
Ablim1,Bach2,Rps27a
Rpl36a,Rps23,H2-K1
Rpl8,Ccr9,Ramp1
Foxp1,Actn2,Rps13
B2m,Rpl18a,Ccr7
Rpl18,Rpl39,Il6st
Rps5,Ccr7,Rpl13
mt-Nd2,Rpl34,B2m
Cd3d,Rps3,Igfbp4
Cd8a,Ifi208,Rpl18
Rps10,Actn1,Tnrc6b
Cd3g,Rapgef4,Rpl36a
Eef1a1,Slc49a4,Peli1
Rps18,Slfn5,Cd8a
H2-K1,Ifi213,Ssbp2
Cd52,Iigp1,Cd52
Rpl36,Chd3,Rps10
Limd2,H2-DMa,mt-Nd2
Evl,Fam78a,Rgs10
Ccr7,Trdc,mt-Atp6
mt-Atp6,Tmsb10,Cd3g
mt-Co3,Rpl37,mt-Co3
Rpl32,Peli1,Rps5
Rps6,Rpl27a,Rpl8
Ptpn18,Dgka,Cd3d
Rps11,Rpl26,Chd3
mt-Nd4,Cd8a,Rack1
mt-Cytb,Tespa1,Il6ra
Grap2,Tlr1,Txnip
Fxyd5,Txnip,Pdk1
Peli1,Kcna2,Tdrp
Fyb,Rps27a,Limd2
Jak1,Idh2,Dgka
Rhoh,Rpl5,Klf13
