,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,fit_r2
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.35753205,-0.7502304315567017,False,,,,,,,,,,,,,,,,-0.039765119552612305
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.24580067,-0.3099033832550049,False,,,,,,,,,,,,,,,,-0.29945266246795654
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.63418543,-0.7498739957809448,False,,,,,,,,,,,,,,,,-0.5042864084243774
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.389053,-0.756956934928894,False,,,,,,,,,,,,,,,,-0.43942487239837646
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.2948213,-1.4126479625701904,False,,,,,,,,,,,,,,,,-1.346813678741455
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,6.2244473,-3.2460904121398926,False,,,,,,,,,,,,,,,,-1.7798900604248047
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.40131548,-0.2496262788772583,False,,,,,,,,,,,,,,,,0.31082069873809814
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,0.8341795,-0.21304607391357422,False,,,,,,,,,,,,,,,,-0.201438307762146
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.004248759,-1.4757821559906006,False,,,,,,,,,,,,,,,,0.0418543815612793
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,4.001224,-5.709447860717773,False,,,,,,,,,,,,,,,,-5.595808029174805
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.15865752,-2.470763683319092,False,,,,,,,,,,,,,,,,-0.1974344253540039
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.18922953,-0.8329983949661255,False,,,,,,,,,,,,,,,,-0.13963520526885986
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.68338805,-0.8866679668426514,False,,,,,,,,,,,,,,,,-0.8866111040115356
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,0.0,-2.137537717819214,False,,,,,,,,,,,,,,,,-2.137537717819214
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.09298674,-0.033721208572387695,False,,,,,,,,,,,,,,,,-0.016138553619384766
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.50377864,-0.0017873048782348633,False,,,,,,,,,,,,,,,,0.13987833261489868
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.07009399,-4.782336711883545,False,,,,,,,,,,,,,,,,0.02034580707550049
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,1.1961182,-1.0421710014343262,False,,,,,,,,,,,,,,,,-1.017751693725586
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,2.1089604,-1.6398119926452637,False,,,,,,,,,,,,,,,,-1.6302061080932617
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.39735013,-0.25774621963500977,False,,,,,,,,,,,,,,,,-0.18800008296966553
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0267,0.9680687,-0.8452543020248413,False,,,,,,,,,,,,,,,,-0.8417552709579468
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0581,1.0591484,-2.324324131011963,False,,,,,,,,,,,,,,,,-1.6179604530334473
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.0226,1.3343184,-0.6955785751342773,False,,,,,,,,,,,,,,,,-0.6169607639312744
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.1125,0.67498356,0.2815098166465759,True,0.0967860422893072,0.09406377919821157,0.14609846087997613,18.01047353242667,2.391438554525375,0.3259613811969757,0.17253747582435608,0.2208104391790326,0.0,0.0,0.39592904106275034,0.9529075899271987,0.49018234345291195,1.0103995743843757,5.0645094664158155,0.3123463988304138
Kansl3,ENSMUSG00000010453,1,36369181,36335730,-,-0.0571,0.6857012,-0.7285282611846924,False,,,,,,,,,,,,,,,,-0.6079604625701904
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,0.0154,0.36060154,-1.11674165725708,False,,,,,,,,,,,,,,,,-0.16530895233154297
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0504,2.900762,-1.6079912185668945,False,,,,,,,,,,,,,,,,-1.517993450164795
Coa5,ENSMUSG00000026112,1,37430103,37417084,-,0.024,0.04200505,-2.866189956665039,False,,,,,,,,,,,,,,,,0.007939040660858154
Mgat4a,ENSMUSG00000026110,1,37541016,37439340,-,-0.0577,3.4563196,-0.2809443473815918,False,,,,,,,,,,,,,,,,-0.24265432357788086
Tsga10,ENSMUSG00000060771,1,37866429,37754776,-,0.0033,1.8058702,-0.5032814741134644,False,,,,,,,,,,,,,,,,-0.4974393844604492
Mitd1,ENSMUSG00000026088,1,37890411,37874801,-,0.0064,0.8858893,-1.0425965785980225,False,,,,,,,,,,,,,,,,-0.9913322925567627
Txndc9,ENSMUSG00000058407,1,37997893,37985189,-,0.0627,0.110673875,-2.408970832824707,False,,,,,,,,,,,,,,,,-0.1233597993850708
Rev1,ENSMUSG00000026082,1,38129801,38052786,-,-0.0317,1.9064682,-1.1194334030151367,False,,,,,,,,,,,,,,,,-1.114583969116211
