,gene_ids,feature_types,n_cells,highly_variable,means,dispersions,dispersions_norm
Mrpl15,ENSMUSG00000033845,Gene Expression,602,False,0.6164713,0.43198866,-0.39830962
Lypla1,ENSMUSG00000025903,Gene Expression,484,False,0.4631585,0.435176,-0.2437556
Tcea1,ENSMUSG00000033813,Gene Expression,554,False,0.5637287,0.40589616,-0.49884528
Atp6v1h,ENSMUSG00000033793,Gene Expression,324,True,0.30662584,0.613182,0.35827246
Rb1cc1,ENSMUSG00000025907,Gene Expression,327,True,0.35633177,0.74334604,0.79849577
4732440D04Rik,ENSMUSG00000090031,Gene Expression,64,False,0.060496505,0.3502134,-0.25188014
Pcmtd1,ENSMUSG00000051285,Gene Expression,295,True,0.32673246,0.71069616,0.6880718
Gm26901,ENSMUSG00000097797,Gene Expression,12,False,0.010230305,0.26222795,-0.47950986
Rrs1,ENSMUSG00000061024,Gene Expression,316,False,0.30336463,0.34405938,-0.5519181
Mybl1,ENSMUSG00000025912,Gene Expression,25,False,0.013538173,-0.028922806,-1.2327545
Vcpip1,ENSMUSG00000045210,Gene Expression,205,False,0.19853742,0.3773356,-0.18171151
Sgk3,ENSMUSG00000025915,Gene Expression,102,True,0.12094044,0.5388794,0.2362231
Mcmdc2,ENSMUSG00000046101,Gene Expression,3,False,0.0032407104,0.22772887,-0.56876343
Snhg6,ENSMUSG00000098234,Gene Expression,592,False,0.6343136,0.56435853,0.111717895
Cops5,ENSMUSG00000025917,Gene Expression,509,False,0.48802722,0.3253365,-0.61524016
Cspp1,ENSMUSG00000056763,Gene Expression,273,True,0.26942146,0.7459922,0.8074452
Arfgef1,ENSMUSG00000067851,Gene Expression,272,False,0.24384968,0.5132344,0.16987613
Ncoa2,ENSMUSG00000005886,Gene Expression,232,False,0.21252601,0.4241026,-0.060719263
Tram1,ENSMUSG00000025935,Gene Expression,840,False,0.93307006,0.5294727,-0.21053329
Lactb2,ENSMUSG00000025937,Gene Expression,177,True,0.15327354,0.6338719,0.481981
Gm9947,ENSMUSG00000054493,Gene Expression,3,False,0.0014989199,0.19576545,-0.65145695
Msc,ENSMUSG00000025930,Gene Expression,8,False,0.0054670256,0.11259539,-0.86662865
Terf1,ENSMUSG00000025925,Gene Expression,236,False,0.20016289,0.29907578,-0.38417977
Rpl7,ENSMUSG00000043716,Gene Expression,1284,False,3.4745018,1.1256855,-1.1566714
Rdh10,ENSMUSG00000025921,Gene Expression,23,False,0.019720543,0.5028979,0.14313439
Stau2,ENSMUSG00000025920,Gene Expression,3,False,0.0013257774,-0.5950064,-2.6972857
Ube2w,ENSMUSG00000025939,Gene Expression,156,True,0.1526112,0.54111034,0.24199484
Eloc,ENSMUSG00000079658,Gene Expression,765,False,0.92288303,0.51111484,-0.2626705
Tmem70,ENSMUSG00000025940,Gene Expression,253,False,0.22864582,0.42296112,-0.06367244
Ly96,ENSMUSG00000025779,Gene Expression,56,False,0.03957634,0.10544339,-0.8851318
Mcm3,ENSMUSG00000041859,Gene Expression,439,True,0.48367634,0.73134077,0.7578932
Paqr8,ENSMUSG00000025931,Gene Expression,5,False,0.007979992,0.7952247,0.8994216
Tram2,ENSMUSG00000041779,Gene Expression,55,False,0.025792764,-0.09334336,-1.3994187
Tmem14a,ENSMUSG00000025933,Gene Expression,17,False,0.014878216,0.36610025,-0.21077883
Kcnq5,ENSMUSG00000028033,Gene Expression,11,False,0.007133934,0.033738095,-1.0706426
Gm26580,ENSMUSG00000097109,Gene Expression,4,False,0.003996353,0.5012851,0.13896175
Ogfrl1,ENSMUSG00000026158,Gene Expression,54,False,0.051870435,0.50045186,0.13680612
Smap1,ENSMUSG00000026155,Gene Expression,578,False,0.63058347,0.46857727,-0.25733194
Sdhaf4,ENSMUSG00000026154,Gene Expression,326,False,0.30259043,0.33400196,-0.58593297
Lmbrd1,ENSMUSG00000073725,Gene Expression,165,True,0.15695703,0.7584097,0.8041763
Phf3,ENSMUSG00000048874,Gene Expression,524,False,0.52828526,0.5169968,-0.07076914
Ptp4a1,ENSMUSG00000026064,Gene Expression,342,False,0.30749494,0.39697045,-0.37296933
Prim2,ENSMUSG00000026134,Gene Expression,165,False,0.11250189,0.25200927,-0.50594693
Rab23,ENSMUSG00000004768,Gene Expression,28,False,0.018036205,0.25536743,-0.49725893
Bag2,ENSMUSG00000042215,Gene Expression,44,False,0.032792646,0.2536663,-0.5016599
Zfp451,ENSMUSG00000042197,Gene Expression,144,False,0.14032201,0.4958291,0.12484645
Dst,ENSMUSG00000026131,Gene Expression,4,False,0.006178367,0.9728239,1.3588935
Gm37233,ENSMUSG00000102336,Gene Expression,8,False,0.0045263004,0.12832724,-0.8259283
Ccdc115,ENSMUSG00000042111,Gene Expression,423,False,0.38751554,0.3028676,-0.6912314
Imp4,ENSMUSG00000026127,Gene Expression,431,False,0.40608385,0.39946458,-0.36453405
Ptpn18,ENSMUSG00000026126,Gene Expression,1195,False,2.086766,0.9287118,-0.13526808
4930568A12Rik,ENSMUSG00000101223,Gene Expression,4,False,0.0030171906,0.14036752,-0.7947786
Arhgef4,ENSMUSG00000037509,Gene Expression,42,False,0.044868838,0.5086567,0.15803304
Gm38336,ENSMUSG00000104002,Gene Expression,4,False,0.004155046,0.40310022,-0.11505514
Fam168b,ENSMUSG00000037503,Gene Expression,332,False,0.30781576,0.4817593,-0.08620781
Plekhb2,ENSMUSG00000026123,Gene Expression,245,False,0.19595696,0.26019007,-0.48478213
Hs6st1,ENSMUSG00000045216,Gene Expression,42,True,0.054653067,0.67093533,0.5778689
Uggt1,ENSMUSG00000037470,Gene Expression,284,False,0.24698545,0.34879798,-0.25554204
Neurl3,ENSMUSG00000047180,Gene Expression,236,True,0.30162925,0.7331549,0.76402867
Arid5a,ENSMUSG00000037447,Gene Expression,220,True,0.25116187,0.6249007,0.45877132
4930403P22Rik,ENSMUSG00000102762,Gene Expression,14,False,0.01785167,0.41560173,-0.08271212
Kansl3,ENSMUSG00000010453,Gene Expression,232,True,0.20779583,0.6301178,0.47226855
Lman2l,ENSMUSG00000001143,Gene Expression,88,False,0.08926705,0.5092008,0.15944079
Cnnm4,ENSMUSG00000037408,Gene Expression,51,False,0.032140967,0.15497203,-0.7569948
Cnnm3,ENSMUSG00000001138,Gene Expression,58,True,0.063162215,0.610244,0.42085248
Ankrd23,ENSMUSG00000067653,Gene Expression,5,False,0.005728491,0.40178025,-0.11847008
Ankrd39,ENSMUSG00000079610,Gene Expression,215,False,0.1965702,0.37470046,-0.18852898
Cox5b,ENSMUSG00000061518,Gene Expression,1101,False,1.8934405,1.0321217,0.11649358
Actr1b,ENSMUSG00000037351,Gene Expression,270,True,0.24631047,0.61594063,0.43559048
Zap70,ENSMUSG00000026117,Gene Expression,747,False,0.78949827,0.38689044,-0.6154735
Tmem131,ENSMUSG00000026116,Gene Expression,136,False,0.123490654,0.4308684,-0.04321531
Vwa3b,ENSMUSG00000050122,Gene Expression,5,False,0.006173937,0.41599077,-0.08170562
Inpp4a,ENSMUSG00000026113,Gene Expression,145,False,0.11535765,0.3541327,-0.2417404
Coa5,ENSMUSG00000026112,Gene Expression,317,False,0.28286812,0.36908153,-0.46729153
Unc50,ENSMUSG00000026111,Gene Expression,394,False,0.36469343,0.2702924,-0.80140287
Mgat4a,ENSMUSG00000026110,Gene Expression,82,True,0.08684558,0.5791726,0.34046686
2010300C02Rik,ENSMUSG00000026090,Gene Expression,26,False,0.02116572,0.28826416,-0.41215086
Tsga10,ENSMUSG00000060771,Gene Expression,13,False,0.012343041,0.40765148,-0.10328043
Lipt1,ENSMUSG00000037216,Gene Expression,16,False,0.016988685,0.41508064,-0.08406025
Mitd1,ENSMUSG00000026088,Gene Expression,452,True,0.46630546,0.63085777,0.41805303
Mrpl30,ENSMUSG00000026087,Gene Expression,853,False,1.0205846,0.6493094,0.12980843
Txndc9,ENSMUSG00000058407,Gene Expression,534,False,0.54415554,0.37620917,-0.61323065
Eif5b,ENSMUSG00000026083,Gene Expression,784,False,0.8920007,0.5982257,-0.01527159
Rev1,ENSMUSG00000026082,Gene Expression,76,False,0.07379775,0.49083784,0.11193341
Aff3,ENSMUSG00000037138,Gene Expression,82,True,0.11237909,0.6440475,0.50830656
Gm16152,ENSMUSG00000087131,Gene Expression,93,True,0.118579395,0.5746308,0.3287166
Chst10,ENSMUSG00000026080,Gene Expression,89,False,0.08264162,0.4022195,-0.117333665
Pdcl3,ENSMUSG00000026078,Gene Expression,467,False,0.42776614,0.22792888,-0.94467914
Rpl31,ENSMUSG00000073702,Gene Expression,1265,True,3.5428061,1.6219425,0.53661036
Cnot11,ENSMUSG00000003135,Gene Expression,269,False,0.24121006,0.44781417,0.0006256093
Rnf149,ENSMUSG00000048234,Gene Expression,182,True,0.18125479,0.62534946,0.45993233
Map4k4,ENSMUSG00000026074,Gene Expression,481,True,0.5214897,0.7478928,0.81387323
Il1r2,ENSMUSG00000026073,Gene Expression,5,False,0.007291448,1.0793722,1.6345476
Il1rl2,ENSMUSG00000070942,Gene Expression,28,False,0.018695898,0.45585915,0.02143903
Il1rl1,ENSMUSG00000026069,Gene Expression,25,False,0.01533317,0.09700468,-0.90696377
Il18r1,ENSMUSG00000026070,Gene Expression,451,True,0.43597633,0.57972723,0.24512619
Il18rap,ENSMUSG00000026068,Gene Expression,321,True,0.29923478,0.68593705,0.60433483
Mfsd9,ENSMUSG00000041945,Gene Expression,10,False,0.009659621,0.24946827,-0.51252085
Mrps9,ENSMUSG00000060679,Gene Expression,457,False,0.43842608,0.3750241,-0.44719332
Tgfbrap1,ENSMUSG00000070939,Gene Expression,73,True,0.072503686,0.5824858,0.34903848
AI597479,ENSMUSG00000010290,Gene Expression,39,False,0.03473994,0.37448186,-0.18909454
Fhl2,ENSMUSG00000008136,Gene Expression,252,False,0.22321631,0.46194115,0.037173945
Nck2,ENSMUSG00000066877,Gene Expression,70,True,0.069624424,0.5835282,0.35173538
Uxs1,ENSMUSG00000057363,Gene Expression,111,False,0.08753903,0.34780046,-0.25812274
Tpp2,ENSMUSG00000041763,Gene Expression,430,False,0.40924135,0.44437525,-0.21264319
Mettl21c,ENSMUSG00000047343,Gene Expression,3,False,1e-12,,
Gm8251,ENSMUSG00000091844,Gene Expression,9,False,0.0078045083,0.40210682,-0.11762519
Tex30,ENSMUSG00000026049,Gene Expression,297,False,0.25401816,0.24597426,-0.52156025
Kdelc1,ENSMUSG00000026047,Gene Expression,26,False,0.022650262,0.3890259,-0.15146723
Bivm,ENSMUSG00000041684,Gene Expression,21,False,0.018669058,0.43017083,-0.04501997
Ercc5,ENSMUSG00000026048,Gene Expression,108,False,0.097501636,0.39279035,-0.1417281
Wdr75,ENSMUSG00000025995,Gene Expression,153,False,0.1324875,0.3847209,-0.16260484
Slc39a10,ENSMUSG00000025986,Gene Expression,62,True,0.05791948,0.5855756,0.35703215
4933411E06Rik,ENSMUSG00000099608,Gene Expression,3,False,0.0027816477,0.2825673,-0.42688936
