annotated_genes,Arm_P2,Arm_P5,Arm_P6,order - total 320
Tnfsf8,0.21450079058721375,0.15377716456501367,0.18976358825788198,21
Ccr7,0.7890190163688653,0.46868539617489247,0.6683990925302881,31
Id2,0.9819509125145326,0.9375107052602384,0.7078437311215037,35
Uhrf1,0.080620291093615,-0.053869478524206246,-0.11625073083488138,42
Il23r,0.02149792005173885,0.0169855991591988,0.011429440311284185,43
Baz1b,0.10239724592135571,0.07313923032542706,0.0007292964791842215,44
Id3,0.0011684636876145727,0.0008372319321890304,0.0007802491719190835,45
Batf3,0.11158876878783347,0.08067365418684129,0.06960670649847772,48
Nap1l1,-0.13909569785964856,-0.6278968503372656,-0.6061866640679477,63
Tcf7,0.42150478352894344,0.36081361227224684,0.45825051702468006,70
Aurkb,0.45469053116459707,0.38079820739770354,0.16762030450187096,78
Aff3,0.009916935101839419,0.007919857759178786,0.006025445374296216,83
Ncor1,-0.01545837533891384,-0.029559939944417843,-0.06928359519591727,94
Slamf6,0.023653057241582294,-0.14044360869264932,-0.1371924717520675,95
Ifngr1,0.5796979466899551,0.6522386179941488,0.6197960573634633,136
Supt16,0.1244310285885995,0.19317545295908514,0.13540027276134498,143
Phf19,0.02811257611178971,0.03167155822378088,0.03080645018991856,152
Cxcr5,0.008479741626573377,0.021652123540169408,0.018792129738737853,155
Tox,0.1895368218604659,0.22292547041353394,0.18395347397321,173
Irf4,0.05623862747870047,0.06600060670212243,0.06308203366919948,179
Cd74,0.024679991343931233,0.06877357261584477,0.07096612998499811,189
Cx3cr1,0.10252322885182746,0.1612173967095184,0.16043948212795175,197
Il18rap,0.19835151764671374,0.22488948389010788,0.23915635947278976,204
Zeb2,0.20636575705917284,0.2564594026046928,0.35837241991265667,205
Nsd2,0.06489086226605559,0.06422480926885012,0.10463959480554645,206
Ube2b,-0.12818645024152828,-0.055864298491114066,-0.024017474979306987,217
Il18r1,0.16381597269580622,0.17776866041987172,0.19391685828883173,219
Prdm1,0.038824100199827356,0.09051030142776775,0.08989582958610287,224
Il10ra,0.06063697626876909,0.07782450484920715,0.08085984818630812,226
Nt5e,0.024289332359953487,0.02865970526668436,0.030144111285378812,241
Il2ra,0.06419149701369246,0.09076251728514992,0.09580408843551019,249
Il6ra,0.1554960802442591,0.11616096861196153,0.1666991118523186,253
Batf,-0.0041924093448821925,0.3180834125922203,0.3025994833973492,259
Dnmt1,0.22795393677723869,0.25062426923111,0.3626586852944757,264
Il7r,0.35121197729178844,0.46827067801999217,0.5987552164365076,281
Klrg1,0.764655716693361,1.235572820955848,1.3913172796709286,286
Sell,0.44827053926311544,0.32929804143141383,0.5460111626797842,291
Entpd1,0.029130959844424032,0.03692151504453468,0.04692190310751395,296
