annotated_genes,Cl13_P2,Cl13_P7,Cl13_P9,Cl13_P10,order - total 320
Nap1l1,-0.08261164006684718,-0.5100762967895434,-0.41870128283671515,-0.36473502965396876,6
Sell,0.3147980218679072,-0.21212316507747941,-0.02607083737258346,0.1362309307802114,8
Uhrf1,0.06743773333032681,-0.07111416297470015,-0.058214513997698454,-0.043519185134327884,11
Batf3,0.16354498224180716,0.11252781529557607,0.018486651522299613,0.0,26
Il2ra,0.06863415914373935,0.04217199023070993,0.0944506150695082,0.042318387101002095,30
Dnmt1,0.2744862901461969,-0.18912191168297307,-0.06342775143575134,-0.21953930011146278,31
Prdm1,0.05024982543856767,0.014163043155768067,0.01177824103605934,-0.057940227649130725,32
Baz1b,0.11187024845632988,-0.13865470207675584,-0.08206709793263192,-0.1906191143406619,36
Aurkb,0.4728536370076588,0.002246893453579215,0.423232343199985,0.08624993896565836,58
Il6ra,0.16020204868048618,0.04373439860465807,0.07607998618472916,0.1608873649806838,59
Tox,0.3247843044775661,0.19881619598771058,-0.085217905369898,-0.026203952361578964,64
Tcf7,0.6253148460999531,-0.036470399696655435,0.4643212360183282,0.26930253353301137,69
Ccr7,0.9655217063288619,-0.07122155284220172,0.6393269916485775,0.0,76
Supt16,0.07872421497119013,-0.2768329923249451,-0.08626508384271542,0.44993765340992775,80
Irf4,0.04979631524363123,-0.013955765760361973,0.05415234806203755,0.007740347272574971,83
Phf19,0.02996986345214849,0.0022204698745018764,0.00017781825861076176,0.010781205984477118,98
Tnfsf8,0.25076474566014384,0.1870253318454335,-0.005988308647587435,0.0,103
Slamf6,0.25668300719247245,0.057781229466504984,-0.14308610725899293,-0.25672429719513035,113
Klrg1,0.49565631764920565,0.7449487746401645,0.17360174902068237,0.0018205969577893555,137
Nsd2,0.05611609189983604,0.05293291167198842,0.08376306063432178,0.22306610996550827,142
Il7r,0.5271880284970715,1.1196886771648564,0.4677135528554987,0.41860316319084667,145
Id2,0.9624658911772325,0.8931571387647992,-0.511916417612948,-0.5038826118176306,147
Nt5e,0.0242009013323099,0.007459431376486429,-0.013819352835697312,0.0,180
Entpd1,0.028014183190216854,0.012968009369862345,0.04069234454839985,0.05084816148627459,183
Cd74,0.026485290353194912,0.05282751066660344,0.11095848958245436,0.0,188
Batf,0.004549665728150741,0.08838249314660462,-0.05520971847428714,-0.2544939261020348,192
Ifngr1,0.5442412553230545,0.45663817929111805,0.29454443212178716,0.527468394006646,198
Aff3,0.015020551116954587,0.031964930839232394,0.0221219466125333,0.008158882525253736,203
Il10ra,0.06586505501054474,0.07018098654703932,0.0736113569382882,0.06875636276696509,206
Cxcr5,0.012673156955781908,0.02617781136566865,0.009729185371697384,0.03144972338850385,241
Il18r1,0.17522781715982014,0.2234156784981068,0.20128353564321222,0.22556212265266629,252
Id3,0.001908278439659378,0.005625248110013516,0.0009964375125796668,0.00010543079521977116,273
Ube2b,-0.14815360546539968,0.13007877369987275,0.16576311349037984,0.19633673251749698,279
Il23r,0.017245857921332028,0.019023564728387184,0.022012458407219593,0.028086162957469088,281
Cx3cr1,0.08442886888304767,0.10068342940975898,0.20091431053868858,0.03550072593122083,286
Il18rap,0.19236276912308606,0.25412704170131833,0.3728806017930099,0.36870934443569303,296
Zeb2,0.1637691210724174,0.1626316965837188,0.516591974406553,0.736610085067943,304
Ncor1,-0.03524596256943107,-0.057371479553285705,0.031177549649298832,0.11058590493886306,317
