annotated_genes,Cl13_P2,Cl13_P6,Cl13_P8,Cl13_P9,Cl13_P10,order - total 320
Aurkb,0.4728536370076588,0.1706774714986575,0.3338562611142877,0.423232343199985,0.08624993896565836,19
Uhrf1,0.06743773333032681,-0.11171959198383766,-0.09621185139770684,-0.058214513997698454,-0.043519185134327884,31
Il23r,0.017245857921332028,0.008034163842042663,0.0071255527229242025,0.022012458407219593,0.028086162957469088,36
Slamf6,0.25668300719247245,-0.01840044607143446,0.11905206862905363,-0.14308610725899293,-0.25672429719513035,44
Nap1l1,-0.08261164006684718,-0.6076236111127934,-0.591639410386958,-0.41870128283671515,-0.36473502965396876,52
Batf3,0.16354498224180716,0.06041840169719656,0.018747707106142496,0.018486651522299613,0.0,68
Ccr7,0.9655217063288619,0.5456559568096306,0.11669677109090913,0.6393269916485775,0.0,76
Id2,0.9624658911772325,0.5393718496723356,0.10171413033793233,-0.511916417612948,-0.5038826118176306,78
Id3,0.001908278439659378,0.00123847961116381,0.0001873066441091489,0.0009964375125796668,0.00010543079521977116,82
Aff3,0.015020551116954587,0.011199971093162325,0.008484214403350437,0.0221219466125333,0.008158882525253736,83
Nt5e,0.0242009013323099,0.025116382273779252,0.006038900202061957,-0.013819352835697312,0.0,93
Il2ra,0.06863415914373935,0.09517401892447681,0.08535015873007096,0.0944506150695082,0.042318387101002095,97
Il10ra,0.06586505501054474,0.07732818319065161,0.0347673501382962,0.0736113569382882,0.06875636276696509,99
Cxcr5,0.012673156955781908,0.020107505502270768,0.0024598602702626143,0.009729185371697384,0.03144972338850385,104
Il6ra,0.16020204868048618,0.12827834828690177,0.025403425232011455,0.07607998618472916,0.1608873649806838,110
Batf,0.004549665728150741,0.1988372506666389,-0.27610418100199186,-0.05520971847428714,-0.2544939261020348,114
Entpd1,0.028014183190216854,0.04246505578682623,0.03037408350256986,0.04069234454839985,0.05084816148627459,119
Il18r1,0.17522781715982014,0.21399949339439495,0.185927083166845,0.20128353564321222,0.22556212265266629,122
Irf4,0.04979631524363123,0.05327032684937989,-0.056605990548093864,0.05415234806203755,0.007740347272574971,138
Sell,0.3147980218679072,0.5736425324719814,0.2734917806558455,-0.02607083737258346,0.1362309307802114,139
Ifngr1,0.5442412553230545,0.580378699259329,-0.12735859673276553,0.29454443212178716,0.527468394006646,144
Tnfsf8,0.25076474566014384,0.21677738913142885,-0.07343424460532819,-0.005988308647587435,0.0,146
Tox,0.3247843044775661,0.2778863066960146,0.2893013661124239,-0.085217905369898,-0.026203952361578964,153
Supt16,0.07872421497119013,0.04978852759073791,-0.20599489912570074,-0.08626508384271542,0.44993765340992775,159
Prdm1,0.05024982543856767,0.0726176389658331,-0.0650744060157112,0.01177824103605934,-0.057940227649130725,171
Phf19,0.02996986345214849,0.027297630535816606,0.02498771549943013,0.00017781825861076176,0.010781205984477118,182
Dnmt1,0.2744862901461969,0.24337712924137153,0.2562104609542602,-0.06342775143575134,-0.21953930011146278,185
Il7r,0.5271880284970715,0.5809168072526829,1.1162272601701784,0.4677135528554987,0.41860316319084667,204
Nsd2,0.05611609189983604,-0.03362187878215834,0.16188421819364426,0.08376306063432178,0.22306610996550827,225
Il18rap,0.19236276912308606,0.256563807540565,0.3999613551609262,0.3728806017930099,0.36870934443569303,230
Baz1b,0.11187024845632988,-0.11560895091269989,0.16297142435823006,-0.08206709793263192,-0.1906191143406619,232
Tcf7,0.6253148460999531,0.5805802703605846,0.8098442910913418,0.4643212360183282,0.26930253353301137,239
Klrg1,0.49565631764920565,0.8823930743827072,0.950301659510842,0.17360174902068237,0.0018205969577893555,245
Cd74,0.026485290353194912,0.06133685840997995,0.09407502087531396,0.11095848958245436,0.0,276
Cx3cr1,0.08442886888304767,0.15836118775432897,0.23411201106416882,0.20091431053868858,0.03550072593122083,291
Ncor1,-0.03524596256943107,-0.11693232598526528,-0.009430592724307747,0.031177549649298832,0.11058590493886306,293
Zeb2,0.1637691210724174,0.3717350090454203,0.31977482014464187,0.516591974406553,0.736610085067943,310
Ube2b,-0.14815360546539968,0.047966441007575564,-0.04568897020519,0.16576311349037984,0.19633673251749698,313
