annotated_genes,Arm_P2,Arm_P6,Arm_P8,Arm_P9,Arm_P10,order - total 320
Id2,0.9819509125145326,0.7078437311215037,-0.019827053301916208,-0.29719148112450855,-0.42649091659199306,8
Aurkb,0.45469053116459707,0.16762030450187096,0.42427550112753903,0.2874438772869791,-0.013112647290724207,20
Baz1b,0.10239724592135571,0.0007292964791842215,-0.0687558882925339,-0.11601235159659924,-0.1700276957530751,32
Nap1l1,-0.13909569785964856,-0.6061866640679477,-0.47212714616160606,-0.32786409601949607,-0.34882004191110283,42
Il23r,0.02149792005173885,0.011429440311284185,0.019397561969077222,0.019120964038265142,0.017244143025769917,53
Uhrf1,0.080620291093615,-0.11625073083488138,-0.05825650036192679,-0.03438330742882341,-0.01075821619643408,72
Batf3,0.11158876878783347,0.06960670649847772,0.02685618327013901,0.07933504544199967,0.0015833766246870248,73
Tnfsf8,0.21450079058721375,0.18976358825788198,-0.03125892220197241,-0.03250549230437573,-0.004973232569587475,77
Id3,0.0011684636876145727,0.0007802491719190835,0.00016455955133756617,0.0003599238361134995,0.00019629466173526244,83
Sell,0.44827053926311544,0.5460111626797842,0.045367419024641385,-0.021688446126354146,0.22107192527093691,98
Prdm1,0.038824100199827356,0.08989582958610287,0.020617040772531188,-0.0874436587681089,-0.11942786736861899,111
Il10ra,0.06063697626876909,0.08085984818630812,0.06545005117721094,0.043347407428830996,0.07632370505238797,113
Klrg1,0.764655716693361,1.3913172796709286,0.998031072816107,-0.2660765651511188,-0.2880623455241556,115
Batf,-0.0041924093448821925,0.3025994833973492,-0.2575067076151922,-0.25310062718839976,-0.20337209023909145,119
Il2ra,0.06419149701369246,0.09580408843551019,0.09558184485751131,0.07542108325908677,0.0756004863446242,123
Dnmt1,0.22795393677723869,0.3626586852944757,0.28578002395397956,-0.03690567548987185,-0.1322352717675492,124
Tcf7,0.42150478352894344,0.45825051702468006,0.6179531132959056,0.040469345642312,-0.04489783087585561,128
Cx3cr1,0.10252322885182746,0.16043948212795175,0.24592640261719084,-0.02228434118147939,-0.09827411984952174,143
Il7r,0.35121197729178844,0.5987552164365076,0.9631397551963354,-0.6323370300101916,-0.15592328465480293,146
Ifngr1,0.5796979466899551,0.6197960573634633,0.28326446488308366,0.27417084469780234,0.5685477408358225,150
Phf19,0.02811257611178971,0.03080645018991856,-0.0002388966530372339,0.002261278195569376,0.006367640005820916,153
Nt5e,0.024289332359953487,0.030144111285378812,-0.0014369585065688861,-0.008351591936200635,-0.018917021770264972,163
Tox,0.1895368218604659,0.18395347397321,0.16998814045453745,-0.10340454308291913,-0.06000924867905409,169
Il18rap,0.19835151764671374,0.23915635947278976,0.3773636674456551,0.4055021089754255,0.22855386585193213,177
Ccr7,0.7890190163688653,0.6683990925302881,0.49295075829245977,0.6998686773211387,0.17166157650236152,200
Ncor1,-0.01545837533891384,-0.06928359519591727,0.054505381081967876,0.07535954897984022,0.02455576306770584,201
Zeb2,0.20636575705917284,0.35837241991265667,0.4048720243444248,0.5171243192307685,0.5223041540030727,203
Slamf6,0.023653057241582294,-0.1371924717520675,-0.27600134416887884,0.03562832072270799,-0.18257934737681203,211
Aff3,0.009916935101839419,0.006025445374296216,0.00969398881274596,0.025190303570295298,0.005302740879683046,214
Irf4,0.05623862747870047,0.06308203366919948,0.016768414981125385,0.0531913725287976,-0.03463760975994697,221
Ube2b,-0.12818645024152828,-0.024017474979306987,0.1231614417329856,0.09389943223699815,0.0899968586934862,234
Cd74,0.024679991343931233,0.07096612998499811,0.11132612922226777,0.10765327454721557,0.07549487215448317,235
Entpd1,0.029130959844424032,0.04692190310751395,0.036393949235567914,0.04642592498761472,0.04852709050286299,260
Cxcr5,0.008479741626573377,0.018792129738737853,-0.004440132052729582,0.003518955771679578,0.02944382291182003,261
Il6ra,0.1554960802442591,0.1666991118523186,0.13044078362467534,0.12030893358669156,0.19836669440092541,278
Supt16,0.1244310285885995,0.13540027276134498,-0.1261335556681113,0.33374373158230647,0.432036511339501,284
Nsd2,0.06489086226605559,0.10463959480554645,0.14734626647905866,0.19771429653528202,0.20398987670579055,289
Il18r1,0.16381597269580622,0.19391685828883173,0.21444285837677152,0.1915109094466714,0.222143604200502,312
