annotated_genes,Cl13_P2,Cl13_P5,Cl13_P3,order - total 323
Sell,0.3147980218679072,0.12705104442631773,-0.023741745037562684,10
Tcf7,0.6253148460999531,0.5239375527466995,0.4017707775439241,52
Cd69,0.2801075004910935,-0.29942347591398155,-0.15230823746648722,67
Id3,0.001908278439659378,0.0010546007714787706,0.0011664988373010954,89
Slamf6,0.25668300719247245,-0.15699173175934283,0.14098429455632416,91
Ccr9,0.09897728549017941,0.09364774570853876,0.0903784700874618,179
Zeb2,0.1637691210724174,0.19512155339494697,0.19831148759445033,226
Tbx21,0.10523633497471699,0.09289915847010415,0.10217919447265382,254
Id2,0.9624658911772325,0.760076275304784,0.748928704127665,275
Itgae,0.03134563505263748,0.024113160967611142,0.0294541543487387,312
Prdm1,0.05024982543856767,0.05036418373112479,0.06189531243227604,320
