annotated_genes,Arm_P2,Arm_P4,Arm_P9,Arm_P10,order - total 323
Id2,0.9819509125145326,0.9031365054297569,-0.29719148112450855,-0.42649091659199306,13
Ccr9,0.0819350565017788,0.07287991217093182,0.03482697360830841,0.02693302527627982,23
Cd69,0.4486864998847658,0.23411108070841416,-0.3075296592467196,-0.39472684019068877,32
Id3,0.0011684636876145727,0.0007044722897953388,0.0003599238361134995,0.00019629466173526244,56
Sell,0.44827053926311544,0.4697291608966101,-0.021688446126354146,0.22107192527093691,85
Tcf7,0.42150478352894344,0.13722206512541088,0.040469345642312,-0.04489783087585561,91
Tbx21,0.11335814191714655,0.11884225214626003,0.11279938891249937,0.08082211657487538,108
Slamf6,0.023653057241582294,0.06705524509441052,0.03562832072270799,-0.18257934737681203,129
Prdm1,0.038824100199827356,0.06744362057894014,-0.0874436587681089,-0.11942786736861899,143
Zeb2,0.20636575705917284,0.2585614502633736,0.5171243192307685,0.5223041540030727,169
Itgae,0.018768107982362985,0.009217982980510495,0.029631999409957584,0.010343702289369677,233
