louvain,NP14B,A8T,C8P,A5P,C5P,A8P,A5T
0,0.11013215859030837,42.88,0.5242463958060288,1.12,1.12,44.69964664310954,9.44
1,0.0,4.72,17.03800786369594,14.0,26.64,3.1802120141342756,18.16
2,0.11013215859030837,34.16,0.0,0.08,0.16,46.113074204947,0.24
3,97.90748898678414,0.72,0.1310615989515072,0.0,0.0,0.08833922261484099,0.16
4,0.0,2.4,4.849279161205767,23.52,19.84,1.325088339222615,15.44
5,0.0,2.64,5.6356487549148095,19.2,20.72,1.1484098939929328,17.44
6,1.6519823788546255,2.08,3.0144167758846656,27.04,2.88,1.4134275618374559,9.84
7,0.0,2.16,14.154652686762779,2.56,23.28,1.7667844522968197,2.16
8,0.0,0.72,53.86631716906946,0.08,1.76,0.0,0.0
9,0.22026431718061673,6.56,0.0,0.08,0.0,0.0,19.92
10,0.0,0.96,0.7863695937090432,12.32,3.6,0.26501766784452296,7.2
