wilcoxon,t-test,t-test_overestim_var
Ccl5,Ccl5,Ccl5
Hcst,Hcst,Hcst
H2-K1,H2-K1,H2-K1
H2-D1,Btg1,Btg1
Laptm5,H2-D1,H2-D1
Btg1,Il18rap,Il18rap
Cd52,Itgb1,Itgb1
Itgb1,Cd52,Cd52
S100a4,Rora,Rora
Ahnak,Laptm5,Laptm5
Il18rap,Cx3cr1,Cx3cr1
Junb,Zeb2,Zeb2
Ptprc,S100a4,S100a4
Tpt1,Junb,Junb
H2-Q7,Ptprc,Ptprc
Cd8b1,H2-Q7,H2-Q7
Ptpn18,B2m,B2m
Sp100,Ahnak,Ahnak
Rora,Ptpn18,Ptpn18
B2m,Cd8b1,Cd8b1
Itga4,Fau,Fau
Fau,Ogt,Ogt
Gabarapl2,Ypel3,Ypel3
Dock2,Il18r1,Il18r1
Itgal,Tpt1,Tpt1
Rps27,Sp100,Sp100
Rps14,Ier5,Ier5
Ms4a4b,Gabarapl2,Gabarapl2
Srgn,Itgal,Itgal
Rac2,Itga4,Itga4
Ier5,Rps14,Rps14
Cd3e,Cd226,Cd226
Nkg7,Ms4a4b,Ms4a4b
Zfp36l2,Dock2,Dock2
Ets1,Srgn,Srgn
Ppp1r12a,Zfp36l2,Zfp36l2
Il18r1,Rps27,Rps27
Ly6c2,Rac2,Rac2
Ogt,Ppp1r12a,Ppp1r12a
Selplg,Btg2,Btg2
Ier2,Ier2,Ier2
Fxyd5,Jak1,Jak1
Pnrc1,Pdcd4,Pdcd4
Cd3d,Fxyd5,Fxyd5
Btg2,Klrd1,Klrd1
Ypel3,Cd3e,Cd3e
Rpl17,Klrc1,Klrc1
Gmfg,Ets1,Ets1
Zeb2,Atp2b1,Atp2b1
Itm2b,Pnrc1,Pnrc1
Jak1,Selplg,Selplg
Cx3cr1,Cd3d,Cd3d
Cox7a2l,mt-Co1,mt-Co1
Gm8369,Nkg7,Nkg7
Apbb1ip,Rpl17,Rpl17
Eif3f,Itm2b,Itm2b
Rpl34,Rnf166,Rnf166
Klrd1,Gmfg,Gmfg
Rpl18a,Id2,Id2
mt-Co1,Apbb1ip,Apbb1ip
Id2,S1pr5,S1pr5
Atp2b1,Ccr2,Ccr2
Bcl11b,Cox7a2l,Cox7a2l
Rpl30,Gm8369,Gm8369
Ucp2,Rpl34,Rpl34
