gene_names,A5T,A8T,wilcoxon_logfc,wilcoxon_padj,wilcoxon_score,t-test_logfc,t-test_padj,t-test_score,t-test_overestim_var_logfc,t-test_overestim_var_padj,t-test_overestim_var_score
Mrpl15,0.6723896265029907,0.42365145683288574,-0.8621488213539124,1.54498300869324e-29,-11.525864601135254,-0.8621488213539124,2.0617801720971794e-33,-12.485755920410156,-0.8621488213539124,2.0617801720971794e-33,-12.485755920410156
Lypla1,0.32460933923721313,0.30427104234695435,-0.10878597944974899,8.984499871179229e-07,-5.152139663696289,-0.10878597944974899,0.37743860672810164,-1.192524790763855,-0.10878597944974899,0.37743860672810164,-1.192524790763855
Gm37988,0.0010231626220047474,0.0007041107164695859,-0.5393908619880676,1.0,-0.03463409096002579,-0.5393908619880676,0.8391423087955567,-0.3579939603805542,-0.5393908619880676,0.8391423087955567,-0.3579939603805542
Tcea1,0.45901015400886536,0.40655821561813354,-0.2156209796667099,2.113037506659392e-05,-4.497610569000244,-0.2156209796667099,0.015985077974663163,-2.768270969390869,-0.2156209796667099,0.015985077974663163,-2.768270969390869
Atp6v1h,0.3721000552177429,0.3304639160633087,-0.20298661291599274,9.482068360275111e-09,-5.975821495056152,-0.20298661291599274,0.05580078199790023,-2.2747178077697754,-0.20298661291599274,0.05580078199790023,-2.2747178077697754
Rb1cc1,0.3387714922428131,0.48621079325675964,0.6349149942398071,0.005371537764611666,3.0524823665618896,0.6349149942398071,8.84709768671496e-12,7.152458190917969,0.6349149942398071,8.84709768671496e-12,7.152458190917969
Pcmtd1,0.15880261361598969,0.25507575273513794,0.7555308938026428,0.4834493646492376,1.0717172622680664,0.7555308938026428,7.099461332417475e-09,6.116123676300049,0.7555308938026428,7.099461332417475e-09,6.116123676300049
Rrs1,0.2693662643432617,0.13859140872955322,-1.0562700033187866,1.4008466428168084e-30,-11.734002113342285,-1.0562700033187866,6.433525208725924e-20,-9.483741760253906,-1.0562700033187866,6.433525208725924e-20,-9.483741760253906
Adhfe1,0.0007311067311093211,0.0008620767621323466,0.23782838881015778,1.0,0.0,0.23782838881015778,0.9795780955139682,0.13617554306983948,0.23782838881015778,0.9795780955139682,0.13617554306983948
Mybl1,0.01575610414147377,0.005415695253759623,-1.5481641292572021,0.15138993753733004,-1.7546461820602417,-1.5481641292572021,0.001227166221704631,-3.580207109451294,-1.5481641292572021,0.001227166221704631,-3.580207109451294
