wilcoxon,t-test,t-test_overestim_var
H2-K1,Btg1,Btg1
Tpt1,H2-K1,H2-K1
Btg1,Hcst,Hcst
Hcst,Tpt1,Tpt1
Fau,Ccl5,Ccl5
H2-D1,Fau,Fau
Ccl5,H2-D1,H2-D1
B2m,B2m,B2m
Rps27,Rps27,Rps27
H2-Q7,H2-Q7,H2-Q7
Ptpn18,Ptpn18,Ptpn18
Cd52,Junb,Junb
Junb,Cd52,Cd52
Ptprc,Ptprc,Ptprc
Laptm5,Rpl18a,Rpl18a
Rpl18a,Laptm5,Laptm5
Cd3d,Cd8b1,Cd8b1
Cd8b1,Rpl17,Rpl17
Rpl17,Klrd1,Klrd1
Rps14,Rps14,Rps14
Ms4a4b,Cd3d,Cd3d
Rps24,Ypel3,Ypel3
Ly6c2,Pnrc1,Pnrc1
Pnrc1,Rps24,Rps24
Sp100,Rpl34,Rpl34
Srgn,Sp100,Sp100
Klrd1,Pdcd4,Pdcd4
Rpl34,Srgn,Srgn
Gimap6,Ms4a4b,Ms4a4b
Fxyd5,Fxyd5,Fxyd5
H2-T23,Gimap6,Gimap6
Epsti1,Jak1,Jak1
Jak1,Rps13,Rps13
Cox7a2l,Rpl19,Rpl19
Rps13,Ly6c2,Ly6c2
Rpl24,Il18rap,Il18rap
Pfdn5,Epsti1,Epsti1
Rpl19,H2-T23,H2-T23
Rac2,Rpl24,Rpl24
Rpl30,Rpl30,Rpl30
Thy1,Cox7a2l,Cox7a2l
Rps15a,Pfdn5,Pfdn5
Shisa5,Ier5,Ier5
Gm8369,Ogt,Ogt
Rpl37a,Rps15a,Rps15a
Dock2,Rac2,Rac2
Stk17b,Rpl37a,Rpl37a
Ets1,Btg2,Btg2
Btg2,Txk,Txk
Cd3g,Thy1,Thy1
Zfp36l2,Zfp36l2,Zfp36l2
Pdcd4,Gm8369,Gm8369
Ypel3,Cd226,Cd226
Nkg7,Dock2,Dock2
Ppp1r12a,Slfn2,Slfn2
Npc2,Stk17b,Stk17b
Cd2,Ccr2,Ccr2
Srsf5,Shisa5,Shisa5
Ddx5,Ets1,Ets1
Selplg,Cd37,Cd37
Ier5,Ddx5,Ddx5
Itgal,Ppp1r12a,Ppp1r12a
Slfn2,Zeb2,Zeb2
Itm2b,Itgal,Itgal
Ms4a6b,Cx3cr1,Cx3cr1
Gimap3,Cd3g,Cd3g
