wilcoxon,t-test,t-test_overestim_var
Gzmb,Gzmb,Gzmb
Calm1,Lgals1,Lgals1
Hmgb2,Vim,Vim
Nkg7,Hmgb2,Hmgb2
Lgals1,Myl6,Myl6
Myl6,Calm1,Calm1
Thy1,Tmsb4x,Tmsb4x
H2afz,Nkg7,Nkg7
Vim,S100a10,S100a10
Ahnak,Cyba,Cyba
Cox5a,Anxa2,Anxa2
Txn1,Ahnak,Ahnak
Cyba,S100a6,S100a6
Sh3bgrl3,H2afz,H2afz
Lgals3,Sh3bgrl3,Sh3bgrl3
Cd48,Pycard,Pycard
Id2,Cox5a,Cox5a
Anxa2,Sub1,Cd48
Pycard,Cd48,Sub1
Tmsb4x,Txn1,Lgals3
Eif2s3y,Crip1,Txn1
Cox7a2,Lgals3,Crip1
S100a10,Id2,Id2
Dbi,Gapdh,Gapdh
Ppp1ca,Lcp1,Thy1
Gapdh,Thy1,Lcp1
Cox17,Ctsd,Eif2s3y
Lcp1,Eif2s3y,Ctsd
Ran,Cd52,Ppp1ca
Atp5j2,Ppp1ca,Ide
Tpm4,Itgb2,Cd52
Actb,Capzb,Itgb2
Pclaf,Pfn1,Pfn1
Sub1,Actg1,Capzb
Gzma,Ide,Actg1
Klrk1,Actb,Actb
Stmn1,Cdc42,Cdc42
Crip1,Ccl5,Tpm4
Lmnb1,Tpm4,Pclaf
Gnai2,Pclaf,Ccl5
H3f3b,Stmn1,Lmnb1
Cox5b,Dbi,Stmn1
Itgb2,Lmnb1,Dbi
Plek,Arpc5,Arpc5
Pfn1,S100a4,S100a4
Clic1,Clic1,Clic1
Ide,Gnai2,Plek
Ptma,Plek,Gnai2
Cfl1,Cox17,Cox17
1500009L16Rik,Ldha,Ldha
Jpt1,1500009L16Rik,1500009L16Rik
Cd52,Cox5b,Klrk1
Ndufa4,Klrk1,Cox5b
Ldha,Cfl1,Gzma
Hmgb1,Gzma,Mki67
Calm3,Arhgdib,Cfl1
Abracl,H3f3b,H3f3b
Ccl5,Mki67,Arhgdib
Slbp,Abracl,Abracl
Serpinb9,Pomp,Mt1
Capzb,Calm3,Calm3
S100a6,Atp5j2,Atp5j2
Hmgn2,Prelid1,Pomp
Pomp,S100a13,Prelid1
Rap1b,Mt1,Ran
Ndufb7,Ran,S100a13
Atp5k,Ndufa4,Ndufa4
Arpc5,Jpt1,Jpt1
Rps27l,Hmgn2,Slbp
Ptprcap,Slbp,Hmgn2
Ctsd,Lsp1,Lsp1
Prelid1,Atp5k,Atp5k
Cox4i1,Cox4i1,Nsd2
Psmb3,Ybx1,Cox4i1
Rac1,Rac1,Ybx1
Srsf3,Ptprcap,Spc24
Mki67,Nsd2,Birc5
Hsp90b1,Actr3,Sae1
Cdc42,Birc5,Rac1
Ywhah,Ndufb7,Cox7a2
Ybx1,Cox7a2,Ptprcap
Dek,Spc24,Ndufb7
Nucks1,Sae1,Actr3
Cox6c,Rps27l,Gins2
Atp5g3,Rap1b,Rps27l
Cdca8,Cox6a1,Rap1b
1810037I17Rik,Gins2,Cmtm7
Cd47,Cmtm7,Cox6a1
Birc5,Eno1,Eno1
Sae1,Myl12a,Cdca8
Myl12a,Cox6c,Myl12a
Klrc1,Anxa6,Cox6c
Spc24,Cdca8,Sdf2l1
Sdf2l1,Sdf2l1,Anxa6
Cmtm7,Serpinb9,Serpinb9
Ube2c,Srsf3,Srsf3
Arpc2,Nucks1,Rrm2
Flna,Hmgb1,Nucks1
Il2rb,Psmb3,Hmgb1
Eno1,Rac2,Hsp90b1
Dut,Hsp90b1,Rpa1
Uqcrq,Rpa1,Psmb3
Mrpl18,Arpc2,Cks1b
Rpa1,Rrm2,Flna
S100a13,Uqcrq,Uqcrq
Cbx3,Flna,Arpc2
Itga4,Cks1b,Rac2
Atp5j,Itga4,Itga4
Fam111a,Il2rb,Il2rb
Cks1b,AW112010,Cd47
Ppia,Cd47,AW112010
Rrm2,Arf1,Dek
Actr3,Oaz1,Arf1
Nsd2,Dek,Dut
Mt1,Ubl5,Oaz1
Arhgdib,Atp5g3,Cbx3
Ptms,Dut,Atp5g3
Arpc4,Serpinb6b,Serpinb6b
Serpinb6b,Cbx3,Fam111a
Cox6a1,Tmem167,Ubl5
Anxa6,Arpc4,Ncaph
Atp5h,Fam111a,Tmem167
Sec11c,Ywhah,Ywhah
Dynll1,Dynll1,Arpc4
Actg1,Ppib,Dynll1
Sf3b6,Ncaph,Mrpl18
Arpc1b,Mrpl18,Asf1b
Anp32b,Gars,Ppib
Cenpa,Asf1b,Gars
Sumo2,Capns1,Capns1
