gene_names,wilcoxon_logfc,wilcoxon_padj,wilcoxon_score,t-test_logfc,t-test_padj,t-test_score,t-test_overestim_var_logfc,t-test_overestim_var_padj,t-test_overestim_var_score,logreg_score
Xkr4,,,,,,,,,,
Gm1992,,,,,,,,,,
Gm37381,,,,,,,,,,
Rp1,,,,,,,,,,
Sox17,,,,,,,,,,
Gm37323,,,,,,,,,,
Mrpl15,-0.11277717,0.9998967738515748,-0.35515463,-0.11277717,0.7204933120353115,-0.65840095,-0.11277717,0.9480470316166437,-0.41649607,-0.023474155
Lypla1,0.4736648,0.28443190894761916,2.2443862,0.4736648,0.11642669569388588,2.232636,0.4736648,0.7750237143285824,1.5940871,-0.017835261
Gm37988,,,,,,,,,,
Tcea1,-0.090450406,0.9998967738515748,-0.15040639,-0.090450406,0.8097262765843963,-0.45420805,-0.090450406,0.9492107069809104,-0.30505234,-0.030123651
Rgs20,,,,,,,,,,
Gm16041,,,,,,,,,,
Atp6v1h,0.28595605,0.9840098421394146,1.2422454,0.28595605,0.5486650523999405,1.0280298,0.28595605,0.9480470316166437,0.71722,0.0019928932
Oprk1,,,,,,,,,,
Npbwr1,,,,,,,,,,
Rb1cc1,0.27157405,0.8867560370997599,1.3690052,0.27157405,0.5747699014909804,0.9767554,0.27157405,0.9480470316166437,0.67121094,0.003716479
4732440D04Rik,1.0500921,0.9998967738515748,1.1768761,1.0500921,0.2547115878938592,1.7057867,1.0500921,0.9259020106894802,1.3303692,0.0072404183
Alkal1,,,,,,,,,,
St18,,,,,,,,,,
Pcmtd1,0.0155816395,0.9998967738515748,0.8772001,0.0155816395,0.9764411809890291,0.056874555,0.0155816395,0.9922792940188917,0.036413472,-0.0067265807
Gm26901,-0.10017326,0.9998967738515748,0.032059412,-0.10017326,0.9709368657904647,-0.068716645,-0.10017326,0.9899639512541825,-0.044333383,-3.1161504e-05
Gm30414,,,,,,,,,,
Sntg1,,,,,,,,,,
Rrs1,-0.024917547,0.9998967738515748,0.7659017,-0.024917547,0.9592768461202706,-0.10040469,-0.024917547,0.986994826065773,-0.06329322,0.014402716
Adhfe1,,,,,,,,,,
3110035E14Rik,,,,,,,,,,
Gm29520,,,,,,,,,,
Mybl1,-23.072157,0.9998967738515748,-0.2670481,-23.072157,2.1582126287630318e-05,-4.895215,-23.072157,0.9480470316166437,-1.1450721,-0.0015970769
Vcpip1,0.1661147,0.9998967738515748,0.8453681,0.1661147,0.7910369330198103,0.495308,0.1661147,0.9480470316166437,0.33832744,0.0010301248
1700034P13Rik,-19.694332,0.9998967738515748,-0.02967201,-19.694332,0.2591362171862606,-1.6726307,-19.694332,0.9480470316166437,-0.3912561,-0.00016870417
Sgk3,-0.34535217,0.9998967738515748,-0.10845631,-0.34535217,0.7401539347275958,-0.6116547,-0.34535217,0.9480470316166437,-0.40286982,0.0024016777
Mcmdc2,-21.278831,0.9998967738515748,-0.04945335,-21.278831,0.11200511515396164,-2.2226315,-21.278831,0.9480470316166437,-0.51991045,-0.0011987961
