paga1,paga2,X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_paga1,X_paga2,velocity_paga1,velocity_paga2
497.71391884483035,1986.6895642000354,-5.752001,4.367623,2.2035217,1.8276609,-1.7637984,-0.049558967,-2.3919837,1.536445,-2.3048408,-0.49683353,-1.0348055,-1.2127858,1.843509,0.045994293,-0.90481794,-0.4851258,0.05808291,0.4384431,0.22542354,-0.64000547,497.71391884483035,1986.6895642000354,1.666276230985832,-22.301927127606405
438.2588937224971,2222.627599716208,-7.430923,3.7857597,2.2571821,1.0365613,-0.10764071,-0.5125539,-1.4344842,-0.17316613,0.8206863,2.2831604,0.7944432,-2.3856044,-0.07448124,0.57328075,-0.72682637,-1.2169627,-1.1639886,-0.07033052,1.0685719,-0.29269,438.2588937224971,2222.627599716208,5.314373765775059,-2.435921427037374
1131.422668513495,-2590.2400180280583,12.545274,-0.40155,1.5982788,1.3203055,-1.7733339,-0.72279394,1.1546599,1.2292107,-1.1767727,1.0961201,0.6386447,-1.038236,0.35595593,0.6453907,0.7674116,0.52818316,0.21110629,0.6335254,-2.2917693,-0.2029396,1131.422668513495,-2590.2400180280583,-21.961056895183013,-10.9518374695216
-3743.705350181019,3049.2209738007136,-4.9816732,-2.2227182,-1.7607186,0.2660614,3.0941882,-0.42663258,-0.5064464,0.4855454,-0.24530609,2.1759126,0.7049375,0.079762004,0.8488851,-0.076941825,-0.041368924,1.6604708,0.83346266,0.9129762,0.11699191,-0.5069505,-3743.705350181019,3049.2209738007136,-50.868817918896184,-72.61222525526445
-4337.392247368869,3038.958860671474,-3.1332014,-4.8631253,-0.43828204,0.9221973,1.553243,-1.4089121,0.70634466,-1.0322299,-0.6979841,-0.100248925,0.9670708,1.2216519,1.4754103,-0.90936047,-0.5528203,1.6853044,0.5943603,0.9988478,-0.7567085,0.9782542,-4337.392247368869,3038.958860671474,-29.338894754946825,-66.18841991157555
-4975.69515615467,1426.499092938304,4.977237,-5.170161,7.586363,-5.7430363,-0.6883489,3.80709,-2.0768645,-0.8759468,-0.21208799,-4.839488,8.642789,-1.6191379,-1.1245596,2.6733224,-1.7389122,-2.2285807,-3.858999,0.98708606,-0.69345427,-1.2847162,-4975.69515615467,1426.499092938304,6.037559927115146,8.496232158766697
-4689.167424399836,2119.200739280727,-1.1390842,-4.7518544,-1.3585839,0.7173621,-1.1541744,-1.0621499,0.24225557,0.45236057,1.1880156,1.0722328,-0.7834407,0.54278064,0.6154185,-0.75256777,0.70931756,0.87836236,1.68508,-0.045494754,-0.6026069,-0.096845895,-4689.167424399836,2119.200739280727,-13.020087639946148,-48.677669901906796
-860.3056222676248,4224.812203278342,-6.0062633,3.9832513,-0.02655298,0.36461785,-2.2352703,0.81615716,0.71575105,-0.28158385,3.0448017,0.09580642,0.003114302,0.67846733,0.54717594,-1.0518949,0.2824122,-0.29631597,1.2038158,-0.6737982,-0.018925168,1.2510816,-860.3056222676248,4224.812203278342,46.19518755866114,19.308724328838803
-3284.346865093079,4464.18338618187,-5.414042,0.73079723,0.68926805,0.9373935,4.463071,-0.80342174,0.53471434,-0.097197086,0.3429374,1.1682466,0.23122302,0.08376741,-1.122116,2.1937342,-0.6327695,3.3358972,1.4877998,1.4973897,0.42776194,1.071687,-3284.346865093079,4464.18338618187,-43.45711655645681,-12.764653130430606
1551.4754948111456,-2688.5356353171564,15.030366,2.8498902,1.4731648,-0.24901256,-0.69361275,0.51223814,0.33373746,-0.8678582,-0.5199751,0.07274719,0.9479625,0.70226985,-1.8317671,0.7734378,-0.7561187,0.20628993,0.40101686,-1.180978,1.5482032,1.4508893,1551.4754948111456,-2688.5356353171564,-9.339945934097809,8.390446337968676
