wilcoxon,t-test,t-test_overestim_var
Rps2,Rps2,Rps2
Gapdh,Pclaf,Pclaf
Rpsa,Dut,Dut
Ran,Ptma,Ptma
Dut,Rpsa,Rpsa
Ptma,Ran,Ran
Anxa2,Gapdh,Gapdh
Rpl28,Cks1b,Cks1b
Pclaf,Stmn1,Stmn1
Rpl41,Birc5,Anxa2
Hsp90aa1,Anxa2,Birc5
Hsp90ab1,Hmgn2,Hmgn2
Stmn1,Ccnb2,Rpl28
Nme1,Rpl28,Ccnb2
Ppia,Hsp90aa1,Hsp90aa1
Rps17,Rpl41,Rpl41
Cks1b,Hmgb2,Nme1
Anp32b,Nme1,Rps27l
Rps27l,Rps27l,Dbi
Rps20,Dbi,Hmgb2
Ybx1,Hsp90ab1,Hsp90ab1
Dbi,Selenoh,Anp32b
Birc5,Anp32b,Selenoh
Prdx1,Mki67,Mif
Hmgn2,Ppia,Ppia
mt-Cytb,Tuba1b,Tuba1b
Mif,Mif,Mki67
Selenoh,Gmnn,Snrpd1
Txn1,Spc24,Rps20
Snrpd1,Snrpd1,Gmnn
Hsp90b1,Rps20,Spc24
Actg1,Mcm5,Hsp90b1
Ccnb2,Zbtb32,Ybx1
Hmgb2,Hsp90b1,Mcm5
Mki67,Ybx1,Zbtb32
Ube2c,Fkbp2,Fkbp2
Tuba1b,Cdca3,Rps17
Hmgb1,Lig1,mt-Cytb
Nap1l1,Sdf2l1,Sdf2l1
Zbtb32,Cdca8,Cdca3
Calr,Tubb5,Tubb5
Tubb5,Rps17,Prdx1
Gmnn,mt-Cytb,Lig1
Ldha,Prdx1,Actg1
Atp5j,Actg1,Cdca8
Ppa1,Tyms,Ppa1
Ube2s,Ppa1,Ube2s
Mcm5,Ube2s,Tyms
Spc24,Nrgn,Nap1l1
Fkbp2,Nap1l1,Lsm2
Lmnb1,Lsm2,Hpf1
Alyref,Rrm2,Lmnb1
Sdf2l1,Ccna2,Calr
H2az1,Tk1,Alyref
Snrpe,Lmnb1,Nrgn
Cd9,Hpf1,Rrm2
Lig1,Ube2c,Ccna2
Pdia3,Asf1b,Tk1
Cdca3,Alyref,Txn1
