wilcoxon,t-test,t-test_overestim_var
Trav14-1,Trav14-1,Trav14-1
S100a4,S100a4,S100a4
Trdc,Trdc,Trdc
Itgb1,Itgb1,Itgb1
Ctla4,Nrp1,Nrp1
Ighm,Ctla4,Ctla4
Tox,Nrgn,Nrgn
Nrp1,Tox,Tox
Nrgn,Trbv13-3,Trbv13-3
Batf,Pdcd1,Pdcd1
Rexo2,Ighm,Ighm
Cd9,Batf,Batf
S100a11,Cd9,Cd9
Uhrf2,Rexo2,Rexo2
Pdcd1,Uhrf2,Uhrf2
Rilpl2,Rilpl2,Rilpl2
Trbv13-3,Ccdc50,Ccdc50
Hif1a,S100a11,S100a11
Ccdc50,Hif1a,Hif1a
Nfkbia,Rgs16,Rgs16
Nfkbiz,Nfkbia,Nfkbia
Rgs16,Bhlhe40,Bhlhe40
Bhlhe40,Lag3,Lag3
Cd3e,Gldc,Gldc
Lag3,Nfkbiz,Nfkbiz
mt-Cytb,Casp4,Casp4
mt-Atp6,mt-Cytb,mt-Cytb
Rel,Rel,Rel
Cd226,mt-Atp6,mt-Atp6
mt-Co2,Cd3e,Cd3e
Bcl2a1d,Bcl2a1d,Bcl2a1d
Icos,Plscr1,Plscr1
Rora,Casp3,Casp3
Casp3,Icos,Icos
Pou2f2,Cd226,Cd226
Fkbp1a,Rora,Rora
Casp4,Fkbp1a,Fkbp1a
Ptpn11,S100a6,S100a6
Sms,mt-Co2,mt-Co2
Plek,Ptpn11,Ptpn11
Arpc3,Plek,Plek
Nr4a2,Pou2f2,Pou2f2
Atxn1,Zbtb32,Zbtb32
Zbtb32,Sms,Sms
Prr13,Prr13,Prr13
Bcl2a1b,Smco4,Smco4
Cox17,Lgals3,Lgals3
Slamf6,Atxn1,Atxn1
Gldc,Psen2,Psen2
Traf1,Cox17,Cox17
Atp5j,Bcl2a1b,Bcl2a1b
Rap1a,Itga4,Itga4
Smco4,Traf1,Traf1
Psen2,Slamf6,Slamf6
Plscr1,Arpc3,Arpc3
Lgals3,Atp5j,Atp5j
Ptpn6,Pglyrp1,Pglyrp1
Pglyrp1,Nr4a2,Nr4a2
Trac,Eea1,Eea1
Gadd45b,Rap1a,Rap1a
Itga4,Ptpn6,Ptpn6
Sec11c,Casp1,Casp1
Casp1,Trac,Trac
Tnfaip8,Gadd45b,Gadd45b
mt-Nd2,Sec11c,Sec11c
Cst7,Adk,Adk
Runx2,Oaz1,Oaz1
Eea1,Cst7,Cst7
S100a6,Tnfaip8,Tnfaip8
Adk,Serpinb6b,Serpinb6b
Oaz1,Gnai2,Gnai2
Ly6a,Pfn1,Pfn1
Ly6e,Trps1,Trps1
mt-Co1,mt-Nd2,mt-Nd2
Gnai2,Mmp16,Mmp16
Sept7,Runx2,Runx2
Siah2,Ly6a,Ly6a
Crtam,Fam110a,Fam110a
mt-Nd4,Siah2,Siah2
Trps1,Ndufa4,Ndufa4
Serpinb6b,Crtam,Crtam
Sh3bgrl,Sept7,Sept7
Ndfip1,Ybx3,Ybx3
Ndufa4,Lgals1,Lgals1
Orai1,Ifng,Ifng
Ifng,Ndfip1,Ndfip1
Rab8b,mt-Co1,mt-Co1
Il18r1,S100a10,S100a10
Serf2,mt-Nd4,mt-Nd4
Ide,Smdt1,Smdt1
Vmp1,Arpc5,Arpc5
Ikzf2,Vmp1,Vmp1
Ifi27l2a,Sh3bgrl,Sh3bgrl
Ybx3,Ly6e,Ly6e
Prkca,Dut,Dut
Nab1,Actg1,Actg1
Atp5e,Lcp1,Lcp1
Apobec3,Serf2,Serf2
Fyn,Il1rl1,Il1rl1
Sh3kbp1,Rab8b,Rab8b
Tmem126a,Apobec3,Apobec3
Stk39,Orai1,Orai1
Fam110a,Ide,Ide
Fundc2,Nab1,Nab1
Rpsa,Crip1,Crip1
Nek7,Ifi27l2a,Ifi27l2a
Pfn1,Tmem154,Tmem154
Smdt1,Fyn,Fyn
Raf1,Fundc2,Fundc2
Sh2d2a,Sh3kbp1,Sh3kbp1
Dut,Stk39,Stk39
Nfat5,Tmem126a,Tmem126a
Fam162a,Il18r1,Il18r1
Hmgn5,Tcf4,Tcf4
Lcp1,Nap1l1,Nap1l1
Dock8,Atp5e,Atp5e
Mpc1,Fam162a,Fam162a
Sem1,Nek7,Nek7
Ubr5,Oxsr1,Oxsr1
Cd160,Trbc1,Trbc1
Dennd4a,Raf1,Raf1
Ptms,Dapk2,Dapk2
Cox6c,Sem1,Sem1
Lbh,Cox6c,Cox6c
Ucp2,Mpc1,Mpc1
S100a10,Hmgn5,Hmgn5
Litaf,Dbi,Dbi
Cd3g,Ptms,Ptms
Prdx2,Sub1,Sub1
Oxsr1,Prdx2,Prdx2
Ehd4,Prkca,Prkca
Arpc5,Ehd4,Ehd4
Ciapin1,Litaf,Litaf
Ctsb,Rps27l,Rps27l
Actn1,Ptprk,Ptprk
Rhoh,Tmsb4x,Tmsb4x
Asap1,Ubr5,Ubr5
Zc3h12a,Calm3,Calm3
Cd27,Ucp2,Ucp2
Dapk2,Gdi2,Gdi2
Xaf1,Hivep3,Hivep3
Ifi27,Sdcbp2,Sdcbp2
Mindy3,Sh2d2a,Sh2d2a
Dnajc9,Ciapin1,Ciapin1
Nap1l1,Baz1a,Baz1a
Baz1a,Nfat5,Nfat5
Stat3,Capza2,Capza2
Limd2,Cd160,Cd160
Mapre2,Asap1,Asap1
Tnfrsf9,Crybg3,Crybg3
Tmem154,Ifih1,Ifih1
Jaml,Lsm6,Lsm6
Pcbd2,Ctsb,Ctsb
Capza2,Dennd4a,Dennd4a
Odc1,Tnfrsf13b,Tnfrsf13b
Zfpm1,Arf5,Arf5
Top1,Tma7,Tma7
Gna15,Cfl1,Cfl1
mt-Co3,Dnajc9,Dnajc9
Ifih1,Dock8,Dock8
Nfatc1,Cxcl10,Cxcl10
Rbpj,St14,St14
C1d,Zc3h12a,Zc3h12a
Dera,Pim1,Pim1
Sept11,Cd27,Cd27
mt-Nd5,Jaml,Jaml
Stard3nl,Prelid2,Prelid2
Furin,Atpif1,Atpif1
Tmbim4,Rpsa,Rpsa
Sdcbp2,Ccdc28b,Ccdc28b
Gpr183,Mcm6,Mcm6
Tma7,C1d,C1d
Cxcl10,Taf10,Taf10
Eci1,Ost4,Ost4
Tnfrsf1b,Fam81a,Fam81a
Mcm6,Lbh,Lbh
Stap1,Ndufb9,Ndufb9
Cd52,Mindy3,Mindy3
Pim1,Exph5,Exph5
Arf5,Uqcrb,Uqcrb
Mrps6,Cd52,Cd52
Clint1,Cox7c,Cox7c
Anxa5,Gna15,Gna15
Ssbp3,Actr3,Actr3
Uqcrb,Serpinb9,Serpinb9
Prex1,Pcbd2,Pcbd2
Vamp8,Xaf1,Xaf1
Tmed5,Ifi27,Ifi27
Adora2a,Ikzf2,Ikzf2
Ptp4a2,Atp5pb,Atp5pb
Vamp5,Utf1,Utf1
Serpinb9,Top1,Top1
Mrps21,Limd2,Limd2
Gdi2,Mrps21,Mrps21
Sept1,Odc1,Odc1
Xcl1,Cd3g,Cd3g
Fkbp5,Lsm4,Lsm4
Cox7c,Zfpm1,Zfpm1
Sub1,Rbpj,Rbpj
Itm2c,Xcl1,Xcl1
Msi2,Mapre2,Mapre2
Cxcr6,Eci1,Eci1
Atp6v1f,Tnfrsf9,Tnfrsf9
Taf10,Prelid1,Prelid1
Ost4,Vax2,Vax2
Timm17b,Tmbim4,Tmbim4
Ap3s1,Tnfrsf1b,Tnfrsf1b
Stat5a,Stat3,Stat3
Pop5,Ppib,Ppib
Rps27l,mt-Co3,mt-Co3
Tgif1,Rhoh,Rhoh
Srgn,Ptpn13,Ptpn13
Crip1,Tmed5,Tmed5
Mid1,Ptp4a2,Ptp4a2
Lgals3bp,Cox7a2,Cox7a2
Prkar1a,Mrps6,Mrps6
Clic4,Oas1a,Oas1a
Calm3,Furin,Furin
Asnsd1,Gapdh,Gapdh
Trbc2,Anxa5,Anxa5
Smap1,Dera,Dera
Sar1b,Mien1,Mien1
Trbc1,Sept11,Sept11
Nptn,Vamp5,Vamp5
Dbi,Sar1b,Sar1b
Lsm4,Sri,Sri
Ndufb9,Cxcr6,Cxcr6
Lrba,Cdc42,Cdc42
Ptprcap,Gm9008,Gm9008
Tmsb4x,Stard3nl,Stard3nl
Capns1,Pop5,Pop5
