gs_name,gene_symbol
48h_IL2_promoted,Gm13546
48h_IL2_promoted,Tbc1d16
48h_IL2_promoted,Tgm2
48h_IL2_promoted,Gm13522
48h_IL2_promoted,Fam20a
48h_IL2_promoted,Arhgap6
48h_IL2_promoted,Slc7a3
48h_IL2_promoted,6430571L13Rik
48h_IL2_promoted,Lif
48h_IL2_promoted,Crem
48h_IL2_promoted,B130046B21Rik
48h_IL2_promoted,Asns
48h_IL2_promoted,Nfil3
48h_IL2_promoted,Gpt2
48h_IL2_promoted,Lta
48h_IL2_promoted,Frmd4b
48h_IL2_promoted,Gm49751
48h_IL2_promoted,Fes
48h_IL2_promoted,Hemk1
48h_IL2_promoted,Gm16793
48h_IL2_promoted,Adora2b
48h_IL2_promoted,Ppt1
48h_IL2_promoted,Slc26a10
48h_IL2_promoted,Gadd45g
48h_IL2_promoted,Slc39a8
48h_IL2_promoted,Nav1
48h_IL2_promoted,Gm17590
48h_IL2_promoted,Neb
48h_IL2_promoted,Batf3
48h_IL2_promoted,Gcnt4
48h_IL2_promoted,Amz1
48h_IL2_promoted,Ctla2a
48h_IL2_promoted,Enah
48h_IL2_promoted,F730043M19Rik
48h_IL2_promoted,Tec
48h_IL2_promoted,A630091E08Rik
48h_IL2_promoted,Gpr83
48h_IL2_promoted,Tgm1
48h_IL2_promoted,Ephb2
48h_IL2_promoted,Mfsd2a
48h_IL2_promoted,2900011O08Rik
48h_IL2_promoted,Gm38009
48h_IL2_promoted,Gm41333
48h_IL2_promoted,Chl1
48h_IL2_promoted,Setbp1
48h_IL2_promoted,Dusp8
48h_IL2_promoted,Gm17767
48h_IL2_promoted,Atf3
48h_IL2_promoted,Cfap54
48h_IL2_promoted,Socs2
48h_IL2_promoted,Stxbp6
48h_IL2_promoted,Tcrg-C4
48h_IL2_promoted,Dgkh
48h_IL2_promoted,Sema7a
48h_IL2_promoted,Il2ra
48h_IL2_promoted,Lrrc32
48h_IL2_promoted,Lamc1
48h_IL2_promoted,Firre
48h_IL2_promoted,Selp
48h_IL2_promoted,Gm37881
48h_IL2_promoted,Fbln2
48h_IL2_promoted,Capn5
48h_IL2_promoted,Dst
48h_IL2_promoted,Nek6
48h_IL2_promoted,Cysltr1
48h_IL2_promoted,Mir6974
48h_IL2_promoted,Gpld1
48h_IL2_promoted,Aldh1l2
48h_IL2_promoted,Tent5a
48h_IL2_promoted,Asph
48h_IL2_promoted,Pdia2
48h_IL2_promoted,Gm29684
48h_IL2_promoted,Lncpint
48h_IL2_promoted,Hormad2
48h_IL2_promoted,Fzd7
48h_IL2_promoted,Emilin2
48h_IL2_promoted,Tnfrsf8
48h_IL2_promoted,Bc1
48h_IL2_promoted,Apcdd1
48h_IL2_promoted,Gm2027
48h_IL2_promoted,2210408F21Rik
48h_IL2_promoted,Egln3
48h_IL2_promoted,Fosl1
48h_IL2_promoted,Alpk2
48h_IL2_promoted,Ccr4
48h_IL2_promoted,Lilrb4a
48h_IL2_promoted,Gm27019
48h_IL2_promoted,Efna5
48h_IL2_promoted,H19
48h_IL2_promoted,Fgfr3
48h_IL2_promoted,Gm4907
48h_IL2_promoted,Jag2
48h_IL2_promoted,Slc7a11
48h_IL2_promoted,Gzmb
48h_IL2_promoted,Gm17040
48h_IL2_promoted,Ptprk
48h_IL2_promoted,Gm11655
48h_IL2_promoted,Tmem163
48h_IL2_promoted,Tead1
48h_IL2_promoted,Pim1
48h_IL2_promoted,Prdm1
48h_IL2_promoted,Cish
48h_IL2_promoted,Foxp3
48h_IL2_promoted,Maats1
48h_IL2_promoted,Ifng
48h_IL2_promoted,Trim71
48h_IL2_promoted,Lilr4b
48h_IL2_promoted,Gm35330
48h_IL2_promoted,Zfp608
48h_IL2_promoted,Eps8
48h_IL2_promoted,Lama5
48h_IL2_promoted,Adgrb2
48h_IL2_promoted,Pkib
48h_IL2_promoted,Gm43499
48h_IL2_promoted,Ddn
48h_IL2_promoted,Rragd
48h_IL2_promoted,Gm49339
48h_IL2_promoted,P2ry2
48h_IL2_promoted,Coro6
48h_IL2_promoted,Hbegf
48h_IL2_promoted,Chchd10
48h_IL2_repressed,Pecam1
48h_IL2_repressed,Cd200r4
48h_IL2_repressed,Ifi206
48h_IL2_repressed,Sntb1
48h_IL2_repressed,AC091309.5
48h_IL2_repressed,Klrb1f
48h_IL2_repressed,1700062C10Rik
48h_IL2_repressed,Trpa1
48h_IL2_repressed,Chst3
48h_IL2_repressed,Itgae
48h_IL2_repressed,Tnnt3
48h_IL2_repressed,Prrt1
48h_IL2_repressed,Tbc1d4
48h_IL2_repressed,Lynx1
48h_IL2_repressed,B3galt5
48h_IL2_repressed,Tmie
48h_IL2_repressed,Gm11346
48h_IL2_repressed,Txk
48h_IL2_repressed,Gm5538
48h_IL2_repressed,F730311O21Rik
48h_IL2_repressed,Ifi214
48h_IL2_repressed,Gm8233
48h_IL2_repressed,Lingo1
48h_IL2_repressed,Rap1gap2
48h_IL2_repressed,Xdh
48h_IL2_repressed,Ms4a4c
48h_IL2_repressed,Nod1
48h_IL2_repressed,Kcnip3
48h_IL2_repressed,Klf2
48h_IL2_repressed,Cd86
48h_IL2_repressed,Gm6545
48h_IL2_repressed,CR974462.4
48h_IL2_repressed,Gm13919
48h_IL2_repressed,Gucy1a1
48h_IL2_repressed,Itga9
48h_IL2_repressed,Gm4951
48h_IL2_repressed,Cxcr6
48h_IL2_repressed,F830016B08Rik
48h_IL2_repressed,Tlr6
48h_IL2_repressed,Ifit1bl1
48h_IL2_repressed,Colq
48h_IL2_repressed,Gm47680
48h_IL2_repressed,Wnt10a
48h_IL2_repressed,Gm15891
48h_IL2_repressed,Car2
48h_IL2_repressed,Gm47782
48h_IL2_repressed,A430088P11Rik
48h_IL2_repressed,Rgmb
48h_IL2_repressed,Gm37065
48h_IL2_repressed,Hmgb1-ps8
48h_IL2_repressed,Nav2
48h_IL2_repressed,Apobec1
48h_IL2_repressed,Scml4
48h_IL2_repressed,Nsg2
48h_IL2_repressed,Myo1h
48h_IL2_repressed,Gm34794
48h_IL2_repressed,Cadm1
48h_IL2_repressed,Gm13241
48h_IL2_repressed,Dapl1
48h_IL2_repressed,Gm43672
48h_IL2_repressed,Gm26822
48h_IL2_repressed,Dsp
48h_IL2_repressed,Cstad
48h_IL2_repressed,Gramd3
48h_IL2_repressed,Arl5c
48h_IL2_repressed,Gm26583
48h_IL2_repressed,Endod1
48h_IL2_repressed,Apol7e
48h_IL2_repressed,Il15
48h_IL2_repressed,Gm26740
48h_IL2_repressed,Mndal
48h_IL2_repressed,A630023P12Rik
48h_IL2_repressed,Slamf6
48h_IL2_repressed,Gm47941
48h_IL2_repressed,Ifngas1
48h_IL2_repressed,Peli2
48h_IL2_repressed,Pgpep1l
48h_IL2_repressed,Lztfl1
48h_IL2_repressed,Igsf9b
48h_IL2_repressed,Ncoa7
48h_IL2_repressed,Tcf7
48h_IL2_repressed,Gm33104
48h_IL2_repressed,Gm12216
48h_IL2_repressed,Pdk2
48h_IL2_repressed,Nebl
48h_IL2_repressed,Ldlrad4
48h_IL2_repressed,Ccdc148
48h_IL2_repressed,1700029H14Rik
48h_IL2_repressed,Spo11
48h_IL2_repressed,Lypd6b
48h_IL2_repressed,Klrd1
48h_IL2_repressed,Nlrp1b
48h_IL2_repressed,Sgk1
48h_IL2_repressed,Art2a-ps
48h_IL2_repressed,Rasa3
48h_IL2_repressed,Slc6a19
48h_IL2_repressed,Ciita
48h_IL2_repressed,Prss30
48h_IL2_repressed,A430035B10Rik
48h_IL2_repressed,Npas4
48h_IL2_repressed,1700015C17Rik
48h_IL2_repressed,Gm20559
48h_IL2_repressed,Dscam
48h_IL2_repressed,Gsap
48h_IL2_repressed,Tmem71
48h_IL2_repressed,Ccr9
48h_IL2_repressed,Ica1l
48h_IL2_repressed,Ifi204
48h_IL2_repressed,Samd9l
48h_IL2_repressed,Cfap77
48h_IL2_repressed,Acpp
48h_IL2_repressed,Gm49662
48h_IL2_repressed,Ppic
48h_IL2_repressed,Gm8189
48h_IL2_repressed,Dhrs3
48h_IL2_repressed,Pglyrp1
48h_IL2_repressed,Adamtsl2
48h_IL2_repressed,Frmd4a
48h_IL2_repressed,Igfbp7
48h_IL2_repressed,Serpina3g
48h_IL2_repressed,Gm33728
48h_IL2_repressed,Ifit1bl2
48h_IL2_repressed,AC169509.1
48h_IL2_repressed,8030451A03Rik
48h_IL2_repressed,Gbp10
48h_IL2_repressed,Gm45418
48h_IL2_repressed,Ryr2
48h_IL2_repressed,Serpina3f
48h_IL2_repressed,Mxd4
48h_IL2_repressed,Nrn1
48h_IL2_repressed,Dnah8
48h_IL2_repressed,Gm33994
48h_IL2_repressed,Gm28100
48h_IL2_repressed,Pik3ip1
48h_IL2_repressed,Ifi205
48h_IL2_repressed,Samd3
48h_IL2_repressed,Baiap3
48h_IL2_repressed,Nrg2
48h_IL2_repressed,Arhgap22
48h_IL2_repressed,St6galnac3
48h_IL2_repressed,1700012D16Rik
48h_IL2_repressed,Gm15941
48h_IL2_repressed,Kcnmb4
48h_IL2_repressed,Irf7
48h_IL2_repressed,Cbfa2t3
48h_IL2_repressed,Gm11579
48h_IL2_repressed,Tlr7
48h_IL2_repressed,AC132320.1
48h_IL2_repressed,Xaf1
48h_IL2_repressed,Art2b
48h_IL2_repressed,Gm18752
48h_IL2_repressed,Ccr6
48h_IL2_repressed,Pou6f1
48h_IL2_repressed,Nid1
48h_IL2_repressed,Hck
48h_IL2_repressed,Slc6a19os
48h_IL2_repressed,Gm28836
48h_IL2_repressed,2010109I03Rik
48h_IL2_repressed,4930599N23Rik
48h_IL2_repressed,Gm20560
48h_IL2_repressed,A330040F15Rik
48h_IL2_repressed,Ifi209
48h_IL2_repressed,Btbd16
48h_IL2_repressed,Gm14085
48h_IL2_repressed,Gm44178
48h_IL2_repressed,Gm45552
48h_IL2_repressed,Gm18911
48h_IL2_repressed,Spink13
48h_IL2_repressed,Csf1
48h_IL2_repressed,Nod2
48h_IL2_repressed,4930597L12Rik
48h_IL2_repressed,Ifi203
48h_IL2_repressed,Card10
48h_IL2_repressed,Ifi208
48h_IL2_repressed,Ttn
48h_IL2_repressed,Gm43196
48h_IL2_repressed,Gm31814
48h_IL2_repressed,A530083M17Rik
48h_IL2_repressed,Ifi203-ps
48h_IL2_repressed,Lrmda
48h_IL2_repressed,Arrdc4
48h_IL2_repressed,Gm12185
48h_IL2_repressed,Wnt3
48h_IL2_repressed,Gm46516
48h_IL2_repressed,Gm13146
48h_IL2_repressed,Bambi-ps1
48h_IL2_repressed,Il9r
48h_IL2_repressed,Ifi211
48h_IL2_repressed,Kcnq3
48h_IL2_repressed,Gm48670
48h_IL2_repressed,Nrgn
48h_IL2_repressed,Stkld1
48h_IL2_repressed,Slfn1
48h_IL2_repressed,Galnt14
48h_IL2_repressed,Vwa3b
48h_IL2_repressed,Cd1d1
48h_IL2_repressed,Kcnk10
48h_IL2_repressed,Ifit3
48h_IL2_repressed,Mcoln3
48h_IL2_repressed,Gm26528
48h_IL2_repressed,Rtp4
48h_IL2_repressed,Asap1
48h_IL2_repressed,Gm19261
48h_IL2_repressed,Ifi213
48h_IL2_repressed,Itgb3
48h_IL2_repressed,Gm5970
48h_IL2_repressed,AC124502.5
