,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.39525372,-0.03372693061828613,False,,,,,,,,,,,,,,,
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,1.3183702,-0.2140752077102661,False,,,,,,,,,,,,,,,
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.80432296,-1.167945384979248,False,,,,,,,,,,,,,,,
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.38139784,-1.450561761856079,False,,,,,,,,,,,,,,,
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.5461719,-0.5236092805862427,False,,,,,,,,,,,,,,,
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,7.251974,-11.308677673339844,False,,,,,,,,,,,,,,,
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.26236513,-1.5461032390594482,False,,,,,,,,,,,,,,,
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,1.1075127,-0.8992090225219727,False,,,,,,,,,,,,,,,
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.0025357509,-1.6944470405578613,False,,,,,,,,,,,,,,,
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,11.098508,-4.263428211212158,False,,,,,,,,,,,,,,,
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.078495145,-1.2485876083374023,False,,,,,,,,,,,,,,,
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.07240468,0.6034171879291534,True,1.95775385788221,6.460389763126211,0.4754143607296913,17.86664535450367,0.032606241367757326,0.09049604088068008,1.3113863468170166,0.43055013923794083,0.0,0.0,0.4859211259687147,0.21445988126434384,3.9096509792424485,0.2591961683737618,2.136254813930382
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.6262089,-0.45257461071014404,False,,,,,,,,,,,,,,,
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,120.60203,-0.8409346342086792,False,,,,,,,,,,,,,,,
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.20448393,-0.5897523164749146,False,,,,,,,,,,,,,,,
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.45680478,-0.36761796474456787,False,,,,,,,,,,,,,,,
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.056985356,-1.2036731243133545,False,,,,,,,,,,,,,,,
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,1.3205166,-1.6460466384887695,False,,,,,,,,,,,,,,,
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,4.524171,0.5691321790218353,True,0.09454924205671476,0.05546784246545258,0.2533060832333728,9.201646078789322,10.975147515535355,0.604515016078949,0.08964327722787857,0.33716674026133986,0.0,0.0,0.382828109916337,1.8673884976233437,0.20793102601350383,0.437340331902809,2.4188206285749216
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.35589167,-0.27710461616516113,False,,,,,,,,,,,,,,,
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0267,1.3972925,-0.9434973001480103,False,,,,,,,,,,,,,,,
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0581,1.2929515,-1.7806384563446045,False,,,,,,,,,,,,,,,
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.0226,1.8331454,-0.7240889072418213,False,,,,,,,,,,,,,,,
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.1125,1.3085314,0.15767264366149902,True,0.04164295051542652,0.10659416427949428,0.15260945089755162,18.712056519546994,2.2632868587970734,0.12695983052253723,0.07572869956493378,0.284453093233026,0.0,0.0,0.06174013556155287,0.35221796080415574,0.19985089084968483,0.6141522820114547,5.31599229729312
Kansl3,ENSMUSG00000010453,1,36369181,36335730,-,-0.0571,1.2462693,-1.3208694458007812,False,,,,,,,,,,,,,,,
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,0.0154,0.32368603,-0.3368920087814331,False,,,,,,,,,,,,,,,
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0504,2.2846837,-1.938664436340332,False,,,,,,,,,,,,,,,
Coa5,ENSMUSG00000026112,1,37430103,37417084,-,0.024,0.036716428,-7.6048688888549805,False,,,,,,,,,,,,,,,
Mgat4a,ENSMUSG00000026110,1,37541016,37439340,-,-0.0577,2.0624907,-0.6242766380310059,False,,,,,,,,,,,,,,,
Tsga10,ENSMUSG00000060771,1,37866429,37754776,-,0.0033,1.1503866,-0.47661542892456055,False,,,,,,,,,,,,,,,
Mitd1,ENSMUSG00000026088,1,37890411,37874801,-,0.0064,1.4906663,-1.021449327468872,False,,,,,,,,,,,,,,,
Txndc9,ENSMUSG00000058407,1,37997893,37985189,-,0.0627,0.069554985,-3.155412197113037,False,,,,,,,,,,,,,,,
Rev1,ENSMUSG00000026082,1,38129801,38052786,-,-0.0317,1.9420259,-0.45830094814300537,False,,,,,,,,,,,,,,,
Aff3,ENSMUSG00000037138,1,38664955,38177326,-,-0.0878,18.616564,0.8174680024385452,True,0.0971792915812358,0.006644214896965686,0.09504078340779269,23.725178629413037,27.79339617623223,5.726348876953125,0.24838387966156006,0.5775504790135326,0.0,0.0,0.35928068688277015,13.996612906649908,0.5861363027501723,0.16562623339315857,6.5283276052350105
Rnf149,ENSMUSG00000048234,1,39577405,39551296,-,-0.0074,0.7999581,-1.2138805389404297,False,,,,,,,,,,,,,,,
Tgfbrap1,ENSMUSG00000070939,1,43098637,43047200,-,-0.0302,0.33979937,-0.37280118465423584,False,,,,,,,,,,,,,,,
Fhl2,ENSMUSG00000008136,1,43196984,43123074,-,0.1746,0.28414527,0.20631635189056396,True,0.3017144027499019,0.9693666326785241,0.34070994494599227,13.292732614966866,0.18535307988524438,0.0769551545381546,0.19305935502052307,0.2879119687962259,0.0,0.0,0.19638832615069435,0.22726936647420523,0.5794219185822997,0.6753206174383893,2.4982594846018613
Uxs1,ENSMUSG00000057363,1,43827800,43746966,-,0.0153,1.461942,-0.9835027456283569,False,,,,,,,,,,,,,,,
Tex30,ENSMUSG00000026049,1,44102441,44086613,-,0.196,0.35833797,-0.6077108383178711,False,,,,,,,,,,,,,,,
Poglut2,ENSMUSG00000026047,1,44118808,44106546,-,0.0253,0.467428,-0.45008325576782227,False,,,,,,,,,,,,,,,
Slc39a10,ENSMUSG00000025986,1,46892852,46807544,-,-0.005,0.4259653,-0.8087011575698853,False,,,,,,,,,,,,,,,
Nabp1,ENSMUSG00000026107,1,51478425,51465862,-,-0.0297,2.4860618,0.12506639957427979,True,0.0650695402455452,0.03486591753890656,0.10571471213156691,21.792065541989967,5.543131523662143,0.5385100245475769,0.10956255346536636,0.24714682349904232,0.0,0.0,0.17764682717124008,1.6496708310684103,0.3577818151178031,0.8965913983896776,6.127122310154309
Gls,ENSMUSG00000026103,1,52233232,52163448,-,-0.0127,4.6525993,-0.8774558305740356,False,,,,,,,,,,,,,,,
Nab1,ENSMUSG00000002881,1,52500679,52457294,-,0.0824,0.8860618,-1.0395786762237549,False,,,,,,,,,,,,,,,
Mfsd6,ENSMUSG00000041439,1,52727462,52656286,-,-0.0384,2.065357,-0.7005549669265747,False,,,,,,,,,,,,,,,
Inpp1,ENSMUSG00000026102,1,52817688,52785427,-,-0.0939,0.3213769,-1.1566576957702637,False,,,,,,,,,,,,,,,
Pms1,ENSMUSG00000026098,1,53297018,53189187,-,0.0396,2.4630346,-0.23426997661590576,False,,,,,,,,,,,,,,,
Stk17b,ENSMUSG00000026094,1,53785224,53755506,-,-0.2109,0.6172172,0.30308306217193604,True,0.5075790606203537,0.14123599287886984,0.08600630180337099,42.097544140962945,0.32499718308448794,0.5868428945541382,0.8531866669654846,0.25779271921066377,0.0,0.0,0.4257915695255121,2.9822455635570653,4.281816893610461,0.8386589825496349,9.803643940585957
Gtf3c3,ENSMUSG00000041303,1,54438971,54396004,-,-0.0092,0.6683403,-1.4572453498840332,False,,,,,,,,,,,,,,,
Pgap1,ENSMUSG00000073678,1,54557684,54472994,-,-0.0425,1.6829884,-0.1898670196533203,False,,,,,,,,,,,,,,,
Ankrd44,ENSMUSG00000052331,1,54926387,54645340,-,-0.0925,8.625071,-0.19175875186920166,False,,,,,,,,,,,,,,,
Sf3b1,ENSMUSG00000025982,1,55027481,54985169,-,0.1117,0.29863617,-0.695602536201477,False,,,,,,,,,,,,,,,
Hspd1,ENSMUSG00000025980,1,55088243,55077835,-,0.5211,0.016890744,-0.7603417634963989,False,,,,,,,,,,,,,,,
Rftn2,ENSMUSG00000025978,1,55226782,55170159,-,-0.0045,1.2755617,-0.606921911239624,False,,,,,,,,,,,,,,,
Boll,ENSMUSG00000025977,1,55363469,55248658,-,-0.0115,2.1033611,-1.0658328533172607,False,,,,,,,,,,,,,,,
Tyw5,ENSMUSG00000048495,1,57407101,57388237,-,0.0324,1.1355448,-0.712480902671814,False,,,,,,,,,,,,,,,
Kctd18,ENSMUSG00000054770,1,58018956,57955101,-,-0.017,1.3765467,-1.1883111000061035,False,,,,,,,,,,,,,,,
Clk1,ENSMUSG00000026034,1,58424066,58410189,-,-0.1856,1.4698485,-0.5427876710891724,False,,,,,,,,,,,,,,,
Ppil3,ENSMUSG00000026035,1,58445486,58430994,-,0.0518,0.24509093,-1.3180091381072998,False,,,,,,,,,,,,,,,
Orc2,ENSMUSG00000026037,1,58505109,58462771,-,0.0982,0.76768684,0.0287020206451416,True,0.058938030531614914,0.10621913678169549,0.12470356890810229,26.155435741702988,0.6715197774767876,0.13492588698863983,0.09493760764598846,0.27291308485202814,0.0,0.0,0.2648471550816385,0.3856362770948053,0.2820497789773448,0.7359244650317227,6.308860698098493
Fam126b,ENSMUSG00000038174,1,58586323,58522806,-,-0.0499,0.4603919,-0.6494369506835938,False,,,,,,,,,,,,,,,
Trak2,ENSMUSG00000026028,1,58973430,58900449,-,-0.029,1.3235005,-3.445528507232666,False,,,,,,,,,,,,,,,
Tmem237,ENSMUSG00000038079,1,59120408,59100590,-,0.0895,0.37202093,-0.9159196615219116,False,,,,,,,,,,,,,,,
Als2,ENSMUSG00000026024,1,59237231,59162926,-,-0.0013,6.208221,-2.7078301906585693,False,,,,,,,,,,,,,,,
