,P9,P3,P4,P10,P0,P5,P6,P2,P7,P8,P1
P9,,Xcl1|Csf1|Il21,Cmtm7|Xcl1|Il21,Ccl9|2610528A11Rik,Tnfsf8,Xcl1|Il21,Xcl1|Bmp8a,Xcl1|Osm|Il21|Wnt10b|Cd70|Ebi3|Bmp7|Wnt11,Tnfsf8|Xcl1|Cxcl10|Tnfsf11|Il21|Tnfsf4|Lif|Areg|Tnfsf13b|Csf2|Wnt3,Osm|Csf1,Tnfsf8|Xcl1
P3,Ccl5|Ccl9|Il15,,,Ccl5|Ccl9|2610528A11Rik,Ltb|Clcf1|Lta|Wnt4,,,Wnt10b|Ebi3|Wnt11,Tnfsf8|Xcl1|C1qtnf4|Tnfsf11|Tnfsf4|Lta|Lif|Tnfsf13b|Csf2|Wnt3,Ccl5,Ltb|Tnfsf8
P4,Ccl5|Gdf11|Ccl9|Fam3b,,,Ccl5|Ccl4|Ccl9|2610528A11Rik,Ltb|Lta|Wnt4,,,Wnt10b,Tnfsf8|Xcl1|Cxcl10|Tnfsf11|Tnfsf4|Lta|Lif|Wnt3,Ccl5|Ccl4|Gdf11|Csf1,Tnfsf8
P10,Ltb|Il10,Hmgb1|Mif|Cmtm7|Cxcl10|Xcl1|Tnfsf8|Csf1|Il10|Il21|Cd70|Tnfsf11|Tnfsf13b,Mif|Cmtm7|Xcl1|Tnf|Tnfsf8|Il18|Il21|Il10|Csf2,,Ltb|Tnfsf8|C1qtnf4,Mif|Cmtm7|Cxcl10|Tnf|Xcl1|Il18|Il21|Cd70,Mif|Cmtm7|Tnf|Xcl1|Il18|Il10|Il21|Bmp8a,Mif|Cmtm7|Nampt|Xcl1|Tnf|Tnfsf8|Il21|Il18|Wnt10b|Cd70|Ebi3|Csf2|Bmp7|Tnfsf13b|Tnfsf11|Wnt11,Ltb|Mif|Tnfsf8|Xcl1|Cxcl10|Nampt|Tnf|C1qtnf4|Tnfsf11|Il21|Tnfsf4|Lif|Tnfsf13b|Csf2|Wnt3,Pglyrp1|Tnfsf8|Csf1|Il21,Ltb|Tnfsf8|Xcl1
P0,Ccl5|Ccl4|Ifng|Pglyrp1|Ccl3|Fasl|Gdf11|Tnfsf14|Tnfsf9|Ccl9|Cmtm3|Il18|Ccl6|Il10,Hmgb1|Ccl5|Ifng|Cmtm7|Ccl4|Pglyrp1|Ccl3|Fasl|Cxcl10|Tnfsf9|Tnfsf14|Cmtm3|Il18|Csf1|Il10|Ccl6|Il21|Areg|Cd70|Tnfsf11,Ccl5|Ifng|Cmtm7|Ccl4|Ccl3|Pglyrp1|Fasl|Xcl1|Tnfsf9|Il18|Tnfsf14|Cmtm3|Il21|Il10|Csf2,Ccl5|Ccl4|Ifng|Ccl3|Fasl|Pglyrp1|Ccl9|Tnfsf14|Tnfsf9|Cmtm3|Ccl6|2610528A11Rik,,Ccl5|Ifng|Cmtm7|Ccl4|Ccl3|Pglyrp1|Fasl|Xcl1|Tnfsf9|Il18|Cmtm3|Il21|Cd70|Il10|Ccl6,Ccl5|Ifng|Cmtm7|Ccl4|Pglyrp1|Ccl3|Fasl|Tnfsf9|Tnfsf14|Cmtm3|Il18|Il10|Ccl6|Bmp8a|Cd70,Cmtm7|Ifng|Ccl3|Ccl4|Xcl1|Tnfsf9|Fasl|Il21|Il18|Cmtm3|Ccl6|Wnt10b|Cd70|Ebi3|Csf2|Il10|Tnfsf11|Wnt11,Ifng|Pglyrp1|Tnfsf8|Xcl1|Cxcl10|Ccl4|Ccl3|Tnfsf14|Tnfsf9|Tnfsf11|Cmtm3|Fasl|Il21|Tnfsf4|Lif|Il18|Areg|Tnfsf13b|Csf2|Wnt3|Cd70,Ccl5|Ccl4|Ifng|Ccl3|Pglyrp1|Crlf2|Fasl|Tnfsf14|Gdf11|Tnfsf9|Cmtm3|Csf1|Il18,Xcl1|Fasl
P5,Ccl5|Ltb|Ccl9|Il15,,,Ccl5|Ccl4|Ccl9|Ccl6|2610528A11Rik,Ltb|Tnfsf8|Clcf1,,,Ebi3,Ltb|Tnfsf8|Xcl1|Tnfsf11|Tnfsf4|Lif|Tnfsf13b|Csf2|Wnt3,Ccl5|Csf1,Ltb|Tnfsf8
P6,Ccl5|Ccl9,Csf1,,Ccl5|Ccl9|2610528A11Rik,Ltb|Tnfsf8|Clcf1|Wnt4,,,Il21|Tnfsf11,Tnfsf8|Xcl1|Cxcl10|C1qtnf4|Tnfsf11|Il21|Tnfsf4|Lif|Tnfsf13b|Wnt3,Ccl5|Csf1,Tnfsf8
P2,Ccl5|Ccl4|Ltb|Fasl|Gdf11,Ccl5|Csf1,,Ccl5|Ccl4|Fasl|Ccl9|Clcf1|2610528A11Rik,Ltb|Clcf1|Wnt4,,Ccl5|Ccl4,,Ltb|Tnfsf8|Xcl1|Cxcl10|Tnfsf11|Tnfsf4|Lif|Areg|Wnt3,Ccl5|Ccl4|Ccl3|Pglyrp1|Crlf2|Csf1,Ltb|Tnfsf8|Clcf1
P7,Ccl5|Ccl4|Fasl|Ccl9|Il15|Il10,Ccl5|Fasl|Il10,Fasl|Il10,Ccl5|Ccl4|Fasl|Ccl9|Ccl6|2610528A11Rik,Clcf1|Wnt4,Fasl,Ccl5|Ccl4|Fasl|Il10|Bmp8a,Wnt10b|Il10,,Ccl5|Ccl4|Ccl3|Fasl|Csf1,
P8,Cxcl10|Ccl9,Cxcl10|Areg|Tnfsf11,Cxcl10|Xcl1,Ccl5|Ccl9|2610528A11Rik,Ltb|Lta|Wnt4,Cxcl10|Lta,Cxcl10|Il10|Lta|Bmp8a,Xcl1|Cxcl10|Ebi3|Lta|Tnfsf11,Tnfsf8|Xcl1|Cxcl10|Tnfsf11|Tnfsf4|Lta|Lif|Areg|Wnt3,,Xcl1|Cxcl10
P1,Ccl5|Ccl4|Ifng|Pglyrp1|Ccl3|Fasl|Tnfsf9|Ccl9|Cmtm3|Il18|Ccl6|Cd40lg|Il15|Il10,Hmgb1|Ccl5|Ifng|Cmtm7|Ccl4|Pglyrp1|Ccl3|Fasl|Tnfsf9|Cmtm3|Cd40lg|Osm|Il18|Csf1|Il10|Ccl6|Il21|Areg|Cd70|Wnt10b|Tnfsf13b,Hmgb1|Ifng|Cmtm7|Ccl3|Tnfsf9|Il18|Osm|Cmtm3|Il21|Il10,Ccl5|Ccl4|Ifng|Ccl3|Fasl|Ccl9|Tnfsf9|Cmtm3|Ccl6|2610528A11Rik|Cd40lg,Osm,Hmgb1|Ifng|Cmtm7|Ccl4|Ccl3|Pglyrp1|Tnfsf9|Osm|Il18|Cmtm3|Cd40lg|Il21|Cd70|Areg|Il10|Ccl6|Wnt10b,Ccl5|Ifng|Cmtm7|Ccl4|Pglyrp1|Ccl3|Fasl|Tnfsf9|Cmtm3|Osm|Il18|Cd40lg|Il10|Ccl6|Il21|Bmp8a|Cd70,Hmgb1|Mif|Cmtm7|Ifng|Ccl3|Tnfsf9|Osm|Il21|Il18|Cmtm3|Cd40lg|Ccl6|Wnt10b|Cd70|Ebi3|Il10|Il15|Bmp7|Tnfsf13b|Wnt11|Bmp8a,Ifng|Pglyrp1|Xcl1|Cxcl10|Tnfsf14|Tnfsf9|Tnfsf11|Cmtm3|Il21|Tnfsf4|Lif|Il18|Areg|Tnfsf13b|Cd40lg|Wnt3|Cd70,Ccl5|Ccl4|Ifng|Ccl3|Pglyrp1|Crlf2|Fasl|Tnfsf14|Tnfsf9|Cmtm3|Osm|Csf1|Il18|Il21,
