,P9_A-vs-C,P9_C-vs-A,P3_A-vs-C,P3_C-vs-A,P4_A-vs-C,P4_C-vs-A,P5_A-vs-C,P5_C-vs-A,P6_A-vs-C,P6_C-vs-A,P2_A-vs-C,P2_C-vs-A,P7_A-vs-C,P7_C-vs-A
0,Ccl5,,Ccl5,Xcl1,Ccl5,,Tnf,,Tnf,Pglyrp1,Grn,,Ccl5,Xcl1
1,Fasl,,,Tnfsf8,Tnfsf10,,,,Il2,,Lta,,,Il21
2,Cklf,,,Cd40lg,Clcf1,,,,,,Wnt11,,,Lif
3,Tnfsf10,,,Csf1,,,,,,,,,,Areg
4,Tnf,,,,,,,,,,,,,Wnt3
5,C1qtnf4,,,,,,,,,,,,,
6,Ccl9,,,,,,,,,,,,,
7,Ccl6,,,,,,,,,,,,,
8,Cd40lg,,,,,,,,,,,,,
9,Xcl1,,,,,,,,,,,,,
10,Il15,,,,,,,,,,,,,
11,Il10,,,,,,,,,,,,,
12,Il2,,,,,,,,,,,,,
13,Fam3b,,,,,,,,,,,,,
