,D5_A-vs-C,D5_C-vs-A,D8_A-vs-C,D8_C-vs-A
0,Cd8b1,Cd52,Ptprc,Cd3d
1,Cd47,Ptprc,Cd8b1,Cd3g
2,Cd69,Ly6a,Itga4,Ly6a
3,Atp1b3,Cd3d,Selplg,Ly6e
4,Cd8a,Cd3g,Klrd1,Lgals3
5,Thy1,Lgals3,Cd2,Ptprcap
6,Bsg,Ly6e,Itgb1,Cd3e
7,Klrd1,Ptprcap,Atp1b3,Il18r1
8,Klrk1,Trbc1,Cd8a,Il2rb
9,Slc3a2,Itga4,Thy1,Lag3
10,Hmmr,Cd3e,Cd28,Cd27
11,S1pr1,Itgb1,Cd53,Bst2
12,Sema4d,Cd28,Itgal,Cd160
13,Adgre5,Cd2,Cd69,Ighm
14,Ccr5,Ctla4,Spn,Icos
15,Ccr2,Cd27,Itgb2,Ctla4
16,Havcr2,Ighm,Il18rap,Slamf7
17,Klrg1,Icos,Il2rg,Sema4d
18,Il17ra,Bst2,Klrc1,Pdcd1
19,Il21r,Il2rg,Klrk1,Slamf6
20,Cebpb,Cd5,Ccr2,Cd44
21,Il10rb,Itgal,Cxcr6,Tnfrsf18
22,Notch1,Slamf6,Cd247,Havcr2
23,Itgax,Il18r1,Cd37,Cd9
24,Il2ra,Cxcr3,Slc3a2,Adam10
25,Il7r,Klrc1,Klrc2,Rae1
26,Fasl,Cxcr6,Adgre5,Jaml
27,Sell,Cd9,Cx3cr1,Alcam
28,Ccr7,Cd226,Klrg1,Lamp2
29,Lair1,Cd82,Cd6,Crtam
30,Itpr3,Cd160,Cd226,Hmmr
31,Itgam,Klrc2,Cd5,Pecam1
32,Tnf,Slamf7,Vsir,Cxcr4
33,Fas,Lag3,S1pr1,Tnfrsf1b
34,Il12rb1,Pdcd1,Ccr5,Nrp1
35,Igsf8,Tnfrsf9,Itgax,Cebpb
36,Cd55,Vsir,Lamp1,Tnfrsf9
37,Il4ra,Lgals9,Cd96,Slamf1
38,Abcb1a,Cd44,Fasl,Il10ra
39,Il10ra,Jaml,Il17ra,Tnfrsf13b
40,Cd24a,Icam1,Icam1,Il1rl1
41,Tnfsf10,Il18rap,Dpp4,Ccr9
42,Tnfrsf1a,Nrp1,Il10rb,Tnfsf8
43,Entpd1,Ggt1,Itga1,Itgav
44,Cd86,Tnfrsf18,Adam17,Tnfrsf4
45,Il6ra,Tnfrsf1b,Icam2,Btla
46,Treml2,Crtam,Itgam,Il3ra
47,Itga2,Ifnar1,Notch2,Cd80
48,Nt5e,Cd84,Fcgr2b,Plxnc1
49,Cd74,Cxcr4,Fas,Sema7a
50,Lepr,Igkc,Lair1,Entpd1
51,Cd81,Alcam,Tnfrsf25,Cd38
52,Klra3,Tnfsf8,Cd1d1,Adam8
53,Clec12a,Pecam1,Itpr3,Tnfsf14
54,Ifngr2,Cd274,Abcb1a,Il12rb1
55,H2-Ab1,Slamf1,Cd55,Klra3
56,Tnfrsf10b,Tnfrsf13b,Il4ra,Il2ra
57,Fcgr2b,Cd72,Pvr,Tnfsf9
58,Klra6,Cx3cr1,Ccr7,Itgb3
59,Tnfrsf12a,Plxnc1,Nt5e,Pdcd1lg2
60,Klra1,Ptprj,Il6ra,Tfrc
61,Tnfrsf8,Cd68,Insr,Lilrb4a
62,Fcgr3,Btla,Klra9,Cd74
63,Itgae,Il1rl1,Notch3,Cd200
64,Insr,Itga1,Ifngr2,Gypc
65,Tnfrsf14,Itgav,Klra8,Tigit
66,Pirb,Il6st,,Cd244a
67,Igf1r,Itgb3,,Cd81
68,Cd14,Tnfrsf4,,Izumo1r
69,Tlr2,Tnfrsf25,,Klrb1b
70,Plxnb2,Pdcd1lg2,,Ccr6
71,Bmpr1a,Epcam,,Ighd
72,Eng,Cd200,,Tnfsf13b
73,Fcgr1,Ly96,,Cd22
74,Sirpa,Cd83,,Csf2ra
75,Ly6g,Cd40lg,,Cd200r1
76,Notch4,Tigit,,Il1r2
77,Klra8,Cd80,,Tnfsf4
78,Selp,Cd22,,Cxcr5
79,Cdh5,Ccr6,,Kit
80,Adgre1,Tnfsf11,,Cd83
81,Cd300c2,Cd200r1,,Cd70
82,Vcam1,Ighd,,Tnfrsf21
83,Sdc1,Itga3,,Il23r
84,Msr1,Prnp,,Icam4
85,Notch3,Trdv4,,Pir
86,Nectin3,,,Bst1
87,Erbb2,,,Siglecf
88,Lamp3,,,
