,P9_A-vs-C,P9_C-vs-A,P3_A-vs-C,P3_C-vs-A,P4_A-vs-C,P4_C-vs-A,P5_A-vs-C,P5_C-vs-A,P6_A-vs-C,P6_C-vs-A,P2_A-vs-C,P2_C-vs-A,P7_A-vs-C,P7_C-vs-A
0,Itgb1,,Ccr5,Ctla4,Ccr5,Itgb1,Klrg1,Ctla4,Ccr2,Cxcr6,Cd69,Pdcd1,Ccr7,Lag3
1,Ccr2,,Ccr2,Ighm,Ccr2,Ctla4,Ccr5,Ighm,Klrg1,Ctla4,Ccr2,,,Pdcd1
2,Klrk1,,Klrg1,Cd226,Klrg1,Ighm,Ccr2,Cd226,Tnf,Ighm,Ccr5,,,Nrp1
3,Il7r,,Lair1,Lag3,Tnfsf10,Cd226,Tnf,Pdcd1,Nt5e,Cd9,Klrg1,,,Tnfrsf9
4,Klrg1,,Itga2,Cd9,Ly6k,Pdcd1,Il6ra,Lag3,,Cd226,Il7r,,,Tnfrsf4
5,Igkc,,Fcgr2b,Pdcd1,,Lag3,,Nrp1,,Lag3,Itgax,,,Il1rl1
6,Fasl,,,Cxcr4,,Nrp1,,Jaml,,Pdcd1,Tnfrsf13c,,,Ptprj
7,Cx3cr1,,,Nrp1,,,,Pecam1,,Nrp1,Cd1d1,,,Pdcd1lg2
8,Fas,,,Crtam,,,,Il1rl1,,Pecam1,Lepr,,,Ccr6
9,Cd55,,,Pecam1,,,,,,Cd72,Trgv2,,,Cd22
10,Lair1,,,Tnfrsf13b,,,,,,,Cd151,,,Tnfrsf13c
11,Tnfsf10,,,Il1rl1,,,,,,,Tlr2,,,Ighd
12,Il4ra,,,Btla,,,,,,,,,,Cd200r1
13,Lilrb4a,,,Tnfsf8,,,,,,,,,,Il23r
14,Cd38,,,Ccr9,,,,,,,,,,Ly6k
15,Tnf,,,Il6st,,,,,,,,,,
16,Gypc,,,Klrb1c,,,,,,,,,,
17,Cd101,,,Tnfrsf4,,,,,,,,,,
18,Sell,,,Pdcd1lg2,,,,,,,,,,
19,Ccr7,,,Cd200,,,,,,,,,,
20,Tlr1,,,Cd40lg,,,,,,,,,,
21,Klra3,,,Cd200r1,,,,,,,,,,
22,Cd40lg,,,,,,,,,,,,,
23,Tnfrsf23,,,,,,,,,,,,,
24,Insr,,,,,,,,,,,,,
25,Cd46,,,,,,,,,,,,,
26,Ddr1,,,,,,,,,,,,,
27,H2-Eb1,,,,,,,,,,,,,
28,Tnfrsf12a,,,,,,,,,,,,,
29,Treml2,,,,,,,,,,,,,
30,Trdv5,,,,,,,,,,,,,
31,Tnfrsf10b,,,,,,,,,,,,,
32,Itga3,,,,,,,,,,,,,
33,Tlr6,,,,,,,,,,,,,
34,Il6ra,,,,,,,,,,,,,
35,Cd24a,,,,,,,,,,,,,
36,Ccr3,,,,,,,,,,,,,
37,Cd244a,,,,,,,,,,,,,
38,Vpreb1,,,,,,,,,,,,,
39,Icosl,,,,,,,,,,,,,
