,P9,P3,P4,P10,P0,P5,P6,P2,P7,P8,P1
P9,,Hmmr|Tnfrsf9|Pdcd1|Il1rl1|Ccr9|Cd24a|Cd244a|Cd81|Trgv2|Cd83|Izumo1r,Hmmr|Tnfrsf9|Pdcd1|Tnfrsf13c|Cd24a|Ccr9|Epcam|Cd244a|Clec12a|Csf2ra|Cd81|Trgv2|Tnfrsf21,Cx3cr1|Klrg1|Klrb1c|Klra3|Klra9|Icosl|Notch3,Sell|Ccr7|Ccr9|Il6st|Il6ra|Treml2|Itgae|Tnfsf8|Ifngr2|Tlr1|Igf1r|Insr|Eng|Ighd|Art4|Ly6k|Plaur|Izumo1r|Cd81,Tnfrsf9|Hmmr|Pdcd1|Cd24a|Ccr9|Epcam|Cd244a|Tnfrsf21|Trgv2|Cd81|Tnfrsf8|Cd83,Hmmr|Tnfrsf9|Pdcd1|Tnfrsf13c|Cd24a|Ccr9|Cd244a|Cd81|Cdh5,Hmmr|Tnfrsf9|Il2ra|Tfrc|Pdcd1|Cd24a|Tnfrsf4|Ccr9|Epcam|Lepr|Csf2ra|Clec12a|Cd81|Cd244a|Tnfrsf8|Cd22|Tnfrsf21|Plxnb2|Cd70|Bst1|Icam4,Slamf6|Cd9|Cd160|Tnfsf8|Lag3|Pdcd1|Ccr7|Sell|Tnfrsf4|Il1rl1|Hmmr|Cd200|Pdcd1lg2|Ccr6|Cd83|Izumo1r|Cd22|Treml2|Cxcr5|Epcam|Tnfsf11|Cd81|Tnfsf4|Ighd|Csf2ra|Cd200r1|Kit|Tnfsf13b|Il23r|Icam4|Prnp,Lgals3|Lag3|Cd160|Pdcd1|Havcr2|Il1rl1|Ccr9|Sema7a|Klra3|Tnfrsf4|Cd244a|Cd200|Klrb1b,Sell|Ccr7|Il4ra|Cxcr4|Il6ra|Treml2|Il6st|Tnfsf8|Izumo1r|Ifngr2|Ccr9|Tlr1|Igf1r|Klra6|Eng
P3,Ccr2|Il7r|Tnfrsf25|Fcgr2b,,Clec12a,Klrd1|Il18rap|Cx3cr1|Klrg1|Klrb1c|Fcgr2b|Tnfrsf25|Klra9|Notch3,Sell|Il7r|Ccr7|Ccr9|Il6st|Il6ra|Treml2|Il4ra|Itgae|Ifngr2|Tlr1|Igf1r|Insr|Eng|Ighd|Art4|Plaur|Cd46|Tnfrsf10b,Tnfrsf8,,Lepr|Clec12a|Tnfrsf8|Tnfrsf21|Pirb|Il1r2|Bst1,Slamf6|Crtam|Tnfsf8|Il7r|Ccr7|Sell|Tnfrsf25|Tnfrsf4|Cd200|Ccr6|Cd83|Izumo1r|Cd22|Tlr1|Nt5e|Treml2|Cxcr5|Tnfsf11|Tnfsf4|Kit|Tnfsf13b|Il23r|Icam4,Lag3|Klrb1c|Klrb1b,Sell|Ccr7|Il7r|Il4ra|Il6ra|Treml2|Il6st|Tnfsf8|Izumo1r|Nt5e|Ifngr2|Tlr1|Igf1r|Insr|Klra6|Tnfrsf10b|Eng|Cxcr5
P4,Ccr2|Il7r|Itga1|Cd86|Tnfrsf25|Fcgr2b|Insr,,,Klrd1|Il18rap|Cx3cr1|Klrg1|Klrb1c|Fcgr2b|Tnfrsf25|Klra3|Klra9|Notch3,Sell|Il7r|Ccr7|Ccr9|Il6st|Il6ra|Treml2|Il4ra|Itgae|Ifngr2|Tlr1|Igf1r|Insr|Tnfrsf25|Eng|Ighd|Art4|Izumo1r|Tnfrsf10b|Ly6c1,,,Tnfrsf8,Slamf6|Crtam|Tnfsf8|Ccr7|Tnfrsf25|Il1rl1|Cd200|Ccr6|Cd83|Izumo1r|Cd22|Cxcr5|Tnfsf11|Tnfsf4|Ighd|Cd200r1|Kit|Il23r,Lag3|Klrb1c|Il1rl1|Cd86|Cd80|Klra3|Klrb1b,Sell|Ccr7|Il7r|Il4ra|Il6ra|Treml2|Il6st|Tnfsf8|Izumo1r|Nt5e|Ifngr2|Tlr1|Igf1r|Insr|Tnfrsf12a|Tnfrsf10b|Eng|Tnfrsf14
P10,Ly6e|Cxcr3|Ctla4|Il7r|Cd55|Ggt1|Cd79b|Cd101|Ccr7|Pdcd1lg2|Tlr1|Epcam|Tnfrsf10b,Ly6e|Ly6a|Hmmr|Ctla4|Cxcr3|Lag3|Cd9|Ggt1|Tnfrsf9|Pdcd1|Cd79b|Il3ra|Sema7a|Ifitm1|Ccr9|Tnfsf8|Cd24a|Tnfrsf4|Cd244a|Pdcd1lg2|Ccr7|Cd200|Epcam|Cd81|Csf2ra|Treml2|Cd83|Izumo1r|Cd22|Lepr|Cd70|Ccr1|Pir|Cxcr5|Tnfsf11|Tnfsf13b,Ly6e|Hmmr|Cxcr3|Ctla4|Ggt1|Tnfrsf9|Pdcd1|Il2ra|Lag3|Cd79b|Tnfrsf13c|Tnf|Sema7a|Ifitm1|Il3ra|Cd24a|Sell|Tnfrsf4|Tnfsf8|Ccr9|Ccr7|Epcam|Pdcd1lg2|Cd244a|Clec12a|Csf2ra|Tnfrsf21|Il1r2|Treml2|Lepr|Pir|Icam4,,Sell|Ighm|Il7r|Ccr7|Ccr9|Il6st|Il6ra|Cd7|Pecam1|Treml2|Itgae|Cd55|Cd72|Tnfsf8|Ifngr2|Tlr1|Ggt1|Cd79b|Igf1r|Insr|Eng|Ighd|Art4|Ly6k|Plaur|Izumo1r|Tnfrsf10b|Ly6d|Tlr6|Csf2ra|Cxcr5,Ctla4|Tnfrsf9|Ggt1|Hmmr|Pdcd1|Lag3|Tfrc|Il2ra|Cd79b|Tnf|Sema7a|Ifitm1|Cd24a|Ccr9|Pdcd1lg2|Tnfrsf4|Epcam|Ccr7|Tnfrsf21|Lepr|Csf2ra|Treml2|Cd22|Cd70|Cd83|Tnfrsf10b|Il1r2|Pir|Ccr1,Lgals3|Ly6a|Ly6e|Cxcr3|Ctla4|Hmmr|Cd9|Ggt1|Tnfrsf9|Lag3|Pdcd1|Il2ra|Cd79b|Tnfrsf13c|Sema7a|Ifitm1|Tnf|Il3ra|Cd24a|Ccr9|Cd244a|Pdcd1lg2|Tnfrsf4|Epcam|Ccr7|Csf2ra|Clec12a|Treml2|Ccr1|Pir|Cdh5|Icam4,Cxcr3|Hmmr|Ctla4|Tnfrsf9|Il2ra|Tfrc|Pdcd1|Ggt1|Cd24a|Tnf|Cd320|Tnfrsf4|Sema7a|Cd79b|Sell|Ccr7|Ccr9|Pdcd1lg2|Tnfsf8|Epcam|Lepr|Csf2ra|Clec12a|Cd81|Cd244a|Tnfrsf8|Treml2|Cd22|Tnfrsf21|Cd200|Fcgr3|Il1r2|Ccr1|Plxnb2|Cd70|Izumo1r|Tnfrsf10b|Bst1|Icam4|Tlr2|Tnfsf13b|Pir|Tnfsf11,Ly6e|Ly6a|Slamf6|Cd27|Ighm|Ctla4|Cxcr3|Cd9|Cd160|Tnfsf8|Lag3|Pdcd1|Jaml|Il7r|Pecam1|Tnfrsf9|Ccr7|Cd72|Sell|Btla|Tnfrsf4|Plxnc1|Il1rl1|Il6st|Hmmr|Ggt1|Cd200|Il3ra|Tnf|Cd320|Pdcd1lg2|Ccr6|Cd83|Izumo1r|Cd22|Tlr1|Treml2|Cxcr5|Epcam|Tnfrsf23|Sema7a|Tnfsf11|Cd81|Tnfsf4|Il6ra|Ighd|Cd101|Csf2ra|Cd200r1|Kit|Tnfsf13b|Il23r|Icam4|Prnp|Tnfrsf21,Lgals3|Ly6a|Ly6e|Lag3|Cd27|Cd160|Ighm|Ctla4|Pdcd1|Havcr2|Jaml|Cd9|Pecam1|Tnfrsf9|Il1rl1|Ccr9|Adam8|Sema7a|Btla|Il3ra|Ggt1|Tnfrsf4|Tnfsf8|Pdcd1lg2|Tigit|Cd244a|Cd200|Klrb1b,Sell|Ccr7|Il7r|Bst2|Ighm|Slamf6|Il4ra|Cxcr4|Il6ra|Cd7|Treml2|Pecam1|Cd55|Il6st|Tnfsf8|Ggt1|Izumo1r|Ifngr2|Ccr9|Cd79b|Tlr1|Igf1r|Insr|Klra6|Tnfrsf10b|Eng|Cxcr5
P0,Itga4|Ly6a|Cd28|Cd48|Itgb1|Ifngr1|Il18r1|Ccr2|Cxcr6|Lgals3|Itgal|Klrk1|Klrc1|Cxcr3|Il18rap|Icos|Klrc2|Il2rb|Ccr5|Ctla4|Itgax|Slamf7|Cd44|Igkc|Klrg1|Fasl|Cx3cr1|Itga1|Havcr2|Slamf1|Nrp1|Lag3|Alcam|Itgam|Il10ra|Ptprj|Fcgr2b|Adam8|Il2ra|Klrb1c|Lilrb4a|Entpd1|Cd38|Tnfsf14|Pdcd1|L1cam|Cd80|Tnfsf9|Ly96|Itga2|Ifitm1|Sema7a|Pdcd1lg2|Tigit|Klra3|Il1rl1|Ccr3,Ly6a|Lgals3|Cd48|Itga4|Cd28|Ifngr1|Hmmr|Itgb1|Il2rb|Klrc1|Klrk1|Il18r1|Ctla4|Cxcr3|Icos|Klrc2|Slamf7|Il18rap|Ccr5|Cd160|Ccr2|Cd44|Lag3|Havcr2|Tnfrsf9|Klrg1|Pdcd1|Itgax|Cx3cr1|Fasl|Igkc|Alcam|Nrp1|Slamf1|Il2ra|Itga1|Itgam|Ptprj|Il12rb1|Cd68|Il10ra|Il3ra|Sema7a|Ifitm1|Entpd1|Adam8|Tnfsf9|L1cam|Tnfrsf13c|Il1rl1|Cd38|Tnfsf14|Cd80|Cd24a|Klrb1c|Cd244a|Pdcd1lg2|Lilrb4a|Klra3|Tigit|Ly96|Fcgr2b|Cd22|Prnp|Muc1|Cd70|Klrb1b|Ccr3|Ccr1|Pir|Tnfsf11|Plxnb2|Il1r2,Lgals3|Cd48|Ly6a|Itga4|Cd28|Il2rb|Itgb1|Hmmr|Klrk1|Cxcr3|Icos|Il18r1|Ctla4|Klrc1|Slamf7|Klrc2|Cd160|Havcr2|Ggt1|Ccr5|Tnfrsf9|Il18rap|Ccr2|Cd44|Klrg1|Pdcd1|Il2ra|Lag3|Itgax|Igkc|Fasl|Alcam|Nrp1|Slamf1|Itgam|Cx3cr1|Ptprj|Igsf8|Tnfrsf13c|Tnfsf9|Il12rb1|Sema7a|Ifitm1|Cd24a|Itga1|Entpd1|Adam8|Cd38|L1cam|Il1rl1|Epcam|Pdcd1lg2|Tnfsf14|Ly96|Cd244a|Clec12a|Tigit|Lilrb4a|Fcgr2b|Tnfrsf21|Il1r2|Cd80|Cd22|Pir|Plxnb2|Muc1|Tnfrsf8,Itga4|Itgb1|Cd48|Il18rap|Spn|Itgb2|Itgal|Klrc1|Cx3cr1|Klrg1|Klrk1|Lgals3|Cd28|Il18r1|Klrc2|Ccr2|Slamf7|Fasl|Ccr5|Itgax|Icos|Klrb1c|Cd44|Itgam|Itga1|Igkc|Fcgr2b|Nrp1|Havcr2|Slamf1|Alcam|Klra3|Ptprj|Entpd1|L1cam|Lag3|Tnfsf14|Ly96|Cd80|Cd38|Pdcd1|Tnfsf9|Klra9|Adam8|Lilrb4a|Notch3|Il1rl1,,Lgals3|Ly6a|Cd48|Itga4|Cd28|Il2rb|Itgb1|Ctla4|Klrk1|Klrc1|Icos|Cxcr3|Cd160|Slamf7|Klrc2|Havcr2|Tnfrsf9|Ccr5|Ggt1|Il18rap|Hmmr|Cd44|Klrg1|Ccr2|Pdcd1|Lag3|Itgax|Igkc|Il2ra|Fasl|Alcam|Nrp1|Itgam|Slamf1|Cx3cr1|Ptprj|Il12rb1|Tnfsf9|Sema7a|Itga1|Ifitm1|Adam8|Cd24a|Tnfrsf13c|Entpd1|L1cam|Il1rl1|Cd38|Pdcd1lg2|Epcam|Ly96|Lilrb4a|Tigit|Tnfrsf21|Cd80|Tnfrsf8|Cd22|Fcgr2b|Cd70|Muc1|Il1r2|Pir|Ccr1,Lgals3|Ly6a|Cd48|Itga4|Cd28|Il2rb|Itgb1|Klrk1|Cxcr3|Icos|Ctla4|Il18r1|Klrc1|Hmmr|Ccr5|Slamf7|Klrc2|Cd160|Ccr2|Havcr2|Ggt1|Il18rap|Tnfrsf9|Klrg1|Cd44|Lag3|Itgax|Pdcd1|Fasl|Cx3cr1|Il2ra|Igkc|Alcam|Nrp1|Itgam|Slamf1|Tnfrsf13c|Il10ra|Itga1|Sema7a|Tnfsf9|Il12rb1|Ifitm1|Adam8|Ptprj|Entpd1|Cd24a|Cd38|L1cam|Cd80|Cd244a|Itga2|Il1rl1|Tnfsf14|Pdcd1lg2|Lilrb4a|Ly96|Tigit|Fcgr2b|Klrb1c|Vpreb1|Clec12a|Ccr3|Muc1|Prnp|Cd22|Tnfrsf8|Il1r2|Ccr1|Pir|Cd70|Cdh5,Ly6a|Lgals3|Cd48|Il2rb|Itgb1|Cxcr3|Hmmr|Klrk1|Icos|Cd160|Ctla4|Tnfrsf9|Klrc1|Havcr2|Slamf7|Il2ra|Cd44|Klrc2|Il18rap|Pdcd1|Ccr2|Ccr5|Igkc|Alcam|Lag3|Klrg1|Igsf8|Cd24a|Nrp1|Slamf1|Tnfrsf4|Tnfsf9|Ptprj|Il12rb1|Sema7a|Itgax|Fasl|Tnfrsf13c|Itgam|Adam8|Itga1|Pdcd1lg2|Epcam|Lepr|Clec12a|Ly96|Ifitm1|Il1rl1|Entpd1|Cx3cr1|Tnfrsf8|Cd22|Tnfrsf21|Il1r2|Cd80|Tigit|Ccr1|Plxnb2|Cd70|Bst1|Muc1|Pir|Tnfsf11|Ccr3,Ly6a|Itgb1|Itga4|Cd28|Slamf6|Lgals3|Ctla4|Icos|Cxcr3|Il18r1|Cd9|Il2rb|Cd160|Klrk1|Crtam|Klrc1|Tnfsf8|Klrc2|Lag3|Slamf7|Pdcd1|Cd44|Il18rap|Nrp1|Cxcr4|Igkc|Tnfrsf1b|Tnfrsf9|Alcam|Tnfrsf4|Il1rl1|Cd68|Slamf1|Hmmr|Cd200|Il3ra|Ccr5|Ptprj|Tnfsf14|Pdcd1lg2|Itgax|Ccr6|Cd83|Cd38|Havcr2|Cd22|Tnfrsf13c|Tnfsf9|Cxcr5|Epcam|Sema7a|Itga1|Ly96|Tnfsf11|Lilrb4a|Fasl|Adam8|Tnfsf4|Tigit|Cd80|Cx3cr1|Kit|Tnfsf13b|Il23r|Prnp|Cd70,Lgals3|Ly6a|Itga4|Cd48|Ifngr1|Il18r1|Lag3|Il2rb|Itgal|Cxcr6|Itgb1|Klrc1|Il18rap|Klrk1|Cd160|Icos|Slamf7|Ctla4|Cxcr3|Pdcd1|Havcr2|Cd44|Klrc2|Ccr2|Ccr5|Itgax|Igkc|Alcam|Tnfrsf1b|Fasl|Cx3cr1|Klrb1c|Tnfrsf13b|Itga1|Il10ra|Slamf1|Nrp1|Tnfrsf9|Il1rl1|Adam8|Entpd1|Sema7a|Cd80|Cd38|Il12rb1|Klrg1|Il2ra|Klra3|Ptprj|Il3ra|Tnfsf14|L1cam|Lilrb4a|Itgam|Tnfsf9|Pdcd1lg2|Tigit|Ifitm1|Itga2|Cd244a|Tnfrsf13c|Klrb1b|Ly96|Fcgr2b|Siglecf,Cd28|Cxcr4|Ctla4|Klrk1|Izumo1r|Nt5e|Il18rap|Ccr5|Klrc2|Klrc1|Ccr2|Fasl
P5,Klrd1|Ccr2|Il7r|Itga1|Cd86|Tnfrsf25|Fcgr2b|Klrb1c|Cd46,Hmmr|Klrb1c,Sell,Klrd1|Il18rap|Cx3cr1|Klrg1|Ccr2|Klrb1c|Fcgr2b|Tnfrsf25|Klra3|Trdv2-2|Klra9|Notch3|Itgae|Cd46,Sell|Ighm|Il7r|Ccr7|Ccr9|Il6st|Il6ra|Pecam1|Treml2|Il4ra|Itgae|Tnfsf8|Ifngr2|Tlr1|Igf1r|Insr|Tnfrsf25|Eng|Ighd|Art4|Plaur|Cd46|Trdv2-2|Izumo1r|Ly6d|Tlr6,,Tlr6,Sell|Clec12a|Plxnb2|Bst1|Icam4,Slamf6|Crtam|Tnfsf8|Il7r|Pecam1|Ccr7|Sell|Tnfrsf25|Tnfrsf4|Cd200|Ccr6|Cd83|Izumo1r|Cd22|Tlr1|Nt5e|Treml2|Cxcr5|Tnfrsf23|Tnfsf11|Tnfsf4|Ighd|Cd200r1|Kit|Tnfsf13b|Il23r|Icam4|Prnp,Il18r1|Lag3|Klrb1c|Il10ra|Il1rl1|Cd86|Cd80|Klra3|Klrb1b|Cd46|Itgae,Sell|Ccr7|Il7r|Il4ra|Il6ra|Treml2|Il6st|Tnfsf8|Izumo1r|Nt5e|Ifngr2|Tlr1|Igf1r|Insr|Klra6|Tnfrsf12a|Tnfrsf10b|Eng|Cxcr5
P6,Ccr2|Il7r|Tnfrsf25|Fcgr2b|Klrb1c|Insr,Cd83,Sell,Klrd1|Il18rap|Cx3cr1|Klrg1|Klrb1c|Fcgr2b|Tnfrsf25|Klra3|Klra9|Icosl|Notch3,Sell|Il7r|Ccr7|Ccr9|Il6st|Il6ra|Pecam1|Treml2|Il4ra|Itgae|Tnfsf8|Ifngr2|Tlr1|Igf1r|Insr|Tnfrsf25|Eng|Ighd|Art4|Plaur|Cd46|Abcg2|Izumo1r|Tnfrsf12a|Ly6d,Tnfrsf21,,Sell|Lepr|Tnfrsf8|Abcg2|Tnfrsf21|Plxnb2|Tnfsf11,Slamf6|Crtam|Tnfsf8|Il7r|Pecam1|Ccr7|Sell|Tnfrsf25|Tnfrsf4|Il1rl1|Cd200|Ccr6|Cd83|Izumo1r|Cd22|Tlr1|Treml2|Cxcr5|Tnfsf11|Tnfsf4|Ighd|Cd200r1|Kit|Tnfsf13b|Il23r|Icam4,Lag3|Klrb1c|Il1rl1|Klra3|Klrb1b,Sell|Ccr7|Il7r|Il4ra|Il6ra|Treml2|Il6st|Tnfsf8|Izumo1r|Nt5e|Ifngr2|Tlr1|Igf1r|Insr|Klra6|Tnfrsf12a|Tnfrsf10b|Eng|Cxcr5
P2,Klrd1|Ccr2|Cxcr6|Cd37|Il18rap|Cd226|Itgax|Cd96|Fasl|Cx3cr1|Itga1|Cd86|Tnfrsf25|Fcgr2b|Klrb1c,Cx3cr1|Klra3,Cx3cr1,Klrd1|Il18rap|Itgal|Klrc1|Cx3cr1|Klrg1|Klrc2|Ccr2|Fasl|Itgax|Klrb1c|Itgam|Itga1|Fcgr2b|Tnfrsf25|Klra3|Klra9|Icosl|Notch3|Cd46,Sell|Ighm|Il7r|Klrd1|Ccr7|Ccr9|Il6st|Il6ra|Pecam1|Treml2|Il4ra|Itgae|Cd55|Ifngr2|Tlr1|Igf1r|Insr|Tnfrsf25|Eng|Ighd|Art4|Cd46|Ly6d|Ly6c1,Cx3cr1,Cx3cr1|Vpreb1,,Crtam|Tnfsf8|Lag3|Pecam1|Ccr7|Tnfrsf25|Il1rl1|Il6st|Cd200|Ccr6|Cd83|Izumo1r|Tlr1|Cxcr5|Tnfsf11|Tnfsf4|Ighd|Kit|Il23r,Il18r1|Klrd1|Lag3|Il18rap|Itgax|Cx3cr1|Klrb1c|Itga1|Il10ra|Il1rl1|Entpd1|Cd86|Cd80|Cd38|Klra3|L1cam|Lilrb4a|Klrb1b|Cd46,Sell|Ccr7|Il7r|Klrd1|Il4ra|Il6ra|Treml2|Cd55|Il6st|Tnfsf8|Izumo1r|Nt5e|Ifngr2|Cd86|Tlr1|Igf1r|Insr|Klra6|Eng|Cxcr5
P7,Ccr2|Cxcr6|Ccr5|Itgax|Klrg1|Fasl|Cx3cr1|Itga1|Itgam|Fcgr2b|Klrb1c|Entpd1|Klra3|Ddr1,Hmmr|Ccr5|Ccr2|Havcr2|Klrg1|Cx3cr1|Fasl|Itgam|Entpd1|Ccr9|Klra3,Hmmr|Havcr2|Ccr5|Ccr2|Klrg1|Il2ra|Fasl|Itgam|Cx3cr1|Ifitm1|Cd24a|Entpd1|Ccr9|Clec12a,Klrd1|Il18rap|Cx3cr1|Klrg1|Ccr2|Cxcr6|Fasl|Ccr5|Itgax|Klrb1c|Itgam|Itga1|Fcgr2b|Klra3|Entpd1|Klra9|Notch3,Sell|Il7r|Ccr7|Ccr9|Il6st|Il6ra|Treml2|Itgae|Ifngr2|Igf1r|Insr|Eng|Art4,Havcr2|Klrg1|Ccr2|Il2ra|Fasl|Itgam|Cx3cr1|Entpd1|Ccr9,Lgals3|Cxcr6|Hmmr|Ccr5|Ccr2|Havcr2|Klrg1|Fasl|Cx3cr1|Il2ra|Itgam|Ifitm1|Entpd1|Ccr9|Klra3,Hmmr|Havcr2|Il2ra|Ccr2|Klrg1|Cd24a|Itgam|Ccr9|Lepr|Clec12a|Entpd1|Tnfrsf8|Plxnb2,,Lgals3|Cxcr6|Havcr2|Ccr2|Ccr5|Itgax|Fasl|Cx3cr1|Klrb1c|Itga1|Ccr9|Adam8|Entpd1|Cd86|Cd80|Klrg1|Klra3|L1cam|Itgam,Sell|Ccr7|Il7r|Il4ra|Il6ra|Treml2|Ifngr2|Ccr9|Igf1r|Insr|Klra6|Eng
P8,Ccr2|Klrg1|Nt5e|Ccr7|Tlr1|Insr,Hmmr|Ggt1|Cd24a|Ccr7|Ly6k|Cxcr5|Tnfsf11|Insr,Hmmr|Ggt1|Cd24a|Sell|Ccr7|Clec12a|Ly6k,Cx3cr1|Klrg1|Fcgr2b|Nt5e|Klra9|Notch3,Sell|Il7r|Ccr7|Ccr9|Il6st|Il6ra|Treml2|Il4ra|Itgae|Ifngr2|Tlr1|Igf1r|Insr|Eng|Art4|Ly6k|Plaur|Nt5e|Tnfrsf12a|Tnfrsf10b|Ly6d|Tlr6|Cxcr5,Ggt1|Hmmr|Cd24a|Ccr7|Ly6k|Tnfrsf8,Hmmr|Ggt1|Cd24a|Clec12a|Tlr6|Cdh5,Hmmr|Cd24a|Cd320|Sell|Ccr7|Lepr|Clec12a|Cd81|Tnfrsf8|Treml2|Cd22|Ly6k|Pirb|Plxnb2|Tnfsf11,Slamf6|Tnfsf8|Ccr7|Sell|Tnfrsf25|Cd320|Ccr6|Cd83|Izumo1r|Cd22|Tlr1|Nt5e|Treml2|Cxcr5|Epcam|Tnfrsf23|Tnfsf11|Tnfsf4|Il6ra|Kit|Il23r|Icam4,,Cd69|Sell|Ccr7|Il7r|Il4ra|Il6ra|Treml2|Il6st|Izumo1r|Nt5e|Ifngr2|Tlr1|Igf1r|Insr|Klra6|Ly6k|Tnfrsf12a|Tnfrsf10b|Eng|Cxcr5
