,P9,P3,P4,P10,P0,P5,P6,P2,P7,P8,P1
P9,,Hmgb1|Cmtm7|Xcl1|Ccl27a|Csf1|Il21,Hmgb1|Mif|Cmtm7|Tgfb1|Xcl1|Tnfsf9|Il18|Osm|Il21,Ccl5|Ccl9|2610528A11Rik,Tnfsf8|Osm|Lta,Hmgb1|Mif|Cmtm7|Tgfb1|Xcl1|Osm|Il21,Hmgb1|Mif|Cmtm7|Tnfsf9|Xcl1|Osm|Bmp8a,Hmgb1|Mif|Cmtm7|Tgfb1|Nampt|Xcl1|Tnfsf9|Osm|Il21|Wnt10b|Cd70|Ebi3|Bmp7|Wnt11,Tnfsf8|Xcl1|Cxcl10|Nampt|Tnfsf11|Il21|Tnfsf4|Lta|Lif|Areg|Tnfsf13b|Csf2|Wnt3,Ccl3|Crlf2|Osm|Csf1,Tnfsf8|Xcl1
P3,Ccl5|Ccl4|Ltb|Gdf11|Clcf1|C1qtnf4|Ccl9|Il15,,,Ccl5|Ccl4|Fasl|Ccl9|Clcf1|Ccl6|2610528A11Rik,Ltb|Tnfsf8|Clcf1|C1qtnf4|Lta|Wnt4,,,Mif|Xcl1|Osm|Il21|Wnt10b|Ebi3|Wnt11,Ltb|Tnfsf8|Xcl1|Cxcl10|C1qtnf4|Tnfsf11|Il21|Tnfsf4|Lta|Lif|Tnfsf13b|Csf2|Wnt3,Ccl5|Ccl4|Ccl3|Gdf11|Cmtm3|Csf1,Ltb|Tnfsf8|Clcf1
P4,Ccl5|Ccl4|Ltb|Fasl|Gdf11|C1qtnf4|Ccl9|Fam3b,Csf1,,Ccl5|Ccl4|Fasl|Ccl9|Clcf1|Gdf11|2610528A11Rik,Ltb|Tnfsf8|Clcf1|C1qtnf4|Lta|Wnt4,,,Wnt10b|Cd70,Ltb|Tnfsf8|Xcl1|Cxcl10|Tnfsf14|C1qtnf4|Gdf11|Tnfsf11|Tnfsf4|Lta|Lif|Wnt3,Ccl5|Ccl4|Ccl3|Pglyrp1|Crlf2|Tnfsf14|Gdf11|Cmtm3|Csf1,Ltb|Tnfsf8|Clcf1
P10,Ltb|Mif|Pglyrp1|Nampt|Cxcl10|Tnfsf10|Tnf|C1qtnf4|Il10,Hmgb1|Mif|Cmtm7|Pglyrp1|Tgfb1|Cxcl10|Nampt|Xcl1|Tnfsf9|Tnf|Tnfsf8|Il18|Csf1|Il10|Il21|Cd70|Tnfsf11|Tnfsf13b,Hmgb1|Mif|Cmtm7|Pglyrp1|Tgfb1|Nampt|Cxcl10|Xcl1|Tnfsf9|Tnf|Tnfsf8|Il18|Il21|Il10|Csf2,,Ltb|Mif|Tnfsf8|Osm|C1qtnf4,Hmgb1|Mif|Cmtm7|Pglyrp1|Tgfb1|Cxcl10|Nampt|Tnf|Xcl1|Tnfsf9|Tnfsf8|Il18|Il21|Cd70,Hmgb1|Mif|Cmtm7|Pglyrp1|Nampt|Cxcl10|Tnfsf9|Tnf|Xcl1|Osm|Il18|Il10|Il21|Bmp8a,Hmgb1|Mif|Cmtm7|Aimp1|Tgfb1|Nampt|Xcl1|Tnf|Tnfsf9|Cxcl10|Tnfsf8|Osm|Il21|Il18|Wnt10b|Cd70|Ebi3|Csf2|Bmp7|Tnfsf13b|Tnfsf11|Wnt11,Ltb|Mif|Pglyrp1|Tnfsf8|Xcl1|Cxcl10|Nampt|Ccl25|Tnf|C1qtnf4|Tnfsf11|Il21|Tnfsf4|Lta|Lif|Il18|Tnfsf13b|Csf2|Wnt3,Ccl3|Mif|Pglyrp1|Crlf2|Nampt|Ccl25|Tnfsf9|Tnfsf8|Osm|Csf1|Il21,Ltb|Mif|Tnfsf8|Xcl1
P0,Ccl5|Ccl4|Ifng|Pglyrp1|Ccl3|Fasl|Cxcl10|Gdf11|Tnfsf14|Tnfsf9|Ccl9|Cmtm3|Il18|Ccl6|Il10,Hmgb1|Ccl5|Ifng|Cmtm7|Ccl4|Pglyrp1|Ccl3|Tgfb1|Crlf2|Fasl|Cxcl10|Xcl1|Tnfsf9|Tnfsf14|Ccl27a|Cmtm3|Il18|Csf1|Il10|Ccl6|Il21|Areg|Cd70|Tnfsf11,Hmgb1|Ccl5|Mif|Ifng|Cmtm7|Ccl4|Ccl3|Pglyrp1|Tgfb1|Fasl|Cxcl10|Xcl1|Tnfsf9|Tnf|Grn|Ccl27a|Il18|Tnfsf14|Cmtm3|Il21|Il10|Csf2,Ccl5|Ccl4|Ifng|Ccl3|Fasl|Pglyrp1|Ccl9|Gdf11|Tnfsf14|Ccl27a|Tnfsf9|Cmtm3|Ccl6|2610528A11Rik,,Hmgb1|Ccl5|Mif|Ifng|Cmtm7|Ccl4|Ccl3|Pglyrp1|Tgfb1|Cxcl10|Fasl|Tnf|Xcl1|Tnfsf9|Ccl27a|Tnfsf14|Il18|Cmtm3|Il21|Cd70|Il10|Ccl6,Ccl5|Hmgb1|Mif|Ifng|Cmtm7|Ccl4|Pglyrp1|Ccl3|Crlf2|Fasl|Cxcl10|Tnfsf9|Tnf|Xcl1|Ccl27a|Tnfsf14|Cmtm3|Il18|Il10|Ccl6|Bmp8a|Cd70,Hmgb1|Mif|Cmtm7|Ifng|Ccl5|Gpi1|Tgfb1|Ccl3|Ccl4|Pglyrp1|Nampt|Xcl1|Tnf|Tnfsf9|Cxcl10|Fasl|Grn|Ccl27a|Il21|Il18|Tnfsf14|Cmtm3|Ccl6|Wnt10b|Cd70|Ebi3|Csf2|Il10|Tnfsf11|Wnt11,Ifng|Gpi1|Ccl5|Pglyrp1|Tnfsf8|Xcl1|Cxcl10|Ccl4|Crlf2|Ccl3|Nampt|Tnf|Tnfsf14|Tnfsf9|Gdf11|Grn|Tnfsf11|Cmtm3|Fasl|Il21|Tnfsf4|Lif|Il18|Areg|Tnfsf13b|Csf2|Wnt3|Cd70,Ccl5|Ccl4|Ifng|Ccl3|Pglyrp1|Crlf2|Fasl|Tnfsf14|Gdf11|Tnfsf9|Cmtm3|Csf1|Il18,Ccl5|Ccl4|Pglyrp1|Ifng|Xcl1|Fasl
P5,Ccl5|Ccl4|Ltb|Fasl|Gdf11|Clcf1|Tnfsf14|Ccl9|Il15,Csf1,,Ccl5|Ccl4|Fasl|Ccl9|Clcf1|Gdf11|Ccl6|2610528A11Rik,Ltb|Il16|Tnfsf8|Clcf1|C1qtnf4|Lta,,,Xcl1|Il21|Wnt10b|Ebi3,Ltb|Tnfsf8|Xcl1|Cxcl10|Tnfsf14|C1qtnf4|Tnfsf11|Il21|Tnfsf4|Lta|Lif|Tnfsf13b|Csf2|Wnt3,Ccl5|Ccl4|Ccl3|Pglyrp1|Crlf2|Tnfsf14|Gdf11|Cmtm3|Csf1,Ltb|Tnfsf8|Clcf1
P6,Ccl5|Ltb|Fasl|Gdf11|Clcf1|C1qtnf4|Ccl9,Tnfsf8|Csf1,,Ccl5|Ccl4|Fasl|Ccl9|Clcf1|Ccl6|2610528A11Rik,Ltb|Tnfsf8|Clcf1|C1qtnf4|Lta|Wnt4,,,Xcl1|Il21|Cd70|Tnfsf11,Ltb|Tnfsf8|Xcl1|Cxcl10|Tnfsf14|C1qtnf4|Tnfsf11|Il21|Tnfsf4|Lta|Lif|Tnfsf13b|Wnt3,Ccl5|Ccl4|Ccl3|Tnfsf14|Gdf11|Clcf1|Tnfsf8|Csf1,Ltb|Tnfsf8|Xcl1|Clcf1
P2,Ccl5|Ccl4|Ltb|Pglyrp1|Fasl|Flt3l|Gdf11|Clcf1|Tnfsf14,Ccl5|Ccl4|Pglyrp1|Crlf2|Fasl|Flt3l|Csf1,Ccl5|Ccl4|Pglyrp1|Fasl,Ccl5|Ccl4|Ccl3|Fasl|Flt3l|Ccl9|Clcf1|Gdf11|2610528A11Rik,Ltb|Il16|Tnfsf8|Clcf1|C1qtnf4|Wnt4,Ccl5|Ccl4|Pglyrp1|Fasl,Ccl5|Ccl4|Pglyrp1|Ccl3|Crlf2|Fasl,,Ltb|Pglyrp1|Tnfsf8|Xcl1|Cxcl10|Crlf2|Il16|Tnfsf14|C1qtnf4|Gdf11|Tnfsf11|Tnfsf4|Lta|Lif|Areg|Wnt3,Ccl5|Ccl4|Ccl3|Pglyrp1|Crlf2|Fasl|Flt3l|Tnfsf14|Gdf11|Clcf1|Cmtm3|Csf1,Ltb|Tnfsf8|Clcf1
P7,Ccl5|Ccl4|Ccl3|Fasl|Clcf1|Ccl9|Il15|Il10,Hmgb1|Ccl5|Cmtm7|Ccl4|Ccl3|Fasl|Il10,Hmgb1|Ccl5|Cmtm7|Ccl4|Ccl3|Fasl|Il10,Ccl5|Ccl4|Ccl3|Fasl|Ccl9|Clcf1|Ccl6|2610528A11Rik,Clcf1|Osm|Wnt4,Hmgb1|Ccl5|Cmtm7|Ccl4|Ccl3|Fasl,Ccl5|Hmgb1|Cmtm7|Ccl4|Ccl3|Fasl|Il10|Bmp8a,Hmgb1|Cmtm7|Fasl|Osm|Wnt10b|Il10,,Ccl5|Ccl4|Ccl3|Fasl|Osm|Csf1,Clcf1
P8,Ccl5|Ltb|Cxcl10|Ccl9,Hmgb1|Cmtm7|Cxcl10|Xcl1|Tnf|Areg|Tnfsf11,Hmgb1|Mif|Cmtm7|Cxcl10|Xcl1|Tnf,Ccl5|Fasl|Ccl9|2610528A11Rik,Ltb|Tnfsf8|Clcf1|Lta|Wnt4,Hmgb1|Mif|Cmtm7|Cxcl10|Tnf|Xcl1|Lta,Cmtm7|Cxcl10|Tnf|Il10|Lta|Bmp8a,Hmgb1|Mif|Cmtm7|Xcl1|Tnf|Cxcl10|Ebi3|Lta|Tnfsf11,Ltb|Tnfsf8|Xcl1|Cxcl10|Tnf|Tnfsf11|Tnfsf4|Lta|Lif|Areg|Wnt3,,Ltb|Tnfsf8|Xcl1|Cxcl10
